"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:49:08 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Price per unit of real gross value added of nonfinancial corporate business \1\","A455RD3",0.902,0.906,0.911,0.911,0.914,0.925,0.937,0.943,0.954,0.973,1,1.031,1.048,1.044
"9","2","Compensation of employees (unit labor cost)","A460RD3",0.583,0.579,0.581,0.595,0.601,0.621,0.635,0.63,0.633,0.627,0.631,0.64,0.656,0.663
"10","3","Unit nonlabor cost","A467RD3",0.21,0.21,0.209,0.211,0.214,0.222,0.236,0.237,0.237,0.234,0.243,0.25,0.264,0.275
"11","4","  Consumption of fixed capital","A456RD3",0.095,0.096,0.096,0.098,0.099,0.103,0.113,0.116,0.116,0.115,0.118,0.123,0.128,0.135
"12","5","  Taxes on production and imports less subsidies plus business current transfer payments (net)","W330RD3",0.089,0.089,0.087,0.084,0.085,0.085,0.088,0.092,0.095,0.097,0.101,0.102,0.102,0.104
"13","6","  Net interest and miscellaneous payments","A471RD3",0.026,0.025,0.026,0.029,0.03,0.034,0.035,0.029,0.026,0.022,0.024,0.025,0.034,0.036
"14","7","Corporate profits with IVA and CCAdj (unit profits from current production)","A463RD3",0.109,0.118,0.121,0.106,0.098,0.082,0.066,0.076,0.084,0.112,0.127,0.141,0.127,0.107
"15","8","  Taxes on corporate income","A465RD3",0.033,0.034,0.033,0.031,0.032,0.03,0.02,0.017,0.023,0.031,0.043,0.047,0.045,0.036
"16","9","  Profits after tax with IVA and CCAdj","A466RD3",0.077,0.085,0.088,0.075,0.067,0.052,0.046,0.059,0.061,0.081,0.083,0.094,0.082,0.071
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1. The implicit price deflator for gross value added of nonfinancial corporate business",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","divided by 100. Estimates for nonfinancial corporate business for 2000 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","are based on the 1987 Standard Industrial Classification (SIC); later estimates for these",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","industries are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Note. The current-dollar gross value added is deflated using the gross value",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","added chain-type price index for nonfinancial industries from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","GDP-by-industry accounts.  For periods when this price index is not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","available, the chain-type price index for GDP goods and structures is used.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","IVA Inventory valuation adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CCAdj Capital consumption adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
