"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",105.004,105.034,105.126,105.152,105.41,105.509,105.358,105.141,105.138,105.256,104.862,104.52,103.908,103.574,103.514,103.094,102.907,102.812,102.509,102.185,102.029,102.425,102.402,102.099,101.95,102.685,102.641,102.195,101.769,101.405,101.258,100.989,100.369,100.011,100.232,100.139,100.156,100.427,100.109,100.208,100.141,99.88,100.321,99.658,99.726,100.192,100.744,100.287,100.826,101.19,100.697,99.966,99.392,98.415,99.609,100.312,102.224,102.411
"13","5","    Final sales","A325RG3",104.693,104.722,104.831,104.894,105.196,105.305,105.136,104.942,104.947,105.098,104.738,104.404,103.839,103.522,103.481,103.051,102.867,102.788,102.49,102.16,102.015,102.432,102.404,102.105,101.94,102.699,102.657,102.206,101.762,101.408,101.284,101.021,100.421,100.058,100.284,100.198,100.201,100.462,100.125,100.207,100.127,99.871,100.342,99.659,99.706,100.168,100.709,100.222,100.751,101.139,100.639,99.917,99.478,98.581,99.796,99.967,101.781,101.934
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RG3",120.497,120.027,119.522,119.457,119.535,118.818,118.745,118.527,118.182,117.387,116.583,115.836,114.78,113.919,113.142,112.237,111.413,110.908,110.164,109.705,109.206,108.994,108.891,108.698,107.78,107.39,106.879,106.472,105.968,105.186,104.636,104.375,103.439,102.58,101.667,101.057,100.701,100.576,100.091,100.134,100.254,100.194,99.783,99.769,99.786,99.513,99.238,99.095,98.914,98.563,97.684,97.333,97.066,96.205,96.367,96.484,96.634,96.811
"16","8","    Final sales","A326RG3",120.464,119.977,119.479,119.449,119.565,118.836,118.754,118.515,118.144,117.377,116.623,115.899,114.873,114.024,113.252,112.344,111.524,111.024,110.277,109.806,109.298,109.093,108.989,108.806,107.896,107.498,106.979,106.567,106.068,105.292,104.741,104.484,103.533,102.673,101.777,101.185,100.809,100.652,100.132,100.149,100.253,100.201,99.788,99.757,99.75,99.454,99.152,99.006,98.826,98.493,97.614,97.262,96.982,96.12,96.283,96.429,96.525,96.66
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RG3",88.894,89.336,89.927,90.033,90.443,91.247,91.032,90.82,91.122,92.075,92.075,92.13,91.963,92.161,92.831,92.92,93.41,93.751,93.923,93.745,93.968,95.056,95.119,94.693,95.411,97.399,97.866,97.378,97.035,97.136,97.443,97.165,96.898,97.097,98.588,99.083,99.528,100.251,100.125,100.29,100.006,99.507,100.969,99.517,99.646,100.994,102.553,101.726,103.129,104.363,104.343,103.142,102.184,101.065,103.55,104.987,108.95,109.151
"19","11","    Final sales","A334RG3",88.406,88.849,89.449,89.589,90.043,90.863,90.625,90.474,90.811,91.795,91.811,91.859,91.752,91.967,92.665,92.733,93.215,93.582,93.77,93.592,93.842,94.961,95.013,94.579,95.256,97.334,97.824,97.331,96.949,97.057,97.405,97.137,96.917,97.098,98.586,99.073,99.505,100.239,100.112,100.27,99.978,99.481,101.006,99.536,99.642,101.015,102.581,101.688,103.071,104.341,104.315,103.137,102.502,101.564,104.063,104.261,108.073,108.246
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RG3",73.786,74.263,74.679,75.239,75.786,76.172,76.748,77.365,77.955,78.412,78.841,79.372,79.747,80.129,80.544,80.97,81.528,82.029,82.55,83.152,84.106,84.512,85.244,85.968,86.849,87.375,87.65,88.138,88.79,89.481,90.116,90.923,92.008,92.586,93.242,93.883,94.874,95.727,96.601,97.36,98.578,99.431,100.385,101.606,102.477,103.422,104.246,104.906,106.165,107.057,107.877,109.081,110.13,111.3,112.336,111.963,112,112.178
"22","14","Structures","A755RG3",63.918,64.322,64.792,65.249,65.485,65.766,66.492,66.874,67.332,67.826,68.453,69.149,69.629,70.156,70.816,71.459,72.072,72.774,73.349,74.006,75.063,75.858,76.561,77.337,78.325,79.244,80.385,80.98,81.248,81.877,82.348,83.398,84.858,84.954,85.468,86.729,88.495,90.465,92.75,94.789,96.403,98.403,101.324,103.87,105.814,107.712,108.896,110.869,112.49,112.946,113.623,114.413,114.594,115.004,115.866,116.537,115.965,114.712
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RG3",99.695,100.232,100.289,100.854,101.894,102.391,102.942,103.453,103.903,103.691,103.822,103.526,102.564,101.84,102.353,102.517,102.737,102.738,102.722,102.876,102.528,103.008,102.727,102.443,101.848,101.599,101.784,101.584,101.265,101.012,100.567,101.045,99.476,98.269,98.417,98.656,98.828,99.417,98.363,99.352,100.347,100.672,99.038,99.943,100.343,99.883,99.425,99.098,98.991,99.109,98.969,98.494,97.571,96.828,96.445,94.773,95.916,98.314
"25","16","  Gross domestic product excluding motor vehicle output","A962RG3",80.36,80.716,81.069,81.483,81.909,82.207,82.613,82.989,83.413,83.806,84.046,84.387,84.55,84.791,85.103,85.331,85.7,86.076,86.39,86.753,87.452,87.898,88.447,88.922,89.578,90.232,90.523,90.791,91.136,91.562,92,92.549,93.298,93.627,94.164,94.683,95.515,96.34,97.104,97.813,98.719,99.401,100.52,101.36,102.131,103.085,103.908,104.409,105.536,106.255,106.708,107.354,107.902,108.42,109.526,109.592,110.086,110.111
"26","17","  Final sales of computers \3\","BB01RG3",1131.373,1078.382,991.189,918.041,835.764,758.941,706.512,649.638,590.142,551.69,514.13,486.77,442.28,406.28,359.489,332.061,304.928,290.742,275.366,261.069,248.057,237.631,228.184,221.809,199.821,191.461,181.494,172.493,162.705,156.029,148.472,141.176,135.897,131.329,126.23,124.787,122.714,122.503,119.093,113.279,107.457,102.137,97.628,92.778,89.666,85.204,81.548,78.689,76.763,73.391,68.462,65.286,63.566,60.394,58.307,56.265,54.774,52.552
"27","18","  Gross domestic product excluding final sales of computers","BB00RG3",78.834,79.227,79.634,80.112,80.632,81.019,81.49,81.945,82.458,82.897,83.203,83.576,83.794,84.086,84.522,84.823,85.269,85.681,86.04,86.448,87.162,87.652,88.215,88.694,89.415,90.083,90.417,90.713,91.086,91.525,91.972,92.558,93.261,93.565,94.119,94.64,95.466,96.288,97.016,97.77,98.719,99.426,100.487,101.367,102.154,103.103,103.92,104.422,105.537,106.271,106.755,107.404,107.932,108.455,109.558,109.606,110.134,110.227
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
