"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","Plus: Imports of goods and services","A021RX1",933.2,942.1,945.4,957.4,988.6,1010.7,1043.5,1064,1109.5,1146.7,1189,1214.7,1260.2,1289.1,1306.5,1348.7,1383.1,1427.2,1478.9,1514.4,1575.8,1623.9,1680.6,1679.3,1654.8,1605.5,1566.7,1548,1586.8,1640.4,1667.4,1697.4,1676.9,1700.9,1720.7,1784.4,1829.8,1903.1,1930.7,1979.7,1991,2012.9,2025.2,2082,2121.3,2144.9,2170.5,2168.1,2190.8,2188.1,2208.3,2188,2174.3,2146.5,2134.4,2038.9,1821,1748.2
"12","4","Equals: Gross domestic purchases","A712RX1",9142.2,9158.7,9196.1,9259.1,9345.2,9513.2,9623.7,9686.1,9789.7,9930.4,10072.7,10178.3,10315.2,10449.1,10607.2,10788.2,10925.5,11039.9,11198.7,11400.5,11471.3,11701.8,11738.6,11813.9,11767.8,11833,11824.1,11877.9,11996.5,12079.7,12156,12198.5,12236.1,12356.1,12543.8,12660.8,12762.3,12901.4,13009.5,13136.8,13249,13296.8,13404.4,13494.2,13648.7,13695.5,13722.8,13755.7,13805,13887.6,13959.7,13954.2,13916.4,13885.5,13798.8,13604,13303.1,13225.4
"13","5","Less: Change in private inventories","A014RX1",65.9,37.7,8.2,16.5,3.2,26.8,62,32.8,43.2,103.9,75.4,87,117.2,43.2,60.6,65.5,89.4,41.1,44.6,99.1,18.7,101,63.1,58.1,-34.8,-10.7,-30.8,-90.7,-15.1,13.4,19.8,32.9,31.5,-3.5,3,38.3,52.4,78.7,62.7,71.6,91.4,15.5,11.8,81,65.8,72.5,67.5,31.8,14.5,23.3,29.8,10.3,0.6,-37.1,-29.7,-37.4,-113.9,-141.1
"14","6","Equals: Final sales to domestic purchasers","A713RX1",9083.3,9133.3,9201.9,9254.7,9357.1,9498,9567.8,9658.9,9755.9,9829.9,10002.4,10095.2,10199.8,10412.1,10552.8,10729.1,10841.5,11004.3,11158.7,11303.8,11456.1,11601.4,11677.2,11757.6,11806.1,11847.3,11858.3,11971.6,12015.4,12070,12139.5,12168.8,12206.9,12361.5,12542,12623.4,12710.9,12823.8,12947,13065.6,13158,13281.4,13392.4,13412.9,13584.1,13624.1,13655.2,13722.8,13791.5,13863.2,13928.9,13944,13912.9,13923.2,13828,13654.9,13432.7,13381.6
"15",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","  Final sales of domestic product","A190RX1",8966.4,9019.4,9126.8,9180.1,9259.4,9392.1,9433,9565.4,9632.6,9709.3,9862.5,9925.9,9988.3,10157.1,10274.3,10448.5,10517.3,10648.2,10779.7,10917.5,11027.6,11158,11206.4,11278.1,11335.1,11385.2,11373.8,11472.8,11496.4,11528.9,11579.7,11569.1,11616.5,11743.8,11933.4,12005.3,12076.2,12136.3,12241.1,12339.2,12443.2,12572,12671.2,12667.2,12851.3,12891,12898.3,13027.8,13086.4,13179.6,13290.3,13381.1,13363.5,13453.5,13354.3,13193.5,13055.8,13049.5
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
