"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61"
"11","3","  Goods","DGDSRC1",1788.1,1803.9,1826.2,1843.9,1871,1915.9,1925.9,1957.9,1986.7,1974.5,2020.5,2045.4,2045.2,2090.6,2121.8,2182.5,2207.1,2275.6,2314.4,2362.8,2417.9,2442.7,2475.5,2500.4,2506.8,2518.4,2524,2586.9,2569.6,2599.2,2632,2639.1,2675.1,2682.2,2769.8,2782.5,2835,2862.8,2899.4,2971.8,2997.4,3047.3,3124.5,3126.6,3180.8,3206.5,3250.5,3249.1,3306.3,3338.2,3366.6,3448.9,3447.2,3474.9,3463,3227.5,3197.7,3185.8
"12","4","    Durable goods","DDURRC1",621.2,626.9,642.5,652.3,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.1,737.9,769.8,786,826.4,821.3,856.4,873.1,878.6,923.5,905,915,919.5,930.9,923.9,928.9,1001.7,981.3,986.4,1010.4,990.3,979.4,1007.3,1037.5,1035,1045.9,1052.3,1065,1083.1,1089.2,1117.9,1122.5,1092.3,1132.5,1125.1,1132.4,1142.2,1153,1154.9,1161.4,1172.7,1145.8,1126.5,1088.5,1019.9,1025.2,1007.4
"13","5","      Motor vehicles and parts","DMOTRC1",250.1,251.6,257.6,263.5,269.1,273.4,273.7,277.7,291,279.5,296.9,304.9,294.2,315,320.7,350.9,333.6,357.3,361,350.9,379.3,353.6,358.8,361.3,372.5,365.6,368.9,426.1,393.8,395.3,421.4,395,389.4,403.6,412.8,400.3,400.8,400.7,404.3,413.3,408.6,425.1,425.4,379.5,395.5,394.5,400.4,398.1,399.6,401.3,398.3,401.9,382.7,357.5,332.7,296.4,300.6,294.8
"14","6","      Furnishings and durable household equipment","DFDHRC1",144.2,145,148.1,149.7,148.8,153.9,154.4,157.1,157.9,158.9,161.7,163.5,168.1,171.6,174.9,179.6,184.6,188.1,193.6,198.4,204.2,207.7,210.1,210.4,212.7,213.2,214.4,219.5,224.8,226.5,224.8,227.3,224.9,230.6,237.4,240.5,244.1,246.9,251,254.7,257.4,262.5,264.7,271,278.1,275,276,277,281.7,279,279.3,279.3,275.8,276.2,269.4,259.1,255.7,251.3
"15","7","      Recreational goods and vehicles","DREQRC1",148.8,151.3,156.8,157.9,159.7,164.7,166.3,169,170.6,172.4,176.3,179.2,184.1,189.2,195.6,199.4,204.1,210.2,215.5,221.1,231.4,232.8,235.3,236.8,235.5,237.7,239,246.9,251,251.3,250.9,252.8,251.7,257.3,268,273.3,278.2,281.7,286.7,290.6,296.7,302.3,304.2,310.1,322.7,320.3,320.9,329.9,331.8,333,339.5,346.5,342.6,347.5,342,327.3,329.6,321.8
"16","8","      Other durable goods","DODGRC1",78.1,79,80,81.1,82.3,84.4,84.9,85.8,86.1,85.8,87.9,89.5,91.5,93.9,94.8,96.4,99,100.8,103,108.1,108.7,110.9,110.8,111,110.2,107.4,106.5,109.3,111.8,113.3,113.3,115.2,113.4,115.8,119.4,120.9,122.8,123,123.1,124.7,126.5,128,128.1,131.8,136.2,135.4,135,137.2,139.8,141.7,144.2,145,144.7,145.2,144.3,137.1,139.3,139.5
"17","9","    Nondurable goods","DNDGRC1",1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.3,1320.8,1335.8,1356.2,1385.8,1419.2,1441.3,1484.2,1494.3,1537.7,1560.5,1580.9,1575.9,1594.5,1595.1,1585.2,1588.3,1612.8,1621.6,1648.8,1695.7,1674.8,1732.3,1747.6,1789.2,1810.5,1834.4,1888.7,1908.1,1929.4,2002,2034.2,2048.3,2081.4,2118.1,2106.9,2153.3,2183.3,2205.2,2276.2,2301.4,2348.4,2374.5,2207.6,2172.4,2178.3
"18","10","      Food and beverages purchased for off-premises consumption","DFXARC1",440.8,442.5,443.8,447.9,453.4,460.1,464.3,469.8,473.5,471.8,476.4,477.4,478.6,483.7,488.8,495,502.9,509.3,515.6,526.5,524.1,535.6,541.3,548.8,552,559.3,562,565.5,566.2,567.5,569.2,575.5,586.4,585,598.6,602.5,616.1,623.7,629.9,643,650.1,659,671,680,684.9,692.3,699.8,714.8,727.1,732.1,742.7,758.4,770.1,786.3,793.4,787.5,786.5,788
"19","11","      Clothing and footwear","DCLORC1",228.5,229.7,233.4,233.4,235,239.8,240.4,243,243.7,244.4,249.9,252,254.6,257.7,257.4,261.5,267.5,271.5,272.2,273.3,275.9,280.1,282.5,284.8,280.6,278.4,275.3,277.1,279.2,278.7,275.5,282,279.2,283.9,292.5,292.4,298.7,296.6,299.6,305.2,309.7,315.6,313.9,323,326.3,327.2,330.7,336,342.7,338.8,340.1,343.3,341.3,344.2,338,326.5,327.9,322.7
"20","12","      Gasoline and other energy goods","DGOERC1",134.5,135.8,132.6,130.7,139.1,147.8,143.5,148.6,152.2,144.3,146.5,147.7,136.6,132.6,133.3,130.9,127.9,146.2,155.9,165.2,178.4,187.7,194,195.2,191.1,196.2,185.7,161.4,154.1,174.7,180.4,189.1,219.1,191.8,211.4,216.1,234.9,241.1,247.9,275.8,276.9,275.8,332,334.6,324.5,343.3,363.3,316.7,335.2,362.4,365.4,408.8,427.8,441.9,461.4,321.2,271,277.6
"21","13","      Other nondurable goods","DONGRC1",363,369.1,373.8,379.7,383.7,391.8,398.3,407,411.8,417.4,424.9,431.1,437.5,446.8,456.3,468.7,487.4,492.2,497.7,519.3,515.8,534.4,542.6,552.1,552.1,560.6,572.1,581.2,588.8,591.9,596.5,602.2,611,614.1,629.8,636.5,639.5,649.1,657,664.7,671.5,678.9,685.1,696.7,712.6,718.6,724.4,739.3,748.3,750,756.9,765.6,762.4,776,781.7,772.5,787,790
"22","14","  Services","DSERRC1",3100.6,3153.6,3196.7,3236.2,3285.5,3332.9,3378.5,3426.8,3480.4,3529.5,3592.9,3652.8,3712.3,3779.6,3846.2,3895.7,3950.3,4014.3,4084.4,4162.1,4265.1,4332.9,4406.2,4480.7,4551.4,4600.3,4627.3,4680.3,4739.4,4804.1,4859.2,4914.1,4971.8,5041.7,5112.6,5180.3,5270.3,5346.6,5431.3,5523.1,5612.3,5699.9,5784.4,5883.7,5967.4,6060.1,6141.3,6235,6352.2,6424.3,6499,6570.3,6647.9,6719.8,6757.1,6782.3,6790,6803.2
"23","15","    Household consumption expenditures (for services)","DHCERC1",2995.4,3047.1,3089.1,3126.7,3172.2,3216.7,3260.9,3311.1,3369.6,3419.4,3480.9,3536.6,3590.2,3651.2,3711.9,3756.7,3810,3871,3937.7,4010.9,4108.4,4171.4,4238.4,4305.3,4371.5,4415.4,4438.4,4489.1,4543.1,4601.3,4650.5,4702,4760,4829.5,4900.4,4969.3,5060.8,5136.8,5220.9,5312.7,5402.8,5489.2,5569.6,5662.4,5740.2,5822.9,5893.1,5986.2,6103.7,6179.5,6242.8,6305.8,6377.5,6446.1,6474.5,6494.1,6522,6539.9
"24","16","      Housing and utilities","DHUTRC1",891.4,908.2,923.6,932,948.8,957.7,962,976.5,987.9,1001.3,1014.7,1035.6,1040.9,1061.2,1076.3,1082.5,1101,1118.1,1136.9,1144.1,1159.6,1184.4,1208.1,1242.1,1271.2,1281.3,1295.7,1302.8,1313,1328.4,1339.2,1358.4,1376.2,1389.5,1396.5,1413.1,1429.7,1448.7,1468.8,1501.7,1532.2,1566.1,1598.4,1634.7,1645.8,1677,1705.7,1715.3,1741.4,1755.8,1770.4,1784.8,1811.9,1838.6,1852.2,1872.1,1878.8,1873
"25","17","      Health care","DHLCRC1",707.8,715.6,723.6,732.6,736.3,748,754.8,769.1,776.3,785.4,796.5,805.6,820.2,829.3,836.7,842,848.9,856.1,867.8,881.5,893.8,910,926.7,943.2,966.2,985,1006.1,1028.9,1052.4,1074.9,1094.2,1110,1123.8,1140.3,1157.4,1175.6,1195.6,1218.6,1242.8,1261.9,1289.8,1305.7,1324.7,1343.6,1360.6,1374.4,1383.6,1404.4,1442.9,1458.4,1475.2,1501.7,1531.6,1551,1559.3,1574.9,1598,1616.5
"26","18","      Transportation services","DTRSRC1",170.6,175.5,180.8,184.9,187.5,192.2,197,203.1,208.4,212.8,216.6,219.5,222.3,225,229.1,232.3,236,240.6,246.1,250.4,255.5,260.7,264.7,268.1,268.2,266.3,260.5,255.9,256.6,256.8,256.1,257.4,259.4,260,265.3,267.7,269.9,271.3,274,277.7,280.4,283.8,288.2,291.2,292.5,296.6,297.8,301,304.7,306.4,308.7,309.9,308,308.3,309.1,305.7,301.6,300.2
"27","19","      Recreation services","DRCARC1",173.7,179.6,183.3,187.8,189.8,193.6,198.3,200.5,204.1,207.3,209.5,212.4,216.5,218,222,225.7,229.6,235.5,242.5,247.6,250.2,254.2,258.2,259.3,263.4,263.2,263,264.6,267.9,271.1,273.5,278.8,280.9,286.2,292.5,298.2,305.6,310.8,314.3,317.1,322.2,324,327.6,333.3,339.5,344.2,351.4,360.2,365.4,369.9,373.7,377.9,380.7,384.9,385.9,380.9,383.4,382.2
"28","20","      Food services and accommodations","DFSARC1",312.7,316.2,318.5,319.5,321,325.6,328.5,334.4,340,342.1,347.8,348.4,354.2,360.8,364.3,372.7,373.1,377.9,382,393.3,402.9,409,413.7,414.9,421.2,420.3,421.1,422.4,431.7,437,440.4,443.7,448.4,457.4,469.3,476.2,483.3,488.5,495.7,504.2,511.6,522.8,527.8,539,555.9,555,558.9,569.2,575.9,583.4,592.3,600,601.8,610.8,614.7,607.3,607.3,606.4
"29","21","      Financial services and insurance","DIFSRC1",354.4,361.4,368.5,374.5,383.5,390.4,395.6,405,416.7,423.9,438.4,446.2,453.9,463.4,474.7,486.6,494.8,507.1,517.9,537.1,574.2,567.7,567.5,570.4,566.4,565.6,549.8,569.3,568.5,573.6,580.2,582.3,579.7,595.8,608.9,622.7,646.4,658.9,672.6,692,696.8,710.4,718.5,724.8,733.4,745,753,778.1,799.3,819.5,835.3,842.8,839.6,842.1,837.3,823.5,816.7,822.9
"30","22","      Other services","DOTSRC1",384.8,390.7,390.9,395.5,405.1,409.3,424.7,422.3,436.1,446.6,457.5,468.9,482.2,493.5,508.7,514.8,526.5,535.7,544.5,556.7,572.1,585.3,599.5,607.4,615,633.6,642.1,645.2,653,659.6,666.8,671.4,691.7,700.2,710.5,715.8,730.2,740.1,752.6,758.2,769.9,776.3,784.5,795.8,812.5,830.7,842.7,858,874,886.1,887.2,888.7,903.9,910.5,915.9,929.8,936,938.6
"31","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRC1",105.2,106.5,107.6,109.4,113.4,116.1,117.7,115.7,110.8,110.1,111.9,116.2,122.1,128.5,134.4,139,140.4,143.3,146.8,151.2,156.7,161.6,167.8,175.4,179.8,184.9,188.9,191.2,196.3,202.8,208.7,212.2,211.8,212.2,212.3,211,209.5,209.8,210.3,210.4,209.5,210.7,214.7,221.4,227.2,237.2,248.1,248.8,248.5,244.8,256.2,264.5,270.4,273.7,282.6,288.2,268,263.3
"32","24","      Gross output of nonprofit institutions \2\","DNPERC1",456.2,460.7,465,471.6,476.7,486.1,491.9,500.5,500.2,504.2,511.9,520.9,535.1,545.8,556.6,564.7,571.8,579.4,588.9,601.1,611.3,624.8,638.6,653.2,667.6,681.1,695.6,707.9,726,744.4,759.7,768.7,775.2,781.3,789.1,797.7,807.8,821.2,836,845.8,858.2,865.2,878.8,896.4,912.8,928.6,940.5,952.5,971.7,978.2,990.1,1010,1031.3,1044.9,1055.2,1066.1,1060.8,1064.2
"33","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRC1",351,354.2,357.5,362.2,363.4,370,374.2,384.9,389.4,394.1,400,404.7,413,417.4,422.2,425.6,431.4,436.1,442.1,449.9,454.6,463.3,470.7,477.8,487.7,496.1,506.7,516.7,529.7,541.6,550.9,556.5,563.4,569.1,576.9,586.8,598.3,611.5,625.6,635.4,648.7,654.4,664.1,675,685.6,691.4,692.4,703.6,723.1,733.4,733.9,745.5,760.9,771.2,772.7,778,792.7,800.9
"34","26","Gross private domestic investment","A006RC1",1160.6,1132.7,1126.2,1156.7,1170,1227.8,1279.8,1283.1,1320.6,1385,1414.9,1434.1,1494.9,1471.5,1512.7,1564,1617.3,1604.7,1644.5,1699.5,1688.8,1810.9,1791.7,1797.4,1701.3,1699.4,1670.4,1576.6,1628,1648.1,1650.4,1661.3,1671.5,1678.6,1745.1,1823.6,1853.6,1956,2001.3,2063.2,2130.7,2115.2,2166.6,2276.3,2336.5,2352.1,2333.5,2286.5,2267.2,2302,2311.9,2272.9,2214.8,2164.6,2142.7,2022.1,1689.9,1585.5
"35","27","  Fixed investment","A007RC1",1099.5,1098.9,1114.9,1138.2,1163.2,1197.4,1228.7,1248.5,1270.8,1296.6,1346.9,1356.3,1389.9,1434.2,1460.3,1503.9,1534,1569.7,1603.9,1615.2,1672.8,1720.5,1734.5,1742.9,1732,1711,1700.5,1657.4,1641.4,1634.9,1632.1,1631.4,1642.8,1681.7,1740.9,1787.9,1802.2,1880,1940.6,1991.8,2040,2099.4,2155.6,2194.1,2270.6,2279.7,2264.4,2254.2,2254.1,2278.6,2280.8,2263,2223,2214,2179.7,2066.6,1817.2,1741.6
"36","28","    Nonresidential","A008RC1",797.7,805.5,811.2,825.8,841.4,860.5,889,910.6,930.1,949.9,995.6,998.8,1025,1055.8,1066.7,1097.1,1120.7,1147.4,1174.5,1177,1223.5,1270.1,1288.4,1292.7,1273.7,1240.6,1219.6,1177.3,1149.5,1128.3,1120.6,1103.3,1097.7,1123.8,1150.8,1170.4,1164.6,1204.4,1244,1279.1,1305.2,1334.9,1362.9,1386.3,1457.2,1495.3,1522.7,1546.1,1574.1,1623.5,1665.2,1697.9,1705,1719.7,1711,1638.7,1442.6,1395.9
"37","29","      Structures","B009RC1",201.4,206.7,210.5,210.5,214.4,219.9,225.5,238.6,243,243.1,255.1,259.9,260.7,277.7,280.1,282,282.8,281.2,283,288.8,297.8,313,328.2,333.5,329,335.3,342.6,312,297.8,284.8,274.6,273.7,274.2,282.6,284.1,286.6,290.8,300.9,312.4,322.4,338.4,346.5,352.3,369.7,396.8,428.6,447.6,461.7,489.5,519.9,556.1,575.9,586.3,610.6,620.4,620.7,533.1,508.6
"38","30","      Equipment and software","B010RC1",596.3,598.7,600.6,615.4,627,640.6,663.5,672,687.1,706.9,740.5,738.9,764.3,778.1,786.5,815.1,837.9,866.2,891.5,888.2,925.7,957.1,960.2,959.2,944.7,905.4,877.1,865.3,851.7,843.5,846,829.5,823.4,841.2,866.8,883.9,873.8,903.5,931.5,956.7,966.8,988.4,1010.6,1016.5,1060.5,1066.7,1075.1,1084.4,1084.6,1103.5,1109.1,1122,1118.7,1109.2,1090.6,1018,909.5,887.4
"39","31","        Information processing equipment and software","A679RC1",252.3,262.5,263.7,273.5,281.5,285.9,294.2,299,311.5,323.2,340.6,345.9,357.1,362.5,365.7,379.1,393.6,416.2,429.5,429,455.7,476.6,484.6,496,484.3,459.1,438.4,428.3,422.1,420.5,424.9,411.6,416.9,419.5,437.3,449.9,447.8,452.4,458.3,462.7,466.8,473,479.7,481.6,498.7,500.5,510.1,511.6,525.1,530.1,538.4,555.8,566.3,576.2,568.8,540.2,508.3,499.6
"40","32","          Computers and peripheral equipment","B935RC1",59.1,65.8,67,72.5,72.5,71.5,73.5,73.7,76.5,80.4,84.9,83.7,87.7,88.6,86.4,88.8,94.5,99.9,99.5,95.1,97.6,104.9,105.8,104.5,99.7,90,79.8,80.8,82.5,79.3,80.5,76.7,76.4,75.1,77.8,81.3,78.5,79.3,80.5,82.5,77.9,77.8,78.5,81.3,84,84.1,86.7,84.8,88.8,86.9,88.2,93.1,93.7,92.9,84.3,75.8,71.1,70.1
"41","33","          Software \4\","B985RC1",71,73.3,75.8,78.4,81,83.7,86.5,90.7,99.5,104.5,110.1,115.8,118.5,122.3,128.1,135.1,142.8,154,163.4,169.1,176.3,183.1,186.2,192.2,193,189.3,184.7,179.4,180.3,182.8,187.1,182,184.4,186.2,195.1,199.4,201.1,201.8,208,211.8,213.5,218.8,219.7,220,223.3,227.5,232.1,236.2,238.3,242.6,246.7,254.8,263.2,268,266.4,258.7,240.5,231.7
"42","34","          Other","A937RC1",122.2,123.3,120.9,122.6,128,130.7,134.2,134.6,135.4,138.3,145.6,146.4,150.8,151.7,151.1,155.2,156.3,162.3,166.7,164.9,181.9,188.6,192.6,199.4,191.7,179.8,173.9,168.2,159.3,158.5,157.3,153,156.2,158.2,164.4,169.2,168.2,171.3,169.8,168.4,175.4,176.3,181.6,180.3,191.4,188.9,191.4,190.5,197.9,200.6,203.6,208,209.5,215.3,218.1,205.6,196.7,197.8
"43","35","        Industrial equipment","A680RC1",125.3,129.1,131,130.5,134.3,137.1,136.3,138.4,137.9,140.5,141.4,141.9,149.3,148.2,145.5,146.3,146.4,148.4,150.5,151.2,158.6,163,166.2,163.8,164.7,153.3,146.8,142.7,143.6,139.9,142,141.4,140.9,146.6,143.1,139.6,134.9,139.4,144.8,149,154.3,154.2,161.2,168.9,168,180.7,181.4,183.7,182.1,198.8,199,192.9,195.3,197.3,194.8,187.9,157.8,151.3
"44","36","        Transportation equipment","A681RC1",124.6,112.9,111.6,115.2,113.5,118.3,130.4,130.5,130.8,134.4,143.1,133.9,135.1,140.7,148.5,164.3,167.7,173.1,181.5,175.2,174.6,177,170.9,160.6,154.1,154.9,151.1,156.8,150,142.6,138.2,135.4,122.2,131,136.1,142.3,141.2,156.6,167.4,179.3,174.8,181.1,188.1,182.8,203.8,195.5,195.3,198.2,192.3,183,176.5,175.1,164.3,143.8,125.9,95.3,65.4,72.5
"45","37","        Other equipment","A862RC1",94.1,94.3,94.3,96.2,97.7,99.3,102.6,104.2,106.9,108.8,115.5,117.2,122.7,126.7,126.8,125.5,130.2,128.5,130,132.7,136.7,140.4,138.5,138.8,141.6,138,140.8,137.5,135.9,140.5,140.8,141.1,143.3,144.1,150.3,152.1,149.9,155.2,161,165.6,170.9,180.1,181.5,183.3,190,190,188.2,191,185.2,191.6,195.2,198.2,192.7,192,201.1,194.7,178,163.9
"46","38","    Residential","A011RC1",301.8,293.5,303.8,312.4,321.8,336.9,339.7,337.9,340.7,346.7,351.3,357.5,364.9,378.4,393.6,406.8,413.3,422.3,429.4,438.1,449.2,450.5,446,450.2,458.3,470.4,480.9,480.1,491.9,506.6,511.5,528.1,545.2,557.9,590.1,617.4,637.6,675.6,696.6,712.6,734.8,764.5,792.6,807.9,813.3,784.4,741.7,708.1,680,655.1,615.6,565.2,518.1,494.2,468.6,427.8,374.6,345.6
"47","39","  Change in private inventories","A014RC1",61.1,33.7,11.3,18.5,6.9,30.5,51.1,34.6,49.8,88.4,68,77.8,105.1,37.3,52.4,60,83.3,35.1,40.6,84.3,16.1,90.4,57.2,54.5,-30.7,-11.6,-30.1,-80.8,-13.4,13.2,18.3,30,28.6,-3.1,4.2,35.8,51.4,76,60.8,71.5,90.7,15.9,11,82.2,66,72.4,69.1,32.3,13.1,23.5,31,9.8,-8.2,-49.3,-37,-44.5,-127.4,-156
"48","40","    Farm","B018RC1",-5.8,-13.7,-20.4,-4.4,1.1,11.8,17.1,4.5,-0.5,0.8,8.3,4.7,5.6,-4.9,0.6,3.9,4,-0.3,-9.1,-5.6,-17.8,5.9,-1.1,7.5,5.6,-3,1.8,-4.2,3.3,-10.3,-2.3,-0.7,2.9,-1.4,1,-2.1,4.4,18.4,7.7,4.7,-6.5,0.3,4.4,2.3,3.7,-8.1,-6.3,-3.6,6.2,-3.9,-2.4,-2.5,-13.9,-3.2,-7.5,-3.7,-1.3,1.2
"49","41","    Nonfarm","A015RC1",67,47.4,31.7,22.8,5.8,18.6,34,30.2,50.3,87.6,59.6,73.1,99.5,42.2,51.9,56.2,79.3,35.3,49.6,90,33.9,84.5,58.4,47,-36.2,-8.6,-31.9,-76.6,-16.7,23.5,20.6,30.7,25.8,-1.7,3.2,37.9,46.9,57.6,53.1,66.8,97.2,15.5,6.7,79.9,62.3,80.6,75.4,36,6.8,27.4,33.4,12.4,5.7,-46.1,-29.4,-40.8,-126.1,-157.2
"50","42","Net exports of goods and services","A019RC1",-106.2,-110.6,-75.4,-70.6,-89.1,-93.8,-114,-88.3,-108.1,-84.7,-96.2,-116.5,-134.5,-161.8,-173.9,-177.1,-212,-250.9,-282.9,-302.5,-357.9,-364.4,-395.9,-410,-395.4,-363.8,-367,-357.8,-374.9,-418.1,-435.8,-479.9,-503.6,-504.3,-499.5,-509.1,-546.3,-606.1,-635.9,-686.5,-677.4,-690.2,-734,-789.3,-775.8,-781.4,-805.7,-714.3,-729.4,-724.8,-698.4,-702.5,-744.4,-738.7,-757.5,-590.5,-378.5,-347.8
"51","43","  Exports","B020RC1",780.7,797.7,830.5,838.6,847.6,859,859.7,904.3,919.1,955,974.7,968.9,963.8,947.8,936,967.9,958.7,971.2,998.8,1028.5,1052.8,1089.2,1119.1,1111.8,1097.1,1056.6,997.1,960.1,973.4,1005.9,1020.6,1012.2,1012.5,1011.6,1041.4,1098.6,1138.8,1170.8,1185.4,1225.9,1262.4,1298.5,1308.2,1351.3,1414,1456,1476,1538.2,1564.9,1602.1,1685.2,1771.6,1803.6,1901.5,1913.1,1706.2,1509.3,1483.7
"52","44","    Goods","A253RC1",562.2,575.6,595.6,599.7,608.2,611.9,615.4,637.8,658.3,687,704.7,700.8,694.5,672.8,666.8,689.4,673.5,680.5,703.9,730.9,749.5,777.1,810.9,799.9,788.9,749.8,704.5,681.7,679.5,706.3,715.6,699.9,709,710.6,723.5,764.2,787.1,811.3,824.1,845.4,871.6,906,907.4,939.4,985.1,1016.5,1030.6,1065.4,1081.4,1109.4,1156.6,1210.4,1247.3,1326.2,1338.5,1155.7,989.5,971.4
"53","45","    Services","A646RC1",218.5,222.1,234.9,238.9,239.5,247,244.3,266.6,260.9,268,270,268.1,269.3,275,269.2,278.5,285.2,290.7,294.9,297.7,303.3,312.2,308.2,311.9,308.1,306.8,292.7,278.4,294,299.7,305,312.3,303.5,301,317.9,334.5,351.7,359.5,361.3,380.5,390.7,392.4,400.8,411.9,428.9,439.6,445.3,472.8,483.4,492.7,528.6,561.2,556.3,575.3,574.6,550.5,519.8,512.4
"54","46","  Imports","B021RC1",886.9,908.3,905.8,909.2,936.7,952.8,973.8,992.6,1027.2,1039.7,1070.9,1085.3,1098.2,1109.6,1109.9,1145,1170.6,1222.2,1281.7,1331,1410.7,1453.6,1515,1521.8,1492.5,1420.3,1364.2,1317.9,1348.3,1424,1456.4,1492.1,1516.1,1515.9,1540.8,1607.8,1685.1,1776.9,1821.3,1912.4,1939.8,1988.7,2042.1,2140.6,2189.8,2237.4,2281.7,2252.5,2294.3,2326.9,2383.6,2474,2548.1,2640.2,2670.5,2296.7,1887.9,1831.5
