"","Table 1#5#5# Gross Domestic Product, Expanded Detail            ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:48:08 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic product","A191RC1",7414.7,7838.5,8332.4,8793.5,9353.5,9951.5,10286.2,10642.3,11142.1,11867.8,12638.4,13398.9,14077.6,14441.4
"9","2","Personal consumption expenditures","DPCERC1",4987.3,5273.6,5570.6,5918.5,6342.8,6830.4,7148.8,7439.2,7804,8285.1,8819,9322.7,9826.4,10129.9
"10","3","  Goods","DGDSRC1",1815.5,1917.7,2006.8,2110,2290,2459.1,2534,2610,2727.4,2892.3,3073.9,3221.7,3365,3403.2
"11","4","    Durable goods","DDURRC1",635.7,676.3,715.5,780,857.4,915.8,946.3,992.1,1014.8,1061.6,1105.5,1133,1160.5,1095.2
"12","5","      Motor vehicles and parts","DMOTRC1",255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,404.7,409.6,397.1,400.3,342.3
"13","6","      Furnishings and durable household equipment","DFDHRC1",146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,233.3,249.2,263.9,276.5,279.8,270.1
"14","7","      Recreational goods and vehicles","DREQRC1",153.7,164.9,174.6,192.1,212.7,234.1,239.8,251.5,262.6,284.3,303.4,323.4,337.7,339.9
"15","8","      Other durable goods","DODGRC1",79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,117.4,123.4,128.6,136,142.7,142.8
"16","9","    Nondurable goods","DNDGRC1",1179.8,1241.4,1291.2,1330,1432.6,1543.4,1587.7,1617.9,1712.6,1830.7,1968.4,2088.7,2204.5,2308
"17","10","      Food and beverages purchased for off-premises consumption","DFXARC1",443.7,461.9,474.8,486.5,513.6,537.5,559.7,569.6,593.1,628.2,665,698,740.1,784.3
"18","11","      Clothing and footwear","DCLORC1",231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,287,300,315.5,330.1,341.2,337.5
"19","12","      Gasoline and other energy goods","DGOERC1",133.4,144.7,147.7,133.4,148.8,188.8,183.6,174.6,209.6,249.9,304.8,336.9,368,413
"20","13","      Other nondurable goods","DONGRC1",371.4,395.2,421.3,452.3,499.2,536.2,566.5,594.9,622.9,652.6,683,723.7,755.2,773.2
