"","Table 3#10#3# Real Government Consumption Expenditures and Gener","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:50:38 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","42","            Commodity Credit Corporation inventory change","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","43","            Other nondurable goods","B828RA3",57.399,51.454,60.706,66.449,47.231,51.072,67.998,72.99,82.201,93.012,100,93.233,89.261,100.893
"51","44","          Services","A544RA3",73.516,71.034,73.085,68.744,70.192,74.642,81.144,93.66,96.575,99.754,100,105.506,100.693,113.509
"52","45","      Less: Own-account investment \4\","W136RA3",149.209,141.556,135.219,139.065,124.442,100.566,120.682,104.107,96.738,96.352,100,98.517,94.82,104.305
"53","46","            Sales to other sectors","W137RA3",102.178,101.174,66.438,97.082,63.835,93.069,60.057,52.798,58.233,65.259,100,73.961,66.355,79.864
"54","47","State and local consumption expenditures \1\","A991RA3",81.105,82.592,84.794,88.344,91.538,93.537,96.75,99.938,99.628,99.616,100,100.717,102.523,103.255
"55","48","      Gross output of general government","W138RA3",80.689,82.169,84.541,87.882,90.876,93.364,96.949,99.725,99.453,99.619,100,100.777,102.697,103.819
"56","49","        Value added","W139RA3",85.707,87.035,88.759,90.665,92.162,94.111,96.351,98.313,98.892,99.324,100,100.882,102.607,104.066
"57","50","          Compensation of general government employees","B251RA3",88.211,89.354,90.905,92.573,93.741,95.425,97.472,99.25,99.52,99.57,100,100.639,102.195,103.445
"58","51","          Consumption of general government fixed capital \2\","B986RA3",67.745,70.251,73.088,76.565,80.306,84.101,87.703,91.02,93.957,97.402,100,102.749,105.748,108.76
"59","52","        Intermediate goods and services purchased \3\","W140RA3",71.432,73.184,76.724,82.701,88.515,92.017,98.149,102.512,100.552,100.191,100,100.576,102.865,103.37
"60","53","          Durable goods","B989RA3",64.455,66.267,70.924,78.915,86.186,92.401,99.391,100.744,99.076,99.583,100,101.616,104.905,106.335
"61","54","          Nondurable goods","B337RA3",71.175,73.126,76.518,82.066,87.937,91.622,97.919,101.545,99.741,99.921,100,100.851,103.17,104.02
"62","55","          Services","A988RA3",72.204,73.85,77.356,83.348,89.008,92.194,98.178,103.124,101.067,100.375,100,100.353,102.56,102.8
"63","56","      Less: Own-account investment \4\","W144RA3",74.149,75.036,82.065,83.766,86.962,91.927,100.019,99.994,97.342,99.09,100,102.994,107.984,110.775
"64","57","            Sales to other sectors","W145RA3",79.379,80.869,83.625,86.212,88.367,92.735,97.586,98.822,98.864,99.667,100,100.88,103.086,105.753
"65","58","              Tuition and related educational charges","B1065A3",91.269,91.537,93.627,96.172,99.005,102.395,102.943,103.015,103.063,99.906,100,100.89,102.107,103.382
"66","59","              Health and hospital charges","B1066A3",85.383,85.026,87.1,89.637,91.126,95.583,103.617,104.1,102.183,102.528,100,99.98,102.564,106.851
"67","60","              Other sales","W146RA3",64.867,69.34,73.274,75.918,78.582,83.28,86.175,89.027,91.722,95.539,100,102.124,104.464,105.863
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2. Consumption of fixed capital, or depreciation, is included in government gross output as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a partial measure of the services of general government fixed assets; the use of depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","assumes a zero net return on these assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","3. Includes general government intermediate inputs for goods and services sold to other sectors and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","for own-account investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","4. Own-account investment is measured in current dollars by compensation of general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","employees and related expenditures for goods and services and is classified as investment in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","structures and in software in table 3.9.5.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
