"","Table 4#2#1# Percent Change From Preceding Period in Real Export","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:51:32 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Exports of goods and services","B020RL1",10.1,8.3,11.9,2.3,4.4,8.6,-5.6,-2,1.6,9.5,6.7,9,8.7,5.4
"9","2","Exports of goods \1\","A253RL1",11.7,8.8,14.4,2.2,3.8,11.1,-6.2,-3.6,1.8,8.5,7.5,9.4,7.4,5.9
"10","3","  Foods, feeds, and beverages","B638RL1",10.5,-1.6,0.6,-1,2.9,5.8,2.7,-2,1.7,-6.2,5.5,8,8.7,6.7
"11","4","  Industrial supplies and materials","A639RL1",7.9,5.1,8.7,-1.1,0.9,9.8,-4,0.3,2.5,6.5,2.6,7.5,5.5,11.2
"12","5","    Durable goods","B686RL1",12.7,6,9.2,1.7,3.3,14.9,-8.7,-6.5,2.6,8.4,7.6,9.5,5.7,10.5
"13","6","    Nondurable goods","B687RL1",5.3,4.6,8.5,-2.7,-0.6,6.8,-1,4.3,2.5,5.5,0,6.3,5.4,11.6
"14","7","  Capital goods, except automotive","A640RL1",19.2,15.9,22.6,4.3,5.5,15.2,-9.9,-8.7,2.3,11.7,9.1,11.9,7.5,5.1
"15","8","    Civilian aircraft, engines, and parts","B688RL1",-19.7,13.3,29.9,27.8,-3.3,-13.3,3.5,-6.7,-10.4,-4.7,16.2,10.9,8.4,-3.2
"16","9","    Computers, peripherals, and parts","B850RL1",33.6,31.4,31.2,4.3,13.9,25,-11.5,-13.6,6.1,8.8,15.3,9.4,3.5,5.2
"17","10","    Other","B689RL1",24.9,12.9,19.3,-0.6,6.1,20.5,-12.2,-8.1,4.9,16.1,6.6,12.6,7.9,7.1
"18","11","  Automotive vehicles, engines, and parts","B641RL1",5.4,3.7,13.2,-1.4,3.2,5.9,-6.4,4.1,1.4,9.8,9.1,7.7,11.8,-1.1
"19","12","  Consumer goods, except automotive","A642RL1",6,6.7,10.3,3,2.3,10,-0.8,-4,6,13.8,10.4,10.6,10.8,8.2
"20","13","    Durable goods","B690RL1",6.3,6.4,11.9,3.4,3.2,11,-0.8,-5,4.4,16.6,14,13.5,15.2,7.5
"21","14","    Nondurable goods","B691RL1",5.7,6.9,8.7,2.6,1.4,9,-0.8,-2.9,7.7,10.7,6.6,7.2,5.4,9
"22","15","  Other","A643RL1",2.3,6.2,10.2,9.7,6.6,2.1,-4.5,6.1,-11.9,-0.2,11.4,2.8,-2.4,-11.3
"23","16","Exports of services \1\","A646RL1",6.3,7,5.9,2.4,5.7,2.7,-4.1,1.9,1.2,11.9,5,7.9,11.8,4.2
"24","17","  Transfers under U.S. military agency sales contracts","B267RL1",11.1,12.6,4.9,6,-12.8,-14.9,-6.4,-4.1,9.7,16,18.4,22,3.7,-14.6
"25","18","  Travel","B493RL1",7.2,7.5,2.9,-4,2.1,5.2,-13.2,-6.6,-5.3,11.9,5,0.5,9.2,8.4
"26","19","  Passenger fares","B533RL1",5.4,8,7.3,-2,-8.7,1.8,-14.1,-7.7,-16.6,7.6,3.2,4.6,7.8,11.5
"27","20","  Other transportation","B683RL1",7.9,-2.7,3.3,-1.8,4.3,0.4,-3.5,4,4.1,13.4,1.7,6.3,8.1,1
"28","21","  Royalties and license fees","B684RL1",10.7,4.9,0.5,6.3,9.7,6.3,-7.8,7.8,3.2,17.1,9.5,6.2,15.3,5.9
"29","22","  Other private services","B720RL1",4.7,10.5,13.1,9.5,15.2,3.4,6,7.4,5.9,10.6,3.6,12,14.5,3.2
"30","23","  Other","B980RL1",-7.2,3.4,-0.6,-6.2,-1.9,-2.3,-1.5,-3.7,-6.6,3.7,-1.9,3.8,4.3,11.1
"31","24","    Imports of goods and services","B021RL1",8,8.7,13.5,11.7,11.5,13,-2.8,3.4,4.4,11,6.1,6.1,2,-3.2
"32","25","Imports of goods \1\","A255RL1",9,9.4,14.4,11.8,12.5,13.4,-3.2,3.7,4.9,11,6.8,5.9,1.7,-3.9
"33","26","  Foods, feeds, and beverages","B647RL1",2.5,10,10.1,7.3,9.3,6.8,4.6,5.3,7.8,5.8,3.6,6.1,1.3,-1.3
"34","27","  Industrial supplies and materials, except petroleum and products","A649RL1",4.7,5.7,8.3,11.1,4.9,6.8,-3.5,2.9,1.6,15.5,6.6,4.3,-3.9,-7.4
"35","28","    Durable goods","A820RL1",3.6,7.1,7.7,15.4,4,6.6,-5.8,5.2,1,20.3,7.1,9.3,-9.7,-8.6
"36","29","    Nondurable goods","B696RL1",5.8,4.3,8.8,6.4,5.8,6.9,-1,0.5,2.2,10.8,6.2,-1.3,3.6,-6.2
"37","30","  Petroleum and products","B648RL1",-1.8,8.4,4.1,6.9,0.8,5.5,2.9,-2.3,6.7,6.6,2,-1.9,-2.3,-2.9
"38","31","  Capital goods, except automotive","A650RL1",23.1,17.5,25.5,15,14.6,20.1,-11.4,-1.6,5.8,17.5,11.2,11.1,5.8,0.6
"39","32","    Civilian aircraft, engines, and parts","B932RL1",-7.5,13.3,26.2,29.2,7.1,7.5,14.5,-20.5,-7.7,-2.4,2.2,6.1,15.3,-3
"40","33","    Computers, peripherals, and parts","B852RL1",33,27.3,32,24.6,28.9,17,-9,10.3,9,23.8,14.3,17,9.8,1.7
"41","34","    Other","B853RL1",22.4,14.3,22.9,9.8,10,23,-15.3,-2.9,6.4,17.6,11,9.6,3.4,0.6
"42","35","  Automotive vehicles, engines, and parts","B651RL1",1.7,3.4,8.1,6.5,19.6,8.7,-3,7,2.6,6.8,3.8,6.8,0,-12.1
"43","36","  Consumer goods, except automotive","A652RL1",7.9,7.7,14.5,13.5,12.3,17.5,1.6,9.6,8.9,11.1,8.1,8,5.8,-1.1
"44","37","    Durable goods","B697RL1",7.1,8.7,13.4,15.7,14,19.6,-0.9,11.8,7.8,15.7,10.8,8.2,6.9,-1.4
"45","38","    Nondurable goods","B698RL1",8.7,6.6,15.8,11.1,10.4,15.2,4.5,7.2,10.1,6.1,5.1,7.8,4.4,-0.7
"46","39","  Other","A653RL1",2.1,3.7,15.3,16.5,17.7,12.5,2.1,3.2,-4.7,-0.2,5.2,1.1,0.7,-11.9
"47","40","Imports of services \1\","B656RL1",3,5.2,8.7,10.9,6.8,11,-0.8,1.8,1.9,11.2,2.8,7.1,3.5,0.7
"48","41","  Direct defense expenditures","B752RL1",-11.3,10.6,15.3,7.2,7.6,4.6,9.2,24.2,13.6,4.4,-6.6,-2,-4.5,-5.6
"49","42","  Travel","B768RL1",0.8,3.9,8.6,13,1.9,11.3,-4.8,-6.2,-8.8,6.7,-1.8,0.6,-2,-1.7
"50","43","  Passenger fares","B769RL1",6.7,6.4,8.2,8.7,4,7.7,-14.7,-16,3,19.8,1.6,-0.3,-2.9,-0.3
"51","44","  Other transportation","B770RL1",-0.2,-1.4,8,6.8,0.5,11,-5.2,3.2,3.8,11.7,7,6.1,4.7,-3.4
"52","45","  Royalties and license fees","B908RL1",15.3,10.9,14.8,21.7,14.9,22.5,-1.6,15.3,-3.9,18.5,2.1,-7.5,2,4.5
"53","46","  Other private services","B909RL1",10.1,9.5,7.3,11.7,16.9,11.3,9.7,6.4,7.9,12.9,7.9,21.4,10,5
