"","Table 4#2#4# Price Indexes for Exports and Imports of Goods and ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:51:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","41","  Direct defense expenditures","B752RG3",77.145,76.83,70.536,68.515,69.679,67.319,67.853,70.359,82.046,91.029,100,105.247,116.603,137.169
"49","42","  Travel","B768RG3",80.555,82.965,82.69,79.378,81.29,80.123,78.268,81.342,87.308,93.644,100,103.943,112.36,119.338
"50","43","  Passenger fares","B769RG3",70.532,71.449,75.753,76.717,78.761,83.294,91.054,95.647,97.62,96.001,100,105.509,112.319,129.118
"51","44","  Other transportation","B770RG3",67.156,69.074,67.593,66.327,74.239,81.145,79.916,76.873,86.222,93.552,100,99.424,97.581,108.572
"52","45","  Royalties and license fees","B908RG3",80.896,82.669,84.134,84.818,86.121,88.317,90.106,91.415,93.554,96.473,100,103.351,106.177,109.651
"53","46","  Other private services","B909RG3",94.278,97.051,98.383,97.119,96.93,94.975,94.44,97.597,99.339,99.536,100,105.643,108.415,111.668
"54","47","  Other","B910RG3",78.919,81.093,81.603,80.375,82.901,84.911,84.095,84.996,89.62,94.84,100,103.397,108.008,114.061
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","B332RG3",108.37,103.872,100.75,98.453,97.194,97.374,97.239,96.635,96.663,98.292,100,102.486,103.699,104.955
"57","49","  Exports of nondurable goods","B339RG3",87.535,88.257,86.317,81.792,80.527,83.874,82.331,81.733,86.993,93.983,100,105.231,114.704,129.594
"58","50","  Exports of agricultural goods \2\","B181RG3",96.95,106.795,99.376,90.393,83.844,82.446,83.118,84.689,93.347,101.976,100,103.559,122.337,146.997
"59","51","  Exports of nonagricultural goods","B182RG3",102.062,98.098,95.817,93.312,92.507,93.886,93.202,92.4,93.574,96.532,100,103.31,105.845,109.72
"60","52","  Imports of durable goods","B333RG3",120.788,113.942,107.914,103.318,101.348,101.075,99.197,97.25,97.112,99.081,100,101.336,103.103,106.592
"61","53","  Imports of nondurable goods","B340RG3",68.518,71.341,70.059,63.309,66.185,77.001,73.268,72.268,78.448,86.211,100,108.665,115.844,142.3
"62","54","  Imports of nonpetroleum goods","B187RG3",111.324,106.538,102.252,98.505,96.863,97.534,96.151,94.099,95.267,97.561,100,101.202,103.363,108.947
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
