"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:48:53 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross domestic income","A261RC1",7362.1,7812.5,8346.3,8878.8,9424.6,10085.5,10389.5,10664.4,11125.5,11875.6,12718,13619.5,14092.5,14340.4
"9","2","Compensation of employees, paid","A4002C1",4199.3,4395.5,4670,5027.8,5359.2,5793.5,5984.5,6116.4,6388.3,6699.6,7071.5,7483.6,7863.6,8044.8
"10","3","  Wage and salary accruals","A4102C1",3438.5,3624.1,3878,4185.5,4470.4,4832.4,4957.4,5002.9,5160.3,5416.8,5712.4,6076.8,6409.7,6548.2
"11","4","    Disbursements","W269RC1",3422.1,3620.5,3881,4186.2,4465.2,4832.4,4957.4,5002.9,5145.3,5431.8,5707.4,6075.5,6416,6553.2
"12","5","      To persons","W270RC1",3415.8,3614.2,3874.3,4179.2,4457.3,4824.9,4949.3,4994.5,5136.8,5422.9,5698.1,6066,6405.9,6542.8
"13","6","      To the rest of the world","B4189C1",6.3,6.3,6.7,7,8,7.5,8.1,8.4,8.5,9,9.3,9.5,10.1,10.4
"14","7","    Wage accruals less disbursements","A062RC1",16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,5,1.3,-6.3,-5
"15","8","  Supplements to wages and salaries","A038RC1",760.8,771.4,792,842.3,888.8,961.2,1027.1,1113.5,1228,1282.7,1359.1,1406.9,1453.8,1496.6
"16","9","Taxes on production and imports","W056RC1",557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.8,806.8,863.4,930.2,986.8,1028.7,1047.3
"17","10","Less: Subsidies \1\","A107RC1",34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.8,53.5
"18","11","Net operating surplus","W271RC1",1770.3,1959,2134.7,2227.4,2342.6,2444.9,2479.8,2521.6,2625.4,2926.3,3236,3539.7,3494.9,3454.8
"19","12","  Private enterprises","W260RC1",1757.2,1944.7,2120.6,2214.1,2328.5,2435.7,2475.7,2515.3,2618.5,2925,3239.4,3544,3501.5,3461.7
"20","13","    Net interest and miscellaneous payments, domestic industries","W272RC1",417.5,437.2,487.3,560.2,569.9,642.5,656.9,609.6,595.5,569.3,678.9,830.1,964.1,1043.1
