"","Table 1#7#1# Percent Change from Preceding Period in Real Gross ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:48:42 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","Gross domestic product","A191RL1",2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,2.1,0.4
"9","2","Plus: Income receipts from the rest of the world","B645RL1",21.7,5.3,11.8,1.6,9.9,16.2,-16.8,-4.4,10.1,23.1,23.2,21.8,16.3,-8.9
"10","3","Less: Income payments to the rest of the world","A655RL1",22,5.4,17.4,4,6.8,14.6,-22.4,-4,5.2,21.7,28.5,32,12,-13.4
"11","4","Equals: Gross national product","A001RL1",2.6,3.7,4.3,4.3,4.9,4.2,1.2,1.8,2.6,3.7,3.1,2.4,2.4,0.6
"12","5","Less: Consumption of fixed capital","A262RL1",4.5,5,5.7,6.6,7,6.9,5.3,3.6,3,3.3,3.6,3.7,3.9,3.3
"13","6","        Private","A024RL1",5.2,5.8,6.6,7.5,7.9,7.7,5.9,3.9,3,3.3,3.7,3.9,4,3.3
"14","7","        Government","A264RL1",1.5,1.7,1.9,2.3,3,2.9,2.5,2.4,2.5,3,2.7,2.7,3.1,3.3
"15","8","          General government","A265RL1",1.3,1.5,1.8,2.2,2.8,2.8,2.4,2.3,2.3,2.8,2.7,3,3.2,3.5
"16","9","          Government enterprises","A266RL1",2.8,2.8,2.3,3.1,4,3.7,3,3,3.8,4,3,1.7,2.5,2
"17","10","Equals: Net national product","A027RL1",2.3,3.6,4.2,4,4.7,3.9,0.7,1.5,2.6,3.8,3,2.3,2.2,0.2
"18",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","11","  Gross domestic income \1\","A261RL1",3.4,4.1,5,5.2,4.6,4.7,0.7,1,2.1,3.8,3.6,3.7,0.6,-0.4
"20","12","  Gross national income \2\","A023RL1",3.4,4.1,4.9,5.1,4.7,4.8,0.9,1,2.3,4,3.6,3.5,0.9,-0.2
"21","13","  Net domestic product","A362RL1",2.3,3.6,4.3,4.1,4.5,3.8,0.5,1.6,2.4,3.6,3,2.5,1.9,0
"22","14","  Net domestic income \3\","W256RL1",3.2,4,4.9,5,4.3,4.5,0.1,0.7,2,3.9,3.6,3.7,0.1,-0.9
"23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
