"","Table 3#9#1# Percent Change From Preceding Period in Real Govern","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Percent]                                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:50:13 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Government consumption expenditures and gross investment","A822RL1",0.6,1,1.9,2.1,3.6,2,3.8,4.7,2.2,1.4,0.3,1.4,1.7,3.1
"9","2","      Consumption expenditures \1\","A955RL1",0.2,0.4,1.7,1.8,2.8,1.8,3.7,4.5,2.2,1.4,0.6,1,1.4,3
"10","3","      Gross investment \2\","A782RL1",2.4,3.8,2.8,3.5,7.4,3.3,4.3,5.5,2.4,0.9,-0.8,3.3,3.2,3.4
"11","4","        Structures","A760RL1",3.6,4.1,4.6,-0.1,5.9,3.2,4.9,4.7,1.1,-2.6,-4.8,0.5,3.2,-0.1
"12","5","        Equipment and software","A871RL1",0.8,3.3,0,9.4,9.8,3.4,3.4,6.9,4.8,7.4,6.6,8.1,3.2,10.1
"13","6","Federal","A823RL1",-2.7,-1.2,-1,-1.1,1.9,0.5,4.1,7.3,6.6,4.1,1.3,2.1,1.3,7.7
"14","7","    Consumption expenditures","A957RL1",-2.9,-1.8,0.1,-2.1,1.3,1,4.3,6.7,6.6,3.9,0.8,1.4,0.8,6.7
"15","8","    Gross investment","A787RL1",-1.2,2.2,-7.2,5,5.7,-2.5,2.6,11.6,6.5,5.6,4.7,7.2,4.7,14
"16","9","      Structures","A801RL1",5.2,-2.4,-10.6,0.6,-6.4,-18.5,-5.1,14.6,8.6,-13,-11.3,3.7,16,10.3
"17","10","      Equipment and software","A872RL1",-2.9,3.6,-6.2,6.2,9.1,1.5,4.2,11,6,9.9,7.8,7.9,2.7,14.8
"18","11","  National defense","A824RL1",-3.7,-1.3,-2.8,-2.1,1.9,-0.5,3.8,7.4,8.7,5.7,1.5,1.6,2.2,7.8
"19","12","    Consumption expenditures","A997RL1",-3.6,-1.4,-1.5,-2.7,1.6,-0.9,3.6,6.5,8.6,5.2,1.1,0.8,1.6,6.5
"20","13","    Gross investment","A788RL1",-4.5,-0.9,-10.6,1.6,3.7,2.1,4.9,13.1,9.5,8.9,4.4,7,6.2,16.7
"21","14","      Structures","A808RL1",11.4,-8.6,-5.7,-7.2,-11.2,-4,-5,6.9,21.3,-7.7,-4.5,0,22.7,20.4
"22","15","      Equipment and software","A873RL1",-6.5,0.3,-11.3,3,5.9,2.9,6.1,13.8,8.1,11.1,5.4,7.8,4.3,16.2
"23","16","  Nondefense","A825RL1",-0.4,-0.8,2.7,0.8,2.1,2.4,4.6,7.2,2.8,1,0.9,3.2,-0.6,7.3
"24","17","    Consumption expenditures","A542RL1",-1.5,-2.5,3.5,-0.9,0.8,4.7,5.5,6.9,3.1,1.2,0.3,2.6,-0.9,7.2
"25","18","    Gross investment","A798RL1",5.8,8.3,-1.2,10.3,8.7,-9,-1,9,1.2,-0.4,5.3,7.8,1.6,8.3
"26","19","      Structures","A830RL1",1.7,1.4,-13.4,5.3,-3.8,-25.8,-5.1,19.6,1.1,-16.7,-16.6,7,10.4,0.9
"27","20","      Equipment and software","B880RL1",8.8,13,6.8,13.1,15.6,-0.9,0.6,5.1,1.2,7.1,13.7,8.1,-1.3,11.1
"28","21","State and local","A829RL1",2.7,2.3,3.6,3.9,4.5,2.8,3.7,3.3,-0.1,-0.2,-0.2,0.9,2,0.5
"29","22","  Consumption expenditures","A991RL1",2.3,1.8,2.7,4.2,3.6,2.2,3.4,3.3,-0.3,0,0.4,0.7,1.8,0.7
"30","23","  Gross investment","A799RL1",4.4,4.6,7.6,2.9,8.1,5.5,4.9,3.5,1,-0.9,-2.8,1.7,2.6,-0.6
"31","24","    Structures","A842RL1",3.4,5.1,6.7,-0.1,7.3,5.4,5.7,4,0.5,-1.7,-4.4,0.3,2.4,-0.9
"32","25","    Equipment and software","B881RL1",7.6,2.9,10.5,14,10.9,5.9,2.2,1.2,2.9,3.1,4.5,8.6,4.1,1.1
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","are valued at their cost of production.  Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
