"","Table 2#3#2# Contributions to Percent Change in Real Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:49:21 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Personal consumption expenditures","DPCERL1",2.7,3.5,3.7,5.2,5.5,5.1,2.7,2.7,2.8,3.5,3.4,2.9,2.6,-0.2
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","Goods","DGDSRZ2",1.09,1.62,1.72,2.41,2.83,1.9,1.12,1.42,1.58,1.54,1.4,1.13,1.08,-0.71
"12","3","  Durable goods","DDURRZ2",0.5,0.94,1.03,1.54,1.68,1.16,0.72,0.99,0.78,0.84,0.65,0.5,0.51,-0.52
"13","4","    Motor vehicles and parts","DMOTRZ2",-0.08,0.25,0.35,0.54,0.49,0.17,0.27,0.28,0.15,0.08,-0.02,-0.15,0.06,-0.54
"14","5","    Furnishings and durable household equipment","DFDHRZ2",0.13,0.13,0.13,0.24,0.33,0.29,0.15,0.22,0.19,0.24,0.17,0.16,0.06,-0.08
"15","6","    Recreational goods and vehicles","DREQRZ2",0.41,0.46,0.47,0.61,0.66,0.56,0.33,0.39,0.37,0.45,0.42,0.43,0.38,0.18
"16","7","    Other durable goods","DODGRZ2",0.04,0.1,0.08,0.15,0.19,0.14,-0.03,0.1,0.08,0.08,0.08,0.05,0.01,-0.07
"17","8","  Nondurable goods","DNDGRZ2",0.59,0.68,0.69,0.87,1.15,0.74,0.41,0.44,0.8,0.7,0.74,0.63,0.57,-0.19
"18","9","    Food and beverages purchased for off-premises consumption","DFXARZ2",0.05,0.09,0.08,0.1,0.32,0.18,0.09,0.02,0.17,0.21,0.3,0.24,0.16,0
"19","10","    Clothing and footwear","DCLORZ2",0.19,0.22,0.15,0.27,0.28,0.2,0.04,0.12,0.2,0.18,0.22,0.18,0.15,-0.01
"20","11","    Gasoline and other energy goods","DGOERZ2",0.05,0.04,0.05,0.09,0.07,-0.05,0.02,0.04,0.07,0.04,-0.02,-0.08,0.03,-0.18
"21","12","    Other nondurable goods","DONGRZ2",0.3,0.33,0.41,0.41,0.48,0.4,0.26,0.26,0.36,0.28,0.24,0.29,0.23,-0.01
"22","13","Services","DSERRZ2",1.61,1.87,1.97,2.84,2.64,3.17,1.58,1.24,1.23,1.92,1.96,1.76,1.57,0.46
"23","14","  Household consumption expenditures (for services)","DHCERZ2",1.52,1.74,2.13,2.64,2.48,2.99,1.4,1,1.1,1.93,2.01,1.52,1.47,0.23
"24","15","    Housing and utilities","DHUTRZ2",0.49,0.4,0.42,0.56,0.57,0.54,0.48,0.13,0.22,0.39,0.82,0.39,0.17,0.17
"25","16","    Health care","DHLCRZ2",0.3,0.3,0.44,0.46,0.22,0.47,0.68,0.83,0.33,0.47,0.55,0.27,0.39,0.44
"26","17","    Transportation services","DTRSRZ2",0.26,0.29,0.28,0.16,0.21,0.18,-0.04,-0.1,0.01,0.08,0.03,-0.01,0.04,-0.16
"27","18","    Recreation services","DRCARZ2",0.26,0.16,0.12,0.13,0.18,0.11,0,0.02,0.11,0.18,0.07,0.12,0.14,0
"28","19","    Food services and accommodations","DFSARZ2",0.02,0.04,0.14,0.16,0.15,0.27,-0.01,0.09,0.2,0.18,0.19,0.19,0.07,-0.02
"29","20","    Financial services and insurance","DIFSRZ2",0.04,0.28,0.26,0.5,0.67,0.8,-0.06,-0.03,-0.01,0.4,0.24,0.26,0.41,-0.14
