"","Table 5#1# Saving and Investment                                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:52:09 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Gross saving","A929RC1",1219,1344.4,1525.7,1654.4,1708,1800.1,1695.7,1560.9,1552.8,1724.2,1903.4,2174.4,2040.2,1824.1
"9","2","Net saving","W201RC1",349.6,431.8,561.9,633.9,613.6,615.8,439.4,255.9,198.7,291.4,362,513.7,280.2,-23
"10","3","  Net private saving","W202RC1",546.6,557.1,585.7,553.4,473,389.4,414.9,562.8,613.9,679.2,619.1,666.5,495,659.8
"11","4","    Personal saving","A071RC1",286.3,281.1,280.4,341.5,207.8,213.1,204.9,282.2,289.8,303.7,127.7,235,178.9,286.4
"12","5","    Undistributed corporate profits with inventory valuation and capital consumption adjustments","A127RC1",243.9,272.3,308.2,212.6,260.1,176.3,210,280.6,309.2,390.5,486.4,430.3,322.4,378.3
"13","6","      Undistributed profits","B057RC1",212.1,211.5,225.1,123.1,184.3,129.5,138.5,173.8,234.8,373,670.5,644.7,555.1,480.7
"14","7","      Inventory valuation adjustment","B058RC1",-18.3,3.1,14.1,15.7,-4,-16.8,8,-2.6,-11.3,-34.3,-30.7,-38,-44,-38.2
"15","8","      Capital consumption adjustment","A059RC1",50.2,57.7,69,73.8,79.7,63.6,63.4,109.4,85.6,51.8,-153.4,-176.4,-188.7,-64.1
"16","9","    Wage accruals less disbursements","B185RC1",16.4,3.6,-2.9,-0.7,5.2,0,0,0,15,-15,5,1.3,-6.3,-5
"17","10","  Net government saving","A922RC1",-197,-125.3,-23.8,80.5,140.6,226.5,24.6,-306.9,-415.2,-387.8,-257.1,-152.7,-214.8,-682.7
"18","11","    Federal","A923RC1",-206.2,-148.2,-60.1,33.6,98.8,185.2,40.5,-252.8,-376.4,-379.5,-283,-203.8,-236.5,-642.6
"19","12","    State and local","A924RC1",9.2,23,36.3,46.9,41.8,41.3,-15.9,-54.1,-38.8,-8.4,25.9,51,21.7,-40.2
"20","13","Consumption of fixed capital","A262RC1",869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1
"21","14","  Private","A024RC1",704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1469.6,1536.2
