"","Table 2#3#7# Percent Change from Preceding Period in Prices for ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Quarters seasonally adjusted at annual rates]                                                                                                                                                                                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:49:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8","1","    Personal consumption expenditures","DPCERV1",2.2,2.2,1.9,1,1.6,2.5,1.9,1.4,2,2.6,3,2.7,2.7,3.3
"9","2","Goods","DGDSRV1",0.9,1.1,-0.1,-1.5,0.5,2,-0.1,-1,-0.1,1.5,2.2,1.5,1.3,3.3
"10","3","  Durable goods","DDURRV1",0.7,-1,-2.2,-2.8,-2.7,-1.8,-2,-2.6,-3.5,-1.8,-1,-1.5,-1.8,-1.2
"11","4","    Motor vehicles and parts","DMOTRV1",4,2,0.4,-1.1,0.3,0.4,0.4,-0.5,-2.7,-0.7,1.6,0.1,-0.6,-1
"12","5","    Furnishings and durable household equipment","DFDHRV1",-0.2,0.3,-0.1,-0.1,-1.3,-0.7,-1.7,-2.1,-2.8,-1.2,0.1,-0.5,-0.8,-0.6
"13","6","    Recreational goods and vehicles","DREQRV1",-4.2,-7.1,-8.4,-8.4,-8.7,-6.3,-6.8,-6.5,-6.2,-4.8,-5.2,-5.8,-6.3,-4.5
"14","7","    Other durable goods","DODGRV1",1.7,-0.6,-1.4,-1.8,-2.5,-1.3,0.3,-1.8,-1.6,-0.2,-1.4,1.9,4.1,5.1
"15","8","  Nondurable goods","DNDGRV1",1,2.3,1,-0.7,2.5,4.3,1.1,-0.1,2.1,3.6,4,3.2,2.9,5.6
"16","9","    Food and beverages purchased for off-premises consumption","DFXARV1",2.2,3.1,1.9,1.3,1.6,2.3,2.9,1.5,1.9,3.1,1.8,1.7,3.8,6
"17","10","    Clothing and footwear","DCLORV1",-2.3,-1.2,0,-1.8,-1.3,-1.2,-2,-2.6,-2.5,-0.3,-0.9,-0.4,-0.9,-0.8
"18","11","    Gasoline and other energy goods","DGOERV1",1.3,6.8,0,-12.8,8.3,29.3,-3.5,-6.5,16.8,17.5,22.6,12.9,8.4,17.4
"19","12","    Other nondurable goods","DONGRV1",1.8,1.9,1,1.9,3.9,2.2,2.3,1.7,0.2,1.2,1.5,2.2,1.3,2.5
"20","13","Services","DSERRV1",3,2.8,3,2.4,2.2,2.8,3,2.7,3.2,3.2,3.4,3.4,3.4,3.4
"21","14","  Household consumption expenditures (for services)","DHCERV1",3.1,2.8,3,2.2,2.2,2.7,3,2.8,3.4,3.4,3.4,3.5,3.5,3.5
"22","15","    Housing and utilities","DHUTRV1",2.7,3,2.7,2.4,2.4,3.4,4.6,2.9,3.1,2.7,3.5,4.3,3.6,3.6
"23","16","    Health care","DHLCRV1",3.6,2.4,2,1.9,2.2,2.8,3.4,2.6,3.8,3.7,3.2,3,3.7,2.7
"24","17","    Transportation services","DTRSRV1",2.2,1.3,2.2,1.8,1.5,3,1.1,0.5,2.1,1.5,3.7,4.2,2.3,5.4
"25","18","    Recreation services","DRCARV1",2.2,3.3,3.2,2.5,3.2,3.9,3.3,2.9,3.1,2.6,2.8,3.4,2.8,3.1
"26","19","    Food services and accommodations","DFSARV1",2.4,2.7,3,2.7,2.6,2.8,2.8,2.4,2.1,3.3,3.2,3.4,3.9,4
"27","20","    Financial services and insurance","DIFSRV1",4,4,5.9,2.4,1,0.9,-0.6,2.7,4.5,5.5,3.6,2.3,4.3,3.1
"28","21","    Other services","DOTSRV1",3.3,2.9,2.8,2,2.4,1.9,3.1,3.9,3.7,3.4,3.8,3.4,2.9,4.2
"29","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRV1",0.1,1.8,4.2,6.6,3.6,5.5,4.6,0.8,-1.5,-0.4,4,2.1,1.4,1
"30","23","    Gross output of nonprofit institutions \2\","DNPERV1",2.8,2.7,2.6,3,2.7,3.9,3.8,3,3.2,3.3,4,3.6,3.1,2.7
"31","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRV1",3.7,3,2.1,2,2.5,3.4,3.5,3.8,5,4.6,4,4.1,3.7,3.3
"32",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","25","  Energy goods and services \4\","DNRGRV1",0.8,4.7,1.1,-8.5,4.1,18.4,2.4,-5.9,12.7,11.6,17.6,11.4,6.1,14.1
"34","26","  Personal consumption expenditures excluding food and energy \5\","DPCCRV1",2.3,1.9,1.9,1.4,1.5,1.7,1.8,1.7,1.5,2.1,2.3,2.3,2.4,2.4
"35","27","  Market-based personal consumption expenditures \6\","DPCMRV1",2,1.9,1.5,0.6,1.4,2.4,1.9,1.1,2,2.4,2.8,2.8,2.5,3.4
"36","28","  Market-based personal consumption expenditures excluding food and energy \6\","DPCXRV1",2.1,1.6,1.5,1.1,1.2,1.5,1.8,1.5,1.4,1.7,2,2.2,2.1,2.3
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Gross output is net of unrelated sales, secondary sales, and sales to business,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","to government, and to the rest of the world; excludes own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Excludes unrelated sales, secondary sales, and sales to business, to government,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","and to the rest of the world; includes membership dues and fees.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Consists of gasoline and other energy goods and of electricity and gas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","5. Food consists of food and beverages purchased for off-premises consumption;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","food services, which include purchased meals and beverages, are not classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. This index is a supplemental measure that is based on household expenditures for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","which there are observable price measures.  It excludes most implicit prices (for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
