"","Table 1#2#2# Contributions to Percent Change in Real Gross Domes","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","                                                                                                                                                                                                                                                          ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 31, 2009     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/10/2009 9:47:16 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"8",NA,"Percent change at annual rate:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","    Gross domestic product","A191RL1",2.5,3.7,4.5,4.4,4.8,4.1,1.1,1.8,2.5,3.6,3.1,2.7,2.1,0.4
"10",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2","       Final sales of domestic product","A190RY2",2.97,3.72,3.92,4.4,4.85,4.19,2,1.34,2.43,3.15,3.18,2.6,2.45,0.81
"12","3","       Change in private inventories","A014RY2",-0.46,0.02,0.54,-0.05,-0.02,-0.05,-0.92,0.48,0.06,0.42,-0.13,0.07,-0.3,-0.37
"13","4","Goods","A353RY2",1.18,1.74,2.48,1.86,2.23,1.54,-0.5,0.51,0.98,1.44,1.22,1.4,1.01,0.11
"14","5","    Final sales","A325RY2",1.63,1.72,1.94,1.91,2.24,1.59,0.42,0.04,0.93,1.02,1.35,1.33,1.32,0.48
"15","6","    Change in private inventories","A014RY2",-0.46,0.02,0.54,-0.05,-0.02,-0.05,-0.92,0.48,0.06,0.42,-0.13,0.07,-0.3,-0.37
"16","7","  Durable goods","A354RY2",1.19,1.22,1.98,1.66,1.71,1.32,-0.54,0.41,0.54,0.97,0.94,0.76,0.71,0.2
"17","8","    Final sales","A326RY2",1.22,1.4,1.67,1.64,1.71,1.33,0.26,-0.18,0.58,0.76,0.96,0.84,0.85,0.18
"18","9","    Change in private inventories \1\","A355RY2",-0.03,-0.19,0.3,0.02,-0.01,-0.01,-0.8,0.59,-0.04,0.21,-0.02,-0.08,-0.13,0.02
"19","10","  Nondurable goods","A356RY2",-0.01,0.52,0.5,0.2,0.52,0.23,0.04,0.11,0.44,0.47,0.28,0.64,0.3,-0.09
"20","11","    Final sales","A334RY2",0.42,0.32,0.27,0.27,0.53,0.27,0.16,0.22,0.35,0.26,0.39,0.49,0.47,0.3
"21","12","    Change in private inventories \1\","A357RY2",-0.43,0.2,0.24,-0.07,-0.01,-0.04,-0.12,-0.11,0.09,0.21,-0.1,0.15,-0.17,-0.39
"22","13","Services \2\","A341RY2",1.24,1.44,1.6,2.02,2.22,2.26,1.51,1.54,1.19,1.65,1.54,1.45,1.61,0.94
"23","14","Structures","A755RY2",0.09,0.56,0.38,0.47,0.38,0.34,0.07,-0.24,0.31,0.49,0.3,-0.18,-0.49,-0.61
"24",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","  Motor vehicle output","A953RY2",0,0.07,0.31,0.31,0.37,-0.06,-0.16,0.39,0.04,0.14,0.13,-0.04,-0.04,-0.52
"26","16","  Gross domestic product excluding motor vehicle output","A962RY2",2.52,3.67,4.15,4.04,4.46,4.2,1.24,1.43,2.45,3.44,2.92,2.71,2.18,0.96
"27","17","  Final sales of computers \3\","BB01RY2",0.42,0.5,0.49,0.42,0.41,0.3,0.13,0.03,0.12,0.03,0.11,0.14,0.13,0.12
"28","18","  Gross domestic product excluding final sales of computers","BB00RY2",2.09,3.24,3.96,3.93,4.41,3.84,0.95,1.79,2.37,3.54,2.94,2.53,2.02,0.32
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
