"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","99,378.0","96,361.0","93,611.0","88,534.0","80,570.0","84,419.0","84,609.0","80,426.0","92,748.0","94,557.0","96,747.0","100,244.0","106,241.0","107,851.0","112,121.0","119,487.0","126,004.0","122,829.0","123,193.0","125,994.0","118,795.0","117,362.0","114,080.0","110,269.0","111,756.0","124,503.0","144,814.0","152,167.0","164,859.0","160,343.0","160,867.0","160,350.0","170,260.0","191,456.0","206,178.0","199,476.0","192,484.0","220,218.0","225,081.0","235,925.0","226,079.0","228,042.0","226,214.0","221,079.0","216,504.0","186,340.0","192,622.0","210,225.0","220,979.0","217,165.0","235,366.0","219,562.0","197,257.0","211,598.0","210,103.0","203,906.0","225,212.0","256,137.0","273,326.0","284,649.0","311,526.0","323,195.0","316,599.0","323,107.0","325,605.0","327,365.0","346,000.0","331,210.0","324,395.0","315,088.0","307,518.0","309,502.0","323,321.0","363,124.0","389,709.0","395,214.0"
"21","2","Domestic industries","A445RC1","93,118.0","89,925.0","86,863.0","81,598.0","73,370.0","77,039.0","77,321.0","73,894.0","85,272.0","86,597.0","88,995.0","92,012.0","97,376.0","98,763.0","102,193.0","109,232.0","113,520.0","108,784.0","106,789.0","109,334.0","99,583.0","99,198.0","97,055.0","94,793.0","97,896.0","111,152.0","130,446.0","135,223.0","148,847.0","143,760.0","144,471.0","143,150.0","151,112.0","172,276.0","186,418.0","181,113.0","170,048.0","200,538.0","202,613.0","209,033.0","198,311.0","195,262.0","187,230.0","182,168.0","176,256.0","149,488.0","157,729.0","180,333.0","190,839.0","189,661.0","207,882.0","185,974.0","165,649.0","177,991.0","178,971.0","169,923.0","192,288.0","221,793.0","238,331.0","246,677.0","276,918.0","286,751.0","278,759.0","285,734.0","290,049.0","287,441.0","310,223.0","290,046.0","282,535.0","276,636.0","268,170.0","271,266.0","282,017.0","314,656.0","341,953.0","340,694.0"
"22","3","  Financial","A587RC1","13,560.0","13,267.0","13,257.0","13,856.0","13,962.0","14,192.0","15,683.0","16,911.0","16,439.0","16,856.0","18,164.0","18,116.0","18,862.0","19,313.0","18,746.0","19,411.0","20,280.0","20,900.0","20,618.0","20,926.0","20,107.0","19,956.0","20,796.0","19,912.0","20,054.0","19,324.0","18,983.0","20,563.0","22,469.0","23,401.0","24,569.0","25,946.0","27,869.0","30,090.0","31,818.0","33,716.0","35,275.0","38,324.0","40,351.0","41,122.0","39,865.0","40,335.0","38,553.0","37,116.0","34,046.0","30,823.0","28,699.0","31,263.0","29,926.0","27,382.0","25,653.0","24,075.0","18,264.0","21,165.0","23,526.0","28,661.0","32,980.0","35,808.0","32,976.0","32,552.0","32,624.0","32,044.0","30,323.0","33,798.0","41,046.0","43,599.0","46,286.0","48,266.0","55,073.0","57,758.0","54,568.0","53,365.0","51,462.0","60,031.0","64,528.0","63,673.0"
"23","4","  Nonfinancial","A463RC1","79,558.0","76,658.0","73,606.0","67,742.0","59,408.0","62,847.0","61,638.0","56,983.0","68,833.0","69,741.0","70,831.0","73,896.0","78,514.0","79,450.0","83,447.0","89,821.0","93,240.0","87,884.0","86,171.0","88,408.0","79,476.0","79,242.0","76,259.0","74,881.0","77,842.0","91,828.0","111,463.0","114,660.0","126,378.0","120,359.0","119,902.0","117,204.0","123,243.0","142,186.0","154,600.0","147,397.0","134,773.0","162,214.0","162,262.0","167,911.0","158,446.0","154,927.0","148,677.0","145,052.0","142,210.0","118,665.0","129,030.0","149,070.0","160,913.0","162,279.0","182,229.0","161,899.0","147,384.0","156,825.0","155,445.0","141,262.0","159,308.0","185,985.0","205,355.0","214,125.0","244,294.0","254,708.0","248,437.0","251,937.0","249,003.0","243,842.0","263,937.0","241,779.0","227,462.0","218,878.0","213,602.0","217,901.0","230,555.0","254,625.0","277,425.0","277,021.0"
"24","5","Rest of the world","B394RC1","6,260.0","6,436.0","6,748.0","6,936.0","7,200.0","7,380.0","7,288.0","6,532.0","7,476.0","7,960.0","7,752.0","8,232.0","8,864.0","9,088.0","9,928.0","10,256.0","12,484.0","14,044.0","16,404.0","16,660.0","19,212.0","18,164.0","17,024.0","15,476.0","13,860.0","13,352.0","14,368.0","16,944.0","16,012.0","16,584.0","16,396.0","17,200.0","19,148.0","19,180.0","19,760.0","18,364.0","22,436.0","19,680.0","22,468.0","26,892.0","27,768.0","32,780.0","38,984.0","38,912.0","40,248.0","36,852.0","34,892.0","29,892.0","30,140.0","27,504.0","27,484.0","33,588.0","31,608.0","33,608.0","31,132.0","33,984.0","32,924.0","34,344.0","34,996.0","37,972.0","34,608.0","36,444.0","37,840.0","37,372.0","35,556.0","39,924.0","35,776.0","41,164.0","41,860.0","38,452.0","39,348.0","38,236.0","41,304.0","48,468.0","47,756.0","54,520.0"
"25","6","  Receipts from the rest of the world","B933RC1","7,676.0","7,872.0","8,220.0","8,420.0","8,692.0","8,912.0","8,856.0","8,164.0","9,168.0","9,916.0","9,788.0","10,252.0","10,688.0","11,400.0","12,120.0","12,796.0","15,104.0","16,844.0","19,016.0","19,336.0","21,980.0","21,012.0","20,180.0","18,420.0","16,764.0","16,596.0","18,032.0","20,232.0","20,424.0","20,832.0","20,820.0","21,676.0","23,292.0","23,832.0","24,588.0","23,448.0","27,024.0","26,272.0","29,128.0","33,580.0","34,896.0","40,816.0","47,396.0","47,132.0","48,792.0","45,260.0","43,408.0","37,920.0","38,144.0","36,812.0","37,236.0","40,120.0","37,068.0","37,268.0","34,736.0","37,604.0","37,268.0","39,324.0","42,472.0","45,348.0","44,584.0","46,416.0","46,564.0","46,848.0","45,096.0","48,380.0","44,764.0","48,980.0","50,372.0","49,708.0","47,304.0","47,488.0","53,032.0","59,040.0","60,680.0","62,940.0"
"26","7","  Less:  Payments to the rest of the world","B934RC1","1,416.0","1,436.0","1,472.0","1,484.0","1,492.0","1,532.0","1,568.0","1,632.0","1,692.0","1,956.0","2,036.0","2,020.0","1,824.0","2,312.0","2,192.0","2,540.0","2,620.0","2,800.0","2,612.0","2,676.0","2,768.0","2,848.0","3,156.0","2,944.0","2,904.0","3,244.0","3,664.0","3,288.0","4,412.0","4,248.0","4,424.0","4,476.0","4,144.0","4,652.0","4,828.0","5,084.0","4,588.0","6,592.0","6,660.0","6,688.0","7,128.0","8,036.0","8,412.0","8,220.0","8,544.0","8,408.0","8,516.0","8,028.0","8,004.0","9,308.0","9,752.0","6,532.0","5,460.0","3,660.0","3,604.0","3,620.0","4,344.0","4,980.0","7,476.0","7,376.0","9,976.0","9,972.0","8,724.0","9,476.0","9,540.0","8,456.0","8,988.0","7,816.0","8,512.0","11,256.0","7,956.0","9,252.0","11,728.0","10,572.0","12,924.0","8,420.0"
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","90,288.0","87,260.0","84,560.0","79,896.0","72,532.0","76,636.0","76,728.0","71,864.0","84,972.0","86,786.0","88,933.0","92,489.0","97,172.0","98,145.0","102,114.0","109,025.0","116,232.0","113,481.0","114,790.0","117,109.0","111,220.0","110,859.0","108,640.0","107,503.0","111,186.0","125,555.0","147,492.0","155,759.0","168,870.0","164,714.0","164,937.0","163,982.0","174,032.0","194,577.0","208,548.0","202,089.0","195,776.0","224,054.0","229,329.0","240,549.0","231,192.0","233,985.0","233,259.0","229,546.0","226,347.0","196,854.0","202,926.0","219,508.0","222,407.0","213,789.0","226,910.0","213,358.0","186,849.0","199,155.0","193,888.0","184,536.0","197,416.0","223,483.0","236,013.0","249,304.0","273,321.0","269,356.0","257,536.0","258,302.0","252,752.0","251,506.0","269,411.0","256,271.0","258,758.0","253,457.0","248,615.0","251,257.0","263,306.0","302,051.0","328,120.0","333,963.0"
"28","9","Domestic industries","A390RC1","84,028.0","80,824.0","77,812.0","72,960.0","65,332.0","69,256.0","69,440.0","65,332.0","77,495.0","78,826.0","81,181.0","84,258.0","88,307.0","89,058.0","92,184.0","98,769.0","103,748.0","99,435.0","98,386.0","100,449.0","92,008.0","92,694.0","91,617.0","92,028.0","97,326.0","112,204.0","133,123.0","138,815.0","152,857.0","148,131.0","148,541.0","146,782.0","154,882.0","175,397.0","188,787.0","183,726.0","173,341.0","204,375.0","206,861.0","213,657.0","203,425.0","201,205.0","194,275.0","190,634.0","186,099.0","160,002.0","168,034.0","189,616.0","192,267.0","186,285.0","199,426.0","179,771.0","155,242.0","165,548.0","162,757.0","150,550.0","164,490.0","189,137.0","201,018.0","211,332.0","238,713.0","232,911.0","219,694.0","220,928.0","217,196.0","211,583.0","233,635.0","215,109.0","216,896.0","215,003.0","209,267.0","213,020.0","222,005.0","253,583.0","280,365.0","279,445.0"
"29","10","  Financial","A392RC1","13,644.0","13,356.0","13,360.0","14,000.0","14,152.0","14,400.0","15,884.0","17,072.0","16,656.0","17,102.0","18,410.0","18,331.0","19,014.0","19,412.0","18,789.0","19,397.0","20,199.0","20,748.0","20,441.0","20,732.0","19,938.0","19,855.0","20,794.0","20,036.0","20,328.0","19,741.0","19,525.0","21,218.0","23,207.0","24,223.0","25,469.0","26,930.0","28,917.0","31,156.0","32,883.0","34,741.0","36,218.0","39,106.0","41,036.0","41,832.0","40,739.0","41,499.0","40,096.0","39,091.0","36,490.0","33,607.0","31,641.0","34,205.0","32,446.0","29,676.0","27,872.0","26,422.0","21,437.0","24,439.0","26,715.0","31,603.0","35,125.0","37,749.0","34,838.0","34,444.0","34,931.0","34,362.0","32,534.0","35,783.0","42,417.0","44,675.0","47,233.0","49,253.0","56,376.0","59,295.0","56,263.0","55,102.0","52,983.0","61,462.0","66,123.0","65,670.0"
"30","11","    Federal Reserve banks","B397RC1","2,812.0","3,016.0","3,132.0","3,340.0","3,424.0","3,532.0","3,608.0","3,540.0","3,396.0","3,208.0","3,320.0","3,324.0","3,340.0","3,308.0","3,296.0","3,432.0","3,840.0","4,308.0","4,748.0","5,008.0","5,268.0","5,608.0","5,940.0","5,908.0","5,692.0","5,620.0","5,428.0","5,700.0","5,868.0","5,792.0","5,864.0","5,964.0","5,912.0","6,068.0","6,128.0","6,328.0","6,812.0","7,272.0","7,920.0","8,576.0","8,620.0","9,028.0","9,576.0","10,508.0","11,616.0","12,344.0","11,140.0","12,092.0","13,276.0","13,964.0","14,932.0","15,400.0","15,284.0","15,704.0","15,372.0","14,621.0","14,161.0","14,233.0","14,748.0","15,202.0","15,651.0","15,999.0","16,888.0","17,193.0","16,555.0","16,591.0","16,270.0","15,969.0","15,990.0","15,426.0","15,256.0","15,392.0","15,470.0","16,278.0","16,556.0","16,684.0"
"31","12","    Other","B398RC1","10,832.0","10,340.0","10,228.0","10,660.0","10,728.0","10,868.0","12,276.0","13,532.0","13,260.0","13,894.0","15,090.0","15,007.0","15,674.0","16,104.0","15,493.0","15,965.0","16,359.0","16,440.0","15,693.0","15,724.0","14,670.0","14,247.0","14,854.0","14,128.0","14,636.0","14,121.0","14,097.0","15,518.0","17,339.0","18,431.0","19,605.0","20,966.0","23,005.0","25,088.0","26,755.0","28,413.0","29,406.0","31,834.0","33,116.0","33,256.0","32,119.0","32,471.0","30,520.0","28,583.0","24,874.0","21,263.0","20,501.0","22,113.0","19,170.0","15,712.0","12,940.0","11,022.0","6,153.0","8,735.0","11,343.0","16,982.0","20,964.0","23,516.0","20,090.0","19,242.0","19,280.0","18,363.0","15,646.0","18,590.0","25,862.0","28,084.0","30,963.0","33,284.0","40,386.0","43,869.0","41,007.0","39,710.0","37,513.0","45,184.0","49,567.0","48,986.0"
"32","13","  Nonfinancial","A399RC1","70,384.0","67,468.0","64,452.0","58,960.0","51,180.0","54,856.0","53,556.0","48,260.0","60,839.0","61,724.0","62,771.0","65,927.0","69,293.0","69,646.0","73,395.0","79,372.0","83,549.0","78,687.0","77,945.0","79,717.0","72,070.0","72,839.0","70,823.0","71,992.0","76,998.0","92,463.0","113,598.0","117,597.0","129,650.0","123,908.0","123,072.0","119,852.0","125,965.0","144,241.0","155,904.0","148,985.0","137,123.0","165,269.0","165,825.0","171,825.0","162,686.0","159,706.0","154,179.0","151,543.0","149,609.0","126,395.0","136,393.0","155,411.0","159,821.0","156,609.0","171,554.0","153,349.0","133,805.0","141,109.0","136,042.0","118,947.0","129,365.0","151,388.0","166,180.0","176,888.0","203,782.0","198,549.0","187,160.0","185,145.0","174,779.0","166,908.0","186,402.0","165,856.0","160,520.0","155,708.0","153,004.0","157,918.0","169,022.0","192,121.0","214,242.0","213,775.0"
"33","14","    Manufacturing","A400RC1","41,668.0","38,228.0","36,376.0","32,908.0","26,740.0","30,556.0","29,040.0","23,628.0","33,874.0","35,193.0","34,037.0","37,252.0","40,072.0","40,422.0","42,525.0","45,935.0","49,987.0","48,289.0","45,482.0","45,220.0","42,050.0","40,427.0","43,579.0","39,566.0","37,988.0","50,658.0","65,641.0","66,477.0","75,604.0","72,333.0","70,476.0","67,084.0","70,542.0","78,930.0","83,056.0","85,018.0","75,726.0","94,365.0","94,824.0","97,107.0","96,487.0","91,016.0","87,151.0","84,511.0","89,569.0","67,915.0","70,659.0","85,098.0","93,033.0","92,005.0","100,702.0","78,645.0","67,313.0","70,711.0","74,224.0","56,008.0","60,932.0","69,807.0","81,862.0","92,314.0","101,193.0","96,058.0","85,972.0","84,051.0","78,769.0","79,739.0","92,793.0","86,087.0","63,147.0","57,287.0","46,586.0","64,724.0","63,819.0","81,201.0","101,416.0","103,760.0"
"34","15","      Durable goods","A406RC1","22,996.0","19,740.0","17,996.0","15,884.0","10,044.0","13,072.0","11,748.0","7,104.0","15,923.0","16,882.0","15,412.0","18,307.0","21,174.0","22,390.0","22,641.0","25,428.0","28,301.0","26,553.0","24,323.0","21,567.0","18,176.0","14,155.0","14,567.0","14,412.0","12,348.0","17,450.0","26,951.0","25,835.0","32,652.0","31,995.0","30,917.0","30,216.0","33,597.0","36,862.0","38,761.0","42,729.0","37,026.0","48,801.0","47,438.0","48,365.0","46,659.0","41,323.0","32,757.0","28,073.0","25,912.0","10,314.0","14,571.0","24,604.0","26,132.0","25,068.0","17,912.0","8,813.0","3,910.0","10,772.0","9,332.0","-4,185.0","9,088.0","14,476.0","22,864.0","31,614.0","44,266.0","37,759.0","38,376.0","36,654.0","28,929.0","30,676.0","31,102.0","28,276.0","25,705.0","25,167.0","23,037.0","31,220.0","39,329.0","41,639.0","45,637.0","38,705.0"
"35","16","        Primary metal industries","A407RC1","1,532.0","1,464.0","1,144.0","1,572.0","856.0","756.0","920.0","712.0","1,657.0","1,909.0","-700.0","502.0","1,364.0","1,715.0","1,630.0","2,242.0","2,307.0","2,065.0","2,153.0","2,819.0","3,342.0","4,339.0","6,543.0","5,780.0","5,471.0","1,769.0","1,655.0","2,129.0","3,066.0","2,291.0","1,885.0","1,066.0","1,079.0","1,125.0","471.0","1,577.0","1,176.0","4,449.0","4,249.0","4,471.0","3,580.0","4,585.0","4,318.0","1,787.0","3,965.0","3,257.0","108.0","3,583.0","6,116.0","3,588.0","2,654.0","178.0","-3,479.0","-5,932.0","-4,540.0","-4,825.0","-4,716.0","-5,936.0","-4,552.0","-4,432.0","-1,748.0","744.0","124.0","-740.0","-1,391.0","-2,155.0","624.0","-742.0","296.0","1,176.0","368.0","1,635.0","2,622.0","1,420.0","3,032.0","3,419.0"
"36","17","        Fabricated metal products","A408RC1","2,260.0","2,120.0","1,620.0","2,044.0","1,236.0","1,036.0","1,100.0","1,088.0","1,318.0","1,423.0","1,736.0","1,375.0","1,978.0","2,092.0","2,188.0","2,436.0","2,626.0","2,689.0","2,471.0","2,846.0","2,325.0","1,804.0","856.0","2,100.0","2,128.0","3,084.0","4,264.0","3,560.0","4,175.0","4,044.0","3,688.0","3,765.0","4,282.0","4,363.0","4,687.0","4,786.0","4,076.0","5,147.0","5,232.0","5,417.0","5,325.0","5,426.0","5,014.0","5,297.0","5,710.0","2,512.0","4,135.0","5,243.0","4,568.0","5,468.0","4,856.0","3,060.0","3,732.0","3,148.0","2,772.0","1,304.0","2,292.0","2,444.0","3,036.0","4,820.0","5,055.0","4,463.0","4,144.0","5,201.0","4,775.0","5,106.0","5,340.0","4,280.0","5,429.0","5,575.0","4,981.0","4,699.0","4,424.0","4,561.0","6,693.0","6,425.0"
"37","18","        Machinery,except electrical","A409RC1","4,092.0","4,108.0","3,612.0","3,200.0","3,040.0","2,820.0","3,256.0","3,208.0","2,830.0","2,861.0","2,964.0","3,609.0","4,277.0","4,369.0","4,952.0","4,636.0","5,624.0","5,327.0","4,587.0","4,115.0","4,215.0","3,508.0","2,823.0","2,835.0","3,272.0","4,901.0","6,092.0","6,087.0","6,749.0","6,993.0","6,872.0","6,994.0","7,534.0","8,226.0","8,512.0","10,022.0","8,899.0","12,463.0","9,430.0","11,837.0","10,095.0","9,656.0","9,701.0","8,625.0","8,372.0","7,761.0","7,778.0","8,225.0","9,581.0","9,196.0","9,113.0","7,966.0","7,401.0","2,896.0","1,944.0","96.0","1,560.0","3,412.0","4,976.0","6,099.0","6,555.0","6,443.0","5,536.0","5,587.0","4,366.0","6,657.0","6,443.0","5,185.0","1,289.0","698.0","-70.0","1,338.0","3,251.0","4,454.0","7,550.0","6,989.0"
