"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Gross domestic product","A191RC1","237,153.0","240,401.0","244,490.0","254,322.0","260,304.0","267,268.0","273,789.0","275,111.0","269,939.0","266,196.0","267,629.0","265,162.0","275,195.0","284,515.0","301,928.0","313,326.0","328,966.0","336,629.0","343,513.0","347,929.0","351,208.0","352,137.0","358,496.0","371,360.0","378,365.0","381,958.0","381,099.0","375,883.0","375,249.0","375,957.0","380,791.0","389,426.0","402,577.0","410,871.0","419,446.0","425,984.0","428,278.0","434,157.0","439,191.0","448,082.0","457,167.0","459,163.0","466,391.0","461,507.0","453,931.0","458,039.0","471,719.0","484,983.0","495,480.0","508,481.0","509,312.0","513,238.0","526,972.0","526,165.0","528,961.0","523,652.0","527,967.0","539,035.0","549,450.0","562,580.0","576,050.0","583,229.0","590,022.0","593,322.0","602,455.0","611,175.0","623,932.0","633,460.0","649,619.0","658,855.0","670,468.0","675,614.0","695,674.0","708,148.0","725,191.0","747,455.0","770,755.0","779,925.0","793,148.0","806,926.0","817,766.0","822,304.0","836,998.0","852,701.0","879,784.0","904,093.0","919,264.0","936,219.0","960,878.0","976,099.0","996,303.0"
"21","2","Business \1\","A195RC1","195,410.0","198,910.0","204,028.0","213,877.0","219,450.0","226,074.0","231,383.0","232,005.0","225,884.0","221,954.0","223,474.0","220,395.0","230,564.0","239,505.0","255,331.0","263,945.0","276,450.0","281,886.0","286,435.0","289,416.0","290,842.0","290,137.0","294,962.0","306,974.0","312,901.0","315,217.0","313,931.0","308,187.0","306,964.0","306,268.0","310,065.0","317,220.0","329,737.0","336,378.0","343,516.0","348,532.0","349,597.0","353,956.0","357,108.0","364,666.0","372,287.0","372,687.0","378,278.0","372,677.0","363,428.0","365,317.0","377,217.0","389,378.0","398,685.0","410,368.0","409,723.0","411,890.0","423,514.0","420,526.0","421,322.0","414,270.0","417,190.0","427,002.0","435,619.0","445,934.0","457,081.0","462,597.0","467,534.0","468,478.0","475,612.0","482,547.0","493,541.0","500,329.0","514,082.0","521,125.0","530,585.0","533,676.0","552,057.0","561,936.0","575,356.0","593,350.0","613,498.0","619,251.0","627,369.0","637,081.0","644,507.0","645,862.0","656,648.0","667,538.0","690,297.0","710,309.0","720,101.0","733,281.0","754,157.0","764,648.0","777,126.0"
"22","3","  Nonfarm \2\","A358RC1","175,103.0","181,885.0","185,129.0","193,871.0","199,550.0","202,524.0","208,181.0","210,258.0","207,504.0","204,083.0","206,281.0","203,501.0","212,861.0","221,603.0","236,220.0","243,759.0","255,250.0","259,987.0","264,903.0","267,404.0","270,541.0","269,066.0","272,573.0","287,586.0","293,262.0","296,331.0","295,680.0","290,269.0","287,823.0","288,053.0","291,761.0","300,095.0","312,325.0","318,507.0","326,209.0","332,036.0","332,848.0","337,050.0","339,810.0","347,346.0","355,869.0","355,876.0","360,999.0","355,510.0","343,791.0","345,654.0","358,232.0","371,315.0","380,641.0","393,429.0","393,008.0","394,329.0","406,500.0","402,553.0","402,744.0","395,152.0","398,142.0","409,344.0","417,694.0","427,235.0","438,123.0","444,224.0","449,620.0","450,076.0","456,626.0","464,222.0","475,293.0","481,916.0","496,912.0","504,037.0","513,653.0","515,507.0","532,950.0","542,056.0","555,227.0","572,701.0","590,710.0","598,963.0","607,253.0","616,966.0","624,327.0","626,326.0","636,128.0","647,298.0","670,053.0","690,473.0","699,376.0","712,105.0","733,216.0","742,270.0","753,819.0"
"23","4","  Farm","B359RC1","20,307.0","17,025.0","18,899.0","20,006.0","19,900.0","23,550.0","23,202.0","21,747.0","18,380.0","17,871.0","17,193.0","16,894.0","17,703.0","17,902.0","19,111.0","20,186.0","21,200.0","21,899.0","21,532.0","22,012.0","20,301.0","21,071.0","22,389.0","19,388.0","19,639.0","18,886.0","18,251.0","17,918.0","19,141.0","18,215.0","18,304.0","17,125.0","17,412.0","17,871.0","17,307.0","16,496.0","16,749.0","16,906.0","17,298.0","17,320.0","16,418.0","16,811.0","17,279.0","17,167.0","19,637.0","19,663.0","18,985.0","18,063.0","18,044.0","16,939.0","16,715.0","17,561.0","17,014.0","17,973.0","18,578.0","19,118.0","19,048.0","17,658.0","17,925.0","18,699.0","18,958.0","18,373.0","17,914.0","18,402.0","18,986.0","18,325.0","18,248.0","18,413.0","17,170.0","17,088.0","16,932.0","18,169.0","19,107.0","19,880.0","20,129.0","20,649.0","22,788.0","20,288.0","20,116.0","20,115.0","20,180.0","19,536.0","20,520.0","20,240.0","20,244.0","19,836.0","20,725.0","21,176.0","20,941.0","22,378.0","23,307.0"
"24","5","Households and institutions","A193RC1","12,312.0","13,053.0","13,590.0","13,845.0","14,038.0","14,479.0","14,993.0","15,154.0","15,466.0","15,800.0","15,989.0","16,705.0","17,102.0","17,424.0","17,930.0","18,590.0","19,246.0","19,625.0","20,123.0","20,732.0","21,237.0","21,801.0","22,531.0","23,009.0","23,668.0","24,401.0","25,043.0","25,346.0","25,780.0","26,366.0","26,979.0","27,978.0","28,284.0","28,963.0","29,767.0","30,658.0","30,977.0","31,501.0","32,342.0","33,049.0","33,602.0","34,284.0","35,037.0","35,611.0","36,390.0","37,481.0","37,909.0","38,419.0","39,210.0","40,089.0","41,091.0","42,301.0","43,139.0","44,176.0","44,958.0","45,909.0","46,437.0","46,803.0","47,460.0","48,642.0","49,547.0","50,500.0","51,547.0","52,543.0","53,137.0","53,828.0","54,617.0","55,474.0","56,391.0","57,354.0","58,045.0","58,971.0","59,794.0","61,068.0","62,456.0","63,898.0","64,700.0","65,628.0","67,378.0","68,824.0","69,990.0","71,145.0","72,393.0","73,676.0","75,037.0","76,539.0","78,246.0","80,205.0","82,007.0","84,133.0","86,459.0"
"25","6","  Households","B701RC1","9,190.0","9,500.0","9,960.0","10,166.0","10,270.0","10,506.0","10,796.0","10,952.0","11,119.0","11,375.0","11,627.0","12,183.0","12,514.0","12,752.0","13,181.0","13,483.0","14,081.0","14,388.0","14,905.0","15,149.0","15,386.0","16,184.0","16,900.0","17,121.0","17,434.0","18,120.0","18,714.0","19,018.0","19,265.0","19,698.0","20,163.0","20,848.0","21,289.0","21,637.0","22,272.0","22,926.0","23,285.0","23,623.0","24,139.0","24,546.0","24,968.0","25,509.0","26,079.0","26,502.0","26,882.0","27,715.0","28,158.0","28,559.0","28,998.0","29,652.0","30,399.0","31,170.0","31,634.0","32,234.0","32,847.0","33,507.0","33,987.0","34,186.0","34,653.0","35,507.0","36,092.0","36,621.0","37,348.0","38,084.0","38,421.0","38,796.0","39,340.0","39,783.0","40,263.0","41,013.0","41,443.0","41,946.0","42,442.0","43,182.0","44,033.0","44,843.0","45,294.0","45,605.0","46,572.0","47,515.0","48,129.0","48,724.0","49,385.0","50,178.0","50,747.0","51,520.0","52,240.0","53,150.0","54,237.0","55,412.0","56,544.0"
"26","7","  Nonprofit institutions serving households \3\","B702RC1","3,122.0","3,553.0","3,630.0","3,679.0","3,768.0","3,973.0","4,197.0","4,202.0","4,347.0","4,425.0","4,362.0","4,522.0","4,588.0","4,672.0","4,749.0","5,107.0","5,165.0","5,237.0","5,218.0","5,583.0","5,851.0","5,617.0","5,631.0","5,888.0","6,234.0","6,281.0","6,329.0","6,328.0","6,515.0","6,668.0","6,816.0","7,130.0","6,995.0","7,326.0","7,495.0","7,732.0","7,692.0","7,878.0","8,203.0","8,503.0","8,634.0","8,775.0","8,958.0","9,109.0","9,508.0","9,766.0","9,751.0","9,860.0","10,212.0","10,437.0","10,692.0","11,131.0","11,505.0","11,942.0","12,111.0","12,402.0","12,450.0","12,617.0","12,807.0","13,135.0","13,455.0","13,879.0","14,199.0","14,459.0","14,716.0","15,032.0","15,277.0","15,691.0","16,128.0","16,341.0","16,602.0","17,025.0","17,352.0","17,886.0","18,423.0","19,055.0","19,406.0","20,023.0","20,806.0","21,309.0","21,861.0","22,421.0","23,008.0","23,498.0","24,290.0","25,019.0","26,006.0","27,055.0","27,770.0","28,721.0","29,915.0"
"27","8","General government \4\","A765RC1","29,431.0","28,438.0","26,872.0","26,600.0","26,816.0","26,715.0","27,413.0","27,952.0","28,589.0","28,442.0","28,166.0","28,062.0","27,529.0","27,586.0","28,667.0","30,791.0","33,270.0","35,118.0","36,955.0","37,781.0","39,129.0","40,199.0","41,003.0","41,377.0","41,796.0","42,340.0","42,125.0","42,350.0","42,505.0","43,323.0","43,747.0","44,228.0","44,556.0","45,530.0","46,163.0","46,794.0","47,704.0","48,700.0","49,741.0","50,367.0","51,278.0","52,192.0","53,076.0","53,219.0","54,113.0","55,241.0","56,593.0","57,186.0","57,585.0","58,024.0","58,498.0","59,047.0","60,319.0","61,463.0","62,681.0","63,473.0","64,340.0","65,230.0","66,371.0","68,004.0","69,422.0","70,132.0","70,941.0","72,301.0","73,706.0","74,800.0","75,774.0","77,657.0","79,146.0","80,376.0","81,838.0","82,967.0","83,823.0","85,144.0","87,379.0","90,207.0","92,557.0","95,046.0","98,401.0","101,021.0","103,269.0","105,297.0","107,957.0","111,487.0","114,450.0","117,245.0","120,917.0","122,733.0","124,714.0","127,318.0","132,718.0"
"28","9","  Federal","A766RC1","21,084.0","19,824.0","17,976.0","17,304.0","17,180.0","16,808.0","17,032.0","17,168.0","17,688.0","17,460.0","16,924.0","16,720.0","16,112.0","15,984.0","16,732.0","18,540.0","20,612.0","22,168.0","23,580.0","24,052.0","25,224.0","26,008.0","26,388.0","26,472.0","26,556.0","26,916.0","26,540.0","26,432.0","26,272.0","26,556.0","26,524.0","26,692.0","26,856.0","27,560.0","27,792.0","27,908.0","28,208.0","28,628.0","29,016.0","29,088.0","29,568.0","29,876.0","30,212.0","29,836.0","30,264.0","30,728.0","31,608.0","31,724.0","31,668.0","31,772.0","31,880.0","31,984.0","32,336.0","32,836.0","33,396.0","33,620.0","33,728.0","34,000.0","34,416.0","35,396.0","36,112.0","36,252.0","36,536.0","37,184.0","37,732.0","38,148.0","38,376.0","39,372.0","39,968.0","40,348.0","41,076.0","41,328.0","41,240.0","41,536.0","42,548.0","44,320.0","45,276.0","46,304.0","48,104.0","49,056.0","50,060.0","50,732.0","51,604.0","53,552.0","54,472.0","55,604.0","57,604.0","57,556.0","57,888.0","58,436.0","61,640.0"
"29","10","  State and local","A767RC1","8,347.0","8,614.0","8,896.0","9,296.0","9,636.0","9,907.0","10,381.0","10,784.0","10,901.0","10,982.0","11,242.0","11,342.0","11,417.0","11,602.0","11,935.0","12,251.0","12,658.0","12,950.0","13,375.0","13,729.0","13,905.0","14,191.0","14,615.0","14,905.0","15,240.0","15,424.0","15,585.0","15,918.0","16,233.0","16,767.0","17,223.0","17,536.0","17,700.0","17,970.0","18,371.0","18,886.0","19,496.0","20,072.0","20,725.0","21,279.0","21,710.0","22,316.0","22,864.0","23,383.0","23,849.0","24,513.0","24,985.0","25,462.0","25,917.0","26,252.0","26,618.0","27,063.0","27,983.0","28,627.0","29,285.0","29,853.0","30,612.0","31,230.0","31,955.0","32,608.0","33,310.0","33,880.0","34,405.0","35,117.0","35,974.0","36,652.0","37,398.0","38,285.0","39,178.0","40,028.0","40,762.0","41,639.0","42,583.0","43,608.0","44,831.0","45,887.0","47,281.0","48,742.0","50,297.0","51,965.0","53,209.0","54,565.0","56,353.0","57,935.0","59,978.0","61,641.0","63,313.0","65,177.0","66,826.0","68,882.0","71,078.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross housing value added","A2009C1","11,522.0","11,934.0","12,318.0","12,680.0","13,025.0","13,361.0","13,691.0","14,021.0","14,356.0","14,700.0","15,058.0","15,433.0","15,819.0","16,242.0","16,694.0","17,176.0","17,698.0","18,228.0","18,776.0","19,338.0","19,909.0","20,494.0","21,087.0","21,683.0","22,286.0","22,876.0","23,455.0","24,020.0","24,584.0","25,103.0","25,594.0","26,058.0","26,476.0","26,919.0","27,367.0","27,828.0","28,291.0","28,801.0","29,339.0","29,906.0","30,544.0","31,149.0","31,761.0","32,381.0","32,958.0","33,602.0","34,261.0","34,934.0","35,766.0","36,508.0","37,341.0","38,212.0","38,860.0","39,440.0","40,215.0","41,096.0","41,696.0","42,361.0","43,093.0","43,957.0","44,667.0","45,576.0","46,400.0","47,351.0","47,842.0","48,464.0","49,165.0","49,978.0","50,516.0","51,156.0","51,911.0","52,857.0","53,596.0","54,403.0","55,313.0","56,220.0","56,959.0","57,681.0","58,607.0","59,742.0","60,680.0","61,524.0","62,572.0","63,598.0","64,496.0","65,225.0","66,302.0","67,675.0","68,972.0","70,484.0","72,058.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
