"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"38","19","      Recreation services","DRCARX1","237,806.0","244,014.0","247,723.0","251,620.0","252,298.0","254,960.0","258,866.0","259,392.0","261,910.0","263,769.0","264,834.0","267,560.0","270,851.0","271,092.0","274,468.0","276,912.0","279,369.0","283,859.0","290,042.0","293,396.0","293,239.0","295,830.0","296,326.0","295,685.0","298,066.0","295,025.0","293,438.0","293,227.0","295,210.0","295,678.0","296,466.0","299,791.0","299,285.0","303,607.0","308,466.0","313,221.0","318,418.0","321,890.0","323,873.0","324,211.0","326,841.0","327,915.0","327,765.0","330,413.0","334,827.0","337,318.0","339,741.0","347,881.0","349,837.0","352,671.0","355,414.0","354,842.0","354,676.0","352,852.0","346,371.0","340,503.0","338,027.0","335,240.0","332,276.0","333,812.0","335,923.0","339,391.0","345,759.0","344,705.0","342,962.0","350,607.0","357,011.0","359,247.0"
"39","20","      Food services and accommodations","DFSARX1","415,417.0","416,110.0","416,683.0","415,878.0","415,954.0","418,038.0","418,642.0","422,431.0","426,606.0","426,476.0","431,009.0","428,027.0","432,801.0","438,148.0","439,809.0","445,960.0","444,461.0","447,152.0","448,957.0","459,507.0","466,997.0","471,108.0","472,773.0","471,252.0","474,768.0","470,157.0","467,621.0","466,955.0","473,799.0","477,484.0","478,392.0","479,185.0","482,646.0","491,840.0","500,203.0","505,236.0","510,748.0","511,559.0","516,377.0","521,629.0","525,291.0","532,551.0","536,181.0","541,601.0","550,713.0","547,058.0","550,342.0","558,427.0","556,866.0","557,501.0","558,396.0","563,523.0","556,727.0","559,212.0","553,575.0","546,053.0","538,636.0","533,395.0","532,323.0","532,706.0","543,512.0","549,201.0","553,240.0","558,155.0","567,593.0","569,101.0","572,819.0","581,652.0"
"40","21","      Financial services and insurance","DIFSRX1","482,488.0","488,090.0","492,800.0","496,094.0","504,341.0","509,095.0","507,012.0","512,443.0","517,624.0","518,746.0","531,807.0","534,642.0","540,822.0","553,535.0","565,051.0","577,165.0","583,393.0","598,491.0","610,993.0","631,821.0","662,999.0","664,794.0","667,109.0","669,048.0","659,731.0","659,458.0","657,150.0","668,997.0","662,938.0","658,502.0","659,968.0","654,327.0","650,869.0","656,083.0","662,865.0","666,822.0","671,030.0","671,534.0","673,751.0","685,586.0","687,104.0","695,313.0","704,020.0","707,279.0","712,675.0","714,325.0","714,481.0","724,210.0","730,181.0","739,143.0","743,574.0","746,383.0","746,252.0","738,256.0","732,234.0","712,487.0","693,105.0","679,744.0","670,561.0","660,965.0","667,046.0","670,773.0","665,922.0","667,581.0","674,683.0","676,939.0","682,788.0","677,690.0"
"41","22","      Other services","DOTSRX1","522,501.0","525,146.0","522,807.0","526,648.0","535,691.0","537,272.0","551,811.0","543,038.0","558,174.0","566,819.0","578,800.0","592,452.0","606,999.0","615,339.0","631,070.0","633,280.0","643,593.0","652,496.0","660,351.0","670,526.0","684,981.0","699,269.0","713,907.0","718,500.0","721,314.0","737,744.0","737,620.0","733,830.0","737,267.0","739,561.0","735,095.0","736,248.0","750,801.0","752,471.0","757,567.0","754,643.0","763,542.0","765,906.0","771,154.0","773,145.0","777,325.0","774,396.0","775,814.0","780,843.0","787,761.0","796,865.0","799,347.0","805,712.0","815,119.0","820,226.0","812,974.0","811,480.0","813,946.0","805,933.0","799,878.0","800,224.0","796,063.0","787,644.0","786,688.0","787,619.0","786,565.0","789,607.0","792,389.0","798,327.0","798,804.0","801,765.0","800,067.0","802,979.0"
"42","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","140,233.0","141,547.0","142,181.0","145,020.0","149,902.0","151,722.0","152,884.0","149,002.0","140,820.0","139,813.0","139,686.0","141,718.0","146,329.0","150,977.0","156,429.0","161,755.0","162,898.0","164,097.0","165,366.0","167,385.0","172,733.0","173,501.0","179,865.0","185,030.0","186,013.0","189,747.0","192,829.0","196,775.0","200,287.0","204,923.0","212,713.0","217,986.0","217,114.0","219,789.0","219,290.0","218,675.0","219,873.0","217,899.0","216,360.0","216,441.0","203,966.0","208,248.0","212,178.0","222,438.0","225,242.0","231,470.0","241,406.0","242,424.0","240,539.0","237,518.0","246,668.0","256,152.0","264,811.0","269,002.0","273,634.0","284,012.0","279,283.0","273,365.0","275,340.0","280,311.0","282,045.0","284,554.0","279,526.0","273,928.0","274,324.0","274,858.0","281,281.0","284,653.0"
"43","24","      Gross output of nonprofit institutions \2\","DNPERX1","632,617.0","634,779.0","636,939.0","641,395.0","644,226.0","651,508.0","655,532.0","662,380.0","657,816.0","659,627.0","665,500.0","672,225.0","684,933.0","691,940.0","701,403.0","708,600.0","713,329.0","717,179.0","722,789.0","730,545.0","736,940.0","744,147.0","752,601.0","762,251.0","770,906.0","779,138.0","789,794.0","801,346.0","815,281.0","827,971.0","838,379.0","842,781.0","841,975.0","843,465.0","844,555.0","846,399.0","851,344.0","856,089.0","863,973.0","870,428.0","866,768.0","871,458.0","875,785.0","883,181.0","893,205.0","899,616.0","904,734.0","912,351.0","922,181.0","922,557.0","925,261.0","934,153.0","944,178.0","951,388.0","958,562.0","965,588.0","965,953.0","967,761.0","971,948.0","977,076.0","974,328.0","988,219.0","992,801.0","1,001,600.0","997,242.0","1,000,605.0","999,824.0","1,005,314.0"
"44","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1","495,392.0","496,216.0","497,749.0","499,294.0","497,082.0","502,560.0","505,428.0","516,413.0","520,351.0","523,266.0","529,401.0","534,130.0","542,184.0","544,297.0","547,995.0","549,479.0","553,050.0","555,665.0","560,025.0","565,765.0","566,339.0","572,944.0","574,434.0","578,536.0","586,394.0","590,620.0","598,119.0","605,556.0","615,958.0","623,810.0","625,797.0","624,544.0","624,739.0","623,461.0","625,132.0","627,662.0","631,427.0","638,179.0","647,632.0","654,018.0","662,766.0","663,212.0","663,634.0","660,750.0","667,995.0","668,247.0","663,623.0","670,208.0","681,794.0","685,082.0","678,945.0","678,668.0","680,396.0","683,561.0","686,279.0","683,535.0","688,305.0","695,418.0","697,785.0","698,433.0","694,311.0","705,495.0","714,117.0","727,295.0","722,777.0","725,548.0","719,341.0","721,745.0"
"45","26","Gross private domestic investment","A006RX1","1,277,416.0","1,243,061.0","1,231,097.0","1,265,761.0","1,282,435.0","1,348,860.0","1,416,875.0","1,413,023.0","1,446,014.0","1,538,348.0","1,565,697.0","1,590,702.0","1,666,631.0","1,646,688.0","1,693,873.0","1,748,351.0","1,803,407.0","1,797,110.0","1,842,208.0","1,907,564.0","1,880,899.0","2,011,120.0","1,979,716.0","1,980,700.0","1,876,059.0","1,869,997.0","1,830,347.0","1,724,487.0","1,781,870.0","1,803,390.0","1,807,992.0","1,808,254.0","1,810,447.0","1,821,780.0","1,888,413.0","1,959,869.0","1,970,103.0","2,055,716.0","2,082,113.0","2,124,924.0","2,169,959.0","2,131,293.0","2,155,050.0","2,232,825.0","2,266,337.0","2,263,139.0","2,231,240.0","2,166,660.0","2,145,138.0","2,192,991.0","2,176,273.0","2,123,593.0","2,055,697.0","2,024,043.0","1,934,654.0","1,744,639.0","1,490,409.0","1,397,156.0","1,407,251.0","1,522,042.0","1,630,008.0","1,728,300.0","1,766,783.0","1,734,528.0","1,750,859.0","1,778,430.0","1,784,202.0","1,867,382.0"
"46","27","  Fixed investment","A007RX1","1,220,191.0","1,215,564.0","1,231,604.0","1,257,282.0","1,289,050.0","1,330,985.0","1,361,779.0","1,384,521.0","1,411,557.0","1,441,978.0","1,497,513.0","1,510,371.0","1,555,845.0","1,610,062.0","1,640,701.0","1,690,863.0","1,722,221.0","1,762,526.0","1,803,529.0","1,813,681.0","1,866,702.0","1,913,636.0","1,920,431.0","1,926,307.0","1,914,925.0","1,884,961.0","1,864,988.0","1,817,760.0","1,801,083.0","1,794,109.0","1,791,860.0","1,778,930.0","1,781,425.0","1,827,771.0","1,887,156.0","1,922,498.0","1,918,695.0","1,977,860.0","2,019,571.0","2,053,679.0","2,078,803.0","2,115,800.0","2,143,069.0","2,151,647.0","2,201,905.0","2,191,883.0","2,163,765.0","2,133,366.0","2,127,070.0","2,145,596.0","2,138,227.0","2,111,535.0","2,066,360.0","2,039,097.0","1,973,542.0","1,835,389.0","1,665,464.0","1,589,836.0","1,592,615.0","1,577,463.0","1,582,007.0","1,654,040.0","1,663,488.0","1,693,869.0","1,698,971.0","1,736,677.0","1,790,430.0","1,804,967.0"
"47","28","    Nonresidential","A008RX1","777,254.0","782,647.0","787,898.0","803,750.0","823,698.0","847,375.0","875,579.0","899,254.0","922,205.0","945,097.0","993,280.0","1,001,259.0","1,035,890.0","1,073,805.0","1,089,987.0","1,125,964.0","1,152,079.0","1,184,379.0","1,218,411.0","1,222,210.0","1,267,629.0","1,314,398.0","1,328,979.0","1,334,220.0","1,321,670.0","1,286,919.0","1,265,468.0","1,224,996.0","1,195,823.0","1,176,623.0","1,171,422.0","1,150,865.0","1,147,832.0","1,179,489.0","1,206,830.0","1,224,063.0","1,214,322.0","1,247,147.0","1,281,163.0","1,309,309.0","1,321,118.0","1,340,555.0","1,359,740.0","1,367,888.0","1,426,629.0","1,452,370.0","1,467,745.0","1,475,160.0","1,498,542.0","1,537,534.0","1,571,393.0","1,592,340.0","1,589,083.0","1,579,991.0","1,539,159.0","1,442,314.0","1,312,933.0","1,257,602.0","1,247,031.0","1,235,195.0","1,253,323.0","1,307,992.0","1,343,614.0","1,371,879.0","1,378,885.0","1,413,196.0","1,465,645.0","1,471,877.0"
"48","29","      Structures","B009RX1","336,459.0","343,189.0","345,687.0","342,774.0","348,888.0","356,530.0","360,923.0","379,289.0","382,629.0","379,235.0","393,543.0","396,246.0","391,971.0","413,084.0","413,244.0","412,586.0","410,888.0","405,906.0","405,593.0","410,442.0","418,367.0","435,715.0","452,121.0","453,989.0","441,472.0","443,048.0","445,548.0","403,248.0","381,350.0","360,711.0","344,697.0","339,628.0","336,246.0","346,299.0","345,551.0","343,946.0","341,939.0","345,904.0","349,378.0","349,693.0","355,957.0","354,612.0","347,168.0","349,281.0","364,755.0","383,652.0","393,161.0","394,617.0","404,800.0","430,550.0","454,627.0","462,854.0","463,824.0","474,408.0","469,922.0","457,481.0","415,344.0","375,395.0","354,897.0","323,659.0","301,469.0","306,944.0","310,137.0","317,984.0","305,934.0","321,893.0","332,867.0","326,689.0"
"49","30","      Equipment and software","B010RX1","483,233.0","484,448.0","487,601.0","502,326.0","516,008.0","532,051.0","553,601.0","564,017.0","581,730.0","603,119.0","636,624.0","642,002.0","674,639.0","695,311.0","709,418.0","741,566.0","765,692.0","797,559.0","828,190.0","828,506.0","864,271.0","894,976.0","897,136.0","900,598.0","897,809.0","864,679.0","842,950.0","836,762.0","825,993.0","823,739.0","831,253.0","815,907.0","815,802.0","837,715.0","864,337.0","882,109.0","874,483.0","902,645.0","932,477.0","959,586.0","965,221.0","985,768.0","1,012,488.0","1,018,807.0","1,062,485.0","1,068,386.0","1,073,769.0","1,079,907.0","1,092,424.0","1,102,899.0","1,109,811.0","1,121,909.0","1,117,232.0","1,094,581.0","1,056,782.0","968,988.0","883,667.0","874,233.0","887,990.0","912,943.0","958,822.0","1,010,139.0","1,044,089.0","1,064,519.0","1,086,908.0","1,103,482.0","1,145,671.0","1,160,298.0"
"50","31","        Information processing equipment and software","A679RX1","138,441.0","145,317.0","148,465.0","157,102.0","165,432.0","172,646.0","180,882.0","187,090.0","198,898.0","210,235.0","226,305.0","235,061.0","250,740.0","261,440.0","270,030.0","286,381.0","302,132.0","324,643.0","339,590.0","342,513.0","365,445.0","384,219.0","391,258.0","403,841.0","403,397.0","386,584.0","376,151.0","371,908.0","369,565.0","372,865.0","380,341.0","372,673.0","383,682.0","389,414.0","411,182.0","430,453.0","431,448.0","438,737.0","446,617.0","455,415.0","461,567.0","470,943.0","481,527.0","487,039.0","507,439.0","510,999.0","522,144.0","524,770.0","546,011.0","548,512.0","558,520.0","579,699.0","582,951.0","583,325.0","571,736.0","540,696.0","529,944.0","535,512.0","553,719.0","574,050.0","581,170.0","596,132.0","608,525.0","624,508.0","625,005.0","638,421.0","640,249.0","650,047.0"
"51","32","          Computers and peripheral equipment \4\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"52","33","          Software \5\","B985RX1","63,630.0","65,539.0","67,906.0","70,589.0","73,437.0","76,510.0","79,768.0","84,325.0","93,186.0","98,159.0","104,400.0","110,891.0","115,058.0","119,128.0","124,972.0","132,178.0","138,603.0","148,633.0","156,876.0","161,878.0","167,493.0","172,100.0","172,458.0","177,714.0","179,072.0","175,010.0","172,946.0","167,698.0","169,228.0","173,708.0","177,634.0","173,210.0","177,237.0","179,120.0","189,352.0","196,595.0","199,054.0","200,389.0","206,553.0","212,484.0","213,385.0","218,612.0","219,893.0","220,126.0","222,416.0","224,826.0","228,514.0","232,750.0","238,916.0","239,195.0","241,132.0","244,171.0","250,952.0","251,366.0","251,924.0","248,800.0","244,772.0","247,800.0","249,790.0","253,931.0","251,966.0","252,896.0","257,248.0","262,390.0","263,716.0","268,859.0","274,093.0","277,940.0"
"53","34","          Other","A937RX1","89,815.0","90,599.0","89,106.0","90,981.0","95,204.0","97,899.0","100,738.0","101,107.0","101,878.0","104,548.0","110,408.0","112,079.0","117,314.0","119,712.0","120,676.0","125,173.0","127,277.0","133,697.0","138,834.0","138,536.0","153,216.0","159,837.0","163,898.0","170,915.0","165,918.0","157,593.0","154,131.0","150,397.0","142,670.0","143,228.0","143,666.0","141,380.0","146,461.0","150,063.0","158,118.0","165,704.0","165,986.0","169,996.0","168,674.0","167,553.0","174,498.0","176,068.0","181,770.0","181,170.0","193,918.0","191,877.0","193,656.0","191,735.0","200,924.0","204,134.0","207,996.0","220,468.0","211,835.0","209,847.0","203,272.0","184,821.0","179,963.0","179,831.0","190,803.0","193,697.0","200,255.0","204,815.0","209,862.0","214,371.0","215,247.0","211,527.0","204,287.0","203,240.0"
"54","35","        Industrial equipment","A680RX1","143,596.0","145,823.0","146,862.0","145,593.0","149,033.0","151,848.0","150,417.0","152,165.0","151,431.0","154,321.0","155,181.0","155,554.0","163,413.0","161,992.0","158,669.0","159,248.0","158,957.0","161,248.0","163,373.0","163,712.0","171,519.0","176,042.0","179,195.0","176,441.0","176,836.0","164,284.0","157,369.0","152,853.0","154,172.0","150,224.0","152,041.0","151,155.0","150,395.0","156,150.0","152,039.0","147,970.0","141,884.0","145,233.0","149,743.0","152,679.0","156,230.0","154,427.0","160,734.0","167,181.0","165,111.0","176,186.0","174,718.0","175,584.0","172,585.0","184,982.0","185,364.0","176,510.0","176,870.0","175,606.0","173,122.0","165,810.0","142,802.0","136,519.0","134,496.0","134,520.0","135,108.0","147,250.0","150,149.0","153,728.0","158,051.0","157,737.0","169,000.0","176,957.0"
"55","36","        Transportation equipment","A681RX1","142,423.0","128,411.0","125,886.0","129,408.0","127,758.0","131,745.0","143,961.0","143,796.0","144,175.0","147,535.0","155,218.0","145,935.0","148,716.0","155,385.0","163,753.0","180,240.0","181,917.0","187,739.0","199,317.0","192,221.0","190,747.0","193,076.0","185,424.0","175,539.0","170,435.0","171,532.0","164,481.0","171,788.0","163,062.0","155,149.0","152,687.0","145,927.0","131,484.0","142,471.0","144,016.0","143,743.0","142,483.0","156,773.0","169,046.0","181,084.0","174,322.0","180,115.0","189,707.0","182,720.0","202,620.0","194,100.0","193,720.0","195,548.0","195,071.0","184,056.0","181,252.0","182,645.0","180,624.0","158,225.0","133,649.0","98,261.0","65,536.0","69,779.0","70,597.0","76,715.0","101,810.0","117,554.0","129,070.0","128,882.0","139,635.0","144,555.0","155,241.0","158,083.0"
"56","37","        Other equipment","A862RX1","111,152.0","110,351.0","109,849.0","110,972.0","111,954.0","113,391.0","116,398.0","117,436.0","120,242.0","122,209.0","129,796.0","131,311.0","136,784.0","140,658.0","139,923.0","137,677.0","142,443.0","140,339.0","141,932.0","144,958.0","149,073.0","152,544.0","150,086.0","149,985.0","152,168.0","147,965.0","150,618.0","146,343.0","144,502.0","149,611.0","149,335.0","149,181.0","151,191.0","151,534.0","157,778.0","159,646.0","158,151.0","161,703.0","167,209.0","170,640.0","173,232.0","180,306.0","180,491.0","181,744.0","187,282.0","186,955.0","183,432.0","184,295.0","179,923.0","185,825.0","185,563.0","185,639.0","179,999.0","181,092.0","181,864.0","168,330.0","154,394.0","143,548.0","142,346.0","142,299.0","153,759.0","160,500.0","167,128.0","168,902.0","173,976.0","173,777.0","187,899.0","182,157.0"
"57","38","    Residential","A011RX1","457,683.0","442,972.0","456,667.0","467,026.0","479,304.0","499,548.0","498,172.0","493,023.0","494,692.0","500,948.0","503,248.0","508,411.0","517,476.0","533,029.0","549,027.0","562,177.0","565,516.0","571,605.0","576,351.0","583,405.0","587,972.0","583,962.0","573,713.0","574,206.0","576,833.0","584,947.0","588,113.0","583,110.0","598,682.0","613,363.0","616,937.0","626,362.0","632,409.0","646,773.0","679,741.0","698,160.0","704,462.0","730,971.0","738,375.0","744,238.0","757,771.0","775,389.0","783,333.0","783,525.0","775,194.0","740,037.0","697,306.0","660,164.0","631,307.0","611,401.0","570,674.0","523,371.0","481,309.0","462,844.0","437,750.0","395,813.0","354,876.0","334,282.0","348,222.0","344,837.0","330,768.0","348,233.0","321,058.0","323,052.0","321,067.0","324,376.0","325,432.0","333,946.0"
"58","39","  Change in private inventories","A014RX1","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-12,497.0","-14,172.0","-38,131.0","-80,265.0","-161,578.0","-182,985.0","-178,738.0","-56,451.0","39,931.0","64,623.0","92,256.0","38,316.0","49,144.0","39,122.0","-1,998.0","56,020.0"
"59","40","    Farm","B018RX1","-5,867.0","-13,593.0","-26,443.0","-6,232.0","-2,946.0","7,397.0","27,433.0","1,292.0","-10,773.0","8,235.0","10,061.0","7,194.0","6,339.0","-3,013.0","2,550.0","681.0","-2,145.0","1,395.0","-11,155.0","-2,897.0","-20,106.0","7,186.0","-2,185.0","8,007.0","5,935.0","-3,350.0","2,731.0","-4,854.0","5,085.0","-13,325.0","-3,133.0","-858.0","4,019.0","-1,301.0","418.0","-2,547.0","3,197.0","17,677.0","7,041.0","3,660.0","-6,893.0","207.0","4,586.0","2,565.0","3,774.0","-8,158.0","-6,311.0","-4,052.0","5,168.0","-5,032.0","-2,494.0","-941.0","-6,904.0","3,453.0","5,136.0","2,310.0","169.0","-852.0","-4,890.0","-315.0","4,501.0","807.0","-5,670.0","-5,179.0","-7,771.0","-8,710.0","-6,016.0","-4,885.0"
"60","41","    Nonfarm","A015RX1","71,204.0","50,149.0","32,837.0","22,863.0","6,199.0","19,770.0","35,025.0","31,736.0","53,323.0","95,686.0","65,495.0","79,750.0","110,639.0","45,616.0","57,626.0","63,960.0","90,026.0","39,313.0","53,504.0","100,315.0","36,549.0","93,663.0","64,325.0","50,454.0","-40,084.0","-7,412.0","-33,112.0","-85,513.0","-19,465.0","25,512.0","22,616.0","33,626.0","27,494.0","-2,283.0","2,494.0","41,251.0","49,418.0","60,213.0","55,697.0","68,050.0","98,403.0","15,300.0","7,208.0","78,433.0","62,294.0","80,350.0","73,866.0","36,210.0","11,986.0","50,283.0","38,897.0","13,686.0","-4,825.0","-18,068.0","-44,206.0","-83,252.0","-162,553.0","-182,671.0","-173,853.0","-56,021.0","35,451.0","63,967.0","98,764.0","44,659.0","59,655.0","50,984.0","5,532.0","63,624.0"
"61","42","Net exports of goods and services","A019RX1","-117,011.0","-114,638.0","-81,918.0","-81,535.0","-101,612.0","-108,867.0","-134,328.0","-97,949.0","-124,975.0","-123,238.0","-141,705.0","-169,256.0","-209,855.0","-250,812.0","-272,988.0","-276,277.0","-318,837.0","-350,659.0","-374,190.0","-381,981.0","-423,848.0","-439,174.0","-466,972.0","-475,281.0","-466,573.0","-456,064.0","-476,340.0","-488,387.0","-510,227.0","-534,579.0","-553,926.0","-595,204.0","-584,899.0","-612,356.0","-602,824.0","-614,627.0","-632,247.0","-686,934.0","-705,694.0","-726,632.0","-714,751.0","-709,330.0","-721,415.0","-745,437.0","-732,796.0","-733,155.0","-756,755.0","-694,733.0","-703,227.0","-689,358.0","-638,070.0","-564,595.0","-550,215.0","-486,217.0","-464,613.0","-477,996.0","-404,161.0","-331,801.0","-352,385.0","-346,863.0","-376,765.0","-437,425.0","-458,701.0","-414,204.0","-424,351.0","-416,391.0","-402,752.0","-405,822.0"
"62","43","  Exports","B020RX1","815,571.0","826,811.0","862,768.0","875,221.0","886,246.0","901,103.0","908,392.0","965,337.0","983,725.0","1,022,681.0","1,046,441.0","1,044,536.0","1,049,464.0","1,037,368.0","1,032,553.0","1,071,490.0","1,063,257.0","1,075,482.0","1,103,688.0","1,131,347.0","1,150,846.0","1,183,524.0","1,212,403.0","1,202,850.0","1,187,080.0","1,148,337.0","1,089,225.0","1,058,512.0","1,075,428.0","1,104,619.0","1,112,318.0","1,100,990.0","1,090,816.0","1,087,282.0","1,116,797.0","1,169,134.0","1,196,955.0","1,215,706.0","1,224,735.0","1,252,757.0","1,276,163.0","1,303,552.0","1,303,868.0","1,336,645.0","1,388,725.0","1,412,078.0","1,414,153.0","1,473,461.0","1,496,530.0","1,521,318.0","1,577,950.0","1,621,932.0","1,643,924.0","1,693,878.0","1,678,712.0","1,580,583.0","1,451,105.0","1,449,366.0","1,497,266.0","1,578,344.0","1,606,189.0","1,645,013.0","1,684,844.0","1,716,819.0","1,749,573.0","1,764,961.0","1,785,176.0","1,805,647.0"
"63","44","    Goods","A253RX1","554,954.0","564,258.0","585,913.0","594,008.0","606,487.0","612,941.0","624,317.0","658,165.0","680,934.0","712,635.0","733,484.0","734,555.0","736,555.0","719,159.0","720,462.0","749,276.0","734,612.0","742,871.0","767,044.0","792,234.0","809,885.0","835,239.0","870,709.0","857,719.0","846,308.0","808,045.0","763,903.0","746,462.0","745,929.0","772,046.0","775,594.0","757,256.0","760,463.0","760,026.0","774,744.0","810,351.0","823,636.0","837,430.0","847,967.0","861,432.0","879,213.0","908,186.0","905,694.0","931,250.0","970,174.0","987,787.0","988,343.0","1,019,634.0","1,050,725.0","1,070,093.0","1,102,678.0","1,128,976.0","1,154,302.0","1,193,009.0","1,185,865.0","1,094,777.0","983,372.0","976,063.0","1,024,440.0","1,090,490.0","1,122,050.0","1,153,814.0","1,178,777.0","1,204,948.0","1,235,562.0","1,243,206.0","1,258,321.0","1,273,770.0"
"64","45","    Services","A646RX1","262,742.0","264,348.0","279,339.0","283,812.0","281,455.0","290,530.0","285,384.0","309,240.0","303,546.0","310,210.0","312,620.0","309,408.0","312,534.0","318,664.0","312,191.0","322,199.0","329,150.0","333,113.0","336,912.0","339,081.0","340,740.0","347,968.0","340,871.0","344,510.0","340,183.0","340,038.0","325,151.0","311,782.0","329,487.0","332,448.0","336,624.0","343,821.0","330,279.0","327,155.0","342,019.0","358,760.0","373,384.0","378,335.0","376,761.0","391,392.0","397,007.0","395,358.0","398,153.0","405,367.0","418,510.0","424,262.0","425,819.0","453,923.0","445,861.0","451,268.0","475,282.0","492,946.0","489,619.0","500,885.0","492,891.0","485,844.0","466,971.0","472,348.0","472,514.0","487,930.0","484,607.0","491,782.0","506,537.0","512,411.0","514,581.0","522,357.0","527,456.0","532,479.0"
"65","46","  Imports","B021RX1","932,582.0","941,450.0","944,686.0","956,756.0","987,859.0","1,009,970.0","1,042,719.0","1,063,286.0","1,108,700.0","1,145,918.0","1,188,147.0","1,213,792.0","1,259,320.0","1,288,179.0","1,305,541.0","1,347,767.0","1,382,095.0","1,426,142.0","1,477,878.0","1,513,328.0","1,574,694.0","1,622,698.0","1,679,374.0","1,678,131.0","1,653,653.0","1,604,402.0","1,565,564.0","1,546,899.0","1,585,655.0","1,639,198.0","1,666,244.0","1,696,194.0","1,675,715.0","1,699,638.0","1,719,621.0","1,783,761.0","1,829,202.0","1,902,640.0","1,930,429.0","1,979,389.0","1,990,914.0","2,012,881.0","2,025,283.0","2,082,083.0","2,121,521.0","2,145,233.0","2,170,909.0","2,168,194.0","2,199,757.0","2,210,676.0","2,216,020.0","2,186,527.0","2,194,139.0","2,180,094.0","2,143,325.0","2,058,579.0","1,855,266.0","1,781,167.0","1,849,651.0","1,925,207.0","1,982,954.0","2,082,438.0","2,143,545.0","2,131,023.0","2,173,924.0","2,181,352.0","2,187,928.0","2,211,469.0"
"66","47","    Goods","A255RX1","754,684.0","765,094.0","766,734.0","775,361.0","802,954.0","823,150.0","851,047.0","871,732.0","909,253.0","943,837.0","978,202.0","1,000,217.0","1,037,200.0","1,061,515.0","1,073,634.0","1,113,116.0","1,143,462.0","1,183,605.0","1,229,934.0","1,262,821.0","1,311,697.0","1,353,031.0","1,400,830.0","1,401,221.0","1,380,124.0","1,324,857.0","1,299,488.0","1,287,842.0","1,313,207.0","1,369,004.0","1,394,302.0","1,412,296.0","1,396,772.0","1,433,156.0","1,439,172.0","1,490,333.0","1,525,833.0","1,592,490.0","1,618,495.0","1,660,409.0","1,674,942.0","1,694,898.0","1,706,331.0","1,755,749.0","1,782,795.0","1,804,992.0","1,829,623.0","1,818,935.0","1,856,121.0","1,863,846.0","1,865,304.0","1,839,237.0","1,836,355.0","1,825,945.0","1,783,061.0","1,694,014.0","1,508,835.0","1,436,050.0","1,501,635.0","1,577,447.0","1,631,498.0","1,728,455.0","1,779,821.0","1,777,406.0","1,818,382.0","1,825,412.0","1,827,876.0","1,846,543.0"
"67","48","    Services","B656RX1","180,769.0","178,458.0","180,281.0","183,984.0","187,043.0","188,544.0","193,221.0","192,517.0","200,412.0","202,556.0","210,496.0","214,042.0","222,682.0","227,185.0","232,580.0","235,039.0","238,882.0","242,591.0","247,829.0","250,205.0","262,828.0","269,377.0","278,181.0","276,392.0","273,038.0","280,052.0","266,191.0","259,012.0","272,471.0","270,029.0","271,761.0","283,797.0","278,893.0","266,630.0","280,270.0","293,214.0","303,139.0","310,052.0","311,913.0","318,983.0","316,024.0","318,023.0","318,948.0","326,246.0","338,642.0","340,145.0","341,285.0","349,475.0","343,824.0","346,901.0","350,647.0","347,108.0","357,840.0","354,016.0","361,091.0","366,051.0","346,963.0","344,806.0","348,402.0","348,784.0","352,759.0","355,621.0","365,486.0","355,580.0","357,543.0","357,925.0","362,163.0","367,103.0"
