"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175"
"46","27","  From government (net)","B088RC1","3,632.0","5,288.0","4,044.0","5,132.0","4,264.0","5,060.0","5,244.0","5,156.0","5,804.0","5,996.0","5,680.0","7,032.0","7,932.0","6,816.0","8,096.0","6,616.0","5,188.0","6,816.0","6,028.0","4,484.0","4,668.0","8,916.0","5,896.0","6,044.0","7,920.0","9,988.0","4,528.0","5,820.0","4,520.0","5,056.0","8,468.0","4,640.0","4,900.0","5,724.0","5,692.0","5,044.0","5,804.0","5,948.0","5,876.0","6,032.0","6,188.0","6,656.0","6,780.0","7,648.0","8,648.0","6,552.0","7,528.0","10,316.0","7,460.0","7,748.0","9,100.0","8,752.0","9,672.0","8,616.0","9,132.0","11,300.0","7,780.0","8,664.0","10,008.0","13,908.0","9,384.0","9,776.0","12,708.0","17,128.0","12,580.0","13,572.0","15,344.0","16,228.0","12,140.0","16,692.0","17,200.0","15,692.0","11,768.0","12,248.0","12,240.0","17,464.0","12,524.0","10,700.0","12,772.0","18,908.0","12,512.0","11,372.0","14,920.0","18,128.0","14,688.0","18,956.0","16,816.0","8,324.0","-72,884.0","-28,344.0","-2,012.0","7,220.0","17,276.0","20,576.0","18,488.0","31,664.0","17,260.0","20,012.0","22,536.0","31,912.0","15,580.0","17,260.0","21,072.0","30,664.0","16,124.0","15,024.0","15,392.0","15,672.0","23,308.0","15,176.0","15,520.0","26,032.0","13,556.0","13,672.0","14,088.0","25,468.0","14,484.0","13,572.0","15,792.0","25,724.0","14,792.0","16,284.0","15,164.0","25,924.0","15,124.0","15,796.0","17,912.0","31,284.0","13,760.0","14,580.0","15,600.0","20,932.0","30,388.0","17,796.0","17,012.0","21,296.0","28,404.0","25,980.0","27,008.0","22,000.0","34,884.0","24,264.0","25,556.0","24,092.0","40,188.0","27,836.0","31,612.0","41,640.0","26,920.0","33,604.0","34,596.0","20,096.0","45,404.0","25,132.0","31,852.0","41,852.0","42,792.0","39,136.0","35,632.0","30,784.0","39,404.0","53,548.0","61,568.0","44,500.0","60,016.0","51,072.0","55,984.0","55,664.0","54,472.0","62,004.0","51,332.0","48,048.0"
"47","28","  From business (net)","W164RC1","276.0","292.0","308.0","336.0","368.0","396.0","408.0","432.0","424.0","420.0","428.0","428.0","388.0","408.0","424.0","708.0","692.0","608.0","540.0","900.0","904.0","736.0","736.0","1,588.0","720.0","600.0","664.0","976.0","1,280.0","796.0","832.0","1,392.0","1,404.0","1,320.0","1,116.0","1,748.0","1,232.0","1,432.0","1,080.0","1,664.0","1,596.0","1,788.0","2,148.0","2,548.0","2,316.0","2,344.0","2,240.0","2,720.0","2,788.0","3,204.0","3,292.0","3,500.0","2,989.0","3,730.0","3,410.0","3,541.0","3,182.0","3,411.0","3,284.0","3,754.0","3,552.0","3,483.0","3,425.0","3,519.0","2,813.0","2,850.0","2,994.0","2,914.0","3,447.0","2,922.0","3,072.0","3,315.0","2,826.0","3,335.0","3,716.0","3,533.0","4,630.0","4,732.0","4,054.0","4,478.0","4,472.0","4,278.0","4,557.0","5,152.0","4,283.0","4,895.0","5,205.0","4,893.0","4,874.0","5,107.0","5,021.0","5,057.0","5,174.0","5,476.0","5,635.0","5,390.0","5,297.0","5,250.0","5,357.0","5,517.0","5,658.0","5,348.0","5,976.0","7,034.0","8,681.0","8,557.0","8,642.0","7,087.0","6,665.0","6,807.0","6,695.0","7,307.0","7,575.0","8,552.0","9,360.0","10,773.0","13,641.0","13,920.0","13,360.0","10,975.0","8,358.0","6,960.0","7,430.0","6,900.0","8,540.0","10,526.0","11,863.0","14,604.0","17,459.0","18,581.0","18,288.0","18,743.0","12,223.0","10,978.0","10,844.0","10,969.0","12,613.0","12,259.0","13,763.0","15,995.0","22,291.0","25,820.0","23,727.0","33,414.0","34,841.0","33,889.0","28,582.0","27,815.0","20,575.0","19,360.0","22,254.0","22,215.0","36,359.0","32,818.0","31,515.0","22,562.0","38,044.0","35,048.0","32,592.0","35,092.0","25,953.0","20,192.0","18,183.0","19,811.0","23,610.0","23,165.0","24,714.0","20,783.0","21,384.0","21,542.0","22,059.0","21,406.0"
"48","29","    Balance on current account, NIPAs","A124RC1","1,605.0","645.0","1,452.0","2,714.0","3,791.0","5,226.0","3,491.0","2,385.0","4,340.0","71.0","-345.0","-2,821.0","-5,031.0","-4,753.0","-3,599.0","-2,782.0","2,205.0","5,408.0","12,475.0","15,357.0","16,518.0","2,663.0","309.0","4,392.0","17,889.0","21,454.0","18,389.0","21,623.0","13,152.0","8,994.0","2,406.0","3,826.0","-8,022.0","-8,842.0","-7,857.0","-18,935.0","-25,010.0","-12,855.0","-11,386.0","-1,262.0","-1,809.0","-2,699.0","2,434.0","-2,586.0","-10,667.0","9,846.0","28,157.0","6,707.0","1,663.0","165.0","7,067.0","4,584.0","645.0","17,432.0","-14,043.0","-17,258.0","-7,902.0","-27,643.0","-47,916.0","-56,773.0","-78,545.0","-87,932.0","-90,445.0","-103,427.0","-89,424.0","-111,372.0","-121,282.0","-135,173.0","-128,327.0","-141,872.0","-150,233.0","-150,310.0","-150,951.0","-154,391.0","-154,058.0","-157,023.0","-126,878.0","-109,970.0","-106,467.0","-119,632.0","-106,705.0","-93,588.0","-81,674.0","-87,495.0","-90,060.0","-72,885.0","-82,390.0","-54,333.0","46,561.0","14,746.0","-13,054.0","-16,816.0","-21,817.0","-39,417.0","-52,729.0","-68,448.0","-56,552.0","-73,696.0","-76,577.0","-107,421.0","-92,095.0","-108,299.0","-120,841.0","-137,680.0","-118,422.0","-118,619.0","-99,036.0","-84,266.0","-102,066.0","-108,455.0","-132,625.0","-113,427.0","-131,166.0","-101,118.0","-122,044.0","-162,989.0","-164,077.0","-195,274.0","-223,815.0","-235,013.0","-243,693.0","-278,999.0","-313,060.0","-331,866.0","-385,627.0","-390,951.0","-429,616.0","-435,279.0","-422,893.0","-385,430.0","-412,713.0","-345,548.0","-406,496.0","-453,899.0","-457,179.0","-488,728.0","-533,292.0","-518,319.0","-513,627.0","-499,237.0","-536,338.0","-614,490.0","-632,419.0","-715,128.0","-694,581.0","-703,887.0","-734,679.0","-829,009.0","-789,563.0","-811,029.0","-853,325.0","-739,685.0","-793,976.0","-766,839.0","-681,986.0","-621,253.0","-709,270.0","-706,647.0","-695,906.0","-604,145.0","-382,368.0","-337,666.0","-390,585.0","-399,113.0","-481,873.0","-482,188.0","-487,900.0","-464,734.0","-493,496.0","-492,972.0","-442,238.0","....."
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Net lending or net borrowing (-), NIPAs","W162RC1","1,601.0","645.0","1,448.0","2,714.0","3,791.0","5,222.0","3,487.0","2,373.0","4,328.0","59.0","-361.0","-2,845.0","-5,055.0","-4,777.0","-3,635.0","-2,818.0","2,169.0","5,372.0","12,435.0","15,321.0","16,482.0","2,627.0","273.0","4,356.0","17,841.0","21,394.0","18,329.0","21,563.0","13,092.0","8,946.0","2,358.0","3,778.0","-8,074.0","-8,902.0","-7,929.0","-19,007.0","-25,094.0","-12,939.0","-11,470.0","-1,358.0","-1,905.0","-2,807.0","2,326.0","-2,706.0","-10,787.0","9,718.0","28,025.0","6,575.0","1,535.0","45.0","6,947.0","4,464.0","525.0","17,316.0","-14,151.0","-17,366.0","-8,010.0","-27,747.0","-48,012.0","-56,869.0","-78,633.0","-88,024.0","-90,545.0","-103,539.0","-89,560.0","-111,520.0","-121,434.0","-135,309.0","-128,447.0","-141,980.0","-150,341.0","-150,418.0","-151,079.0","-154,527.0","-154,202.0","-157,167.0","-127,014.0","-110,102.0","-106,603.0","-119,764.0","-106,837.0","-93,732.0","-81,818.0","-88,467.0","-90,892.0","-73,037.0","-82,546.0","-82,685.0","42,121.0","14,178.0","-29,066.0","-16,992.0","-22,041.0","-39,837.0","-46,785.0","-68,640.0","-59,192.0","-73,908.0","-77,025.0","-107,621.0","-92,267.0","-111,911.0","-121,909.0","-137,908.0","-118,658.0","-118,351.0","-101,012.0","-83,998.0","-102,282.0","-108,659.0","-132,829.0","-113,639.0","-131,450.0","-101,694.0","-122,724.0","-163,353.0","-164,293.0","-195,470.0","-224,087.0","-235,249.0","-243,973.0","-279,271.0","-313,364.0","-348,878.0","-386,011.0","-391,323.0","-430,052.0","-435,459.0","-423,121.0","-385,638.0","-360,193.0","-345,872.0","-406,860.0","-454,267.0","-457,819.0","-489,356.0","-533,908.0","-523,679.0","-515,911.0","-499,469.0","-536,822.0","-614,722.0","-620,003.0","-715,652.0","-703,481.0","-704,483.0","-673,487.0","-829,289.0","-794,719.0","-813,253.0","-853,605.0","-740,285.0","-794,232.0","-765,339.0","-682,506.0","-621,617.0","-709,654.0","-707,087.0","-672,106.0","-605,485.0","-382,804.0","-338,146.0","-391,181.0","-399,853.0","-482,357.0","-482,736.0","-489,068.0","-465,274.0","-494,040.0","-496,652.0","-442,662.0","....."
"51","31","    Balance on current account, NIPAs","A124RC1","1,605.0","645.0","1,452.0","2,714.0","3,791.0","5,226.0","3,491.0","2,385.0","4,340.0","71.0","-345.0","-2,821.0","-5,031.0","-4,753.0","-3,599.0","-2,782.0","2,205.0","5,408.0","12,475.0","15,357.0","16,518.0","2,663.0","309.0","4,392.0","17,889.0","21,454.0","18,389.0","21,623.0","13,152.0","8,994.0","2,406.0","3,826.0","-8,022.0","-8,842.0","-7,857.0","-18,935.0","-25,010.0","-12,855.0","-11,386.0","-1,262.0","-1,809.0","-2,699.0","2,434.0","-2,586.0","-10,667.0","9,846.0","28,157.0","6,707.0","1,663.0","165.0","7,067.0","4,584.0","645.0","17,432.0","-14,043.0","-17,258.0","-7,902.0","-27,643.0","-47,916.0","-56,773.0","-78,545.0","-87,932.0","-90,445.0","-103,427.0","-89,424.0","-111,372.0","-121,282.0","-135,173.0","-128,327.0","-141,872.0","-150,233.0","-150,310.0","-150,951.0","-154,391.0","-154,058.0","-157,023.0","-126,878.0","-109,970.0","-106,467.0","-119,632.0","-106,705.0","-93,588.0","-81,674.0","-87,495.0","-90,060.0","-72,885.0","-82,390.0","-54,333.0","46,561.0","14,746.0","-13,054.0","-16,816.0","-21,817.0","-39,417.0","-52,729.0","-68,448.0","-56,552.0","-73,696.0","-76,577.0","-107,421.0","-92,095.0","-108,299.0","-120,841.0","-137,680.0","-118,422.0","-118,619.0","-99,036.0","-84,266.0","-102,066.0","-108,455.0","-132,625.0","-113,427.0","-131,166.0","-101,118.0","-122,044.0","-162,989.0","-164,077.0","-195,274.0","-223,815.0","-235,013.0","-243,693.0","-278,999.0","-313,060.0","-331,866.0","-385,627.0","-390,951.0","-429,616.0","-435,279.0","-422,893.0","-385,430.0","-412,713.0","-345,548.0","-406,496.0","-453,899.0","-457,179.0","-488,728.0","-533,292.0","-518,319.0","-513,627.0","-499,237.0","-536,338.0","-614,490.0","-632,419.0","-715,128.0","-694,581.0","-703,887.0","-734,679.0","-829,009.0","-789,563.0","-811,029.0","-853,325.0","-739,685.0","-793,976.0","-766,839.0","-681,986.0","-621,253.0","-709,270.0","-706,647.0","-695,906.0","-604,145.0","-382,368.0","-337,666.0","-390,585.0","-399,113.0","-481,873.0","-482,188.0","-487,900.0","-464,734.0","-493,496.0","-492,972.0","-442,238.0","....."
"52","32","    Less:Capital account transactions (net) \2\","W167RC1","4.0","0.0","4.0","0.0","0.0","4.0","4.0","12.0","12.0","12.0","16.0","24.0","24.0","24.0","36.0","36.0","36.0","36.0","40.0","36.0","36.0","36.0","36.0","36.0","48.0","60.0","60.0","60.0","60.0","48.0","48.0","48.0","52.0","60.0","72.0","72.0","84.0","84.0","84.0","96.0","96.0","108.0","108.0","120.0","120.0","128.0","132.0","132.0","128.0","120.0","120.0","120.0","120.0","116.0","108.0","108.0","108.0","104.0","96.0","96.0","88.0","92.0","100.0","112.0","136.0","148.0","152.0","136.0","120.0","108.0","108.0","108.0","128.0","136.0","144.0","144.0","136.0","132.0","136.0","132.0","132.0","144.0","144.0","972.0","832.0","152.0","156.0","28,352.0","4,440.0","568.0","16,012.0","176.0","224.0","420.0","-5,944.0","192.0","2,640.0","212.0","448.0","200.0","172.0","3,612.0","1,068.0","228.0","236.0","-268.0","1,976.0","-268.0","216.0","204.0","204.0","212.0","284.0","576.0","680.0","364.0","216.0","196.0","272.0","236.0","280.0","272.0","304.0","17,012.0","384.0","372.0","436.0","180.0","228.0","208.0","-52,520.0","324.0","364.0","368.0","640.0","628.0","616.0","5,360.0","2,284.0","232.0","484.0","232.0","-12,416.0","524.0","8,900.0","596.0","-61,192.0","280.0","5,156.0","2,224.0","280.0","600.0","256.0","-1,500.0","520.0","364.0","384.0","440.0","-23,800.0","1,340.0","436.0","480.0","596.0","740.0","484.0","548.0","1,168.0","540.0","544.0","3,680.0","424.0","....."
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Exports and imports of certain goods, primarily military equipment purchased",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","and sold by the federal government, are included in services.  Beginning with 1986,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","nonfinancial assets.  Prior to 1982, reflects only capital grants paid to the U.S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","territories and the Commonwealths of Puerto Rico and Northern Mariana Islands.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
