"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","Gross domestic product","A191RX1","4,258,163.0","4,266,295.0","4,409,497.0","4,643,763.0","4,912,813.0","4,885,743.0","4,875,355.0","5,136,908.0","5,373,062.0","5,672,779.0","5,850,052.0","5,833,996.0","5,982,080.0","5,865,934.0","6,130,933.0","6,571,503.0","6,843,419.0","7,080,461.0","7,307,037.0","7,607,391.0","7,879,198.0","8,027,052.0","8,008,303.0","8,280,000.0","8,516,176.0","8,863,103.0","9,085,963.0","9,425,844.0","9,845,924.0","10,274,741.0","10,770,650.0","11,216,398.0","11,337,473.0","11,543,115.0","11,836,427.0","12,246,929.0","12,622,956.0","12,958,492.0","13,206,365.0","13,161,939.0","12,703,117.0","13,087,981.0","13,313,425.0"
"20","2","Plus: Income receipts from the rest of the world","A645RX1","54,920.0","56,785.0","58,659.0","65,204.0","88,435.0","103,641.0","89,053.0","96,715.0","104,148.0","120,131.0","163,483.0","174,026.0","184,040.0","190,193.0","184,551.0","213,227.0","190,463.0","183,189.0","195,779.0","233,043.0","261,186.0","265,684.0","228,604.0","200,999.0","200,149.0","231,896.0","282,177.0","297,056.0","332,248.0","337,581.0","370,994.0","431,134.0","358,788.0","343,054.0","377,734.0","465,114.0","573,037.0","697,795.0","819,626.0","781,270.0","584,642.0","634,164.0","....."
"21","3","Less: Income payments to the rest of the world","A655RX1","25,555.0","27,682.0","26,224.0","30,252.0","40,434.0","48,426.0","46,904.0","46,158.0","47,186.0","63,731.0","86,530.0","97,765.0","117,203.0","120,307.0","116,830.0","149,173.0","145,345.0","153,356.0","167,050.0","196,386.0","222,927.0","217,419.0","187,888.0","161,514.0","160,249.0","202,096.0","246,651.0","260,003.0","305,192.0","317,549.0","339,109.0","388,685.0","301,500.0","289,353.0","304,329.0","370,456.0","475,889.0","628,018.0","704,123.0","626,561.0","444,929.0","461,431.0","....."
"22","4","Equals: Gross national product","A001RX1","4,287,966.0","4,295,800.0","4,442,246.0","4,678,938.0","4,960,260.0","4,939,818.0","4,917,206.0","5,186,812.0","5,429,116.0","5,728,353.0","5,925,154.0","5,908,339.0","6,047,329.0","5,934,031.0","6,197,077.0","6,634,144.0","6,888,028.0","7,110,433.0","7,335,946.0","7,643,948.0","7,917,311.0","8,074,962.0","8,048,782.0","8,319,365.0","8,555,973.0","8,892,976.0","9,121,665.0","9,463,097.0","9,873,377.0","10,295,253.0","10,802,942.0","11,259,237.0","11,394,970.0","11,597,055.0","11,909,937.0","12,341,598.0","12,720,104.0","13,028,300.0","13,321,955.0","13,316,912.0","12,843,199.0","13,261,027.0","....."
"23","5","Less: Consumption of fixed capital","A262RX1","333,626.0","347,254.0","358,713.0","372,051.0","391,778.0","409,643.0","423,763.0","437,326.0","454,577.0","475,297.0","499,669.0","522,852.0","543,831.0","566,225.0","585,070.0","609,491.0","643,095.0","674,111.0","705,485.0","735,137.0","766,181.0","796,546.0","821,205.0","844,006.0","872,332.0","906,497.0","946,976.0","994,768.0","1,051,376.0","1,120,469.0","1,199,404.0","1,282,387.0","1,350,819.0","1,399,790.0","1,441,252.0","1,488,270.0","1,541,376.0","1,598,438.0","1,660,881.0","1,710,045.0","1,737,075.0","1,754,522.0","1,792,400.0"
"24","6","        Private","A024RX1","241,433.0","253,580.0","264,922.0","278,614.0","298,129.0","315,099.0","327,694.0","339,353.0","354,631.0","373,162.0","394,769.0","414,673.0","432,306.0","451,070.0","465,715.0","484,524.0","510,885.0","534,044.0","557,620.0","580,139.0","604,085.0","627,083.0","645,142.0","662,342.0","685,982.0","716,527.0","753,678.0","797,634.0","850,016.0","913,862.0","986,246.0","1,062,676.0","1,125,496.0","1,168,884.0","1,204,494.0","1,244,369.0","1,290,810.0","1,341,012.0","1,395,560.0","1,437,106.0","1,455,261.0","1,463,954.0","1,493,043.0"
"25","7","        Government","A264RX1","96,915.0","98,133.0","97,861.0","97,028.0","96,743.0","97,378.0","98,796.0","100,617.0","102,385.0","104,240.0","106,607.0","109,630.0","112,829.0","116,322.0","120,628.0","126,399.0","133,780.0","141,963.0","150,072.0","157,461.0","164,766.0","172,410.0","179,339.0","185,148.0","189,737.0","192,997.0","195,848.0","199,192.0","202,887.0","207,622.0","213,764.0","220,007.0","225,438.0","230,954.0","236,784.0","243,916.0","250,565.0","257,436.0","265,382.0","273,012.0","281,578.0","289,841.0","298,387.0"
"26","8","          General government","A265RX1","85,451.0","86,208.0","85,532.0","84,249.0","83,436.0","83,502.0","84,351.0","85,642.0","86,946.0","88,327.0","90,102.0","92,447.0","94,948.0","97,736.0","101,333.0","106,311.0","112,764.0","120,001.0","127,197.0","133,698.0","140,090.0","146,756.0","152,668.0","157,418.0","160,948.0","163,315.0","165,380.0","167,889.0","170,879.0","174,628.0","179,483.0","184,468.0","188,846.0","193,263.0","197,682.0","203,270.0","208,690.0","214,868.0","221,744.0","228,432.0","235,788.0","242,729.0","249,902.0"
"27","9","          Government enterprises","A266RX1","10,654.0","11,193.0","11,712.0","12,302.0","12,962.0","13,636.0","14,270.0","14,841.0","15,334.0","15,838.0","16,460.0","17,163.0","17,887.0","18,614.0","19,327.0","20,101.0","20,991.0","21,887.0","22,751.0","23,604.0","24,490.0","25,443.0","26,451.0","27,522.0","28,614.0","29,543.0","30,361.0","31,224.0","31,938.0","32,937.0","34,240.0","35,510.0","36,569.0","37,676.0","39,097.0","40,645.0","41,875.0","42,569.0","43,638.0","44,585.0","45,797.0","47,119.0","48,493.0"
"28","10","Equals: Net national product","A027RX1","3,996,176.0","3,986,158.0","4,122,553.0","4,349,889.0","4,614,929.0","4,569,863.0","4,527,000.0","4,788,695.0","5,016,854.0","5,299,493.0","5,470,121.0","5,419,349.0","5,534,317.0","5,383,530.0","5,631,037.0","6,051,253.0","6,269,120.0","6,458,064.0","6,649,894.0","6,929,050.0","7,170,821.0","7,294,813.0","7,237,980.0","7,487,016.0","7,694,908.0","7,998,217.0","8,184,218.0","8,476,577.0","8,829,150.0","9,180,160.0","9,607,608.0","9,979,400.0","10,044,688.0","10,197,285.0","10,468,684.0","10,853,306.0","11,178,728.0","11,429,790.0","11,660,875.0","11,606,645.0","11,107,092.0","11,506,207.0","....."
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross domestic income \1\","A261RX1","4,245,685.0","4,238,019.0","4,366,451.0","4,610,192.0","4,884,312.0","4,853,822.0","4,826,870.0","5,070,844.0","5,316,986.0","5,608,277.0","5,742,854.0","5,739,263.0","5,912,103.0","5,857,379.0","6,044,736.0","6,518,809.0","6,774,792.0","6,972,937.0","7,256,331.0","7,621,566.0","7,798,613.0","7,910,557.0","7,901,685.0","8,136,393.0","8,342,770.0","8,726,984.0","9,021,558.0","9,394,697.0","9,862,381.0","10,374,388.0","10,852,526.0","11,367,366.0","11,451,410.0","11,567,083.0","11,818,699.0","12,269,958.0","12,718,041.0","13,193,216.0","13,217,604.0","13,164,224.0","12,632,497.0","13,087,184.0","....."
"31","12","  Gross national income \2\","A023RX1","4,275,464.0","4,267,442.0","4,399,095.0","4,645,433.0","4,931,791.0","4,907,750.0","4,868,627.0","5,120,726.0","5,372,968.0","5,663,891.0","5,817,884.0","5,813,469.0","5,977,285.0","5,925,455.0","6,110,863.0","6,581,348.0","6,819,416.0","7,002,898.0","7,285,254.0","7,658,124.0","7,836,661.0","7,958,414.0","7,942,190.0","8,175,716.0","8,382,492.0","8,756,882.0","9,057,344.0","9,431,987.0","9,889,857.0","10,394,986.0","10,884,792.0","11,410,294.0","11,508,878.0","11,620,980.0","11,892,174.0","12,364,707.0","12,815,189.0","13,262,980.0","13,333,272.0","13,319,159.0","12,772,656.0","13,260,296.0","....."
"32","13","  Net domestic product","A362RX1","3,965,965.0","3,956,269.0","4,089,325.0","4,314,183.0","4,566,560.0","4,514,636.0","4,484,481.0","4,737,846.0","4,959,650.0","5,242,856.0","5,393,158.0","5,343,182.0","5,467,693.0","5,313,906.0","5,563,510.0","5,987,439.0","6,224,007.0","6,428,103.0","6,621,062.0","6,892,381.0","7,132,585.0","7,246,541.0","7,197,310.0","7,447,505.0","7,654,972.0","7,968,397.0","8,148,485.0","8,439,288.0","8,801,797.0","9,159,830.0","9,575,424.0","9,936,616.0","9,987,182.0","10,143,348.0","10,395,166.0","10,758,638.0","11,081,580.0","11,359,995.0","11,545,272.0","11,451,655.0","10,966,984.0","11,333,251.0","11,521,153.0"
"33","14","  Net domestic income \3\","W256RX1","3,953,089.0","3,927,069.0","4,044,701.0","4,279,453.0","4,537,144.0","4,481,536.0","4,433,956.0","4,669,059.0","4,901,106.0","5,175,660.0","5,281,183.0","5,244,121.0","5,394,475.0","5,304,930.0","5,473,813.0","5,932,806.0","6,153,129.0","6,317,059.0","6,568,833.0","6,906,996.0","7,049,757.0","7,127,129.0","7,088,396.0","7,301,124.0","7,478,443.0","7,829,981.0","8,083,105.0","8,407,685.0","8,818,437.0","9,260,384.0","9,657,822.0","10,088,454.0","10,101,532.0","10,167,303.0","10,377,417.0","10,781,706.0","11,176,666.0","11,594,850.0","11,556,532.0","11,453,945.0","10,896,633.0","11,332,480.0","....."
"34","15","  Net domestic purchases","W367RX1","4,062,860.0","4,037,374.0","4,182,289.0","4,422,062.0","4,639,196.0","4,547,713.0","4,471,974.0","4,782,763.0","5,044,803.0","5,326,549.0","5,437,776.0","5,286,519.0","5,418,177.0","5,303,527.0","5,633,664.0","6,156,828.0","6,421,947.0","6,647,289.0","6,828,140.0","7,037,321.0","7,236,498.0","7,315,340.0","7,213,865.0","7,467,110.0","7,722,189.0","8,071,956.0","8,241,787.0","8,545,501.0","8,938,487.0","9,415,366.0","9,936,300.0","10,391,906.0","10,465,428.0","10,697,714.0","11,003,456.0","11,447,224.0","11,804,314.0","12,089,620.0","12,194,205.0","11,943,361.0","11,316,825.0","11,746,832.0","11,926,317.0"
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
