"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 27, 2012  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/26/2012 10:16:34 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"19","1","      National income without capital consumption adjustment","A422RC1","7,767,106.0","8,231,037.0","8,817,910.0","9,042,924.0","9,206,148.0","9,650,299.0","10,373,937.0","11,353,903.0","12,126,858.0","12,499,989.0","12,532,144.0","12,108,063.0","12,643,666.0","....."
"20","2","Domestic industries","A423RC1","7,749,789.0","8,203,235.0","8,780,165.0","8,991,015.0","9,157,038.0","9,581,609.0","10,282,728.0","11,256,755.0","12,054,442.0","12,376,718.0","12,362,980.0","11,955,801.0","12,454,310.0","....."
"21","3","  Private industries","A736RC1","6,829,774.0","7,236,560.0","7,762,367.0","7,920,251.0","8,015,005.0","8,364,349.0","9,006,941.0","9,921,418.0","10,655,919.0","10,908,133.0","10,819,747.0","10,358,681.0","10,819,835.0","....."
"22","4","    Agriculture, forestry, fishing, and hunting","N5004C1","74,606.0","69,355.0","71,373.0","72,595.0","67,573.0","83,333.0","104,121.0","92,782.0","91,931.0","110,548.0","120,730.0","108,491.0","120,046.0","....."
"23","5","    Mining","N5005C1","72,420.0","68,433.0","92,466.0","99,336.0","81,208.0","103,268.0","124,985.0","163,113.0","198,849.0","204,476.0","251,779.0","133,993.0","156,038.0","....."
"24","6","    Utilities","N5006C1","128,872.0","135,581.0","136,168.0","140,011.0","134,447.0","136,800.0","149,137.0","161,264.0","196,462.0","198,356.0","183,220.0","174,988.0","174,346.0","....."
