"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1970","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1971","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1972","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1973","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1974","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1975","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1976","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1977","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1978","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1979","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1980","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1981","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1982","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1983","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1984","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985","1985"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","    Personal consumption expenditures (PCE)","DPCERC1","584,873.0","590,118.0","590,333.0","595,335.0","601,742.0","602,344.0","604,185.0","611,435.0","614,751.0","620,050.0","622,019.0","624,310.0","630,245.0","635,511.0","633,858.0","637,570.0","644,000.0","647,857.0","650,070.0","654,511.0","660,680.0","659,933.0","658,182.0","667,233.0","677,770.0","681,030.0","683,625.0","690,384.0","692,770.0","701,427.0","700,541.0","706,595.0","714,704.0","717,571.0","722,701.0","730,233.0","733,393.0","738,089.0","751,153.0","754,546.0","760,003.0","763,668.0","772,020.0","778,469.0","783,303.0","797,126.0","802,657.0","808,345.0","818,737.0","828,097.0","835,078.0","838,056.0","843,964.0","846,709.0","856,571.0","855,736.0","871,752.0","870,690.0","879,456.0","879,266.0","887,281.0","892,482.0","904,232.0","913,605.0","925,224.0","930,795.0","940,683.0","957,546.0","957,786.0","961,975.0","958,945.0","964,599.0","978,411.0","992,269.0","993,559.0","998,180.0","1,022,211.0","1,030,148.0","1,043,218.0","1,050,411.0","1,058,256.0","1,064,222.0","1,079,110.0","1,095,431.0","1,110,587.0","1,111,169.0","1,118,373.0","1,128,911.0","1,126,198.0","1,144,020.0","1,153,148.0","1,161,599.0","1,172,535.0","1,180,572.0","1,192,754.0","1,215,186.0","1,218,472.0","1,234,745.0","1,241,774.0","1,250,848.0","1,260,758.0","1,267,392.0","1,284,359.0","1,289,653.0","1,298,599.0","1,315,527.0","1,331,257.0","1,340,515.0","1,334,310.0","1,360,173.0","1,382,740.0","1,401,616.0","1,417,286.0","1,431,219.0","1,432,277.0","1,452,473.0","1,458,453.0","1,472,550.0","1,486,239.0","1,502,104.0","1,507,894.0","1,523,244.0","1,536,607.0","1,543,947.0","1,564,367.0","1,581,286.0","1,591,820.0","1,621,370.0","1,639,841.0","1,647,720.0","1,663,444.0","1,672,433.0","1,703,150.0","1,707,019.0","1,713,696.0","1,700,651.0","1,705,398.0","1,724,077.0","1,752,198.0","1,768,742.0","1,785,216.0","1,821,556.0","1,831,396.0","1,856,822.0","1,876,232.0","1,891,048.0","1,909,925.0","1,911,085.0","1,920,213.0","1,940,558.0","1,947,866.0","1,971,973.0","1,970,437.0","1,968,341.0","1,974,467.0","1,991,865.0","1,999,278.0","2,023,133.0","2,026,102.0","2,028,782.0","2,047,510.0","2,051,740.0","2,076,585.0","2,085,210.0","2,110,306.0","2,132,096.0","2,156,194.0","2,168,991.0","2,181,766.0","2,184,704.0","2,210,250.0","2,233,525.0","2,252,827.0","2,282,774.0","2,311,150.0","2,327,114.0","2,341,331.0","2,364,139.0","2,372,890.0","2,400,458.0","2,426,428.0","2,410,832.0","2,439,182.0","2,465,463.0","2,482,728.0","2,504,195.0","2,503,532.0","2,521,423.0","2,543,310.0","2,541,244.0","2,581,631.0","2,593,038.0","2,627,311.0","2,647,996.0","2,655,013.0","2,666,231.0","2,702,348.0","2,693,681.0","2,717,790.0","2,753,324.0","2,796,436.0","2,759,393.0","2,775,836.0","2,815,969.0"
"21","2","Goods","DGDSRC1","297,412.0","300,043.0","299,078.0","301,210.0","304,014.0","302,767.0","303,248.0","307,992.0","308,609.0","310,629.0","309,974.0","311,160.0","313,784.0","315,002.0","313,499.0","314,651.0","318,333.0","319,679.0","319,681.0","321,459.0","324,041.0","322,258.0","318,612.0","324,529.0","333,744.0","333,698.0","334,197.0","338,365.0","337,463.0","343,632.0","340,213.0","342,569.0","348,817.0","348,451.0","351,249.0","352,989.0","353,755.0","355,882.0","363,595.0","365,056.0","369,895.0","370,153.0","374,608.0","377,828.0","380,591.0","389,773.0","391,265.0","393,383.0","401,814.0","408,082.0","411,907.0","411,850.0","413,985.0","412,207.0","420,027.0","416,089.0","426,033.0","422,634.0","428,184.0","426,812.0","431,742.0","434,040.0","440,734.0","444,264.0","450,545.0","450,990.0","457,792.0","469,617.0","464,566.0","462,518.0","456,909.0","454,741.0","463,987.0","470,861.0","469,130.0","468,200.0","486,906.0","489,517.0","498,632.0","502,859.0","506,765.0","503,730.0","513,622.0","521,801.0","530,491.0","530,169.0","531,540.0","538,882.0","532,574.0","545,453.0","547,619.0","549,639.0","554,100.0","558,259.0","561,480.0","575,450.0","572,316.0","581,809.0","587,069.0","590,902.0","593,199.0","594,678.0","601,547.0","603,177.0","606,981.0","615,904.0","627,269.0","629,756.0","615,444.0","629,740.0","642,540.0","652,308.0","662,687.0","668,002.0","665,980.0","676,152.0","674,949.0","682,193.0","691,779.0","701,024.0","699,483.0","708,312.0","715,809.0","711,768.0","723,765.0","730,968.0","737,328.0","755,566.0","766,941.0","762,051.0","770,064.0","773,195.0","793,785.0","793,143.0","789,076.0","777,519.0","774,952.0","781,022.0","797,015.0","803,337.0","805,234.0","824,312.0","825,447.0","832,681.0","849,682.0","861,633.0","868,958.0","863,176.0","860,328.0","867,849.0","871,720.0","890,157.0","881,279.0","870,680.0","870,638.0","876,320.0","878,257.0","892,706.0","887,914.0","882,359.0","895,408.0","886,076.0","900,319.0","895,597.0","909,561.0","910,585.0","923,048.0","929,655.0","923,367.0","919,707.0","934,658.0","947,027.0","961,565.0","979,304.0","989,705.0","989,369.0","993,320.0","1,007,469.0","1,012,388.0","1,027,519.0","1,047,339.0","1,030,217.0","1,036,129.0","1,052,598.0","1,061,331.0","1,077,001.0","1,061,707.0","1,061,597.0","1,076,621.0","1,071,786.0","1,095,119.0","1,092,960.0","1,102,522.0","1,110,608.0","1,118,045.0","1,119,710.0","1,138,213.0","1,120,109.0","1,131,554.0","1,151,478.0","1,187,775.0","1,145,205.0","1,156,020.0","1,170,066.0"
"22","3","  Durable goods","DDURRC1","90,129.0","90,765.0","89,138.0","90,405.0","90,464.0","90,475.0","88,638.0","90,658.0","92,589.0","91,438.0","90,662.0","90,433.0","89,303.0","90,983.0","88,548.0","89,977.0","91,158.0","91,885.0","91,363.0","92,325.0","92,345.0","89,719.0","85,151.0","87,102.0","97,436.0","97,169.0","99,550.0","100,291.0","99,649.0","103,025.0","101,068.0","102,239.0","107,020.0","107,215.0","107,284.0","107,405.0","110,526.0","109,285.0","112,300.0","112,859.0","114,520.0","114,818.0","116,627.0","118,261.0","117,886.0","122,044.0","123,397.0","124,809.0","129,282.0","131,854.0","134,299.0","132,486.0","133,275.0","128,124.0","130,084.0","128,625.0","133,692.0","129,284.0","129,070.0","126,250.0","126,697.0","124,781.0","128,480.0","129,019.0","131,960.0","130,769.0","133,390.0","140,873.0","134,710.0","131,012.0","125,393.0","125,039.0","129,541.0","134,797.0","131,023.0","131,981.0","138,125.0","139,972.0","144,998.0","145,423.0","149,942.0","147,982.0","153,247.0","158,946.0","161,221.0","164,160.0","164,511.0","167,622.0","162,194.0","167,883.0","169,692.0","168,689.0","171,152.0","170,913.0","173,245.0","182,209.0","177,810.0","184,060.0","189,923.0","188,852.0","188,579.0","190,238.0","191,717.0","194,205.0","196,055.0","197,128.0","200,813.0","204,178.0","191,238.0","198,523.0","204,743.0","213,489.0","216,969.0","218,103.0","215,252.0","221,847.0","213,121.0","220,330.0","222,327.0","224,239.0","220,543.0","223,984.0","225,307.0","222,654.0","224,355.0","219,293.0","226,043.0","231,341.0","235,411.0","228,264.0","228,981.0","229,901.0","239,583.0","232,935.0","223,647.0","212,350.0","208,522.0","214,878.0","226,688.0","223,958.0","225,442.0","236,285.0","236,703.0","235,704.0","239,899.0","247,343.0","250,898.0","241,690.0","239,765.0","241,351.0","245,207.0","260,392.0","250,176.0","237,256.0","236,954.0","236,323.0","241,002.0","249,303.0","249,012.0","244,854.0","256,797.0","246,028.0","247,762.0","248,589.0","259,970.0","254,134.0","268,086.0","270,846.0","268,310.0","266,842.0","271,571.0","281,694.0","288,823.0","298,234.0","303,363.0","301,169.0","302,552.0","313,652.0","315,864.0","328,294.0","336,814.0","328,742.0","328,760.0","336,004.0","341,679.0","346,123.0","341,511.0","339,745.0","344,967.0","343,041.0","358,422.0","360,056.0","365,512.0","364,877.0","373,632.0","365,736.0","384,336.0","369,681.0","376,334.0","390,290.0","422,727.0","379,244.0","380,844.0","391,166.0"
"23","4","  Nondurable goods","DNDGRC1","207,283.0","209,279.0","209,940.0","210,805.0","213,551.0","212,292.0","214,609.0","217,334.0","216,019.0","219,191.0","219,312.0","220,728.0","224,481.0","224,019.0","224,951.0","224,674.0","227,175.0","227,795.0","228,318.0","229,134.0","231,696.0","232,539.0","233,461.0","237,427.0","236,308.0","236,529.0","234,647.0","238,074.0","237,813.0","240,607.0","239,146.0","240,330.0","241,797.0","241,235.0","243,965.0","245,584.0","243,229.0","246,597.0","251,294.0","252,197.0","255,375.0","255,334.0","257,980.0","259,567.0","262,705.0","267,729.0","267,868.0","268,574.0","272,532.0","276,228.0","277,608.0","279,364.0","280,710.0","284,083.0","289,943.0","287,465.0","292,341.0","293,350.0","299,115.0","300,562.0","305,045.0","309,260.0","312,254.0","315,245.0","318,585.0","320,221.0","324,402.0","328,744.0","329,856.0","331,506.0","331,516.0","329,702.0","334,446.0","336,064.0","338,108.0","336,219.0","348,782.0","349,546.0","353,634.0","357,436.0","356,823.0","355,748.0","360,375.0","362,855.0","369,270.0","366,009.0","367,029.0","371,259.0","370,380.0","377,570.0","377,927.0","380,950.0","382,947.0","387,346.0","388,235.0","393,241.0","394,506.0","397,749.0","397,146.0","402,050.0","404,620.0","404,440.0","409,831.0","408,972.0","410,926.0","418,776.0","426,457.0","425,578.0","424,206.0","431,217.0","437,797.0","438,819.0","445,718.0","449,899.0","450,728.0","454,305.0","461,828.0","461,863.0","469,453.0","476,785.0","478,941.0","484,329.0","490,502.0","489,114.0","499,411.0","511,675.0","511,285.0","524,225.0","531,530.0","533,787.0","541,083.0","543,293.0","554,202.0","560,208.0","565,429.0","565,169.0","566,429.0","566,144.0","570,327.0","579,379.0","579,792.0","588,027.0","588,744.0","596,977.0","609,783.0","614,290.0","618,060.0","621,485.0","620,563.0","626,498.0","626,512.0","629,765.0","631,103.0","633,424.0","633,684.0","639,998.0","637,255.0","643,403.0","638,902.0","637,504.0","638,611.0","640,048.0","652,557.0","647,009.0","649,591.0","656,450.0","654,961.0","658,809.0","655,056.0","652,865.0","663,087.0","665,333.0","672,743.0","681,070.0","686,342.0","688,200.0","690,768.0","693,817.0","696,524.0","699,224.0","710,525.0","701,476.0","707,370.0","716,594.0","719,652.0","730,877.0","720,196.0","721,852.0","731,653.0","728,744.0","736,696.0","732,903.0","737,010.0","745,731.0","744,413.0","753,974.0","753,878.0","750,428.0","755,220.0","761,188.0","765,047.0","765,961.0","775,175.0","778,899.0"
"24","5","Services","DSERRC1","287,461.0","290,075.0","291,255.0","294,125.0","297,728.0","299,577.0","300,937.0","303,443.0","306,143.0","309,420.0","312,045.0","313,150.0","316,461.0","320,510.0","320,359.0","322,919.0","325,667.0","328,178.0","330,389.0","333,052.0","336,639.0","337,675.0","339,570.0","342,704.0","344,027.0","347,333.0","349,428.0","352,019.0","355,308.0","357,794.0","360,328.0","364,027.0","365,887.0","369,120.0","371,452.0","377,244.0","379,638.0","382,207.0","387,559.0","389,490.0","390,108.0","393,515.0","397,413.0","400,641.0","402,712.0","407,353.0","411,392.0","414,962.0","416,923.0","420,015.0","423,171.0","426,206.0","429,979.0","434,502.0","436,544.0","439,647.0","445,719.0","448,056.0","451,272.0","452,454.0","455,539.0","458,441.0","463,498.0","469,341.0","474,679.0","479,805.0","482,891.0","487,929.0","493,220.0","499,456.0","502,035.0","509,858.0","514,424.0","521,408.0","524,429.0","529,980.0","535,305.0","540,630.0","544,586.0","547,552.0","551,491.0","560,492.0","565,488.0","573,630.0","580,096.0","581,000.0","586,833.0","590,030.0","593,624.0","598,567.0","605,528.0","611,961.0","618,435.0","622,313.0","631,274.0","639,736.0","646,156.0","652,935.0","654,705.0","659,945.0","667,558.0","672,713.0","682,812.0","686,476.0","691,618.0","699,623.0","703,988.0","710,759.0","718,866.0","730,433.0","740,199.0","749,308.0","754,599.0","763,217.0","766,297.0","776,321.0","783,504.0","790,357.0","794,460.0","801,080.0","808,411.0","814,932.0","820,798.0","832,178.0","840,601.0","850,318.0","854,491.0","865,804.0","872,900.0","885,669.0","893,379.0","899,238.0","909,365.0","913,876.0","924,620.0","923,132.0","930,447.0","943,055.0","955,183.0","965,405.0","979,982.0","997,243.0","1,005,949.0","1,024,141.0","1,026,550.0","1,029,415.0","1,040,967.0","1,047,909.0","1,059,885.0","1,072,709.0","1,076,146.0","1,081,815.0","1,089,158.0","1,097,661.0","1,103,829.0","1,115,545.0","1,121,021.0","1,130,427.0","1,138,188.0","1,146,423.0","1,152,102.0","1,165,664.0","1,176,266.0","1,189,613.0","1,200,744.0","1,221,511.0","1,233,146.0","1,239,336.0","1,258,399.0","1,264,997.0","1,275,592.0","1,286,498.0","1,291,262.0","1,303,470.0","1,321,445.0","1,337,745.0","1,348,011.0","1,356,670.0","1,360,502.0","1,372,939.0","1,379,089.0","1,380,614.0","1,403,053.0","1,412,865.0","1,421,397.0","1,427,195.0","1,441,825.0","1,459,826.0","1,466,690.0","1,469,459.0","1,486,512.0","1,500,078.0","1,524,789.0","1,537,388.0","1,536,968.0","1,546,522.0","1,564,134.0","1,573,573.0","1,586,236.0","1,601,846.0","1,608,662.0","1,614,187.0","1,619,816.0","1,645,903.0"
"25",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
