"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 27, 2012  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/26/2012 10:16:47 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","782,796.0","812,272.0","764,972.0","776,621.0","830,329.0","851,951.0","869,764.0","936,724.0","917,485.0","950,059.0","992,683.0","1,050,907.0","1,187,220.0","1,226,862.0","1,292,235.0","1,281,408.0","1,408,162.0","1,428,954.0","1,454,690.0","1,532,537.0","1,590,921.0","1,597,715.0","1,655,051.0","1,589,558.0","1,515,503.0","1,565,334.0","1,500,972.0","1,460,756.0","1,360,009.0","1,333,743.0","1,328,578.0","971,207.0","1,175,249.0","1,262,304.0","1,438,828.0","1,571,574.0","1,724,203.0","1,785,821.0","1,833,065.0","1,857,402.0","1,876,432.0","1,937,551.0","1,970,112.0","....."
"21","2","Domestic industries","A445RC1","622,729.0","641,262.0","618,414.0","575,455.0","671,583.0","706,019.0","713,202.0","766,417.0","768,347.0","791,117.0","829,566.0","859,099.0","974,042.0","1,029,610.0","1,076,991.0","1,086,973.0","1,173,986.0","1,195,696.0","1,201,742.0","1,295,151.0","1,343,979.0","1,342,431.0","1,404,053.0","1,315,417.0","1,227,491.0","1,252,831.0","1,127,107.0","1,031,621.0","941,864.0","915,045.0","889,187.0","621,100.0","815,173.0","917,682.0","1,076,269.0","1,197,257.0","1,355,259.0","1,395,190.0","1,437,815.0","1,484,544.0","1,465,662.0","1,492,177.0","1,519,294.0","....."
"22","3","  Financial \1\","N587RC1","232,908.0","243,446.0","244,682.0","256,615.0","281,895.0","287,370.0","285,117.0","294,101.0","314,195.0","319,761.0","332,571.0","337,115.0","352,877.0","355,034.0","364,394.0","385,140.0","425,474.0","390,192.0","440,636.0","419,724.0","441,998.0","447,492.0","416,479.0","404,359.0","345,112.0","358,940.0","343,771.0","247,466.0","217,411.0","183,199.0","38,320.0","-91,894.0","195,243.0","351,609.0","441,030.0","450,085.0","441,928.0","452,672.0","460,046.0","511,963.0","473,325.0","419,055.0","428,293.0","....."
"23","4","  Nonfinancial","N463RC1","389,821.0","397,816.0","373,732.0","318,840.0","389,688.0","418,649.0","428,085.0","472,316.0","454,152.0","471,356.0","496,995.0","521,984.0","621,165.0","674,576.0","712,597.0","701,833.0","748,512.0","805,504.0","761,106.0","875,427.0","901,981.0","894,939.0","987,574.0","911,058.0","882,379.0","893,891.0","783,336.0","784,155.0","724,453.0","731,846.0","850,867.0","712,994.0","619,930.0","566,073.0","635,239.0","747,172.0","913,331.0","942,518.0","977,769.0","972,581.0","992,337.0","1,073,122.0","1,091,001.0","....."
"24","5","Rest of the world","B394RC1","160,068.0","171,010.0","146,559.0","201,165.0","158,747.0","145,932.0","156,564.0","170,307.0","149,137.0","158,942.0","163,118.0","191,808.0","213,178.0","197,252.0","215,244.0","194,434.0","234,176.0","233,258.0","252,947.0","237,386.0","246,942.0","255,283.0","250,998.0","274,141.0","288,012.0","312,504.0","373,866.0","429,135.0","418,144.0","418,699.0","439,391.0","350,109.0","360,076.0","344,622.0","362,559.0","374,316.0","368,944.0","390,631.0","395,251.0","372,858.0","410,770.0","445,374.0","450,818.0","....."
"25","6","  Receipts from the rest of the world","B933RC1","191,215.0","186,286.0","176,054.0","176,765.0","191,677.0","202,286.0","217,235.0","206,417.0","229,377.0","236,193.0","250,114.0","280,982.0","314,677.0","323,147.0","332,724.0","342,141.0","373,250.0","374,570.0","384,263.0","404,138.0","410,573.0","436,006.0","441,191.0","450,017.0","465,823.0","498,663.0","528,428.0","549,464.0","599,539.0","618,950.0","600,701.0","508,333.0","455,299.0","466,464.0","496,014.0","543,834.0","545,508.0","565,889.0","575,545.0","591,620.0","611,888.0","660,916.0","650,360.0","....."
"26","7","  Less: Payments to the rest of the world","B934RC1","31,147.0","15,275.0","29,495.0","-24,400.0","32,930.0","56,354.0","60,672.0","36,110.0","80,240.0","77,250.0","86,995.0","89,174.0","101,499.0","125,895.0","117,481.0","147,707.0","139,073.0","141,313.0","131,316.0","166,752.0","163,632.0","180,724.0","190,193.0","175,875.0","177,811.0","186,159.0","154,562.0","120,329.0","181,395.0","200,252.0","161,310.0","158,224.0","95,223.0","121,842.0","133,455.0","169,518.0","176,563.0","175,258.0","180,294.0","218,762.0","201,118.0","215,542.0","199,542.0","....."
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","730,161.0","762,649.0","708,049.0","682,206.0","713,252.0","737,729.0","761,780.0","838,363.0","837,926.0","853,488.0","903,090.0","974,257.0","1,120,488.0","1,171,279.0","1,246,027.0","1,242,799.0","1,542,887.0","1,573,468.0","1,612,960.0","1,708,524.0","1,781,894.0","1,771,368.0","1,822,766.0","1,762,719.0","1,688,302.0","1,748,675.0","1,686,024.0","1,641,484.0","1,412,270.0","1,396,955.0","1,403,102.0","1,049,581.0","1,285,743.0","1,359,693.0","1,525,043.0","1,654,575.0","1,796,951.0","1,859,931.0","1,812,560.0","1,652,166.0","1,761,082.0","1,830,231.0","1,867,389.0","....."
