"","Table 3#17# Selected Government Current and Capital Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 13, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 10:33:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19",NA,"        Current expenditures \1\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"Consumption expenditures:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1","      Government","A955RC1","80,693.0","83,281.0","88,170.0","96,798.0","102,711.0","108,587.0","115,891.0","131,844.0","149,531.0","165,674.0","178,164.0"
"22","2","General public service","G170021","4,549.0","4,927.0","5,415.0","5,741.0","5,998.0","6,579.0","7,225.0","7,817.0","8,335.0","9,394.0","11,364.0"
"23","3","National defense","A997RC1","40,109.0","40,999.0","42,653.0","46,563.0","48,323.0","48,775.0","50,558.0","59,893.0","69,933.0","77,091.0","78,144.0"
"24","4","Public order and safety","G170041","4,087.0","4,446.0","4,763.0","5,018.0","5,300.0","5,703.0","6,137.0","6,707.0","7,505.0","8,680.0","9,611.0"
"25","5","Economic affairs","G170051","12,042.0","10,936.0","11,053.0","13,211.0","14,480.0","16,230.0","17,442.0","18,067.0","19,526.0","21,445.0","23,475.0"
"26","6","Housing and community services","G170061","565.0","608.0","648.0","717.0","753.0","777.0","782.0","896.0","1,051.0","1,047.0","1,085.0"
"27","7","Health","G170071","3,767.0","4,071.0","4,474.0","4,636.0","4,979.0","5,363.0","5,649.0","6,222.0","6,781.0","7,572.0","8,481.0"
"28","8","Recreation and culture","G170081","582.0","643.0","724.0","743.0","790.0","832.0","917.0","998.0","1,107.0","1,371.0","1,589.0"
"29","9","Education","G170091","14,027.0","15,691.0","17,276.0","18,853.0","20,695.0","22,832.0","25,326.0","29,029.0","32,684.0","36,349.0","41,168.0"
"30","10","Income security","G170101","964.0","960.0","1,165.0","1,316.0","1,392.0","1,497.0","1,856.0","2,215.0","2,609.0","2,725.0","3,247.0"
"31","11","      Federal","A957RC1","49,946.0","49,734.0","51,610.0","57,814.0","60,770.0","62,797.0","65,697.0","75,743.0","86,956.0","95,293.0","98,315.0"
"32","12","General public service","G170121","1,724.0","1,890.0","1,963.0","2,147.0","2,319.0","2,471.0","2,689.0","2,702.0","2,626.0","2,695.0","3,321.0"
"33","13","National defense","A997RC1","40,109.0","40,999.0","42,653.0","46,563.0","48,323.0","48,775.0","50,558.0","59,893.0","69,933.0","77,091.0","78,144.0"
"34","14","Public order and safety","G170141","284.0","300.0","315.0","327.0","346.0","361.0","385.0","421.0","467.0","512.0","607.0"
"35","15","Economic affairs","G170151","6,068.0","4,640.0","4,402.0","6,188.0","7,012.0","8,279.0","8,890.0","8,753.0","9,357.0","10,475.0","11,345.0"
"36","16","Housing and community services","G170161","41.0","65.0","114.0","149.0","186.0","172.0","157.0","212.0","302.0","174.0","185.0"
"37","17","Health","G170171","1,163.0","1,300.0","1,435.0","1,571.0","1,675.0","1,842.0","1,889.0","2,225.0","2,468.0","2,754.0","2,983.0"
"38","18","Recreation and culture","G170181","85.0","109.0","119.0","136.0","156.0","145.0","172.0","201.0","226.0","271.0","336.0"
"39","19","Education","G170191","159.0","149.0","164.0","196.0","232.0","269.0","300.0","528.0","638.0","598.0","568.0"
"40","20","Income security","G170201","313.0","282.0","445.0","537.0","521.0","483.0","657.0","808.0","939.0","723.0","826.0"
"41","21","      State and local","A991RC1","30,747.0","33,547.0","36,560.0","38,984.0","41,941.0","45,790.0","50,194.0","56,101.0","62,575.0","70,381.0","79,849.0"
"42","22","General public service","G170221","2,825.0","3,037.0","3,452.0","3,594.0","3,679.0","4,108.0","4,536.0","5,115.0","5,709.0","6,699.0","8,043.0"
"43","23","Public order and safety","G170231","3,803.0","4,146.0","4,448.0","4,691.0","4,954.0","5,342.0","5,752.0","6,286.0","7,038.0","8,168.0","9,004.0"
"44","24","Economic affairs","G170241","5,974.0","6,296.0","6,651.0","7,023.0","7,468.0","7,951.0","8,552.0","9,314.0","10,169.0","10,970.0","12,130.0"
"45","25","Housing and community services","G170251","524.0","543.0","534.0","568.0","567.0","605.0","625.0","684.0","749.0","873.0","900.0"
"46","26","Health","G170261","2,604.0","2,771.0","3,039.0","3,065.0","3,304.0","3,521.0","3,760.0","3,997.0","4,313.0","4,818.0","5,498.0"
"47","27","Recreation and culture","G170271","497.0","534.0","605.0","607.0","634.0","687.0","745.0","797.0","881.0","1,100.0","1,253.0"
"48","28","Education","G170281","13,868.0","15,542.0","17,112.0","18,657.0","20,463.0","22,563.0","25,026.0","28,501.0","32,046.0","35,751.0","40,600.0"
"49","29","Income security","G170291","651.0","678.0","720.0","779.0","871.0","1,014.0","1,199.0","1,407.0","1,670.0","2,002.0","2,421.0"
"50",NA,"Government social benefits:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","30","      Government","W063RC1","22,917.0","24,674.0","28,365.0","29,142.0","30,665.0","31,663.0","34,366.0","37,968.0","46,307.0","53,863.0","59,558.0"
"52","31","General public service","G170311","63.0","199.0","261.0","151.0","132.0","132.0","181.0","139.0","178.0","151.0","179.0"
"53","32","Public order and safety","G170321",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"54","33","Economic affairs","G170331","11.0","11.0","20.0","26.0","44.0","83.0","188.0","263.0","358.0","387.0","405.0"
"55","34","Housing and community services","G170341",".....",".....",".....",".....","10.0","30.0","10.0","0.0","0.0","0.0","0.0"
"56","35","Health","G170351","1,325.0","1,392.0","1,822.0","1,882.0","2,164.0","2,227.0","2,471.0","4,101.0","8,750.0","11,234.0","12,794.0"
"57","36","Recreation and culture","G170361",".....",".....",".....",".....",".....",".....",".....","1.0","3.0","6.0","9.0"
"58","37","Education","G170371","601.0","457.0","366.0","327.0","329.0","345.0","418.0","690.0","1,218.0","1,569.0","1,941.0"
"59","38","Income security","G170381","20,917.0","22,615.0","25,896.0","26,756.0","27,986.0","28,846.0","31,098.0","32,774.0","35,800.0","40,516.0","44,230.0"
"60","39","      Federal","W015RC1","18,578.0","20,113.0","23,383.0","23,802.0","24,968.0","25,509.0","27,715.0","30,347.0","37,075.0","42,417.0","46,341.0"
"61","40","General public service","G170401","0.0","116.0","140.0","106.0","114.0","108.0","157.0","115.0","143.0","103.0","104.0"
"62","41","Public order and safety","G170411",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"63","42","Economic affairs","G170421","6.0","5.0","8.0","14.0","32.0","71.0","176.0","251.0","346.0","375.0","393.0"
"64","43","Housing and community services","G170431",".....",".....",".....",".....","10.0","30.0","10.0","0.0","0.0","0.0","0.0"
"65","44","Health","G170441","846.0","851.0","1,121.0","940.0","1,082.0","960.0","983.0","2,099.0","5,958.0","7,157.0","8,154.0"
