"","Table 3#13# Subsidies                                           ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1960 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 08, 2011   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/25/2011 10:33:50 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","    Subsidies","A107RC1","1,146.0","2,014.0","2,273.0","2,234.0","2,729.0","3,007.0","3,949.0","3,811.0","4,174.0","4,534.0"
"20","2","Federal","B096RC1","1,146.0","2,014.0","2,273.0","2,222.0","2,719.0","2,989.0","3,925.0","3,785.0","4,147.0","4,509.0"
"21","3","  Agricultural","L312041","720.0","1,515.0","1,728.0","1,683.0","2,175.0","2,461.0","3,284.0","3,117.0","3,492.0","3,789.0"
"22","4","  Housing","L312051","146.0","159.0","176.0","195.0","210.0","234.0","254.0","278.0","327.0","420.0"
"23","5","  Maritime","L312061","149.0","176.0","212.0","191.0","202.0","195.0","172.0","199.0","204.0","198.0"
"24","6","  Air carriers","L312071","69.0","81.0","83.0","83.0","82.0","80.0","67.0","60.0","52.0","40.0"
"25","7","  Other \1\","L312081","62.0","83.0","74.0","70.0","50.0","19.0","148.0","131.0","72.0","62.0"
"26","8","State and local","B114RC1","0.0","0.0","0.0","12.0","10.0","18.0","24.0","26.0","27.0","25.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1. Consists largely of subsidies to railroads, mass transit systems, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","the Federal Crop Insurance Corporation (FCIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
