"","Table 7#5# Consumption of Fixed Capital by Legal Form of Organiz","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","      Consumption of fixed capital","A262RC1","25,592.0","26,263.0","27,093.0","27,649.0","27,932.0","28,257.0","28,730.0","28,942.0","29,243.0","29,197.0","29,122.0","29,158.0","29,098.0","29,375.0","30,079.0","31,217.0","32,499.0","33,462.0","34,270.0","34,936.0","35,365.0","35,936.0","36,625.0","37,212.0","37,867.0","38,483.0","38,875.0","39,320.0","39,792.0","40,384.0","40,846.0","41,361.0","41,662.0","42,184.0","43,125.0","44,172.0","45,486.0","46,626.0","47,671.0","48,634.0","49,645.0","50,497.0","51,289.0","51,945.0","52,271.0","52,891.0","53,614.0","54,243.0","54,803.0","55,257.0","55,647.0","55,947.0","56,155.0","56,410.0","56,697.0","57,074.0","57,475.0","57,922.0","58,398.0","58,935.0","59,591.0","60,117.0","60,869.0","61,657.0","62,296.0","63,004.0","63,665.0","64,362.0","65,091.0","65,880.0","66,750.0","67,744.0","68,832.0","70,054.0","71,340.0","72,651.0","74,067.0","75,695.0","77,234.0","78,819.0","80,378.0","81,985.0","83,773.0","85,602.0","87,549.0","89,373.0","91,297.0","93,455.0","95,638.0","97,984.0"
"21","2","Private","A024RC1","14,589.0","15,662.0","16,594.0","17,387.0","18,037.0","18,622.0","19,148.0","19,609.0","20,007.0","20,363.0","20,676.0","20,950.0","21,180.0","21,611.0","22,244.0","23,073.0","24,106.0","24,939.0","25,579.0","26,024.0","26,270.0","26,556.0","26,884.0","27,250.0","27,659.0","28,041.0","28,396.0","28,724.0","29,026.0","29,325.0","29,619.0","29,910.0","30,199.0","30,658.0","31,284.0","32,087.0","33,046.0","33,951.0","34,792.0","35,575.0","36,296.0","36,966.0","37,583.0","38,151.0","38,665.0","39,158.0","39,635.0","40,094.0","40,535.0","40,881.0","41,134.0","41,290.0","41,351.0","41,468.0","41,643.0","41,870.0","42,156.0","42,460.0","42,784.0","43,124.0","43,486.0","43,867.0","44,271.0","44,692.0","45,133.0","45,606.0","46,116.0","46,657.0","47,235.0","47,890.0","48,625.0","49,438.0","50,332.0","51,301.0","52,344.0","53,463.0","54,659.0","55,866.0","57,085.0","58,314.0","59,560.0","60,857.0","62,207.0","63,612.0","65,066.0","66,591.0","68,184.0","69,847.0","71,580.0","73,436.0"
"22","3","  Domestic business","W276RC1","12,251.0","13,160.0","13,951.0","14,626.0","15,181.0","15,685.0","16,142.0","16,548.0","16,902.0","17,212.0","17,475.0","17,695.0","17,869.0","18,216.0","18,739.0","19,432.0","20,301.0","20,994.0","21,518.0","21,871.0","22,048.0","22,266.0","22,525.0","22,821.0","23,162.0","23,479.0","23,772.0","24,043.0","24,291.0","24,526.0","24,745.0","24,950.0","25,144.0","25,496.0","26,005.0","26,679.0","27,500.0","28,279.0","29,009.0","29,692.0","30,328.0","30,920.0","31,467.0","31,973.0","32,434.0","32,865.0","33,270.0","33,647.0","33,997.0","34,256.0","34,428.0","34,507.0","34,496.0","34,545.0","34,653.0","34,818.0","35,043.0","35,287.0","35,549.0","35,829.0","36,128.0","36,440.0","36,768.0","37,108.0","37,462.0","37,841.0","38,250.0","38,683.0","39,144.0","39,672.0","40,267.0","40,929.0","41,658.0","42,460.0","43,334.0","44,280.0","45,301.0","46,332.0","47,375.0","48,428.0","49,494.0","50,599.0","51,743.0","52,928.0","54,149.0","55,417.0","56,730.0","58,088.0","59,493.0","61,032.0"
"23","4","    Corporate business","A438RC1","8,098.0","8,671.0","9,171.0","9,596.0","9,947.0","10,263.0","10,542.0","10,784.0","10,990.0","11,168.0","11,317.0","11,437.0","11,529.0","11,738.0","12,065.0","12,508.0","13,067.0","13,515.0","13,852.0","14,078.0","14,193.0","14,345.0","14,537.0","14,765.0","15,033.0","15,282.0","15,513.0","15,724.0","15,916.0","16,098.0","16,267.0","16,423.0","16,570.0","16,836.0","17,220.0","17,726.0","18,348.0","18,946.0","19,519.0","20,067.0","20,590.0","21,068.0","21,498.0","21,884.0","22,223.0","22,546.0","22,853.0","23,146.0","23,421.0","23,629.0","23,773.0","23,849.0","23,859.0","23,912.0","24,006.0","24,143.0","24,321.0","24,510.0","24,711.0","24,922.0","25,143.0","25,382.0","25,640.0","25,915.0","26,208.0","26,515.0","26,838.0","27,175.0","27,528.0","27,930.0","28,381.0","28,881.0","29,432.0","30,038.0","30,699.0","31,415.0","32,188.0","32,977.0","33,783.0","34,604.0","35,444.0","36,314.0","37,215.0","38,147.0","39,109.0","40,099.0","41,114.0","42,158.0","43,226.0","44,411.0"
"24","5","      Financial","B580RC1","303.0","337.0","361.0","375.0","378.0","384.0","391.0","399.0","410.0","419.0","424.0","427.0","427.0","432.0","443.0","458.0","478.0","495.0","508.0","519.0","525.0","532.0","540.0","547.0","556.0","566.0","577.0","589.0","601.0","611.0","617.0","619.0","619.0","626.0","639.0","660.0","687.0","711.0","732.0","750.0","765.0","784.0","805.0","830.0","858.0","883.0","904.0","923.0","937.0","943.0","944.0","936.0","920.0","913.0","912.0","919.0","933.0","946.0","959.0","970.0","980.0","992.0","1,006.0","1,022.0","1,038.0","1,055.0","1,073.0","1,090.0","1,109.0","1,134.0","1,164.0","1,201.0","1,244.0","1,285.0","1,325.0","1,362.0","1,399.0","1,437.0","1,475.0","1,513.0","1,553.0","1,599.0","1,651.0","1,709.0","1,773.0","1,842.0","1,914.0","1,991.0","2,072.0","2,157.0"
"25","6","      Nonfinancial","B456RC1","7,795.0","8,334.0","8,810.0","9,221.0","9,569.0","9,879.0","10,151.0","10,385.0","10,580.0","10,749.0","10,893.0","11,010.0","11,102.0","11,306.0","11,622.0","12,050.0","12,589.0","13,020.0","13,344.0","13,559.0","13,668.0","13,813.0","13,997.0","14,218.0","14,477.0","14,716.0","14,936.0","15,135.0","15,315.0","15,487.0","15,650.0","15,804.0","15,951.0","16,210.0","16,581.0","17,066.0","17,661.0","18,235.0","18,787.0","19,317.0","19,825.0","20,284.0","20,693.0","21,054.0","21,365.0","21,663.0","21,949.0","22,223.0","22,484.0","22,686.0","22,829.0","22,913.0","22,939.0","22,999.0","23,094.0","23,224.0","23,388.0","23,564.0","23,752.0","23,952.0","24,163.0","24,390.0","24,634.0","24,893.0","25,170.0","25,460.0","25,765.0","26,085.0","26,419.0","26,796.0","27,217.0","27,680.0","28,188.0","28,753.0","29,374.0","30,053.0","30,789.0","31,540.0","32,308.0","33,091.0","33,891.0","34,715.0","35,564.0","36,438.0","37,336.0","38,257.0","39,200.0","40,167.0","41,154.0","42,254.0"
"26","7","    Noncorporate business","W277RC1","4,153.0","4,489.0","4,780.0","5,030.0","5,234.0","5,422.0","5,600.0","5,764.0","5,912.0","6,044.0","6,158.0","6,258.0","6,340.0","6,478.0","6,674.0","6,924.0","7,234.0","7,479.0","7,666.0","7,793.0","7,855.0","7,921.0","7,988.0","8,056.0","8,129.0","8,197.0","8,259.0","8,319.0","8,375.0","8,428.0","8,478.0","8,527.0","8,574.0","8,660.0","8,785.0","8,953.0","9,152.0","9,333.0","9,490.0","9,625.0","9,738.0","9,852.0","9,969.0","10,089.0","10,211.0","10,319.0","10,417.0","10,501.0","10,576.0","10,627.0","10,655.0","10,658.0","10,637.0","10,633.0","10,647.0","10,675.0","10,722.0","10,777.0","10,838.0","10,907.0","10,985.0","11,058.0","11,128.0","11,193.0","11,254.0","11,326.0","11,412.0","11,508.0","11,616.0","11,742.0","11,886.0","12,048.0","12,226.0","12,422.0","12,635.0","12,865.0","13,113.0","13,355.0","13,592.0","13,824.0","14,050.0","14,285.0","14,528.0","14,781.0","15,040.0","15,318.0","15,616.0","15,930.0","16,267.0","16,621.0"
"27","8","      Sole proprietorships and partnerships","A1615C1","3,333.0","3,618.0","3,868.0","4,085.0","4,266.0","4,436.0","4,598.0","4,748.0","4,888.0","5,010.0","5,116.0","5,206.0","5,278.0","5,400.0","5,572.0","5,794.0","6,065.0","6,281.0","6,444.0","6,554.0","6,607.0","6,664.0","6,722.0","6,783.0","6,845.0","6,904.0","6,959.0","7,012.0","7,060.0","7,105.0","7,146.0","7,185.0","7,221.0","7,293.0","7,400.0","7,546.0","7,722.0","7,883.0","8,024.0","8,147.0","8,251.0","8,357.0","8,465.0","8,575.0","8,686.0","8,786.0","8,878.0","8,958.0","9,031.0","9,069.0","9,076.0","9,048.0","8,989.0","8,948.0","8,928.0","8,927.0","8,945.0","8,967.0","8,991.0","9,017.0","9,048.0","9,085.0","9,130.0","9,181.0","9,239.0","9,304.0","9,376.0","9,453.0","9,537.0","9,636.0","9,752.0","9,883.0","10,029.0","10,186.0","10,355.0","10,534.0","10,725.0","10,917.0","11,110.0","11,304.0","11,499.0","11,697.0","11,898.0","12,102.0","12,310.0","12,532.0","12,770.0","13,020.0","13,289.0","13,579.0"
"28","9","        Farm","B1616C1","1,107.0","1,195.0","1,279.0","1,359.0","1,434.0","1,507.0","1,579.0","1,648.0","1,715.0","1,775.0","1,829.0","1,877.0","1,918.0","1,970.0","2,034.0","2,110.0","2,197.0","2,271.0","2,333.0","2,383.0","2,419.0","2,452.0","2,480.0","2,505.0","2,524.0","2,543.0","2,560.0","2,577.0","2,592.0","2,603.0","2,609.0","2,612.0","2,610.0","2,619.0","2,638.0","2,669.0","2,708.0","2,742.0","2,769.0","2,789.0","2,802.0","2,822.0","2,848.0","2,880.0","2,919.0","2,954.0","2,986.0","3,013.0","3,039.0","3,050.0","3,048.0","3,031.0","3,002.0","2,980.0","2,967.0","2,963.0","2,967.0","2,973.0","2,980.0","2,988.0","2,998.0","3,011.0","3,028.0","3,047.0","3,070.0","3,094.0","3,118.0","3,142.0","3,167.0","3,199.0","3,238.0","3,284.0","3,336.0","3,391.0","3,450.0","3,511.0","3,575.0","3,642.0","3,711.0","3,784.0","3,858.0","3,929.0","3,998.0","4,063.0","4,127.0","4,190.0","4,254.0","4,317.0","4,381.0","4,450.0"
"29","10","        Nonfarm","B1617C1","2,226.0","2,423.0","2,589.0","2,726.0","2,832.0","2,929.0","3,019.0","3,100.0","3,173.0","3,235.0","3,287.0","3,329.0","3,360.0","3,430.0","3,538.0","3,684.0","3,868.0","4,010.0","4,111.0","4,171.0","4,188.0","4,212.0","4,242.0","4,278.0","4,321.0","4,361.0","4,399.0","4,435.0","4,468.0","4,502.0","4,537.0","4,573.0","4,611.0","4,674.0","4,762.0","4,877.0","5,014.0","5,141.0","5,255.0","5,358.0","5,449.0","5,535.0","5,617.0","5,695.0","5,767.0","5,832.0","5,892.0","5,945.0","5,992.0","6,019.0","6,028.0","6,017.0","5,987.0","5,968.0","5,961.0","5,964.0","5,978.0","5,994.0","6,011.0","6,029.0","6,050.0","6,074.0","6,102.0","6,134.0","6,169.0","6,210.0","6,258.0","6,311.0","6,370.0","6,437.0","6,514.0","6,599.0","6,693.0","6,795.0","6,905.0","7,023.0","7,150.0","7,275.0","7,399.0","7,520.0","7,641.0","7,768.0","7,900.0","8,039.0","8,183.0","8,342.0","8,516.0","8,703.0","8,908.0","9,129.0"
"30","11","      Other private business","A1618C1","820.0","871.0","912.0","945.0","968.0","986.0","1,002.0","1,016.0","1,024.0","1,034.0","1,042.0","1,052.0","1,062.0","1,078.0","1,102.0","1,130.0","1,169.0","1,198.0","1,222.0","1,239.0","1,248.0","1,257.0","1,266.0","1,273.0","1,284.0","1,293.0","1,300.0","1,307.0","1,315.0","1,323.0","1,332.0","1,342.0","1,353.0","1,367.0","1,385.0","1,407.0","1,430.0","1,450.0","1,466.0","1,478.0","1,487.0","1,495.0","1,504.0","1,514.0","1,525.0","1,533.0","1,539.0","1,543.0","1,545.0","1,558.0","1,579.0","1,610.0","1,648.0","1,685.0","1,719.0","1,748.0","1,777.0","1,810.0","1,847.0","1,890.0","1,937.0","1,973.0","1,998.0","2,012.0","2,015.0","2,022.0","2,036.0","2,055.0","2,079.0","2,106.0","2,134.0","2,165.0","2,197.0","2,236.0","2,280.0","2,331.0","2,388.0","2,438.0","2,482.0","2,520.0","2,551.0","2,588.0","2,630.0","2,679.0","2,730.0","2,786.0","2,846.0","2,910.0","2,978.0","3,042.0"
"31","12","        Rental income of persons","B1620C1","719.0","759.0","792.0","818.0","836.0","850.0","861.0","869.0","872.0","877.0","882.0","889.0","897.0","910.0","929.0","952.0","982.0","1,005.0","1,024.0","1,037.0","1,045.0","1,052.0","1,059.0","1,064.0","1,071.0","1,077.0","1,082.0","1,086.0","1,091.0","1,097.0","1,104.0","1,112.0","1,123.0","1,135.0","1,149.0","1,165.0","1,181.0","1,194.0","1,205.0","1,212.0","1,218.0","1,222.0","1,227.0","1,233.0","1,238.0","1,242.0","1,245.0","1,247.0","1,249.0","1,261.0","1,284.0","1,318.0","1,361.0","1,400.0","1,435.0","1,464.0","1,490.0","1,521.0","1,556.0","1,597.0","1,643.0","1,677.0","1,700.0","1,712.0","1,712.0","1,717.0","1,729.0","1,746.0","1,769.0","1,794.0","1,820.0","1,849.0","1,879.0","1,916.0","1,958.0","2,007.0","2,061.0","2,108.0","2,149.0","2,182.0","2,210.0","2,242.0","2,279.0","2,321.0","2,366.0","2,416.0","2,471.0","2,531.0","2,594.0","2,652.0"
"32","13","          Nonfarm tenant-occupied housing","B2608C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","14","          Farm tenant-occupied housing","W278RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"34","15","          Farms owned by nonoperator landlords","B2609C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"35","16","          Nonfarm nonresidential properties","B2610C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
