"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Gross domestic income","A261RC1","954,238.0","972,817.0","993,941.0","1,005,249.0","1,012,020.0","1,025,597.0","1,042,640.0","1,045,543.0","1,083,023.0","1,105,155.0","1,125,855.0","1,149,166.0","1,183,137.0","1,206,037.0","1,238,145.0","1,288,412.0","1,327,545.0","1,355,387.0","1,385,325.0","1,428,737.0","1,443,642.0","1,472,049.0","1,509,158.0","1,533,705.0","1,550,361.0","1,587,667.0","1,650,736.0","1,696,806.0","1,750,477.0","1,780,262.0","1,817,284.0","1,856,430.0","1,905,725.0","1,981,856.0","2,045,289.0","2,102,792.0","2,144,460.0","2,250,897.0","2,303,485.0","2,371,984.0","2,435,057.0","2,480,766.0","2,538,030.0","2,607,169.0","2,662,054.0","2,669,776.0","2,745,711.0","2,893,861.0","2,992,965.0","3,048,394.0","3,150,985.0","3,168,682.0","3,187,937.0","3,241,573.0","3,272,291.0","3,291,971.0","3,357,717.0","3,438,136.0","3,522,020.0","3,621,782.0","3,766,149.0","3,869,942.0","3,945,702.0","4,015,636.0","4,093,209.0","4,141,589.0","4,206,352.0","4,259,413.0","4,326,350.0","4,359,914.0","4,410,987.0","4,471,993.0","4,551,390.0","4,648,368.0","4,754,887.0","4,859,285.0","4,955,574.0","5,059,101.0","5,157,805.0","5,267,328.0","5,356,275.0","5,395,219.0","5,454,533.0","5,498,137.0","5,611,079.0","5,715,095.0","5,761,269.0","5,777,867.0","5,827,520.0","5,884,437.0","5,941,625.0","5,995,839.0","6,119,337.0","6,204,905.0","6,252,874.0","6,352,135.0","6,391,526.0","6,498,164.0","6,546,504.0","6,690,021.0","6,802,061.0","6,917,603.0","7,032,531.0","7,153,204.0","7,231,382.0","7,298,253.0","7,417,789.0","7,501,090.0","7,614,857.0","7,763,251.0","7,863,550.0","8,008,480.0","8,146,184.0","8,259,673.0","8,423,669.0","8,555,817.0","8,661,422.0","8,804,610.0","8,967,347.0","9,081,880.0","9,244,531.0","9,339,242.0","9,458,901.0","9,655,542.0","9,930,398.0","10,036,056.0","10,171,025.0","10,204,402.0","10,376,695.0","10,410,273.0","10,394,764.0","10,376,354.0","10,541,941.0","10,647,192.0","10,681,093.0","10,787,352.0","10,895,521.0","11,037,638.0","11,194,224.0","11,374,762.0","11,567,278.0","11,778,405.0","11,989,257.0","12,167,496.0","12,408,431.0","12,584,495.0","12,809,131.0","13,070,157.0","13,375,659.0","13,538,514.0","13,706,294.0","13,857,500.0","13,925,110.0","14,039,063.0","14,040,553.0","14,157,921.0","14,332,676.0","14,386,338.0","14,403,702.0","14,053,190.0","13,851,653.0","13,763,730.0","13,816,488.0","14,014,189.0","14,285,064.0","14,474,425.0","14,612,878.0","14,730,536.0","14,919,801.0","15,070,017.0"
"21","2","Compensation of employees, paid","A4002C1","555,871.0","569,744.0","586,543.0","598,185.0","608,605.0","614,127.0","622,138.0","623,904.0","641,539.0","653,657.0","664,062.0","676,285.0","701,114.0","715,780.0","729,706.0","753,941.0","781,686.0","800,831.0","819,875.0","842,543.0","860,724.0","881,392.0","903,155.0","915,795.0","919,515.0","931,797.0","957,758.0","987,678.0","1,022,400.0","1,046,176.0","1,070,844.0","1,098,099.0","1,127,058.0","1,164,488.0","1,196,993.0","1,233,813.0","1,269,815.0","1,318,035.0","1,354,947.0","1,399,420.0","1,443,529.0","1,475,308.0","1,516,311.0","1,558,295.0","1,599,100.0","1,621,428.0","1,653,549.0","1,716,602.0","1,769,012.0","1,802,022.0","1,840,194.0","1,868,052.0","1,892,052.0","1,911,335.0","1,931,005.0","1,944,941.0","1,972,915.0","2,010,700.0","2,052,531.0","2,106,683.0","2,176,190.0","2,225,910.0","2,271,057.0","2,309,468.0","2,353,942.0","2,389,418.0","2,428,137.0","2,476,356.0","2,511,886.0","2,535,142.0","2,570,835.0","2,619,886.0","2,666,076.0","2,707,738.0","2,753,861.0","2,820,307.0","2,869,993.0","2,933,212.0","2,981,741.0","3,035,145.0","3,079,559.0","3,109,037.0","3,145,687.0","3,196,128.0","3,261,171.0","3,319,592.0","3,360,820.0","3,372,667.0","3,387,360.0","3,422,094.0","3,458,081.0","3,496,791.0","3,564,106.0","3,615,651.0","3,659,463.0","3,698,356.0","3,735,315.0","3,780,572.0","3,823,049.0","3,862,728.0","3,930,834.0","3,982,716.0","4,020,460.0","4,076,190.0","4,139,534.0","4,175,418.0","4,220,457.0","4,261,663.0","4,299,411.0","4,368,346.0","4,427,504.0","4,486,696.0","4,558,815.0","4,622,282.0","4,699,698.0","4,799,297.0","4,902,788.0","4,986,445.0","5,070,028.0","5,151,955.0","5,251,453.0","5,303,046.0","5,377,325.0","5,504,776.0","5,696,703.0","5,736,197.0","5,850,317.0","5,890,941.0","5,998,983.0","5,985,130.0","5,970,958.0","5,983,065.0","6,043,894.0","6,107,112.0","6,134,239.0","6,180,314.0","6,261,690.0","6,351,916.0","6,431,254.0","6,508,312.0","6,545,735.0","6,642,645.0","6,762,279.0","6,847,560.0","6,927,405.0","7,009,872.0","7,134,947.0","7,213,578.0","7,360,243.0","7,426,399.0","7,490,629.0","7,657,166.0","7,763,169.0","7,821,480.0","7,875,663.0","7,991,661.0","8,110,025.0","8,084,101.0","8,095,267.0","8,026,885.0","7,839,433.0","7,818,234.0","7,790,733.0","7,813,378.0","7,861,680.0","7,969,289.0","8,031,537.0","8,059,942.0","8,181,542.0","8,272,959.0"
