"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"40","21","      Less: Own-account investment \4\","W117RC1","452.0","464.0","472.0","456.0","484.0","512.0","524.0","536.0","560.0","564.0","592.0","572.0","652.0","580.0","576.0","652.0","604.0","580.0","608.0","656.0","500.0","632.0","648.0","692.0","644.0","640.0","696.0","752.0","684.0","720.0","716.0","744.0","668.0","696.0","716.0","692.0","716.0","792.0","880.0","872.0","896.0","952.0","1,036.0","1,044.0","1,068.0","1,128.0","1,200.0","1,224.0","1,208.0","1,248.0","1,296.0","1,344.0","1,380.0","1,468.0","1,564.0","1,572.0","1,616.0","1,660.0","1,760.0","1,744.0","1,800.0","1,896.0","2,036.0","2,112.0","2,188.0","2,264.0","2,344.0","2,336.0","2,324.0","2,368.0","2,416.0","2,480.0","2,572.0","2,692.0","2,748.0","2,812.0","2,816.0","2,908.0","3,020.0","3,016.0","3,092.0","3,280.0","3,560.0","3,728.0","3,784.0","3,740.0","3,672.0","3,636.0","3,752.0","3,992.0","4,084.0","4,116.0","4,348.0","4,172.0","4,164.0","3,852.0","4,088.0","4,232.0","4,360.0","4,140.0","3,944.0","3,944.0","4,236.0","4,016.0","4,320.0","4,088.0","4,344.0","3,844.0","3,904.0","3,988.0","4,256.0","3,984.0","4,476.0","4,208.0","3,812.0","3,420.0","4,144.0","4,628.0","4,304.0","3,300.0","2,508.0","4,472.0","4,360.0","3,848.0","3,048.0","3,164.0","3,348.0","3,372.0","4,056.0","4,208.0","4,052.0","4,096.0","4,376.0","4,416.0","4,584.0","4,464.0","4,348.0","4,440.0","4,264.0","4,568.0","4,276.0","4,480.0","4,624.0","4,520.0","4,528.0","4,616.0","4,736.0","4,692.0","4,632.0","4,708.0","4,820.0","4,824.0","4,744.0","4,728.0","4,784.0","4,644.0","5,036.0","5,120.0","5,308.0","5,376.0","5,464.0","5,416.0","5,556.0","5,524.0","5,580.0","5,884.0","6,212.0","6,116.0","6,228.0","6,284.0"
"41","22","            Sales to other sectors","W118RC1","872.0","1,016.0","944.0","892.0","976.0","868.0","748.0","828.0","780.0","876.0","1,008.0","984.0","1,512.0","1,792.0","1,624.0","1,932.0","1,884.0","2,540.0","2,256.0","2,100.0","2,872.0","3,008.0","2,604.0","2,600.0","3,104.0","2,824.0","1,532.0","1,780.0","1,652.0","2,560.0","2,872.0","1,484.0","2,732.0","3,132.0","3,704.0","2,672.0","3,024.0","3,544.0","4,188.0","4,096.0","4,056.0","4,108.0","4,172.0","5,968.0","4,420.0","4,964.0","5,432.0","5,028.0","4,944.0","4,600.0","5,816.0","4,244.0","4,796.0","4,384.0","4,400.0","4,960.0","4,044.0","3,796.0","4,684.0","5,004.0","4,452.0","4,568.0","5,352.0","4,332.0","4,404.0","4,436.0","4,836.0","4,744.0","4,228.0","4,484.0","4,332.0","4,800.0","5,032.0","4,948.0","5,516.0","5,112.0","5,492.0","5,996.0","6,764.0","5,144.0","5,836.0","6,416.0","6,476.0","5,348.0","5,896.0","5,232.0","6,844.0","8,576.0","7,968.0","6,048.0","8,704.0","6,660.0","7,824.0","7,576.0","8,208.0","5,008.0","7,120.0","7,444.0","7,428.0","5,192.0","8,380.0","11,376.0","7,068.0","9,116.0","7,068.0","5,616.0","5,572.0","7,760.0","6,072.0","6,732.0","8,444.0","7,296.0","5,244.0","5,524.0","4,644.0","5,052.0","5,092.0","3,112.0","12,308.0","3,396.0","3,588.0","5,140.0","5,576.0","4,468.0","6,836.0","5,356.0","5,908.0","8,144.0","5,628.0","4,232.0","4,516.0","5,772.0","5,308.0","3,680.0","6,208.0","4,244.0","4,524.0","6,516.0","6,028.0","4,844.0","4,872.0","5,284.0","7,556.0","6,720.0","9,260.0","7,332.0","9,980.0","9,788.0","8,092.0","9,128.0","8,568.0","6,472.0","6,676.0","7,448.0","7,312.0","7,560.0","7,872.0","8,096.0","10,772.0","8,068.0","8,816.0","9,256.0","9,584.0","9,692.0","10,052.0","11,360.0","11,904.0","9,272.0","8,092.0","9,476.0"
"42","23","    Defense consumption expenditures \1\","A997RC1","75,748.0","77,588.0","79,136.0","80,104.0","78,348.0","75,632.0","76,156.0","75,988.0","78,076.0","76,956.0","75,756.0","77,424.0","80,644.0","81,152.0","77,644.0","78,416.0","79,328.0","79,924.0","78,264.0","80,080.0","81,956.0","84,224.0","84,352.0","87,460.0","88,956.0","89,864.0","91,216.0","93,436.0","93,416.0","96,040.0","95,584.0","98,120.0","100,808.0","103,640.0","105,180.0","106,980.0","109,360.0","111,848.0","113,864.0","115,668.0","119,140.0","123,512.0","122,432.0","130,056.0","136,036.0","141,012.0","144,572.0","153,056.0","159,184.0","165,016.0","167,736.0","177,244.0","182,976.0","186,964.0","193,872.0","200,768.0","203,256.0","208,152.0","209,436.0","214,020.0","227,016.0","231,644.0","233,716.0","238,968.0","246,232.0","249,048.0","256,744.0","262,676.0","261,576.0","268,644.0","273,124.0","268,192.0","276,784.0","282,232.0","286,224.0","289,020.0","293,320.0","292,420.0","289,844.0","298,220.0","292,140.0","300,756.0","302,468.0","302,204.0","307,380.0","306,832.0","302,668.0","314,992.0","325,712.0","322,460.0","317,772.0","312,868.0","311,600.0","312,884.0","320,076.0","316,360.0","308,824.0","306,060.0","306,204.0","308,964.0","299,028.0","299,480.0","307,184.0","297,564.0","299,064.0","298,640.0","298,836.0","291,368.0","299,708.0","305,336.0","301,652.0","306,000.0","300,868.0","308,388.0","302,748.0","306,044.0","291,348.0","302,316.0","303,416.0","304,208.0","306,584.0","304,672.0","314,336.0","326,252.0","311,572.0","328,184.0","322,948.0","324,652.0","335,432.0","338,484.0","343,368.0","350,776.0","368,244.0","375,156.0","380,344.0","398,900.0","406,992.0","444,932.0","439,092.0","449,712.0","470,152.0","477,724.0","492,524.0","484,436.0","507,500.0","511,724.0","529,416.0","510,708.0","538,320.0","541,248.0","543,660.0","552,304.0","555,784.0","568,996.0","585,840.0","590,856.0","614,204.0","620,876.0","648,488.0","649,568.0","641,948.0","659,500.0","674,608.0","680,496.0","690,964.0","701,560.0","713,064.0","702,720.0","701,020.0","723,276.0"
"43","24","      Gross output of general government","W085RC1","75,996.0","77,908.0","79,396.0","80,328.0","78,684.0","75,924.0","76,404.0","76,196.0","78,284.0","77,172.0","76,100.0","77,648.0","81,180.0","81,948.0","78,252.0","79,176.0","80,040.0","81,212.0","79,580.0","81,072.0","83,456.0","85,912.0","85,956.0","88,976.0","91,076.0","91,516.0","91,680.0","94,048.0","94,008.0","96,692.0","96,232.0","98,652.0","101,548.0","104,724.0","106,076.0","107,528.0","110,064.0","112,628.0","114,824.0","116,832.0","120,184.0","124,384.0","123,260.0","131,176.0","137,108.0","142,024.0","146,004.0","154,668.0","160,968.0","166,240.0","169,684.0","178,648.0","184,940.0","188,676.0","195,236.0","203,240.0","204,644.0","209,416.0","210,476.0","215,580.0","228,544.0","233,124.0","236,072.0","240,436.0","247,620.0","250,756.0","258,844.0","264,480.0","263,012.0","270,492.0","275,164.0","270,232.0","278,916.0","284,344.0","288,668.0","290,824.0","295,472.0","294,728.0","292,976.0","300,200.0","294,548.0","303,204.0","305,044.0","304,532.0","310,068.0","309,284.0","306,192.0","319,448.0","328,876.0","326,068.0","321,744.0","315,540.0","315,496.0","317,648.0","324,556.0","319,248.0","312,968.0","310,380.0","311,516.0","312,228.0","304,628.0","306,184.0","312,008.0","304,284.0","303,344.0","301,976.0","302,072.0","295,236.0","303,236.0","309,288.0","306,280.0","310,164.0","304,312.0","312,300.0","306,136.0","309,236.0","295,124.0","304,580.0","307,716.0","306,404.0","308,240.0","307,808.0","318,588.0","329,296.0","315,872.0","330,640.0","326,288.0","326,884.0","339,996.0","341,288.0","346,524.0","354,408.0","371,928.0","378,540.0","386,368.0","402,920.0","411,184.0","449,912.0","444,084.0","453,688.0","474,196.0","482,244.0","498,176.0","488,636.0","512,956.0","517,180.0","535,300.0","515,348.0","543,880.0","547,904.0","549,708.0","557,048.0","561,040.0","574,132.0","590,984.0","596,328.0","620,036.0","626,848.0","654,484.0","655,484.0","647,912.0","665,376.0","680,644.0","686,472.0","697,040.0","707,716.0","719,348.0","709,084.0","707,336.0","729,576.0"
"44","25","        Value added","W086RC1","46,188.0","46,672.0","49,332.0","49,312.0","50,208.0","50,224.0","50,244.0","50,216.0","51,816.0","51,872.0","51,768.0","52,508.0","54,240.0","53,544.0","53,732.0","55,696.0","55,012.0","54,804.0","55,144.0","56,496.0","57,080.0","57,676.0","58,892.0","61,484.0","62,468.0","62,712.0","63,584.0","65,756.0","66,108.0","66,680.0","67,168.0","69,244.0","70,456.0","71,252.0","71,644.0","74,804.0","75,628.0","76,544.0","77,632.0","79,928.0","80,572.0","81,592.0","82,884.0","86,752.0","87,768.0","89,732.0","91,552.0","98,984.0","101,192.0","103,160.0","104,712.0","111,192.0","113,200.0","115,800.0","117,104.0","120,368.0","121,816.0","123,608.0","125,080.0","125,940.0","139,056.0","141,412.0","143,636.0","145,116.0","150,672.0","151,780.0","152,652.0","155,924.0","156,876.0","158,044.0","159,460.0","161,240.0","164,308.0","165,916.0","167,692.0","168,076.0","171,012.0","172,584.0","173,588.0","173,896.0","178,908.0","180,636.0","182,320.0","180,892.0","184,524.0","185,988.0","186,732.0","189,884.0","198,012.0","197,348.0","197,104.0","196,152.0","200,860.0","202,284.0","201,280.0","196,208.0","197,740.0","197,136.0","197,640.0","195,808.0","195,812.0","196,128.0","194,052.0","192,496.0","193,808.0","191,604.0","190,692.0","189,876.0","193,616.0","193,912.0","193,924.0","192,680.0","194,100.0","192,548.0","191,848.0","190,440.0","191,704.0","190,364.0","190,508.0","189,064.0","192,052.0","192,256.0","193,072.0","193,328.0","197,820.0","197,904.0","200,040.0","199,316.0","202,984.0","203,576.0","205,836.0","208,548.0","219,516.0","221,472.0","221,912.0","227,164.0","240,184.0","243,696.0","245,036.0","246,360.0","259,420.0","262,520.0","265,876.0","268,872.0","283,512.0","283,140.0","284,980.0","285,940.0","295,772.0","297,568.0","299,640.0","302,076.0","311,780.0","314,564.0","317,096.0","319,320.0","329,168.0","335,336.0","341,520.0","344,832.0","354,384.0","356,984.0","362,420.0","367,712.0","377,812.0","380,824.0","383,676.0","386,976.0","392,464.0","396,404.0"
"45","26","          Compensation of general government employees","B237RC1","33,184.0","33,548.0","36,136.0","36,020.0","36,772.0","36,664.0","36,584.0","36,460.0","37,944.0","38,012.0","37,988.0","38,896.0","40,472.0","39,852.0","39,992.0","41,836.0","41,164.0","40,864.0","41,096.0","42,520.0","42,900.0","43,240.0","43,948.0","46,244.0","47,120.0","47,252.0","47,780.0","49,556.0","49,568.0","49,812.0","49,944.0","51,676.0","52,380.0","52,904.0","53,280.0","55,964.0","56,232.0","56,744.0","57,424.0","59,608.0","60,076.0","60,588.0","61,280.0","64,720.0","65,392.0","66,488.0","67,828.0","74,520.0","75,960.0","77,228.0","78,088.0","83,936.0","85,076.0","86,872.0","87,484.0","90,324.0","91,248.0","92,448.0","92,876.0","93,176.0","105,368.0","106,984.0","108,612.0","109,188.0","114,188.0","114,908.0","114,888.0","117,412.0","118,056.0","118,220.0","118,812.0","119,912.0","121,984.0","123,324.0","124,480.0","124,352.0","126,368.0","127,112.0","127,396.0","126,728.0","131,008.0","132,100.0","132,992.0","130,700.0","133,436.0","134,208.0","134,188.0","136,296.0","143,584.0","142,424.0","141,364.0","139,912.0","144,404.0","145,336.0","144,056.0","138,268.0","138,904.0","137,952.0","137,984.0","135,884.0","135,656.0","135,340.0","132,996.0","130,616.0","131,908.0","129,812.0","129,088.0","128,212.0","132,140.0","132,604.0","132,764.0","131,708.0","133,428.0","132,056.0","131,684.0","130,304.0","132,000.0","130,652.0","130,912.0","129,436.0","132,356.0","132,360.0","133,012.0","133,068.0","137,040.0","137,284.0","139,312.0","138,716.0","142,532.0","143,008.0","145,272.0","148,244.0","159,268.0","161,188.0","161,464.0","166,188.0","179,040.0","182,184.0","183,156.0","184,176.0","196,328.0","198,240.0","200,616.0","202,448.0","215,884.0","214,940.0","216,068.0","215,932.0","224,556.0","224,784.0","225,580.0","227,536.0","235,960.0","237,612.0","239,296.0","240,264.0","248,668.0","252,780.0","257,372.0","259,736.0","269,152.0","271,092.0","275,512.0","279,856.0","288,692.0","290,548.0","292,640.0","294,452.0","298,080.0","300,384.0"
"46","27","          Consumption of general government fixed capital \2\","B432RC1","13,004.0","13,124.0","13,196.0","13,292.0","13,436.0","13,560.0","13,660.0","13,756.0","13,872.0","13,860.0","13,780.0","13,612.0","13,768.0","13,692.0","13,740.0","13,860.0","13,848.0","13,940.0","14,048.0","13,976.0","14,180.0","14,436.0","14,944.0","15,240.0","15,348.0","15,460.0","15,804.0","16,200.0","16,540.0","16,868.0","17,224.0","17,568.0","18,076.0","18,348.0","18,364.0","18,840.0","19,396.0","19,800.0","20,208.0","20,320.0","20,496.0","21,004.0","21,604.0","22,032.0","22,376.0","23,244.0","23,724.0","24,464.0","25,232.0","25,932.0","26,624.0","27,256.0","28,124.0","28,928.0","29,620.0","30,044.0","30,568.0","31,160.0","32,204.0","32,764.0","33,688.0","34,428.0","35,024.0","35,928.0","36,484.0","36,872.0","37,764.0","38,512.0","38,820.0","39,824.0","40,648.0","41,328.0","42,324.0","42,592.0","43,212.0","43,724.0","44,644.0","45,472.0","46,192.0","47,168.0","47,900.0","48,536.0","49,328.0","50,192.0","51,088.0","51,780.0","52,544.0","53,588.0","54,428.0","54,924.0","55,740.0","56,240.0","56,456.0","56,948.0","57,224.0","57,940.0","58,836.0","59,184.0","59,656.0","59,924.0","60,156.0","60,788.0","61,056.0","61,880.0","61,900.0","61,792.0","61,604.0","61,664.0","61,476.0","61,308.0","61,160.0","60,972.0","60,672.0","60,492.0","60,164.0","60,136.0","59,704.0","59,712.0","59,596.0","59,628.0","59,696.0","59,896.0","60,060.0","60,260.0","60,780.0","60,620.0","60,728.0","60,600.0","60,452.0","60,568.0","60,564.0","60,304.0","60,248.0","60,284.0","60,448.0","60,976.0","61,144.0","61,512.0","61,880.0","62,184.0","63,092.0","64,280.0","65,260.0","66,424.0","67,628.0","68,200.0","68,912.0","70,008.0","71,216.0","72,784.0","74,060.0","74,540.0","75,820.0","76,952.0","77,800.0","79,056.0","80,500.0","82,556.0","84,148.0","85,096.0","85,232.0","85,892.0","86,908.0","87,856.0","89,120.0","90,276.0","91,036.0","92,524.0","94,384.0","96,020.0"
"47","28","        Intermediate goods and services purchased \3\","W087RC1","29,808.0","31,236.0","30,064.0","31,016.0","28,476.0","25,700.0","26,160.0","25,980.0","26,468.0","25,300.0","24,332.0","25,140.0","26,940.0","28,404.0","24,520.0","23,480.0","25,028.0","26,408.0","24,436.0","24,576.0","26,376.0","28,236.0","27,064.0","27,492.0","28,608.0","28,804.0","28,096.0","28,292.0","27,900.0","30,012.0","29,064.0","29,408.0","31,092.0","33,472.0","34,432.0","32,724.0","34,436.0","36,084.0","37,192.0","36,904.0","39,612.0","42,792.0","40,376.0","44,424.0","49,340.0","52,292.0","54,452.0","55,684.0","59,776.0","63,080.0","64,972.0","67,456.0","71,740.0","72,876.0","78,132.0","82,872.0","82,828.0","85,808.0","85,396.0","89,640.0","89,488.0","91,712.0","92,436.0","95,320.0","96,948.0","98,976.0","106,192.0","108,556.0","106,136.0","112,448.0","115,704.0","108,992.0","114,608.0","118,428.0","120,976.0","122,748.0","124,460.0","122,144.0","119,388.0","126,304.0","115,640.0","122,568.0","122,724.0","123,640.0","125,544.0","123,296.0","119,460.0","129,564.0","130,864.0","128,720.0","124,640.0","119,388.0","114,636.0","115,364.0","123,276.0","123,040.0","115,228.0","113,244.0","113,876.0","116,420.0","108,816.0","110,056.0","117,956.0","111,788.0","109,536.0","110,372.0","111,380.0","105,360.0","109,620.0","115,376.0","112,356.0","117,484.0","110,212.0","119,752.0","114,288.0","118,796.0","103,420.0","114,216.0","117,208.0","117,340.0","116,188.0","115,552.0","125,516.0","135,968.0","118,052.0","132,736.0","126,248.0","127,568.0","137,012.0","137,712.0","140,688.0","145,860.0","152,412.0","157,068.0","164,456.0","175,756.0","171,000.0","206,216.0","199,048.0","207,328.0","214,776.0","219,724.0","232,300.0","219,764.0","229,444.0","234,040.0","250,320.0","229,408.0","248,108.0","250,336.0","250,068.0","254,972.0","249,260.0","259,568.0","273,888.0","277,008.0","290,868.0","291,512.0","312,964.0","310,652.0","293,528.0","308,392.0","318,224.0","318,760.0","319,228.0","326,892.0","335,672.0","322,108.0","314,872.0","333,172.0"
"48","29","          Durable goods","A998RC1","6,824.0","6,416.0","6,444.0","6,132.0","6,112.0","6,024.0","5,984.0","6,124.0","5,180.0","4,640.0","4,464.0","4,044.0","5,884.0","5,944.0","5,576.0","5,308.0","5,652.0","5,724.0","5,152.0","5,536.0","5,024.0","5,692.0","4,444.0","5,460.0","5,896.0","5,876.0","6,116.0","5,996.0","5,432.0","6,324.0","5,340.0","6,216.0","7,188.0","9,040.0","7,352.0","8,224.0","9,148.0","9,932.0","9,576.0","9,676.0","10,160.0","11,624.0","11,044.0","12,508.0","12,448.0","12,876.0","13,424.0","12,344.0","14,776.0","16,496.0","15,804.0","17,760.0","17,208.0","19,044.0","19,884.0","22,068.0","23,768.0","25,352.0","25,268.0","25,884.0","27,424.0","28,084.0","25,428.0","27,432.0","27,048.0","28,400.0","31,324.0","30,292.0","28,240.0","32,776.0","34,216.0","32,236.0","31,912.0","33,056.0","35,704.0","34,424.0","33,668.0","32,892.0","32,580.0","34,760.0","31,860.0","33,284.0","32,496.0","30,468.0","31,920.0","31,372.0","31,004.0","31,976.0","31,524.0","31,988.0","30,868.0","29,504.0","28,588.0","27,588.0","28,576.0","28,764.0","26,244.0","30,600.0","24,532.0","24,264.0","22,896.0","22,472.0","24,316.0","22,036.0","21,688.0","19,600.0","23,556.0","18,928.0","19,592.0","22,160.0","21,804.0","19,724.0","20,416.0","21,988.0","20,308.0","20,752.0","19,896.0","20,360.0","22,040.0","21,480.0","20,012.0","22,700.0","24,240.0","21,948.0","22,444.0","22,272.0","22,384.0","21,436.0","20,908.0","22,732.0","24,100.0","21,428.0","21,824.0","23,044.0","24,632.0","23,440.0","22,896.0","26,456.0","26,620.0","26,772.0","27,236.0","29,200.0","29,772.0","28,916.0","28,320.0","29,208.0","30,360.0","30,304.0","31,264.0","31,748.0","33,204.0","34,864.0","33,416.0","35,172.0","37,428.0","38,360.0","39,480.0","41,860.0","44,364.0","45,228.0","41,384.0","45,496.0","48,848.0","46,340.0","44,644.0","45,968.0","48,108.0","50,168.0","42,368.0","44,116.0"
"49","30","          Nondurable goods","A725RC1","7,832.0","7,916.0","7,556.0","7,132.0","5,952.0","4,984.0","4,920.0","5,552.0","4,948.0","4,588.0","4,176.0","4,044.0","4,992.0","5,036.0","4,496.0","4,280.0","4,404.0","4,492.0","3,848.0","4,312.0","4,596.0","5,368.0","5,196.0","5,656.0","5,572.0","5,452.0","4,212.0","5,100.0","4,596.0","4,340.0","4,712.0","4,292.0","4,408.0","4,016.0","4,972.0","4,748.0","4,476.0","4,716.0","5,452.0","4,780.0","5,068.0","5,680.0","6,688.0","7,520.0","9,416.0","9,600.0","10,388.0","10,468.0","10,848.0","12,220.0","11,828.0","12,356.0","11,392.0","11,528.0","11,392.0","11,560.0","10,432.0","12,236.0","11,864.0","10,724.0","9,508.0","10,636.0","10,612.0","10,960.0","11,236.0","9,896.0","9,900.0","9,052.0","11,004.0","10,828.0","9,252.0","9,836.0","8,964.0","9,660.0","10,808.0","11,744.0","10,604.0","11,100.0","10,012.0","10,604.0","11,064.0","11,236.0","11,000.0","10,080.0","10,044.0","10,172.0","9,420.0","14,560.0","13,184.0","9,856.0","9,892.0","9,776.0","8,688.0","10,220.0","10,036.0","8,752.0","8,456.0","8,748.0","8,800.0","7,856.0","7,128.0","7,084.0","7,588.0","8,452.0","6,332.0","6,584.0","6,480.0","5,904.0","7,204.0","7,868.0","7,964.0","7,548.0","8,188.0","7,156.0","7,492.0","7,488.0","6,968.0","6,648.0","7,396.0","6,936.0","6,492.0","7,612.0","9,752.0","8,744.0","11,120.0","10,616.0","9,760.0","10,196.0","9,896.0","10,748.0","10,056.0","10,348.0","10,108.0","11,588.0","11,280.0","12,968.0","15,048.0","14,120.0","11,264.0","13,212.0","16,004.0","16,800.0","19,476.0","16,124.0","17,964.0","20,996.0","23,236.0","21,360.0","21,024.0","21,872.0","24,972.0","20,476.0","22,260.0","23,656.0","25,840.0","24,640.0","30,352.0","32,608.0","32,076.0","26,904.0","22,308.0","23,720.0","25,812.0","26,740.0","27,028.0","26,976.0","25,536.0","26,776.0","31,372.0","34,364.0"
"50","31","          Services","A489RC1","15,152.0","16,904.0","16,064.0","17,752.0","16,412.0","14,692.0","15,256.0","14,304.0","16,340.0","16,072.0","15,692.0","17,052.0","16,064.0","17,424.0","14,448.0","13,892.0","14,972.0","16,192.0","15,436.0","14,728.0","16,756.0","17,176.0","17,424.0","16,376.0","17,140.0","17,476.0","17,768.0","17,196.0","17,872.0","19,348.0","19,012.0","18,900.0","19,496.0","20,416.0","22,108.0","19,752.0","20,812.0","21,436.0","22,164.0","22,448.0","24,384.0","25,488.0","22,644.0","24,396.0","27,476.0","29,816.0","30,640.0","32,872.0","34,152.0","34,364.0","37,340.0","37,340.0","43,140.0","42,304.0","46,856.0","49,244.0","48,628.0","48,220.0","48,264.0","53,032.0","52,556.0","52,992.0","56,396.0","56,928.0","58,664.0","60,680.0","64,968.0","69,212.0","66,892.0","68,844.0","72,236.0","66,920.0","73,732.0","75,712.0","74,464.0","76,580.0","80,188.0","78,152.0","76,796.0","80,940.0","72,716.0","78,048.0","79,228.0","83,092.0","83,580.0","81,752.0","79,036.0","83,028.0","86,156.0","86,876.0","83,880.0","80,108.0","77,360.0","77,556.0","84,664.0","85,524.0","80,528.0","73,896.0","80,544.0","84,300.0","78,792.0","80,500.0","86,052.0","81,300.0","81,516.0","84,188.0","81,344.0","80,528.0","82,824.0","85,348.0","82,588.0","90,212.0","81,608.0","90,608.0","86,488.0","90,556.0","76,556.0","87,208.0","87,772.0","88,924.0","89,684.0","85,240.0","91,524.0","105,276.0","84,488.0","99,848.0","94,104.0","95,936.0","106,208.0","104,232.0","106,532.0","114,084.0","120,480.0","122,436.0","128,544.0","139,348.0","133,056.0","165,640.0","161,164.0","167,344.0","171,536.0","173,724.0","183,052.0","174,724.0","183,160.0","183,836.0","196,724.0","177,744.0","195,820.0","196,716.0","191,892.0","199,632.0","193,584.0","200,740.0","210,620.0","214,008.0","221,036.0","217,044.0","236,524.0","238,520.0","229,836.0","239,176.0","243,564.0","245,680.0","247,556.0","253,948.0","262,028.0","245,164.0","241,132.0","254,692.0"
"51","32","      Less: Own-account investment \4\","W088RC1","96.0","104.0","104.0","100.0","112.0","116.0","108.0","120.0","112.0","116.0","112.0","108.0","108.0","120.0","128.0","172.0","140.0","140.0","152.0","180.0","148.0","168.0","180.0","188.0","220.0","204.0","216.0","252.0","264.0","244.0","240.0","272.0","260.0","272.0","244.0","252.0","260.0","292.0","300.0","312.0","352.0","356.0","364.0","352.0","356.0","372.0","408.0","436.0","448.0","448.0","484.0","492.0","520.0","576.0","628.0","648.0","644.0","680.0","708.0","712.0","740.0","804.0","868.0","872.0","896.0","940.0","1,032.0","1,032.0","1,032.0","1,024.0","1,048.0","1,068.0","1,100.0","1,156.0","1,204.0","1,212.0","1,220.0","1,236.0","1,248.0","1,240.0","1,292.0","1,416.0","1,496.0","1,612.0","1,588.0","1,352.0","1,468.0","1,472.0","1,520.0","1,628.0","1,668.0","1,628.0","1,748.0","1,664.0","1,664.0","1,488.0","1,612.0","1,668.0","1,708.0","1,584.0","1,500.0","1,512.0","1,616.0","1,536.0","1,660.0","1,548.0","1,592.0","1,440.0","1,464.0","1,468.0","1,536.0","1,476.0","1,656.0","1,560.0","1,380.0","1,268.0","1,464.0","1,636.0","1,476.0","1,144.0","860.0","1,576.0","1,492.0","1,344.0","1,080.0","1,112.0","1,152.0","1,192.0","1,468.0","1,364.0","1,428.0","1,720.0","2,020.0","2,084.0","2,112.0","2,176.0","2,124.0","2,140.0","2,048.0","2,144.0","1,960.0","2,076.0","2,108.0","2,136.0","2,012.0","2,036.0","2,072.0","2,100.0","2,052.0","2,092.0","2,120.0","2,156.0","2,116.0","2,096.0","2,076.0","2,044.0","2,212.0","2,244.0","2,272.0","2,232.0","2,280.0","2,336.0","2,392.0","2,428.0","2,480.0","2,584.0","2,688.0","2,744.0","2,760.0","2,772.0"
"52","33","            Sales to other sectors","W089RC1","152.0","216.0","156.0","124.0","224.0","176.0","140.0","88.0","96.0","100.0","232.0","116.0","428.0","676.0","480.0","588.0","572.0","1,148.0","1,164.0","812.0","1,352.0","1,520.0","1,424.0","1,328.0","1,900.0","1,448.0","248.0","360.0","328.0","408.0","408.0","260.0","480.0","812.0","652.0","296.0","444.0","488.0","660.0","852.0","692.0","516.0","464.0","768.0","716.0","640.0","1,024.0","1,176.0","1,336.0","776.0","1,464.0","912.0","1,444.0","1,136.0","736.0","1,824.0","744.0","584.0","332.0","848.0","788.0","676.0","1,488.0","596.0","492.0","768.0","1,068.0","772.0","404.0","824.0","992.0","972.0","1,032.0","956.0","1,240.0","592.0","932.0","1,072.0","1,884.0","740.0","1,116.0","1,032.0","1,080.0","716.0","1,100.0","1,100.0","2,056.0","2,984.0","1,644.0","1,980.0","2,304.0","1,044.0","2,148.0","3,100.0","2,816.0","1,400.0","2,532.0","2,652.0","3,604.0","1,680.0","4,100.0","5,192.0","3,208.0","5,184.0","2,620.0","1,788.0","1,644.0","2,428.0","2,064.0","2,484.0","3,092.0","2,688.0","1,788.0","2,352.0","2,008.0","1,924.0","2,312.0","628.0","2,824.0","1,052.0","796.0","1,560.0","2,760.0","1,700.0","3,220.0","1,344.0","2,188.0","1,040.0","3,096.0","1,440.0","1,728.0","1,912.0","1,664.0","1,300.0","3,912.0","1,844.0","2,068.0","2,840.0","2,944.0","1,832.0","2,084.0","2,444.0","3,544.0","2,064.0","3,444.0","3,420.0","3,812.0","2,540.0","3,508.0","4,564.0","3,928.0","2,588.0","3,140.0","3,040.0","3,068.0","3,428.0","3,620.0","3,728.0","3,724.0","3,684.0","3,684.0","3,540.0","3,644.0","3,548.0","3,596.0","3,572.0","3,596.0","3,620.0","3,556.0","3,528.0"
