"","Table 3#3# State and Local Government Current Receipts and Expen","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"36","17","  Federal grants-in-aid","B089RC1","1,428.0","1,684.0","1,620.0","1,648.0","1,572.0","1,664.0","1,780.0","1,864.0","1,748.0","1,664.0","2,076.0","1,936.0","1,908.0","1,940.0","1,884.0","1,872.0","2,040.0","2,080.0","1,936.0","2,124.0","2,012.0","2,076.0","2,272.0","2,264.0","1,816.0","2,700.0","2,272.0","2,308.0","2,348.0","2,268.0","2,360.0","2,336.0","2,280.0","2,388.0","2,520.0","2,440.0","2,380.0","2,484.0","2,636.0","2,660.0","2,892.0","2,752.0","2,944.0","3,096.0","2,864.0","3,292.0","3,176.0","4,020.0","3,504.0","3,944.0","3,808.0","3,844.0","3,888.0","3,992.0","3,976.0","4,156.0","4,244.0","4,540.0","4,616.0","4,656.0","4,876.0","4,908.0","5,184.0","5,184.0","5,264.0","5,472.0","5,784.0","6,052.0","6,520.0","6,484.0","6,192.0","6,604.0","6,544.0","7,100.0","7,460.0","7,564.0","9,016.0","10,116.0","10,484.0","10,704.0","11,092.0","11,556.0","11,572.0","12,728.0","11,768.0","13,304.0","12,592.0","13,160.0","13,144.0","14,008.0"
"37","18","  From business (net)","W076RC1","55.0","59.0","63.0","67.0","74.0","78.0","80.0","84.0","83.0","86.0","90.0","97.0","107.0","112.0","117.0","120.0","119.0","120.0","123.0","126.0","132.0","135.0","138.0","139.0","137.0","141.0","146.0","152.0","166.0","172.0","174.0","176.0","169.0","169.0","170.0","172.0","179.0","183.0","186.0","188.0","182.0","186.0","196.0","208.0","241.0","238.0","219.0","186.0","104.0","105.0","108.0","111.0","163.0","168.0","171.0","174.0","231.0","230.0","227.0","224.0","226.0","223.0","226.0","229.0","254.0","256.0","257.0","253.0","256.0","256.0","258.0","262.0","339.0","341.0","335.0","325.0","320.0","308.0","302.0","302.0","452.0","455.0","460.0","461.0","485.0","484.0","484.0","483.0","532.0","531.0"
"38","19","  From persons","B246RC1","162.0","171.0","184.0","199.0","220.0","235.0","250.0","263.0","275.0","283.0","287.0","287.0","280.0","280.0","282.0","286.0","296.0","301.0","306.0","309.0","308.0","313.0","318.0","325.0","334.0","342.0","350.0","358.0","369.0","373.0","376.0","378.0","373.0","375.0","381.0","391.0","403.0","421.0","442.0","466.0","501.0","519.0","531.0","537.0","538.0","534.0","525.0","511.0","291.0","276.0","269.0","268.0","268.0","287.0","312.0","337.0","386.0","420.0","448.0","470.0","485.0","494.0","495.0","490.0","467.0","466.0","472.0","487.0","535.0","546.0","549.0","546.0","503.0","506.0","528.0","567.0","643.0","701.0","761.0","815.0","869.0","911.0","944.0","968.0","976.0","990.0","1,004.0","1,018.0","1,035.0","1,054.0"
"39","20","Current surplus of government enterprises","B115RC1","381.0","405.0","388.0","375.0","360.0","344.0","329.0","329.0","379.0","389.0","405.0","415.0","426.0","437.0","425.0","438.0","458.0","478.0","494.0","509.0","531.0","514.0","494.0","496.0","525.0","541.0","561.0","593.0","634.0","663.0","682.0","709.0","779.0","832.0","861.0","881.0","870.0","870.0","871.0","864.0","853.0","856.0","893.0","883.0","869.0","857.0","857.0","867.0","1,033.0","1,063.0","1,156.0","1,219.0","1,192.0","1,251.0","1,260.0","1,284.0","1,300.0","1,355.0","1,314.0","1,352.0","1,319.0","1,355.0","1,353.0","1,481.0","1,577.0","1,605.0","1,660.0","1,647.0","1,579.0","1,596.0","1,666.0","1,726.0","1,703.0","1,744.0","1,656.0","1,663.0","1,600.0","1,602.0","1,602.0","1,623.0","1,596.0","1,614.0","1,466.0","1,508.0","1,582.0","1,510.0","1,489.0","1,456.0","1,458.0","1,459.0"
"40","21","    Current expenditures","W024RC1","12,479.0","13,095.0","13,954.0","14,273.0","15,086.0","15,367.0","15,781.0","15,845.0","16,251.0","16,513.0","17,092.0","17,506.0","18,227.0","18,939.0","18,625.0","18,786.0","18,995.0","19,124.0","19,467.0","19,839.0","20,020.0","21,003.0","20,719.0","21,166.0","21,681.0","21,768.0","22,260.0","22,267.0","22,794.0","23,364.0","24,124.0","24,480.0","25,306.0","25,687.0","26,019.0","26,507.0","26,996.0","27,561.0","28,277.0","29,037.0","29,603.0","30,423.0","31,270.0","32,001.0","33,037.0","33,941.0","34,550.0","35,251.0","36,086.0","36,517.0","37,084.0","37,785.0","38,953.0","40,040.0","40,477.0","41,173.0","42,356.0","43,619.0","44,131.0","45,019.0","45,800.0","46,446.0","46,996.0","47,791.0","48,749.0","49,745.0","50,771.0","52,033.0","53,247.0","54,469.0","55,262.0","56,519.0","57,839.0","59,314.0","60,763.0","62,098.0","64,043.0","66,099.0","68,169.0","70,391.0","71,701.0","73,882.0","76,906.0","79,635.0","82,103.0","84,716.0","87,209.0","90,074.0","92,672.0","95,590.0"
"41","22","Consumption expenditures","A991RC1","10,332.0","10,694.0","11,088.0","11,515.0","11,757.0","12,045.0","12,540.0","12,969.0","13,273.0","13,429.0","13,846.0","14,070.0","14,492.0","14,680.0","15,017.0","15,332.0","15,630.0","15,852.0","16,243.0","16,596.0","16,522.0","17,320.0","17,122.0","17,504.0","18,034.0","17,999.0","18,383.0","18,532.0","18,937.0","19,423.0","20,102.0","20,368.0","21,094.0","21,336.0","21,667.0","22,126.0","22,554.0","23,097.0","23,751.0","24,353.0","24,787.0","25,495.0","26,203.0","26,812.0","27,601.0","28,412.0","28,988.0","29,486.0","30,046.0","30,485.0","30,948.0","31,509.0","32,465.0","33,392.0","33,829.0","34,505.0","35,490.0","36,484.0","36,770.0","37,497.0","38,133.0","38,745.0","39,183.0","39,876.0","40,663.0","41,474.0","42,324.0","43,305.0","44,371.0","45,329.0","46,214.0","47,247.0","48,339.0","49,514.0","50,865.0","52,060.0","53,659.0","55,185.0","56,895.0","58,663.0","59,999.0","61,531.0","63,519.0","65,251.0","67,425.0","69,195.0","71,296.0","73,610.0","75,858.0","78,443.0"
"42","23","Government social benefit payments to persons","B109RC1","1,640.0","1,900.0","2,372.0","2,268.0","2,836.0","2,828.0","2,744.0","2,372.0","2,464.0","2,560.0","2,712.0","2,892.0","3,180.0","3,692.0","3,028.0","2,860.0","2,756.0","2,648.0","2,584.0","2,588.0","2,828.0","2,996.0","2,892.0","2,936.0","2,900.0","3,000.0","3,080.0","2,908.0","2,996.0","3,044.0","3,088.0","3,140.0","3,200.0","3,300.0","3,260.0","3,248.0","3,268.0","3,248.0","3,268.0","3,384.0","3,476.0","3,548.0","3,648.0","3,732.0","3,968.0","4,020.0","4,004.0","4,148.0","4,336.0","4,324.0","4,324.0","4,372.0","4,424.0","4,500.0","4,620.0","4,700.0","4,852.0","4,920.0","5,032.0","5,124.0","5,220.0","5,312.0","5,348.0","5,480.0","5,572.0","5,664.0","5,728.0","5,824.0","5,976.0","6,088.0","6,196.0","6,356.0","6,464.0","6,612.0","6,720.0","6,808.0","7,032.0","7,508.0","7,724.0","8,220.0","8,368.0","8,948.0","9,524.0","10,088.0","10,616.0","11,364.0","11,680.0","12,124.0","12,616.0","12,832.0"
"43","24","Interest payments \1\","B111RC1","507.0","501.0","494.0","490.0","493.0","494.0","497.0","504.0","514.0","524.0","534.0","544.0","555.0","567.0","580.0","594.0","609.0","624.0","640.0","655.0","670.0","687.0","705.0","726.0","747.0","769.0","797.0","827.0","861.0","897.0","934.0","972.0","1,012.0","1,051.0","1,092.0","1,133.0","1,174.0","1,216.0","1,258.0","1,300.0","1,340.0","1,380.0","1,419.0","1,457.0","1,468.0","1,509.0","1,558.0","1,617.0","1,704.0","1,708.0","1,812.0","1,904.0","2,064.0","2,148.0","2,028.0","1,968.0","2,014.0","2,215.0","2,329.0","2,398.0","2,447.0","2,389.0","2,465.0","2,435.0","2,506.0","2,595.0","2,707.0","2,888.0","2,888.0","3,040.0","2,844.0","2,908.0","3,028.0","3,172.0","3,158.0","3,202.0","3,324.0","3,382.0","3,526.0","3,488.0","3,310.0","3,379.0","3,835.0","4,268.0","4,034.0","4,129.0","4,205.0","4,316.0","4,174.0","4,291.0"
"44","25","Subsidies","B114RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","12.0","12.0","16.0","12.0","12.0","8.0","8.0","8.0","16.0","20.0","28.0","28.0","24.0","24.0","20.0","24.0","24.0","28.0","28.0","28.0","28.0","28.0","24.0","24.0","24.0"
"45","26","Less: Wage accruals less disbursements","B116RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"46","27","    Net state and local government saving","A924RC1","1,627.0","1,621.0","1,132.0","1,336.0","1,024.0","1,194.0","1,232.0","1,469.0","1,497.0","1,404.0","1,616.0","1,317.0","986.0","726.0","1,752.0","1,781.0","2,686.0","2,500.0","2,389.0","2,703.0","2,881.0","2,385.0","3,278.0","3,407.0","2,873.0","4,011.0","3,493.0","3,603.0","3,566.0","3,276.0","3,000.0","3,080.0","3,021.0","3,274.0","3,818.0","3,917.0","4,278.0","4,483.0","4,496.0","4,343.0","4,821.0","4,308.0","4,069.0","3,569.0","2,687.0","2,576.0","2,610.0","3,643.0","3,057.0","3,571.0","4,166.0","4,321.0","4,310.0","4,205.0","4,298.0","4,375.0","4,095.0","3,985.0","4,460.0","4,596.0","4,921.0","5,007.0","5,545.0","5,482.0","5,372.0","5,510.0","6,051.0","5,874.0","6,417.0","6,272.0","6,481.0","6,372.0","6,216.0","6,541.0","6,560.0","6,795.0","7,748.0","8,044.0","7,978.0","7,263.0","7,531.0","6,862.0","6,357.0","7,206.0","7,164.0","8,187.0","7,397.0","7,219.0","7,436.0","7,768.0"
"47","28","Social insurance funds","B118RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","50.0","49.0","35.0","30.0","27.0","24.0","24.0","25.0","35.0","21.0","28.0","28.0","21.0","-3.0","14.0","16.0","3.0","9.0","25.0","19.0","30.0","33.0","27.0","30.0","31.0","33.0","53.0","59.0","78.0","98.0","81.0","103.0","107.0","112.0","126.0","131.0","126.0","117.0","139.0","138.0","147.0","132.0","142.0","155.0","130.0","153.0"
"48","29","Other","B119RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,637.0","2,527.0","2,576.0","3,612.0","3,030.0","3,547.0","4,142.0","4,296.0","4,275.0","4,184.0","4,270.0","4,347.0","4,074.0","3,988.0","4,446.0","4,580.0","4,918.0","4,998.0","5,520.0","5,463.0","5,342.0","5,477.0","6,024.0","5,844.0","6,386.0","6,239.0","6,428.0","6,313.0","6,138.0","6,443.0","6,479.0","6,692.0","7,641.0","7,932.0","7,852.0","7,132.0","7,405.0","6,745.0","6,218.0","7,068.0","7,017.0","8,055.0","7,255.0","7,064.0","7,306.0","7,615.0"
"49",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","30","  Total receipts","W077RC1","14,405.0","15,042.0","15,411.0","15,939.0","16,538.0","17,002.0","17,471.0","17,783.0","18,277.0","18,426.0","19,299.0","19,382.0","19,825.0","20,289.0","21,006.0","21,198.0","22,325.0","22,280.0","22,487.0","23,215.0","23,572.0","24,075.0","24,732.0","25,312.0","25,229.0","26,676.0","26,554.0","26,689.0","27,209.0","27,468.0","27,968.0","28,399.0","29,258.0","29,937.0","30,888.0","31,458.0","32,340.0","33,150.0","33,936.0","34,553.0","36,051.0","36,298.0","36,996.0","37,299.0","38,066.0","39,156.0","39,719.0","42,030.0","42,686.0","42,984.0","45,332.0","45,481.0","46,029.0","47,332.0","48,008.0","48,486.0","49,958.0","50,775.0","51,790.0","52,898.0","54,167.0","55,064.0","55,882.0","56,975.0","57,978.0","59,237.0","61,052.0","62,406.0","63,943.0","65,386.0","66,826.0","67,768.0","68,845.0","70,573.0","71,985.0","73,711.0","76,849.0","79,258.0","81,384.0","82,820.0","84,343.0","84,987.0","88,594.0","92,508.0","95,979.0","99,199.0","101,771.0","104,484.0","107,026.0","110,230.0"
"51","31","    Current receipts","W023RC1","14,106.0","14,716.0","15,086.0","15,609.0","16,110.0","16,561.0","17,013.0","17,314.0","17,748.0","17,917.0","18,708.0","18,823.0","19,213.0","19,665.0","20,377.0","20,567.0","21,681.0","21,624.0","21,856.0","22,542.0","22,901.0","23,388.0","23,997.0","24,573.0","24,554.0","25,779.0","25,753.0","25,870.0","26,360.0","26,640.0","27,124.0","27,560.0","28,327.0","28,961.0","29,837.0","30,424.0","31,274.0","32,044.0","32,773.0","33,380.0","34,424.0","34,731.0","35,339.0","35,570.0","35,724.0","36,517.0","37,160.0","38,894.0","39,143.0","40,088.0","41,250.0","42,106.0","43,263.0","44,245.0","44,775.0","45,548.0","46,451.0","47,604.0","48,591.0","49,615.0","50,721.0","51,453.0","52,541.0","53,273.0","54,121.0","55,255.0","56,822.0","57,907.0","59,664.0","60,741.0","61,743.0","62,891.0","64,055.0","65,855.0","67,323.0","68,893.0","71,791.0","74,143.0","76,147.0","77,654.0","79,232.0","80,744.0","83,263.0","86,841.0","89,267.0","92,903.0","94,606.0","97,293.0","100,108.0","103,358.0"
"52","32","    Capital transfer receipts","AD06RC1","299.0","326.0","325.0","330.0","428.0","441.0","458.0","469.0","529.0","509.0","591.0","559.0","612.0","624.0","629.0","631.0","644.0","656.0","631.0","673.0","671.0","687.0","735.0","739.0","675.0","897.0","801.0","819.0","849.0","828.0","844.0","839.0","931.0","976.0","1,051.0","1,034.0","1,066.0","1,106.0","1,163.0","1,173.0","1,627.0","1,567.0","1,657.0","1,729.0","2,342.0","2,639.0","2,559.0","3,136.0","3,543.0","2,896.0","4,082.0","3,375.0","2,766.0","3,087.0","3,233.0","2,938.0","3,507.0","3,171.0","3,199.0","3,283.0","3,446.0","3,611.0","3,341.0","3,702.0","3,857.0","3,982.0","4,230.0","4,499.0","4,279.0","4,645.0","5,083.0","4,877.0","4,790.0","4,718.0","4,662.0","4,818.0","5,058.0","5,115.0","5,237.0","5,166.0","5,111.0","4,243.0","5,331.0","5,667.0","6,712.0","6,296.0","7,165.0","7,191.0","6,918.0","6,872.0"
"53","33","  Total expenditures","W079RC1","13,463.0","14,083.0","15,088.0","15,594.0","16,596.0","17,297.0","18,030.0","18,334.0","18,998.0","19,884.0","20,830.0","21,293.0","21,984.0","22,833.0","22,713.0","23,054.0","23,340.0","23,911.0","24,324.0","24,555.0","24,897.0","25,806.0","25,451.0","26,102.0","26,870.0","26,900.0","27,675.0","28,165.0","29,180.0","29,913.0","30,980.0","31,375.0","32,630.0","33,300.0","33,663.0","34,206.0","35,220.0","36,008.0","36,720.0","37,519.0","38,869.0","39,746.0","40,556.0","41,609.0","42,945.0","43,902.0","45,012.0","46,107.0","47,177.0","47,349.0","47,469.0","47,425.0","48,803.0","50,266.0","51,149.0","51,875.0","53,889.0","54,254.0","55,225.0","57,198.0","57,565.0","58,153.0","59,000.0","59,973.0","61,614.0","62,578.0","64,389.0","65,920.0","67,217.0","69,163.0","70,001.0","71,116.0","72,495.0","74,782.0","77,343.0","78,993.0","81,173.0","83,380.0","85,598.0","88,996.0","91,218.0","93,131.0","95,519.0","98,930.0","102,099.0","105,733.0","108,219.0","111,106.0","113,412.0","116,320.0"
"54","34","    Current expenditures","W024RC1","12,479.0","13,095.0","13,954.0","14,273.0","15,086.0","15,367.0","15,781.0","15,845.0","16,251.0","16,513.0","17,092.0","17,506.0","18,227.0","18,939.0","18,625.0","18,786.0","18,995.0","19,124.0","19,467.0","19,839.0","20,020.0","21,003.0","20,719.0","21,166.0","21,681.0","21,768.0","22,260.0","22,267.0","22,794.0","23,364.0","24,124.0","24,480.0","25,306.0","25,687.0","26,019.0","26,507.0","26,996.0","27,561.0","28,277.0","29,037.0","29,603.0","30,423.0","31,270.0","32,001.0","33,037.0","33,941.0","34,550.0","35,251.0","36,086.0","36,517.0","37,084.0","37,785.0","38,953.0","40,040.0","40,477.0","41,173.0","42,356.0","43,619.0","44,131.0","45,019.0","45,800.0","46,446.0","46,996.0","47,791.0","48,749.0","49,745.0","50,771.0","52,033.0","53,247.0","54,469.0","55,262.0","56,519.0","57,839.0","59,314.0","60,763.0","62,098.0","64,043.0","66,099.0","68,169.0","70,391.0","71,701.0","73,882.0","76,906.0","79,635.0","82,103.0","84,716.0","87,209.0","90,074.0","92,672.0","95,590.0"
"55","35","    Gross government investment","A799RC1","2,641.0","2,681.0","2,892.0","3,150.0","3,412.0","3,886.0","4,262.0","4,515.0","4,745.0","5,313.0","5,645.0","5,664.0","5,547.0","5,675.0","5,955.0","6,271.0","6,506.0","7,054.0","7,198.0","7,110.0","7,275.0","7,275.0","7,289.0","7,447.0","7,720.0","7,628.0","7,925.0","8,366.0","8,848.0","9,111.0","9,390.0","9,428.0","9,719.0","10,002.0","10,150.0","10,268.0","10,933.0","11,265.0","11,368.0","11,483.0","12,326.0","12,481.0","12,479.0","12,793.0","13,026.0","13,163.0","13,745.0","14,200.0","14,498.0","14,252.0","13,830.0","13,106.0","13,356.0","13,771.0","14,251.0","14,312.0","15,160.0","14,299.0","14,797.0","15,935.0","15,616.0","15,634.0","15,989.0","16,241.0","16,978.0","17,014.0","17,859.0","18,207.0","18,344.0","19,140.0","19,263.0","19,210.0","19,417.0","20,364.0","21,589.0","22,022.0","22,362.0","22,722.0","23,019.0","24,369.0","25,445.0","25,282.0","24,829.0","25,680.0","26,567.0","27,782.0","27,949.0","28,371.0","28,547.0","28,955.0"
"56","36","    Capital transfer payments","W080RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"57","37","    Net purchases of nonproduced assets","AD09RC1","82.0","88.0","93.0","97.0","97.0","107.0","121.0","139.0","166.0","188.0","211.0","231.0","252.0","267.0","276.0","281.0","280.0","276.0","270.0","262.0","245.0","244.0","252.0","267.0","309.0","326.0","337.0","344.0","316.0","337.0","377.0","434.0","540.0","601.0","647.0","676.0","671.0","681.0","686.0","690.0","689.0","697.0","709.0","725.0","756.0","771.0","784.0","793.0","793.0","800.0","808.0","819.0","830.0","849.0","875.0","906.0","952.0","982.0","1,007.0","1,027.0","1,030.0","1,047.0","1,065.0","1,086.0","1,110.0","1,137.0","1,164.0","1,193.0","1,230.0","1,252.0","1,269.0","1,281.0","1,275.0","1,285.0","1,299.0","1,317.0","1,352.0","1,368.0","1,379.0","1,385.0","1,362.0","1,371.0","1,386.0","1,405.0","1,488.0","1,465.0","1,402.0","1,301.0","1,091.0","991.0"
"58","38","    Less: Consumption of fixed capital","A919RC1","1,739.0","1,781.0","1,851.0","1,926.0","1,999.0","2,063.0","2,134.0","2,165.0","2,164.0","2,130.0","2,118.0","2,108.0","2,042.0","2,048.0","2,143.0","2,284.0","2,441.0","2,543.0","2,611.0","2,656.0","2,643.0","2,716.0","2,809.0","2,778.0","2,840.0","2,822.0","2,847.0","2,812.0","2,778.0","2,899.0","2,911.0","2,967.0","2,935.0","2,990.0","3,153.0","3,245.0","3,380.0","3,499.0","3,611.0","3,691.0","3,749.0","3,855.0","3,902.0","3,910.0","3,874.0","3,973.0","4,067.0","4,137.0","4,200.0","4,220.0","4,253.0","4,285.0","4,336.0","4,394.0","4,454.0","4,516.0","4,579.0","4,646.0","4,710.0","4,783.0","4,881.0","4,974.0","5,050.0","5,145.0","5,223.0","5,318.0","5,405.0","5,513.0","5,604.0","5,698.0","5,793.0","5,894.0","6,036.0","6,181.0","6,308.0","6,444.0","6,584.0","6,809.0","6,969.0","7,149.0","7,290.0","7,404.0","7,602.0","7,790.0","8,059.0","8,230.0","8,341.0","8,640.0","8,898.0","9,216.0"
"59","39","  Net lending or net borrowing (-)","AD03RC1","942.0","959.0","323.0","345.0","-58.0","-295.0","-559.0","-551.0","-721.0","-1,458.0","-1,531.0","-1,911.0","-2,159.0","-2,544.0","-1,707.0","-1,856.0","-1,015.0","-1,631.0","-1,837.0","-1,340.0","-1,325.0","-1,731.0","-719.0","-790.0","-1,641.0","-224.0","-1,121.0","-1,476.0","-1,971.0","-2,445.0","-3,012.0","-2,976.0","-3,372.0","-3,363.0","-2,775.0","-2,748.0","-2,880.0","-2,858.0","-2,784.0","-2,966.0","-2,818.0","-3,448.0","-3,560.0","-4,310.0","-4,879.0","-4,746.0","-5,293.0","-4,077.0","-4,491.0","-4,365.0","-2,137.0","-1,944.0","-2,774.0","-2,934.0","-3,141.0","-3,389.0","-3,931.0","-3,479.0","-3,435.0","-4,300.0","-3,398.0","-3,089.0","-3,118.0","-2,998.0","-3,636.0","-3,341.0","-3,337.0","-3,514.0","-3,274.0","-3,777.0","-3,175.0","-3,348.0","-3,650.0","-4,209.0","-5,358.0","-5,282.0","-4,324.0","-4,122.0","-4,214.0","-6,176.0","-6,875.0","-8,144.0","-6,925.0","-6,422.0","-6,120.0","-6,534.0","-6,448.0","-6,622.0","-6,386.0","-6,090.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Prior to 1946, interest receipts (line 13) are not shown separately, but are shown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","net of interest payments.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
