"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","    Gross domestic product","A191RC1","984,431.0","1,038,326.0","1,126,817.0","1,237,885.0","1,382,269.0","1,499,452.0","1,637,700.0","1,824,583.0","2,030,130.0","2,293,762.0","2,562,228.0","2,788,143.0","3,126,837.0","3,253,194.0","3,534,606.0","3,930,895.0","4,217,470.0","4,460,067.0","4,736,354.0","5,100,422.0","5,482,146.0","5,800,527.0","5,992,094.0","6,342,306.0","6,667,350.0","7,085,160.0","7,414,655.0","7,838,456.0","8,332,362.0","8,793,495.0","9,353,484.0","9,951,482.0","10,286,167.0","10,642,316.0","11,142,212.0","11,853,254.0","12,622,959.0","13,377,215.0","14,028,675.0","14,291,543.0","13,938,950.0","14,526,547.0"
"20","2","       Final sales of domestic product","A190RC1","975,258.0","1,036,325.0","1,118,561.0","1,228,778.0","1,366,391.0","1,485,462.0","1,643,956.0","1,807,467.0","2,007,806.0","2,267,971.0","2,544,244.0","2,794,474.0","3,097,028.0","3,268,108.0","3,540,357.0","3,865,490.0","4,195,646.0","4,453,496.0","4,709,205.0","5,081,940.0","5,454,453.0","5,785,980.0","5,992,488.0","6,325,978.0","6,646,536.0","7,021,376.0","7,383,498.0","7,807,689.0","8,261,363.0","8,729,776.0","9,292,668.0","9,896,938.0","10,324,450.0","10,630,289.0","11,125,837.0","11,788,344.0","12,573,006.0","13,317,260.0","13,999,552.0","14,332,662.0","14,099,759.0","14,459,600.0"
"21","3","       Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,157.0","30,767.0","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","29,123.0","-41,119.0","-160,809.0","66,947.0"
"22","4","Goods","A353RC1","397,571.0","408,742.0","432,646.0","472,018.0","547,106.0","588,039.0","628,593.0","706,645.0","773,484.0","872,638.0","977,200.0","1,035,213.0","1,167,304.0","1,148,760.0","1,226,851.0","1,402,215.0","1,452,787.0","1,491,242.0","1,570,713.0","1,703,657.0","1,851,936.0","1,923,073.0","1,943,519.0","2,031,456.0","2,124,174.0","2,290,689.0","2,379,460.0","2,516,280.0","2,701,219.0","2,819,243.0","2,990,144.0","3,124,533.0","3,077,600.0","3,101,171.0","3,170,689.0","3,333,811.0","3,475,735.0","3,663,666.0","3,844,130.0","3,758,601.0","3,617,005.0","4,009,929.0"
"23","5","    Final sales","A325RC1","388,398.0","406,741.0","424,390.0","462,911.0","531,228.0","574,049.0","634,849.0","689,529.0","751,160.0","846,847.0","959,216.0","1,041,544.0","1,137,495.0","1,163,674.0","1,232,602.0","1,336,810.0","1,430,963.0","1,484,671.0","1,543,564.0","1,685,175.0","1,824,243.0","1,908,526.0","1,943,913.0","2,015,128.0","2,103,360.0","2,226,905.0","2,348,303.0","2,485,513.0","2,630,220.0","2,755,524.0","2,929,328.0","3,069,989.0","3,115,883.0","3,089,144.0","3,154,314.0","3,268,901.0","3,425,782.0","3,603,711.0","3,815,007.0","3,799,720.0","3,777,814.0","3,942,982.0"
"24","6","    Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,157.0","30,767.0","70,999.0","63,719.0","60,816.0","54,544.0","-38,283.0","12,027.0","16,375.0","64,910.0","49,953.0","59,955.0","29,123.0","-41,119.0","-160,809.0","66,947.0"
"25","7","  Durable goods","A354RC1","181,648.0","178,359.0","189,573.0","214,789.0","256,612.0","273,231.0","285,747.0","341,742.0","384,045.0","443,090.0","496,748.0","509,980.0","562,170.0","536,466.0","594,752.0","707,327.0","732,245.0","756,447.0","808,212.0","886,004.0","959,759.0","980,884.0","953,968.0","1,007,775.0","1,090,058.0","1,185,548.0","1,259,497.0","1,340,078.0","1,470,733.0","1,563,535.0","1,671,203.0","1,770,007.0","1,687,031.0","1,696,519.0","1,712,363.0","1,796,523.0","1,909,021.0","1,999,305.0","2,098,442.0","2,019,999.0","1,797,790.0","2,051,487.0"
"26","8","    Final sales","A326RC1","175,683.0","178,588.0","186,660.0","208,430.0","243,597.0","262,366.0","293,218.0","330,940.0","374,565.0","424,875.0","483,935.0","512,326.0","554,846.0","552,500.0","592,297.0","665,894.0","727,854.0","758,310.0","785,265.0","863,261.0","939,728.0","973,186.0","967,575.0","1,010,730.0","1,072,946.0","1,149,843.0","1,225,942.0","1,321,001.0","1,430,740.0","1,524,230.0","1,633,802.0","1,734,429.0","1,731,480.0","1,678,852.0","1,699,316.0","1,759,260.0","1,873,801.0","1,973,365.0","2,087,266.0","2,043,097.0","1,911,412.0","2,005,975.0"
"27","9","    Change in private inventories \1\","A355RC1","5,965.0","-229.0","2,913.0","6,359.0","13,015.0","10,865.0","-7,471.0","10,802.0","9,480.0","18,215.0","12,813.0","-2,346.0","7,324.0","-16,034.0","2,455.0","41,433.0","4,391.0","-1,863.0","22,947.0","22,743.0","20,031.0","7,698.0","-13,607.0","-2,955.0","17,112.0","35,705.0","33,555.0","19,077.0","39,993.0","39,305.0","37,401.0","35,578.0","-44,449.0","17,667.0","13,047.0","37,263.0","35,220.0","25,940.0","11,176.0","-23,098.0","-113,622.0","45,512.0"
"28","10","  Nondurable goods","A356RC1","215,923.0","230,383.0","243,073.0","257,229.0","290,494.0","314,808.0","342,846.0","364,903.0","389,439.0","429,548.0","480,452.0","525,233.0","605,134.0","612,294.0","632,099.0","694,888.0","720,542.0","734,795.0","762,501.0","817,653.0","892,177.0","942,188.0","989,551.0","1,023,681.0","1,034,116.0","1,105,141.0","1,119,963.0","1,176,202.0","1,230,486.0","1,255,708.0","1,318,941.0","1,354,526.0","1,390,568.0","1,404,652.0","1,458,326.0","1,537,289.0","1,566,714.0","1,664,361.0","1,745,688.0","1,738,602.0","1,819,214.0","1,958,442.0"
"29","11","    Final sales","A334RC1","212,715.0","228,153.0","237,730.0","254,481.0","287,631.0","311,683.0","341,631.0","358,589.0","376,595.0","421,972.0","475,281.0","529,218.0","582,649.0","611,174.0","640,305.0","670,916.0","703,109.0","726,361.0","758,299.0","821,914.0","884,515.0","935,340.0","976,338.0","1,004,398.0","1,030,414.0","1,077,062.0","1,122,361.0","1,164,512.0","1,199,480.0","1,231,294.0","1,295,526.0","1,335,560.0","1,384,403.0","1,410,292.0","1,454,998.0","1,509,641.0","1,551,981.0","1,630,346.0","1,727,741.0","1,756,623.0","1,866,402.0","1,937,007.0"
"30","12","    Change in private inventories \1\","A357RC1","3,208.0","2,230.0","5,343.0","2,748.0","2,863.0","3,125.0","1,215.0","6,314.0","12,844.0","7,576.0","5,171.0","-3,985.0","22,485.0","1,120.0","-8,206.0","23,972.0","17,433.0","8,434.0","4,202.0","-4,261.0","7,662.0","6,848.0","13,213.0","19,283.0","3,702.0","28,079.0","-2,398.0","11,690.0","31,006.0","24,414.0","23,415.0","18,966.0","6,165.0","-5,640.0","3,328.0","27,648.0","14,733.0","34,015.0","17,947.0","-18,021.0","-47,188.0","21,435.0"
"31","13","Services \2\","A341RC1","478,594.0","519,886.0","565,767.0","618,960.0","672,217.0","745,777.0","842,417.0","926,785.0","1,029,881.0","1,147,184.0","1,271,688.0","1,431,636.0","1,606,917.0","1,759,896.0","1,939,059.0","2,102,909.0","2,305,934.0","2,488,697.0","2,668,048.0","2,881,734.0","3,101,165.0","3,343,942.0","3,548,627.0","3,788,123.0","3,985,056.0","4,187,151.0","4,396,650.0","4,625,484.0","4,882,540.0","5,159,728.0","5,485,119.0","5,877,969.0","6,208,651.0","6,535,494.0","6,891,150.0","7,304,895.0","7,783,827.0","8,260,832.0","8,751,751.0","9,173,971.0","9,211,870.0","9,508,633.0"
"32","14","Structures","A755RC1","108,267.0","109,698.0","128,404.0","146,907.0","162,946.0","165,636.0","166,690.0","191,153.0","226,765.0","273,940.0","313,341.0","321,294.0","352,617.0","344,538.0","368,696.0","425,771.0","458,749.0","480,128.0","497,592.0","515,033.0","529,045.0","533,510.0","499,949.0","522,727.0","558,121.0","607,320.0","638,546.0","696,692.0","748,604.0","814,524.0","878,221.0","948,980.0","999,917.0","1,005,650.0","1,080,373.0","1,214,548.0","1,363,397.0","1,452,717.0","1,432,794.0","1,358,971.0","1,110,075.0","1,007,985.0"
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","15","  Motor vehicle output","A953RC1","44,679.0","37,189.0","49,781.0","54,982.0","63,588.0","58,678.0","57,332.0","78,806.0","96,397.0","106,527.0","106,173.0","87,084.0","100,434.0","96,561.0","128,776.0","160,813.0","182,291.0","187,347.0","188,886.0","200,946.0","210,403.0","194,956.0","180,659.0","205,572.0","232,608.0","272,804.0","277,835.0","293,444.0","319,729.0","340,353.0","375,281.0","369,375.0","349,571.0","387,127.0","382,164.0","398,851.0","418,937.0","412,668.0","409,907.0","323,006.0","249,053.0","326,230.0"
"35","16","  Gross domestic product excluding motor vehicle output","A962RC1","939,752.0","1,001,137.0","1,077,036.0","1,182,903.0","1,318,681.0","1,440,774.0","1,580,368.0","1,745,777.0","1,933,733.0","2,187,235.0","2,456,055.0","2,701,059.0","3,026,403.0","3,156,633.0","3,405,830.0","3,770,082.0","4,035,179.0","4,272,720.0","4,547,468.0","4,899,476.0","5,271,743.0","5,605,571.0","5,811,435.0","6,136,734.0","6,434,742.0","6,812,356.0","7,136,820.0","7,545,012.0","8,012,633.0","8,453,142.0","8,978,203.0","9,582,107.0","9,936,596.0","10,255,189.0","10,760,048.0","11,454,403.0","12,204,022.0","12,964,547.0","13,618,768.0","13,968,537.0","13,689,897.0","14,200,317.0"
"36","17","  Final sales of computers \3\","BB01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","11,753.0","15,726.0","20,171.0","25,725.0","28,228.0","33,789.0","42,689.0","45,479.0","45,626.0","48,539.0","53,989.0","56,397.0","52,348.0","52,601.0","55,253.0","56,331.0","60,373.0","74,882.0","84,759.0","94,116.0","96,737.0","101,837.0","109,913.0","98,880.0","83,216.0","81,990.0","78,562.0","77,197.0","80,560.0","80,110.0","81,291.0","70,900.0","77,562.0"
"37","18","  Gross domestic product excluding final sales of computers","BB00RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,282,009.0","2,546,502.0","2,767,972.0","3,101,112.0","3,224,966.0","3,500,817.0","3,888,206.0","4,171,991.0","4,414,441.0","4,687,815.0","5,046,433.0","5,425,749.0","5,748,179.0","5,939,493.0","6,287,053.0","6,611,019.0","7,024,787.0","7,339,773.0","7,753,697.0","8,238,246.0","8,696,758.0","9,251,647.0","9,841,569.0","10,187,287.0","10,559,100.0","11,060,222.0","11,774,692.0","12,545,762.0","13,296,655.0","13,948,565.0","14,210,252.0","13,868,050.0","14,448,985.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
