"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"22","3","  Nonfarm \2\","A358RX1","2,902,639.0","2,905,598.0","2,922,004.0","2,900,170.0","2,897,205.0","2,902,773.0","2,932,505.0","2,885,292.0","2,985,144.0","3,004,626.0","3,031,370.0","3,038,092.0","3,115,469.0","3,203,461.0","3,240,924.0","3,300,860.0","3,427,488.0","3,466,467.0","3,457,341.0","3,452,240.0","3,430,425.0","3,430,577.0","3,382,705.0","3,357,458.0","3,278,123.0","3,301,598.0","3,370,470.0","3,429,044.0","3,536,761.0","3,571,482.0","3,590,445.0","3,618,606.0","3,676,142.0","3,764,929.0","3,844,133.0","3,829,793.0","3,849,411.0","4,040,962.0","4,073,842.0","4,147,528.0","4,136,109.0","4,140,654.0","4,170,138.0","4,172,981.0","4,178,918.0","4,058,216.0","4,054,870.0","4,149,163.0","4,238,908.0","4,183,580.0","4,219,143.0","4,149,513.0","4,055,652.0","4,080,007.0","4,057,725.0","4,056,032.0","4,129,655.0","4,272,185.0","4,394,636.0","4,497,870.0","4,582,168.0","4,671,473.0","4,712,861.0","4,750,503.0","4,797,813.0","4,841,571.0","4,919,028.0","4,965,212.0","5,021,119.0","5,046,758.0","5,094,307.0","5,119,215.0","5,147,256.0","5,212,020.0","5,247,354.0","5,350,508.0","5,369,395.0","5,464,834.0","5,493,477.0","5,585,393.0","5,614,795.0","5,657,793.0","5,704,052.0","5,710,301.0","5,767,051.0","5,784,814.0","5,770,060.0","5,691,683.0","5,645,094.0","5,693,924.0","5,721,903.0","5,741,193.0","5,808,744.0","5,874,818.0","5,944,748.0","6,030,242.0","6,038,117.0","6,083,043.0","6,135,155.0","6,228,735.0","6,287,735.0","6,388,560.0","6,426,652.0","6,524,966.0","6,547,287.0","6,561,145.0","6,638,210.0","6,694,876.0","6,742,501.0","6,873,946.0","6,949,966.0","7,040,097.0","7,094,199.0","7,216,968.0","7,318,284.0","7,383,239.0","7,467,195.0","7,545,665.0","7,660,000.0","7,826,499.0","7,904,346.0","7,965,740.0","8,085,453.0","8,250,540.0","8,252,962.0","8,443,296.0","8,443,576.0","8,493,397.0","8,452,807.0","8,516,088.0","8,469,313.0","8,491,046.0","8,596,804.0","8,623,705.0","8,678,953.0","8,685,114.0","8,713,690.0","8,806,072.0","9,022,141.0","9,100,055.0","9,153,082.0","9,233,232.0","9,300,264.0","9,373,806.0","9,489,181.0","9,528,385.0","9,618,908.0","9,675,697.0","9,830,416.0","9,859,958.0","9,855,965.0","9,951,894.0","9,947,561.0","10,062,897.0","10,147,155.0","10,170,762.0","10,077,148.0","10,087,489.0","9,952,942.0","9,619,356.0","9,402,259.0","9,375,683.0","9,408,278.0","9,537,035.0","9,657,607.0","9,766,584.0","9,851,667.0","9,942,826.0","9,963,976.0","9,997,166.0"
"23","4","  Farm","B359RX1","27,256.0","27,404.0","27,790.0","27,712.0","27,757.0","28,068.0","28,507.0","28,891.0","29,417.0","29,788.0","30,029.0","29,955.0","27,714.0","30,353.0","29,846.0","31,293.0","27,868.0","30,079.0","26,460.0","33,484.0","28,046.0","29,318.0","28,773.0","29,102.0","33,105.0","34,580.0","35,062.0","34,520.0","33,149.0","32,543.0","32,356.0","32,864.0","32,175.0","33,924.0","34,445.0","37,435.0","32,411.0","33,115.0","35,890.0","31,794.0","35,542.0","35,443.0","36,900.0","37,413.0","36,757.0","36,233.0","33,363.0","34,499.0","40,192.0","43,035.0","52,852.0","50,007.0","49,529.0","49,309.0","47,599.0","48,834.0","41,956.0","31,969.0","25,381.0","28,238.0","38,356.0","43,028.0","45,359.0","46,382.0","49,964.0","50,593.0","57,828.0","53,258.0","52,020.0","48,131.0","52,108.0","50,741.0","50,409.0","50,128.0","52,573.0","51,904.0","52,668.0","46,952.0","44,696.0","38,125.0","52,022.0","51,706.0","52,636.0","52,779.0","54,971.0","54,554.0","56,254.0","58,297.0","56,675.0","56,756.0","55,997.0","58,327.0","65,291.0","68,058.0","67,830.0","63,784.0","57,756.0","60,057.0","52,133.0","61,402.0","70,977.0","72,012.0","72,699.0","66,414.0","57,790.0","56,504.0","53,668.0","57,606.0","63,974.0","67,125.0","64,558.0","65,468.0","68,999.0","71,791.0","75,439.0","73,816.0","69,501.0","68,149.0","69,955.0","69,941.0","70,201.0","74,526.0","71,993.0","74,317.0","82,499.0","83,316.0","85,526.0","82,804.0","79,163.0","73,324.0","71,137.0","87,299.0","65,895.0","78,930.0","88,366.0","91,495.0","93,718.0","99,149.0","90,789.0","82,549.0","100,897.0","91,319.0","95,326.0","104,117.0","99,428.0","102,951.0","104,394.0","101,298.0","93,756.0","107,310.0","99,465.0","95,993.0","93,657.0","89,778.0","85,087.0","92,871.0","102,506.0","99,431.0","95,036.0","110,012.0","113,958.0","115,606.0","126,159.0","112,535.0","112,629.0","117,317.0","123,156.0","112,723.0","102,427.0","100,050.0"
"24","5","Households and institutions","A193RX1","494,196.0","499,903.0","503,829.0","506,731.0","506,450.0","506,734.0","510,809.0","516,999.0","523,678.0","528,223.0","534,270.0","540,471.0","549,133.0","552,703.0","556,535.0","560,663.0","565,410.0","571,145.0","577,549.0","584,424.0","591,065.0","595,465.0","599,915.0","604,477.0","610,985.0","616,728.0","620,811.0","623,246.0","623,422.0","626,439.0","629,924.0","633,059.0","632,011.0","633,643.0","639,930.0","644,351.0","657,076.0","661,930.0","668,182.0","678,322.0","687,379.0","691,074.0","697,443.0","705,358.0","720,292.0","731,713.0","733,578.0","738,204.0","745,985.0","750,415.0","755,908.0","764,247.0","771,046.0","776,029.0","783,091.0","785,315.0","790,355.0","795,752.0","802,059.0","815,786.0","819,987.0","819,148.0","829,338.0","838,741.0","836,293.0","839,442.0","840,045.0","849,089.0","856,089.0","860,200.0","866,709.0","870,475.0","879,237.0","884,417.0","905,326.0","914,215.0","925,097.0","929,588.0","940,031.0","954,204.0","963,199.0","973,130.0","978,386.0","984,515.0","995,294.0","1,006,784.0","1,014,482.0","1,021,881.0","1,029,000.0","1,032,718.0","1,041,803.0","1,050,653.0","1,053,709.0","1,067,517.0","1,078,947.0","1,085,465.0","1,101,287.0","1,105,560.0","1,108,793.0","1,111,774.0","1,118,506.0","1,131,971.0","1,149,931.0","1,159,545.0","1,168,536.0","1,175,021.0","1,175,417.0","1,183,180.0","1,187,163.0","1,194,860.0","1,203,675.0","1,213,668.0","1,224,505.0","1,235,162.0","1,245,384.0","1,256,825.0","1,267,092.0","1,275,356.0","1,286,331.0","1,292,168.0","1,303,670.0","1,318,719.0","1,330,931.0","1,348,688.0","1,360,128.0","1,368,720.0","1,379,260.0","1,396,861.0","1,396,469.0","1,404,110.0","1,416,015.0","1,411,290.0","1,415,147.0","1,428,710.0","1,416,586.0","1,408,922.0","1,418,209.0","1,414,465.0","1,399,688.0","1,438,918.0","1,439,406.0","1,448,648.0","1,464,914.0","1,476,769.0","1,491,701.0","1,504,672.0","1,509,716.0","1,519,590.0","1,533,831.0","1,542,318.0","1,546,103.0","1,537,028.0","1,559,848.0","1,563,455.0","1,574,894.0","1,589,483.0","1,603,876.0","1,634,428.0","1,636,907.0","1,639,277.0","1,623,441.0","1,615,893.0","1,625,559.0","1,627,051.0","1,630,303.0","1,632,124.0","1,630,230.0","1,629,810.0","1,633,704.0","1,638,629.0"
"25","6","  Households","B701RX1","281,144.0","284,896.0","287,577.0","290,073.0","290,057.0","290,554.0","292,897.0","297,050.0","300,643.0","303,164.0","307,454.0","312,240.0","315,491.0","318,052.0","319,932.0","322,736.0","325,099.0","328,304.0","332,370.0","336,521.0","341,284.0","343,727.0","346,080.0","348,897.0","350,712.0","353,606.0","355,584.0","356,816.0","357,434.0","359,994.0","362,340.0","363,873.0","360,852.0","361,758.0","366,963.0","370,230.0","381,147.0","383,767.0","388,402.0","396,102.0","401,487.0","401,353.0","405,090.0","412,003.0","423,118.0","433,201.0","431,565.0","434,584.0","439,425.0","442,518.0","445,427.0","448,840.0","450,489.0","451,227.0","453,689.0","452,841.0","454,813.0","456,757.0","460,069.0","470,526.0","471,733.0","468,874.0","478,623.0","486,183.0","485,537.0","487,161.0","486,216.0","490,813.0","492,138.0","491,563.0","495,267.0","495,677.0","499,116.0","498,929.0","512,066.0","516,951.0","520,951.0","521,178.0","526,255.0","534,441.0","537,242.0","542,514.0","543,854.0","544,456.0","548,378.0","554,617.0","557,728.0","561,997.0","566,085.0","568,167.0","574,867.0","579,068.0","578,217.0","587,839.0","594,304.0","595,701.0","603,368.0","602,511.0","602,415.0","605,796.0","614,069.0","626,038.0","640,542.0","646,921.0","649,857.0","651,911.0","649,184.0","654,432.0","657,182.0","661,970.0","668,042.0","674,304.0","680,222.0","685,570.0","689,765.0","694,762.0","696,558.0","700,453.0","707,379.0","710,597.0","722,773.0","734,683.0","745,452.0","758,380.0","765,904.0","770,179.0","775,521.0","784,725.0","785,961.0","790,486.0","800,819.0","794,935.0","793,591.0","801,086.0","786,500.0","778,310.0","787,165.0","784,806.0","770,823.0","805,556.0","805,770.0","812,912.0","828,557.0","839,370.0","852,803.0","863,358.0","865,284.0","876,111.0","890,644.0","900,753.0","905,717.0","894,771.0","901,594.0","905,001.0","917,850.0","932,379.0","938,069.0","961,002.0","958,715.0","961,305.0","947,042.0","939,378.0","946,465.0","946,471.0","946,991.0","946,073.0","941,603.0","938,060.0","940,080.0","939,913.0"
"26","7","  Nonprofit institutions serving households \3\","B702RX1","213,101.0","214,793.0","215,827.0","215,897.0","215,591.0","215,265.0","216,993.0","218,812.0","221,958.0","223,997.0","225,480.0","226,510.0","232,424.0","233,279.0","235,317.0","236,514.0","238,979.0","241,518.0","243,749.0","246,413.0","248,069.0","250,037.0","252,167.0","253,868.0","258,903.0","261,818.0","263,980.0","265,209.0","264,675.0","264,978.0","266,041.0","267,671.0","270,085.0","270,814.0","271,593.0","272,647.0","273,731.0","276,024.0","277,501.0","279,717.0","283,303.0","287,395.0","289,997.0","290,648.0","294,116.0","295,030.0","298,837.0","300,398.0","303,271.0","304,529.0","307,116.0","312,185.0","317,620.0","322,152.0","326,965.0","330,353.0","333,552.0","337,175.0","340,199.0","343,065.0","346,210.0","348,551.0","348,454.0","349,996.0","348,103.0","349,642.0","351,356.0","355,858.0","361,883.0","366,984.0","369,772.0","373,367.0","378,886.0","384,689.0","392,242.0","396,261.0","403,403.0","407,979.0","413,442.0","419,393.0","425,874.0","430,565.0","434,696.0","440,612.0","447,766.0","453,040.0","457,789.0","460,893.0","463,901.0","465,532.0","467,742.0","472,466.0","476,630.0","480,645.0","485,606.0","490,917.0","499,179.0","504,648.0","508,182.0","507,593.0","505,585.0","506,637.0","509,658.0","512,800.0","519,051.0","523,636.0","527,064.0","529,487.0","530,669.0","533,529.0","536,148.0","539,805.0","544,736.0","550,109.0","556,304.0","562,910.0","571,870.0","576,325.0","580,262.0","582,870.0","581,535.0","584,316.0","585,394.0","589,965.0","593,802.0","598,171.0","603,416.0","611,865.0","610,118.0","613,211.0","614,461.0","615,916.0","621,421.0","627,495.0","630,520.0","631,299.0","631,455.0","630,057.0","629,499.0","633,518.0","633,780.0","635,820.0","636,386.0","637,423.0","638,899.0","641,304.0","644,425.0","643,495.0","643,285.0","641,791.0","640,699.0","642,412.0","658,232.0","658,452.0","657,219.0","657,491.0","666,100.0","673,900.0","678,551.0","678,365.0","676,582.0","676,558.0","679,208.0","680,658.0","683,325.0","685,954.0","688,305.0","691,209.0","693,068.0","697,959.0"
"27","8","General government \4\","A765RX1","937,003.0","944,439.0","951,805.0","955,396.0","949,804.0","950,212.0","951,239.0","951,923.0","953,211.0","951,318.0","952,038.0","952,867.0","947,332.0","947,063.0","951,313.0","956,858.0","953,766.0","953,040.0","953,723.0","959,122.0","968,692.0","972,309.0","975,719.0","980,719.0","987,610.0","989,209.0","991,257.0","992,361.0","994,736.0","996,031.0","1,000,095.0","1,004,048.0","1,004,892.0","1,006,104.0","1,011,237.0","1,014,438.0","1,020,774.0","1,023,662.0","1,031,591.0","1,038,112.0","1,039,306.0","1,036,955.0","1,036,864.0","1,044,803.0","1,050,453.0","1,056,692.0","1,056,780.0","1,053,752.0","1,054,775.0","1,056,617.0","1,063,163.0","1,066,408.0","1,068,702.0","1,071,670.0","1,071,229.0","1,072,577.0","1,076,240.0","1,077,717.0","1,079,532.0","1,078,038.0","1,081,100.0","1,087,481.0","1,095,751.0","1,100,762.0","1,108,722.0","1,116,856.0","1,129,667.0","1,134,775.0","1,140,117.0","1,146,027.0","1,152,309.0","1,162,078.0","1,166,192.0","1,171,107.0","1,175,750.0","1,188,168.0","1,198,204.0","1,201,181.0","1,207,399.0","1,216,586.0","1,222,844.0","1,229,997.0","1,239,466.0","1,246,165.0","1,258,225.0","1,263,463.0","1,270,415.0","1,272,722.0","1,281,755.0","1,280,475.0","1,277,761.0","1,277,563.0","1,281,966.0","1,283,139.0","1,285,695.0","1,283,937.0","1,287,433.0","1,286,951.0","1,287,349.0","1,284,332.0","1,286,332.0","1,287,732.0","1,288,608.0","1,284,611.0","1,288,962.0","1,290,739.0","1,290,660.0","1,280,570.0","1,279,987.0","1,293,591.0","1,293,103.0","1,292,568.0","1,295,308.0","1,297,905.0","1,302,159.0","1,303,064.0","1,308,034.0","1,312,728.0","1,317,289.0","1,319,316.0","1,322,078.0","1,322,579.0","1,327,201.0","1,333,360.0","1,341,314.0","1,353,677.0","1,350,302.0","1,352,192.0","1,361,549.0","1,370,814.0","1,378,756.0","1,383,695.0","1,392,308.0","1,399,908.0","1,405,798.0","1,407,668.0","1,415,304.0","1,419,204.0","1,419,166.0","1,419,311.0","1,422,801.0","1,424,674.0","1,427,339.0","1,432,459.0","1,434,940.0","1,434,741.0","1,437,466.0","1,438,757.0","1,437,603.0","1,440,093.0","1,448,661.0","1,453,545.0","1,454,664.0","1,458,014.0","1,464,546.0","1,472,758.0","1,479,646.0","1,486,053.0","1,497,991.0","1,505,374.0","1,511,505.0","1,521,205.0","1,522,914.0","1,524,915.0","1,526,718.0","1,533,053.0","1,526,700.0","1,525,107.0","1,524,632.0","1,522,816.0"
"28","9","  Federal","A766RX1","464,920.0","467,308.0","469,438.0","466,727.0","455,076.0","449,529.0","444,431.0","439,311.0","435,361.0","428,896.0","423,638.0","418,094.0","410,931.0","404,504.0","403,787.0","404,162.0","397,191.0","391,667.0","386,990.0","386,851.0","390,472.0","389,720.0","388,642.0","388,925.0","388,334.0","387,138.0","386,736.0","386,868.0","387,669.0","387,686.0","388,012.0","388,330.0","387,880.0","388,450.0","389,832.0","389,771.0","392,193.0","393,993.0","395,191.0","394,155.0","393,474.0","393,231.0","393,840.0","393,287.0","395,718.0","401,162.0","401,897.0","399,983.0","403,305.0","404,850.0","407,099.0","408,152.0","409,153.0","411,243.0","413,643.0","415,795.0","419,020.0","421,251.0","423,831.0","424,086.0","427,104.0","430,425.0","433,564.0","435,278.0","438,941.0","442,737.0","446,567.0","447,278.0","449,507.0","450,530.0","452,559.0","454,427.0","458,587.0","460,817.0","465,734.0","469,271.0","469,280.0","467,212.0","468,884.0","472,013.0","472,278.0","473,731.0","476,464.0","478,083.0","482,321.0","483,177.0","485,031.0","484,737.0","492,486.0","488,733.0","484,294.0","481,412.0","480,118.0","477,744.0","475,498.0","472,779.0","473,058.0","469,763.0","466,326.0","460,493.0","458,989.0","454,455.0","450,882.0","444,461.0","441,466.0","439,976.0","437,050.0","421,979.0","422,576.0","426,567.0","424,243.0","419,226.0","418,126.0","416,562.0","415,388.0","410,660.0","410,756.0","410,265.0","410,530.0","410,176.0","410,073.0","406,781.0","405,723.0","405,704.0","408,560.0","416,906.0","409,283.0","407,172.0","410,815.0","412,657.0","413,157.0","411,792.0","416,394.0","419,229.0","421,930.0","423,354.0","428,768.0","432,301.0","432,554.0","432,504.0","434,566.0","434,098.0","435,919.0","438,727.0","439,340.0","438,157.0","437,879.0","439,596.0","436,411.0","436,561.0","440,353.0","440,465.0","439,548.0","439,037.0","443,308.0","445,144.0","449,589.0","454,517.0","462,190.0","469,850.0","475,077.0","485,633.0","489,687.0","493,236.0","498,480.0","507,030.0","504,266.0","504,970.0","507,406.0","508,483.0"
"29","10","  State and local","A767RX1","482,201.0","487,175.0","492,307.0","498,180.0","503,368.0","508,875.0","514,563.0","519,943.0","524,918.0","529,208.0","534,928.0","541,071.0","542,569.0","548,687.0","553,641.0","558,827.0","562,656.0","567,377.0","572,662.0","578,225.0","584,244.0","588,613.0","593,084.0","597,818.0","605,356.0","608,157.0","610,607.0","611,587.0","613,183.0","614,470.0","618,222.0","621,884.0","623,193.0","623,842.0","627,628.0","630,923.0","634,882.0","635,989.0","642,761.0","650,374.0","652,261.0","650,132.0","649,435.0","657,958.0","661,209.0","662,053.0","661,422.0","660,296.0","657,968.0","658,280.0","662,620.0","664,835.0","666,136.0","667,015.0","664,155.0","663,361.0","663,834.0","663,111.0","662,388.0","660,646.0","660,708.0","663,786.0","668,969.0","672,301.0","676,651.0","681,044.0","690,099.0","694,514.0","697,668.0","702,559.0","706,830.0","714,695.0","714,777.0","717,499.0","717,439.0","726,311.0","736,157.0","741,043.0","745,586.0","751,666.0","757,553.0","763,214.0","769,942.0","774,986.0","782,846.0","787,163.0","792,226.0","794,727.0","796,431.0","798,623.0","800,044.0","802,484.0","807,967.0","811,323.0","815,912.0","816,703.0","819,858.0","822,420.0","825,971.0","828,404.0","831,730.0","837,283.0","841,426.0","843,415.0","850,428.0","853,552.0","856,179.0","860,352.0","859,240.0","868,866.0","870,592.0","874,807.0","878,546.0","882,596.0","887,896.0","893,270.0","898,074.0","903,168.0","907,404.0","909,727.0","912,537.0","916,141.0","921,678.0","927,746.0","932,879.0","937,150.0","941,017.0","944,860.0","950,616.0","957,973.0","965,287.0","971,411.0","975,549.0","980,353.0","983,600.0","984,099.0","986,440.0","986,876.0","986,594.0","986,783.0","988,237.0","990,569.0","991,416.0","993,740.0","995,599.0","996,585.0","999,584.0","999,163.0","1,001,199.0","1,003,547.0","1,008,316.0","1,013,086.0","1,015,130.0","1,019,011.0","1,021,256.0","1,027,625.0","1,030,071.0","1,031,545.0","1,035,839.0","1,035,682.0","1,036,652.0","1,035,959.0","1,033,718.0","1,032,257.0","1,028,920.0","1,026,806.0","1,023,202.0","1,020,925.0","1,018,054.0","1,015,184.0"
"30","11","Residual","A961RX1","-130,700.0","-134,400.0","-135,200.0","-139,200.0","-136,300.0","-134,500.0","-131,300.0","-136,300.0","-127,100.0","-124,600.0","-122,700.0","-123,500.0","-122,700.0","-109,400.0","-109,800.0","-103,900.0","-107,400.0","-97,100.0","-117,500.0","-84,900.0","-117,100.0","-113,900.0","-122,100.0","-125,900.0","-123,300.0","-119,100.0","-113,400.0","-110,700.0","-106,600.0","-106,600.0","-107,600.0","-106,200.0","-103,100.0","-92,100.0","-87,200.0","-84,600.0","-99,000.0","-84,200.0","-78,200.0","-88,400.0","-81,200.0","-81,800.0","-77,000.0","-79,800.0","-86,400.0","-103,500.0","-110,300.0","-100,600.0","-82,500.0","-84,100.0","-69,200.0","-83,500.0","-96,300.0","-96,900.0","-102,400.0","-101,200.0","-104,000.0","-110,200.0","-114,300.0","-104,200.0","-83,500.0","-72,200.0","-70,300.0","-69,100.0","-62,500.0","-61,200.0","-53,500.0","-57,000.0","-57,500.0","-61,600.0","-58,000.0","-60,800.0","-62,200.0","-60,700.0","-61,100.0","-59,600.0","-61,800.0","-62,800.0","-66,800.0","-73,600.0","-59,900.0","-61,200.0","-61,100.0","-63,400.0","-62,600.0","-64,700.0","-66,500.0","-70,300.0","-77,300.0","-74,700.0","-74,100.0","-72,800.0","-66,200.0","-63,000.0","-61,500.0","-60,300.0","-66,200.0","-63,200.0","-66,400.0","-56,000.0","-48,600.0","-45,200.0","-45,200.0","-43,500.0","-48,400.0","-49,700.0","-48,600.0","-42,400.0","-36,900.0","-33,000.0","-32,700.0","-29,400.0","-26,700.0","-22,500.0","-18,900.0","-18,400.0","-19,300.0","-18,500.0","-15,600.0","-11,200.0","-9,300.0","-7,200.0","-5,100.0","-1,800.0","-3,100.0","-300.0","0.0","100.0","-1,700.0","-2,100.0","-3,800.0","-2,300.0","-2,500.0","-2,700.0","-3,300.0","-3,100.0","-2,400.0","-1,800.0","-1,700.0","-2,400.0","1,500.0","-2,000.0","-1,200.0","100.0","-200.0","-200.0","0.0","200.0","700.0","-1,300.0","-200.0","-300.0","400.0","-600.0","-2,200.0","-300.0","3,300.0","2,700.0","3,700.0","8,800.0","11,500.0","12,400.0","10,900.0","11,300.0","9,800.0","8,700.0","7,300.0","5,400.0","2,800.0","1,600.0"
"31",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","12","  Gross housing value added","A2009X1","358,029.0","362,833.0","366,940.0","370,632.0","372,090.0","374,215.0","377,801.0","382,222.0","386,146.0","390,588.0","395,843.0","401,944.0","406,743.0","410,625.0","414,200.0","418,522.0","421,792.0","425,662.0","429,770.0","434,054.0","440,490.0","446,031.0","451,300.0","456,098.0","458,407.0","460,946.0","463,719.0","465,744.0","466,348.0","468,373.0","470,347.0","472,313.0","478,197.0","478,637.0","481,367.0","486,454.0","498,764.0","501,347.0","503,452.0","509,144.0","517,243.0","518,637.0","523,495.0","532,642.0","543,787.0","556,181.0","557,117.0","562,894.0","570,023.0","574,427.0","577,630.0","584,756.0","589,181.0","588,869.0","594,563.0","596,491.0","597,329.0","600,629.0","607,249.0","616,229.0","616,705.0","614,773.0","625,596.0","641,162.0","642,554.0","644,235.0","651,523.0","657,888.0","658,618.0","660,568.0","662,619.0","662,675.0","670,644.0","668,931.0","681,829.0","685,805.0","691,144.0","691,806.0","697,177.0","705,485.0","707,340.0","712,672.0","713,815.0","714,920.0","720,073.0","728,029.0","733,173.0","739,528.0","745,733.0","749,686.0","758,616.0","764,205.0","764,523.0","775,513.0","782,591.0","784,023.0","789,680.0","788,124.0","787,416.0","791,062.0","800,913.0","814,598.0","831,683.0","839,736.0","844,804.0","847,760.0","844,620.0","850,390.0","851,832.0","856,513.0","863,245.0","870,127.0","877,428.0","883,858.0","888,141.0","892,826.0","893,736.0","897,562.0","904,978.0","907,482.0","922,263.0","936,132.0","948,215.0","962,641.0","969,476.0","973,467.0","979,060.0","989,269.0","990,698.0","994,775.0","1,006,816.0","999,101.0","996,822.0","1,004,633.0","983,544.0","969,038.0","974,354.0","967,104.0","946,610.0","989,215.0","990,143.0","998,702.0","1,016,849.0","1,027,739.0","1,041,519.0","1,052,413.0","1,054,179.0","1,067,928.0","1,086,433.0","1,099,791.0","1,107,693.0","1,100,323.0","1,112,959.0","1,122,088.0","1,139,062.0","1,155,528.0","1,161,335.0","1,188,482.0","1,189,660.0","1,196,108.0","1,182,237.0","1,178,013.0","1,187,935.0","1,190,176.0","1,192,907.0","1,192,404.0","1,188,409.0","1,184,435.0","1,189,245.0","1,192,234.0"
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
