"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","    Government consumption expenditures and gross investment","A822RC1","216,549.0","219,386.0","224,860.0","224,931.0","229,840.0","230,622.0","235,492.0","238,835.0","241,570.0","245,267.0","248,512.0","250,312.0","259,631.0","263,865.0","261,613.0","268,566.0","276,682.0","280,049.0","281,136.0","288,759.0","301,387.0","312,039.0","323,189.0","335,052.0","346,218.0","349,789.0","361,963.0","372,891.0","379,092.0","380,127.0","382,805.0","389,978.0","401,336.0","411,785.0","417,303.0","425,816.0","431,894.0","449,745.0","459,880.0","472,695.0","477,770.0","492,467.0","507,218.0","525,474.0","546,743.0","562,747.0","567,514.0","587,479.0","610,101.0","622,435.0","628,399.0","648,974.0","658,521.0","671,860.0","684,663.0","706,744.0","716,686.0","729,070.0","748,087.0","739,677.0","767,229.0","791,359.0","803,601.0","825,491.0","845,635.0","868,377.0","893,870.0","907,679.0","918,808.0","940,867.0","967,429.0","970,239.0","982,406.0","994,597.0","1,002,500.0","1,018,066.0","1,021,897.0","1,032,999.0","1,036,914.0","1,063,803.0","1,070,696.0","1,094,970.0","1,112,136.0","1,124,586.0","1,158,599.0","1,171,389.0","1,183,014.0","1,213,845.0","1,228,128.0","1,236,244.0","1,239,226.0","1,240,763.0","1,258,849.0","1,267,323.0","1,281,655.0","1,286,015.0","1,282,601.0","1,290,307.0","1,296,563.0","1,309,723.0","1,302,944.0","1,318,776.0","1,349,302.0","1,348,140.0","1,364,629.0","1,376,282.0","1,378,780.0","1,376,392.0","1,400,705.0","1,417,101.0","1,422,564.0","1,443,463.0","1,457,375.0","1,472,449.0","1,477,923.0","1,489,989.0","1,482,604.0","1,518,709.0","1,540,381.0","1,562,507.0","1,585,770.0","1,608,797.0","1,644,635.0","1,685,878.0","1,695,623.0","1,726,926.0","1,739,959.0","1,761,297.0","1,801,054.0","1,846,908.0","1,850,562.0","1,887,157.0","1,936,636.0","1,968,469.0","1,995,968.0","2,032,298.0","2,073,563.0","2,109,976.0","2,127,540.0","2,139,122.0","2,184,514.0","2,219,048.0","2,254,449.0","2,273,262.0","2,316,531.0","2,344,550.0","2,400,120.0","2,418,329.0","2,474,510.0","2,510,496.0","2,533,337.0","2,555,243.0","2,604,373.0","2,655,990.0","2,698,441.0","2,738,168.0","2,812,019.0","2,869,645.0","2,929,805.0","2,901,108.0","2,875,450.0","2,916,949.0","2,934,998.0","2,942,732.0","2,967,727.0","3,004,588.0","3,018,666.0","3,020,214.0","3,014,372.0","3,038,316.0"
"21","2","      Consumption expenditures \1\","A955RC1","171,190.0","175,995.0","181,259.0","184,211.0","187,043.0","188,003.0","191,414.0","194,021.0","199,906.0","203,496.0","206,182.0","209,041.0","217,341.0","220,970.0","220,520.0","224,282.0","229,172.0","233,337.0","235,506.0","241,227.0","249,905.0","255,517.0","265,211.0","276,007.0","283,576.0","291,734.0","298,075.0","305,074.0","308,644.0","314,278.0","317,498.0","326,002.0","334,457.0","342,720.0","349,705.0","359,345.0","365,474.0","372,737.0","379,209.0","388,527.0","398,663.0","407,054.0","413,526.0","429,788.0","444,999.0","462,842.0","469,643.0","485,987.0","502,504.0","516,972.0","523,191.0","539,704.0","551,775.0","559,036.0","572,388.0","589,332.0","598,807.0","609,336.0","622,284.0","611,690.0","634,266.0","654,309.0","664,472.0","677,224.0","696,486.0","710,432.0","728,860.0","744,574.0","753,754.0","770,360.0","786,320.0","794,005.0","803,518.0","810,937.0","814,590.0","831,403.0","840,390.0","846,670.0","850,597.0","873,361.0","879,579.0","899,894.0","909,955.0","922,283.0","946,156.0","957,660.0","967,193.0","992,841.0","1,011,684.0","1,014,973.0","1,017,248.0","1,019,258.0","1,031,753.0","1,042,707.0","1,060,345.0","1,066,617.0","1,066,658.0","1,069,406.0","1,077,529.0","1,087,881.0","1,092,377.0","1,101,432.0","1,120,347.0","1,121,344.0","1,133,669.0","1,141,225.0","1,147,392.0","1,143,405.0","1,161,409.0","1,174,729.0","1,176,649.0","1,194,142.0","1,203,600.0","1,219,440.0","1,224,025.0","1,241,219.0","1,235,989.0","1,260,110.0","1,267,337.0","1,289,354.0","1,309,244.0","1,325,109.0","1,355,562.0","1,385,726.0","1,392,205.0","1,426,076.0","1,434,681.0","1,453,539.0","1,488,622.0","1,516,054.0","1,536,325.0","1,556,541.0","1,598,781.0","1,627,735.0","1,649,182.0","1,683,789.0","1,724,586.0","1,758,371.0","1,765,763.0","1,778,334.0","1,823,173.0","1,846,844.0","1,876,511.0","1,895,262.0","1,938,892.0","1,957,170.0","2,003,479.0","2,011,928.0","2,064,833.0","2,083,105.0","2,105,764.0","2,119,663.0","2,160,551.0","2,200,953.0","2,238,222.0","2,271,407.0","2,337,042.0","2,373,764.0","2,421,787.0","2,391,298.0","2,372,347.0","2,405,739.0","2,425,447.0","2,445,073.0","2,476,958.0","2,497,729.0","2,505,555.0","2,509,669.0","2,530,743.0","2,560,131.0"
