"","Table 3#16# Government Current Expenditures by Function         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007"
"19","1","      Government \1\","W022RC1","267,009.0","295,233.0","325,828.0","356,304.0","386,504.0","436,927.0","510,248.0","552,221.0","600,319.0","656,299.0","729,884.0","846,494.0","966,888.0","1,076,754.0","1,171,655.0","1,260,991.0","1,370,882.0","1,463,961.0","1,540,545.0","1,623,624.0","1,740,990.0","1,879,525.0","1,983,951.0","2,148,999.0","2,229,402.0","2,304,045.0","2,412,496.0","2,505,688.0","2,581,055.0","2,649,277.0","2,761,862.0","2,905,970.0","3,093,607.0","3,274,722.0","3,458,603.0","3,653,548.0","3,916,353.0","4,147,899.0","4,430,032.0"
"20","2","General public service","G160021","33,533.0","38,602.0","42,296.0","46,259.0","53,370.0","62,723.0","71,029.0","79,877.0","87,462.0","98,645.0","115,074.0","136,607.0","166,137.0","193,688.0","216,810.0","251,584.0","285,656.0","305,279.0","318,565.0","339,132.0","367,210.0","395,404.0","378,648.0","432,280.0","434,666.0","445,996.0","475,575.0","490,859.0","501,277.0","510,460.0","507,083.0","519,819.0","505,376.0","492,841.0","489,606.0","511,036.0","567,569.0","605,262.0","660,642.0"
"21","3","  Executive and legislative","G160031","5,349.0","6,223.0","7,500.0","8,181.0","8,320.0","10,441.0","12,051.0","13,222.0","13,415.0","13,118.0","14,760.0","17,371.0","17,491.0","20,118.0","19,940.0","22,705.0","26,874.0","28,665.0","27,828.0","28,428.0","29,350.0","32,398.0","-5,052.0","40,766.0","42,067.0","41,806.0","38,772.0","43,113.0","42,087.0","44,262.0","46,097.0","51,718.0","49,262.0","58,844.0","68,235.0","78,425.0","91,954.0","91,504.0","102,009.0"
"22","4","  Tax collection and financial management","G160041","4,361.0","5,023.0","5,391.0","5,879.0","6,254.0","7,142.0","8,245.0","8,319.0","9,506.0","10,212.0","10,448.0","11,056.0","11,571.0","13,422.0","16,267.0","16,396.0","22,403.0","30,662.0","27,217.0","29,456.0","28,944.0","30,041.0","31,651.0","35,144.0","34,547.0","34,372.0","34,963.0","33,772.0","35,896.0","37,061.0","41,091.0","39,729.0","42,823.0","45,080.0","46,387.0","47,406.0","48,486.0","48,419.0","50,233.0"
"23","5","  Interest payments \2\","G160051","20,207.0","23,060.0","24,471.0","26,273.0","31,274.0","35,607.0","39,983.0","46,287.0","50,814.0","60,238.0","72,932.0","89,072.0","116,737.0","138,910.0","156,876.0","187,285.0","208,771.0","216,343.0","230,772.0","247,730.0","272,524.0","294,212.0","311,744.0","312,300.0","312,748.0","322,734.0","353,870.0","364,572.0","370,618.0","371,615.0","357,879.0","362,009.0","341,542.0","312,556.0","298,015.0","306,574.0","342,722.0","372,201.0","414,266.0"
"24","6","  Other \3\","G160061","3,617.0","4,296.0","4,934.0","5,926.0","7,522.0","9,533.0","10,750.0","12,049.0","13,727.0","15,078.0","16,933.0","19,109.0","20,338.0","21,238.0","23,728.0","25,198.0","27,607.0","29,608.0","32,749.0","33,518.0","36,392.0","38,753.0","40,305.0","44,070.0","45,304.0","47,084.0","47,970.0","49,402.0","52,676.0","57,522.0","62,016.0","66,363.0","71,749.0","76,361.0","76,969.0","78,631.0","84,407.0","93,138.0","94,134.0"
"25","7","National defense","G160071","80,750.0","79,242.0","80,598.0","83,953.0","82,200.0","87,155.0","93,071.0","96,161.0","104,352.0","112,921.0","124,250.0","144,425.0","167,974.0","191,730.0","208,896.0","232,983.0","253,721.0","267,980.0","283,617.0","293,525.0","299,436.0","308,026.0","320,126.0","316,208.0","308,588.0","301,284.0","297,237.0","303,671.0","304,816.0","300,581.0","313,260.0","321,996.0","342,167.0","380,826.0","435,182.0","481,209.0","514,837.0","543,883.0","575,369.0"
"26","8","Public order and safety","G160081","9,612.0","11,017.0","12,582.0","14,068.0","15,893.0","18,110.0","20,704.0","22,828.0","25,081.0","28,735.0","31,921.0","35,685.0","39,992.0","44,621.0","48,578.0","52,625.0","58,014.0","63,172.0","68,316.0","75,287.0","82,814.0","91,675.0","99,811.0","107,681.0","116,379.0","125,063.0","134,088.0","142,824.0","150,220.0","159,273.0","173,124.0","186,770.0","202,167.0","214,760.0","224,458.0","235,893.0","251,120.0","263,503.0","286,760.0"
"27","9","  Police","G160091","4,803.0","5,430.0","6,227.0","7,041.0","7,904.0","8,879.0","10,092.0","11,057.0","12,172.0","13,554.0","14,832.0","16,364.0","18,205.0","20,086.0","21,714.0","23,223.0","25,494.0","27,319.0","29,070.0","31,714.0","34,056.0","37,106.0","40,366.0","43,468.0","47,603.0","50,256.0","53,242.0","57,329.0","61,298.0","64,634.0","69,527.0","74,505.0","80,193.0","87,641.0","94,021.0","100,411.0","106,854.0","111,177.0","122,481.0"
"28","10","  Fire","G160101","1,952.0","2,243.0","2,505.0","2,694.0","2,982.0","3,315.0","3,826.0","4,199.0","4,501.0","5,101.0","5,600.0","6,177.0","6,954.0","7,699.0","8,313.0","8,862.0","9,671.0","10,619.0","11,343.0","11,839.0","12,770.0","13,792.0","14,639.0","15,856.0","16,377.0","17,274.0","17,956.0","18,790.0","19,496.0","20,598.0","21,999.0","23,726.0","25,145.0","27,283.0","29,154.0","30,419.0","33,354.0","36,171.0","39,178.0"
"29","11","  Law courts","G160111","1,413.0","1,628.0","1,859.0","2,090.0","2,408.0","2,721.0","3,100.0","3,427.0","3,743.0","4,937.0","5,685.0","6,559.0","7,277.0","8,007.0","8,556.0","9,183.0","9,878.0","10,549.0","11,372.0","13,061.0","14,603.0","16,349.0","18,073.0","19,310.0","21,595.0","22,479.0","24,681.0","25,709.0","27,308.0","29,683.0","32,580.0","34,791.0","38,051.0","38,746.0","38,478.0","39,750.0","42,126.0","43,485.0","46,672.0"
"30","12","  Prisons","G160121","1,445.0","1,716.0","1,990.0","2,243.0","2,598.0","3,194.0","3,686.0","4,145.0","4,665.0","5,143.0","5,804.0","6,585.0","7,556.0","8,829.0","9,995.0","11,357.0","12,971.0","14,685.0","16,531.0","18,673.0","21,385.0","24,428.0","26,733.0","29,047.0","30,804.0","35,054.0","38,209.0","40,996.0","42,118.0","44,358.0","49,018.0","53,748.0","58,778.0","61,090.0","62,805.0","65,313.0","68,786.0","72,670.0","78,429.0"
"31","13","Economic affairs","G160131","28,001.0","29,318.0","31,467.0","34,888.0","34,860.0","36,974.0","43,603.0","46,125.0","51,707.0","59,281.0","62,607.0","71,857.0","81,519.0","85,464.0","95,909.0","93,376.0","100,505.0","111,112.0","115,805.0","110,484.0","117,026.0","124,720.0","128,968.0","138,330.0","146,043.0","146,695.0","149,612.0","152,608.0","159,819.0","166,989.0","185,794.0","200,226.0","221,668.0","216,557.0","227,995.0","230,391.0","252,308.0","263,394.0","270,111.0"
"32","14","  Transportation","G160181","11,227.0","12,561.0","13,802.0","14,884.0","16,453.0","19,644.0","22,575.0","23,675.0","25,527.0","27,523.0","30,349.0","34,436.0","37,711.0","40,722.0","42,603.0","44,267.0","46,592.0","48,295.0","49,959.0","52,442.0","54,243.0","57,497.0","61,018.0","63,933.0","66,303.0","70,022.0","71,904.0","74,582.0","78,906.0","81,930.0","86,638.0","91,926.0","102,914.0","106,613.0","115,368.0","116,429.0","125,424.0","136,218.0","144,376.0"
"33","15","    Highways","G160191","9,027.0","10,024.0","10,893.0","11,637.0","12,904.0","15,614.0","17,510.0","18,123.0","18,936.0","20,454.0","22,365.0","25,354.0","28,493.0","31,169.0","32,220.0","33,406.0","35,597.0","37,920.0","39,370.0","40,807.0","42,262.0","44,959.0","47,413.0","49,197.0","51,342.0","54,464.0","57,021.0","59,437.0","61,782.0","64,661.0","69,423.0","73,697.0","77,856.0","81,623.0","84,098.0","87,769.0","95,692.0","103,320.0","113,237.0"
"34","16","    Air","G160201","1,012.0","1,267.0","1,435.0","1,462.0","1,551.0","1,748.0","1,867.0","2,022.0","2,235.0","2,327.0","2,419.0","2,614.0","2,763.0","2,706.0","3,463.0","3,656.0","4,066.0","4,145.0","4,098.0","4,594.0","4,972.0","5,285.0","5,621.0","6,344.0","6,331.0","6,240.0","6,030.0","6,443.0","8,447.0","8,697.0","8,779.0","8,989.0","15,182.0","14,562.0","19,732.0","16,237.0","16,631.0","18,786.0","17,781.0"
"35","17","    Water","G160211","1,130.0","1,195.0","1,323.0","1,467.0","1,607.0","1,818.0","1,966.0","2,059.0","2,364.0","2,604.0","3,010.0","3,361.0","3,683.0","3,957.0","4,435.0","4,712.0","4,725.0","4,449.0","4,664.0","5,008.0","5,117.0","5,538.0","6,171.0","6,179.0","6,373.0","6,509.0","6,322.0","6,405.0","6,368.0","6,809.0","6,965.0","7,598.0","8,049.0","7,954.0","9,048.0","9,723.0","10,142.0","11,186.0","10,471.0"
"36","18","    Transit and railroad","G160221","58.0","75.0","151.0","318.0","391.0","464.0","1,232.0","1,471.0","1,992.0","2,138.0","2,555.0","3,107.0","2,772.0","2,890.0","2,485.0","2,493.0","2,204.0","1,781.0","1,827.0","2,033.0","1,892.0","1,715.0","1,813.0","2,213.0","2,257.0","2,809.0","2,531.0","2,297.0","2,309.0","1,763.0","1,471.0","1,642.0","1,827.0","2,474.0","2,490.0","2,700.0","2,959.0","2,926.0","2,887.0"
"37","19","  Space","G160241","3,470.0","3,485.0","3,523.0","3,454.0","3,164.0","3,667.0","4,006.0","3,916.0","4,010.0","4,192.0","4,556.0","5,286.0","5,801.0","5,894.0","6,396.0","6,510.0","6,909.0","6,644.0","7,323.0","8,465.0","10,034.0","11,536.0","12,076.0","12,157.0","12,663.0","12,277.0","12,322.0","13,041.0","13,532.0","12,614.0","12,162.0","12,607.0","13,285.0","12,873.0","13,813.0","14,956.0","14,857.0","15,712.0","15,175.0"
"38","20","  Other economic affairs","W690RC1","13,304.0","13,272.0","14,142.0","16,551.0","15,243.0","13,663.0","17,021.0","18,534.0","22,170.0","27,566.0","27,702.0","32,135.0","38,006.0","38,848.0","46,910.0","42,599.0","47,004.0","56,174.0","58,524.0","49,577.0","52,749.0","55,687.0","55,874.0","62,240.0","67,077.0","64,396.0","65,386.0","64,985.0","67,381.0","72,445.0","86,994.0","95,693.0","105,469.0","97,071.0","98,814.0","99,006.0","112,027.0","111,464.0","110,560.0"
"39","21","    General economic and labor affairs","G160141","3,578.0","4,057.0","5,213.0","5,918.0","6,376.0","6,060.0","6,601.0","7,614.0","8,331.0","10,212.0","11,090.0","12,981.0","12,559.0","12,311.0","11,819.0","12,033.0","13,395.0","14,180.0","15,483.0","15,868.0","18,386.0","21,800.0","19,759.0","22,126.0","19,360.0","19,519.0","20,797.0","21,737.0","22,615.0","23,440.0","25,203.0","29,472.0","29,812.0","32,393.0","31,062.0","32,127.0","33,729.0","34,825.0","37,134.0"
"40","22","    Agriculture","G160151","7,115.0","6,283.0","5,833.0","7,124.0","5,535.0","3,190.0","4,401.0","4,381.0","5,750.0","7,436.0","6,182.0","8,242.0","9,031.0","12,834.0","20,357.0","15,868.0","19,193.0","28,145.0","27,812.0","18,407.0","19,302.0","17,443.0","18,322.0","20,427.0","24,542.0","18,276.0","17,210.0","17,410.0","19,219.0","23,230.0","34,230.0","36,926.0","37,643.0","28,361.0","31,740.0","27,952.0","39,245.0","34,149.0","28,060.0"
"41","23","    Energy","G160161","1,055.0","969.0","1,017.0","1,148.0","1,045.0","1,736.0","2,618.0","3,122.0","4,226.0","5,845.0","5,154.0","5,014.0","9,161.0","6,053.0","6,235.0","6,062.0","5,579.0","4,602.0","5,034.0","5,057.0","4,487.0","5,031.0","4,927.0","6,019.0","10,053.0","10,089.0","11,117.0","8,843.0","8,272.0","7,366.0","8,772.0","7,881.0","15,179.0","10,889.0","11,340.0","12,532.0","11,294.0","12,141.0","12,962.0"
"42","24","    Natural resources","G160171","1,548.0","1,975.0","2,112.0","2,376.0","2,283.0","2,675.0","3,411.0","3,447.0","3,875.0","4,070.0","5,294.0","5,927.0","7,286.0","7,662.0","8,595.0","8,650.0","9,362.0","9,480.0","10,056.0","10,787.0","11,112.0","12,091.0","13,397.0","13,971.0","13,185.0","16,580.0","16,259.0","16,979.0","17,256.0","18,374.0","18,734.0","21,373.0","22,804.0","25,408.0","24,645.0","26,345.0","27,684.0","30,312.0","32,410.0"
"43","25","    Postal service","G160231","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-72.0","-11.0","-550.0","-271.0","133.0","-527.0","-542.0","-671.0","-523.0","-304.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-4.0","-15.0","-11.0","-3.0","2.0","2.0","-12.0"
"44","26","    Other \4\","G160251","8.0","-11.0","-33.0","-15.0","3.0","3.0","-9.0","-30.0","-12.0","3.0","-18.0","-29.0","-30.0","-12.0","-24.0","-3.0","25.0","37.0","6.0","-15.0","4.0","-7.0","-8.0","1.0","-63.0","-68.0","3.0","16.0","19.0","35.0","55.0","41.0","35.0","35.0","38.0","53.0","73.0","35.0","6.0"
"45","27","Housing and community services","G160261","1,537.0","1,993.0","2,682.0","3,159.0","3,556.0","4,152.0","4,655.0","5,060.0","5,629.0","6,511.0","7,531.0","8,779.0","10,310.0","12,172.0","13,019.0","13,720.0","15,140.0","15,593.0","15,991.0","17,693.0","19,440.0","21,274.0","23,217.0","24,718.0","27,438.0","28,139.0","30,545.0","31,627.0","30,618.0","29,180.0","29,248.0","27,427.0","29,439.0","33,750.0","36,184.0","37,901.0","42,294.0","40,530.0","47,711.0"
"46","28","Health","G160271","21,285.0","24,442.0","27,621.0","31,510.0","36,145.0","42,442.0","50,522.0","56,348.0","63,491.0","71,033.0","79,513.0","92,941.0","106,609.0","117,879.0","129,924.0","142,388.0","153,628.0","165,278.0","178,901.0","193,525.0","216,929.0","244,790.0","281,407.0","317,613.0","346,190.0","372,280.0","401,349.0","426,274.0","444,499.0","452,899.0","471,740.0","501,470.0","564,667.0","617,575.0","657,287.0","712,793.0","768,411.0","834,243.0","900,215.0"
"47","29","Recreation and culture","G160281","1,598.0","1,768.0","1,989.0","2,203.0","2,482.0","2,986.0","3,366.0","3,732.0","4,051.0","4,639.0","5,020.0","5,530.0","6,070.0","6,384.0","6,710.0","7,742.0","8,080.0","8,755.0","8,960.0","9,622.0","10,482.0","11,495.0","12,382.0","13,053.0","13,226.0","14,404.0","15,045.0","15,494.0","16,126.0","17,052.0","17,989.0","19,587.0","21,208.0","23,240.0","23,796.0","24,956.0","26,735.0","28,640.0","30,349.0"
"48","30","Education","G160291","43,131.0","50,302.0","56,870.0","63,052.0","69,560.0","77,772.0","91,187.0","99,460.0","106,721.0","114,315.0","125,457.0","137,729.0","149,817.0","159,412.0","168,926.0","181,904.0","196,845.0","211,907.0","226,052.0","241,180.0","260,391.0","280,986.0","295,267.0","307,639.0","325,563.0","342,404.0","362,346.0","377,885.0","396,166.0","417,885.0","443,789.0","476,156.0","511,033.0","531,626.0","563,567.0","590,969.0","623,023.0","658,191.0","702,867.0"
"49","31","  Elementary and secondary","G160301","32,414.0","37,137.0","41,542.0","45,769.0","50,314.0","55,606.0","63,367.0","69,660.0","75,457.0","81,049.0","89,265.0","97,411.0","104,962.0","112,495.0","119,935.0","130,580.0","141,044.0","153,197.0","165,036.0","175,802.0","188,708.0","204,545.0","216,207.0","226,459.0","237,013.0","248,396.0","263,445.0","276,617.0","291,016.0","306,094.0","326,193.0","349,950.0","370,513.0","389,808.0","419,198.0","437,983.0","460,477.0","488,145.0","518,425.0"
"50","32","  Higher","G160311","6,886.0","8,284.0","9,421.0","10,343.0","11,494.0","13,376.0","16,561.0","18,839.0","20,968.0","22,693.0","25,447.0","29,200.0","33,046.0","34,879.0","36,830.0","38,494.0","42,038.0","44,068.0","45,653.0","49,287.0","54,165.0","57,599.0","59,108.0","59,965.0","65,452.0","68,665.0","71,212.0","72,425.0","75,429.0","80,496.0","84,251.0","89,815.0","99,947.0","98,950.0","99,072.0","104,637.0","110,707.0","115,043.0","126,056.0"
"51","33","  Libraries and other","W691RC1","3,831.0","4,881.0","5,906.0","6,940.0","7,752.0","8,790.0","11,260.0","10,962.0","10,296.0","10,573.0","10,745.0","11,118.0","11,809.0","12,039.0","12,161.0","12,830.0","13,762.0","14,641.0","15,363.0","16,091.0","17,518.0","18,842.0","19,952.0","21,215.0","23,098.0","25,343.0","27,689.0","28,843.0","29,721.0","31,295.0","33,345.0","36,391.0","40,573.0","42,868.0","45,297.0","48,349.0","51,839.0","55,003.0","58,386.0"
"52","34","    Libraries","G160321","557.0","627.0","688.0","756.0","835.0","935.0","1,055.0","1,133.0","1,212.0","1,357.0","1,488.0","1,638.0","1,803.0","2,005.0","2,134.0","2,335.0","2,599.0","2,829.0","3,014.0","3,248.0","3,482.0","3,758.0","4,028.0","4,210.0","4,296.0","4,562.0","4,816.0","5,130.0","5,464.0","5,723.0","6,107.0","6,525.0","6,953.0","7,293.0","7,704.0","8,163.0","8,706.0","9,153.0","9,813.0"
"53","35","    Other","G160331","3,274.0","4,254.0","5,218.0","6,184.0","6,916.0","7,855.0","10,204.0","9,829.0","9,084.0","9,216.0","9,256.0","9,479.0","10,006.0","10,034.0","10,027.0","10,495.0","11,163.0","11,812.0","12,349.0","12,843.0","14,036.0","15,084.0","15,924.0","17,005.0","18,802.0","20,781.0","22,873.0","23,713.0","24,257.0","25,572.0","27,238.0","29,866.0","33,620.0","35,575.0","37,593.0","40,186.0","43,133.0","45,850.0","48,573.0"
"54","36","Income security","G160341","47,560.0","58,549.0","69,724.0","77,211.0","88,439.0","104,613.0","132,111.0","142,629.0","151,825.0","160,219.0","178,512.0","212,941.0","238,459.0","265,404.0","282,883.0","284,670.0","299,294.0","314,885.0","324,338.0","343,176.0","367,262.0","401,155.0","444,124.0","491,476.0","511,308.0","527,780.0","546,699.0","564,447.0","577,515.0","594,958.0","619,835.0","652,519.0","695,882.0","763,547.0","800,528.0","828,401.0","870,057.0","910,253.0","956,008.0"
"55","37","  Disability","G160351","8,974.0","10,091.0","11,633.0","13,198.0","15,259.0","17,270.0","19,589.0","22,138.0","24,722.0","26,598.0","29,917.0","32,830.0","36,227.0","37,870.0","38,984.0","39,887.0","41,661.0","43,203.0","45,017.0","47,388.0","49,926.0","53,996.0","58,765.0","63,671.0","69,503.0","71,438.0","74,710.0","79,987.0","82,743.0","85,245.0","87,475.0","93,177.0","103,663.0","115,687.0","123,670.0","134,876.0","146,050.0","153,501.0","162,323.0"
"56","38","  Retirement \5\","G160361","25,975.0","30,768.0","35,637.0","39,592.0","48,542.0","54,641.0","62,030.0","69,433.0","77,072.0","84,596.0","95,140.0","110,050.0","129,313.0","144,876.0","155,751.0","164,192.0","173,731.0","183,469.0","190,470.0","202,597.0","215,278.0","230,550.0","248,252.0","262,866.0","274,074.0","286,876.0","300,095.0","310,114.0","323,244.0","334,722.0","343,598.0","362,081.0","379,014.0","394,990.0","408,428.0","422,604.0","441,773.0","467,351.0","495,843.0"
"57","39","  Welfare and social services","G160371","10,048.0","13,234.0","16,147.0","18,147.0","19,507.0","25,008.0","30,233.0","32,902.0","34,929.0","36,873.0","41,167.0","48,598.0","52,872.0","54,143.0","58,567.0","61,430.0","64,648.0","67,932.0","70,408.0","74,775.0","80,580.0","90,434.0","101,751.0","113,183.0","119,931.0","126,379.0","129,099.0","128,603.0","126,773.0","129,837.0","135,380.0","140,953.0","149,882.0","160,816.0","170,787.0","175,720.0","186,124.0","188,649.0","198,100.0"
"58","40","  Unemployment","G160381","2,299.0","4,087.0","5,934.0","5,808.0","4,482.0","6,893.0","17,746.0","16,267.0","12,994.0","10,141.0","10,173.0","18,425.0","16,893.0","25,551.0","26,497.0","16,080.0","16,160.0","16,780.0","14,901.0","13,507.0","14,743.0","18,498.0","27,279.0","39,518.0","34,654.0","24,158.0","22,091.0","22,677.0","20,544.0","20,171.0","20,994.0","20,956.0","32,766.0","54,212.0","53,605.0","38,222.0","32,038.0","31,053.0","33,509.0"
"59","41","  Other","G160391","265.0","369.0","373.0","466.0","650.0","801.0","2,514.0","1,889.0","2,108.0","2,011.0","2,114.0","3,037.0","3,154.0","2,964.0","3,084.0","3,081.0","3,094.0","3,501.0","3,542.0","4,909.0","6,735.0","7,677.0","8,077.0","12,238.0","13,146.0","18,929.0","20,704.0","23,066.0","24,211.0","24,983.0","32,388.0","35,352.0","30,557.0","37,842.0","44,038.0","56,979.0","64,072.0","69,699.0","66,233.0"
"60","42","      Federal","W013RC1","184,099.0","201,577.0","220,586.0","245,198.0","262,634.0","294,451.0","348,274.0","376,658.0","410,085.0","452,927.0","500,866.0","589,451.0","676,690.0","752,621.0","819,491.0","881,452.0","953,018.0","1,010,655.0","1,045,873.0","1,096,944.0","1,171,974.0","1,259,201.0","1,320,343.0","1,450,495.0","1,504,312.0","1,542,512.0","1,614,004.0","1,674,685.0","1,716,290.0","1,744,282.0","1,796,158.0","1,871,935.0","1,979,769.0","2,112,103.0","2,261,464.0","2,393,406.0","2,573,089.0","2,728,317.0","2,899,951.0"
"61","43","General public service","G160411","21,150.0","24,269.0","25,850.0","29,635.0","38,578.0","43,294.0","47,008.0","53,976.0","58,589.0","66,679.0","77,408.0","93,756.0","115,357.0","135,857.0","149,819.0","176,945.0","200,955.0","212,463.0","212,393.0","228,396.0","248,954.0","269,765.0","246,403.0","293,260.0","294,236.0","301,250.0","326,817.0","337,895.0","340,497.0","339,495.0","326,485.0","328,654.0","304,109.0","281,925.0","283,036.0","290,932.0","337,205.0","358,629.0","401,478.0"
"62","44","  Executive and legislative","G160421","4,014.0","4,836.0","5,938.0","6,441.0","6,218.0","7,878.0","9,209.0","10,418.0","9,893.0","10,156.0","11,207.0","13,272.0","12,753.0","15,061.0","14,846.0","17,118.0","20,767.0","24,003.0","20,820.0","21,129.0","21,078.0","23,110.0","-14,738.0","30,747.0","31,795.0","31,028.0","27,255.0","32,045.0","30,579.0","31,666.0","33,427.0","36,604.0","33,098.0","41,219.0","58,955.0","58,126.0","69,814.0","66,441.0","74,565.0"
