"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2"
"20","1","Gross domestic product","A191RX1","1,770,691.0","1,767,976.0","1,766,523.0","1,793,310.0","1,821,809.0","1,855,345.0","1,865,320.0","1,868,184.0","1,842,240.0","1,835,512.0","1,856,103.0","1,838,679.0","1,912,998.0","1,971,217.0","2,048,351.0","2,084,390.0","2,110,731.0","2,145,746.0","2,188,503.0","2,192,210.0","2,214,268.0","2,216,709.0","2,231,561.0","2,305,276.0","2,348,408.0","2,366,180.0","2,351,793.0","2,314,567.0","2,303,523.0","2,306,413.0","2,332,418.0","2,379,125.0","2,447,657.0","2,488,149.0","2,521,394.0","2,535,472.0","2,523,902.0","2,543,752.0","2,540,555.0","2,582,070.0","2,597,939.0","2,591,671.0","2,616,638.0","2,589,110.0","2,519,019.0","2,534,480.0","2,593,867.0","2,654,348.0","2,708,036.0","2,776,430.0","2,773,119.0","2,782,827.0","2,845,268.0","2,831,971.0","2,836,599.0","2,800,224.0","2,816,858.0","2,869,554.0","2,915,929.0","2,975,288.0","3,028,654.0","3,062,094.0","3,090,408.0","3,097,917.0","3,138,407.0","3,177,733.0","3,237,567.0","3,262,180.0","3,335,397.0","3,373,705.0","3,419,548.0","3,429,028.0","3,513,250.0","3,560,919.0","3,633,182.0","3,720,836.0","3,812,167.0","3,824,857.0","3,850,012.0","3,881,205.0","3,915,396.0","3,916,211.0","3,947,455.0","3,977,573.0","4,059,545.0","4,128,472.0","4,156,717.0","4,174,727.0","4,240,478.0","4,252,828.0"
"21","2","Plus: Income receipts from the rest of the world","A645RX1","12,661.0","13,102.0","12,922.0","14,182.0","14,977.0","15,636.0","16,466.0","15,853.0","16,006.0","15,488.0","15,247.0","14,205.0","15,084.0","15,863.0","18,188.0","18,177.0","17,937.0","20,378.0","20,906.0","21,823.0","20,556.0","21,093.0","20,842.0","20,700.0","20,277.0","21,195.0","19,613.0","20,042.0","20,996.0","20,870.0","20,963.0","23,006.0","23,540.0","23,772.0","24,090.0","24,464.0","26,625.0","26,195.0","27,032.0","24,479.0","27,794.0","29,391.0","28,555.0","24,004.0","24,688.0","24,434.0","24,118.0","24,237.0","24,441.0","24,790.0","26,662.0","28,413.0","28,692.0","28,824.0","29,526.0","30,365.0","31,805.0","30,623.0","31,469.0","32,253.0","31,547.0","33,940.0","34,246.0","38,098.0","36,882.0","36,405.0","37,368.0","38,619.0","41,262.0","40,354.0","41,223.0","39,833.0","43,657.0","44,929.0","43,021.0","40,699.0","41,798.0","42,134.0","42,507.0","44,154.0","43,790.0","42,963.0","45,704.0","45,615.0","47,374.0","49,159.0","50,565.0","50,547.0","52,793.0","54,184.0"
"22","3","Less: Income payments to the rest of the world","A655RX1","3,830.0","3,727.0","3,601.0","4,235.0","3,979.0","4,000.0","4,721.0","4,152.0","4,814.0","4,673.0","4,817.0","4,864.0","5,075.0","5,206.0","5,346.0","5,418.0","5,792.0","5,830.0","5,726.0","5,690.0","5,474.0","5,881.0","5,941.0","6,166.0","6,064.0","6,024.0","6,225.0","6,544.0","6,319.0","6,286.0","6,197.0","6,213.0","6,398.0","6,938.0","7,074.0","7,044.0","7,118.0","6,920.0","7,249.0","7,280.0","7,301.0","7,249.0","7,423.0","7,468.0","7,639.0","7,119.0","7,466.0","7,819.0","8,162.0","8,539.0","9,036.0","9,584.0","10,628.0","10,317.0","10,174.0","9,824.0","9,982.0","10,029.0","10,400.0","10,697.0","10,192.0","10,372.0","10,449.0","10,564.0","10,720.0","11,268.0","11,758.0","12,148.0","12,344.0","12,622.0","12,634.0","13,341.0","13,432.0","13,695.0","14,061.0","14,464.0","14,655.0","14,940.0","15,941.0","16,345.0","16,352.0","16,334.0","16,206.0","16,997.0","18,004.0","19,168.0","19,639.0","19,862.0","21,944.0","24,450.0"
"23","4","Equals: Gross national product","A001RX1","1,780,365.0","1,778,116.0","1,776,614.0","1,803,960.0","1,833,438.0","1,867,580.0","1,877,623.0","1,880,481.0","1,854,012.0","1,846,954.0","1,867,220.0","1,848,808.0","1,923,784.0","1,982,638.0","2,061,797.0","2,097,805.0","2,123,619.0","2,160,765.0","2,204,140.0","2,208,686.0","2,229,872.0","2,232,396.0","2,246,993.0","2,320,475.0","2,363,395.0","2,382,025.0","2,366,056.0","2,328,855.0","2,318,833.0","2,321,650.0","2,347,853.0","2,396,385.0","2,465,300.0","2,505,542.0","2,538,979.0","2,553,429.0","2,543,686.0","2,563,362.0","2,560,591.0","2,599,879.0","2,618,661.0","2,613,838.0","2,637,941.0","2,606,347.0","2,536,618.0","2,552,351.0","2,611,212.0","2,671,541.0","2,725,148.0","2,793,571.0","2,791,463.0","2,802,233.0","2,864,017.0","2,851,118.0","2,856,516.0","2,821,180.0","2,838,968.0","2,890,621.0","2,937,455.0","2,997,299.0","3,050,547.0","3,086,007.0","3,114,552.0","3,125,447.0","3,164,729.0","3,203,151.0","3,263,459.0","3,288,870.0","3,364,370.0","3,401,627.0","3,448,290.0","3,455,855.0","3,543,560.0","3,592,189.0","3,662,414.0","3,747,621.0","3,839,854.0","3,852,594.0","3,877,165.0","3,909,522.0","3,943,397.0","3,943,466.0","3,977,385.0","4,006,696.0","4,089,403.0","4,158,932.0","4,188,055.0","4,205,851.0","4,271,749.0","4,283,002.0"
"24","5","Less: Consumption of fixed capital","A262RX1","156,338.0","155,079.0","154,359.0","153,850.0","153,807.0","153,664.0","153,665.0","153,617.0","154,002.0","154,300.0","154,632.0","154,953.0","155,452.0","156,279.0","157,271.0","158,477.0","159,941.0","161,594.0","163,294.0","165,123.0","167,088.0","169,213.0","171,281.0","173,583.0","176,013.0","178,374.0","180,432.0","182,544.0","184,737.0","186,611.0","188,543.0","190,311.0","192,101.0","193,852.0","195,632.0","197,329.0","199,133.0","200,896.0","202,683.0","204,199.0","205,677.0","207,417.0","209,281.0","211,391.0","213,688.0","215,606.0","217,247.0","218,377.0","219,432.0","220,387.0","221,241.0","222,300.0","223,258.0","224,394.0","225,691.0","227,255.0","228,820.0","230,626.0","232,248.0","234,124.0","236,140.0","238,077.0","240,336.0","242,606.0","245,043.0","247,435.0","249,901.0","252,482.0","254,875.0","257,512.0","260,315.0","263,399.0","266,600.0","270,059.0","273,723.0","277,429.0","281,495.0","285,499.0","289,509.0","293,425.0","297,383.0","301,203.0","305,071.0","308,842.0","312,497.0","316,233.0","320,061.0","323,911.0","327,770.0","331,629.0"
"25","6","        Private","A024RX1","89,129.0","90,904.0","92,692.0","94,494.0","96,319.0","98,041.0","99,660.0","101,172.0","102,574.0","103,970.0","105,359.0","106,743.0","108,123.0","109,524.0","110,944.0","112,382.0","113,835.0","115,143.0","116,299.0","117,304.0","118,153.0","119,111.0","120,178.0","121,359.0","122,655.0","123,921.0","125,156.0","126,359.0","127,532.0","128,754.0","130,025.0","131,347.0","132,720.0","134,124.0","135,560.0","137,024.0","138,518.0","139,935.0","141,274.0","142,535.0","143,716.0","145,089.0","146,663.0","148,441.0","150,432.0","152,045.0","153,271.0","154,105.0","154,539.0","154,966.0","155,388.0","155,802.0","156,212.0","156,811.0","157,601.0","158,586.0","159,766.0","160,949.0","162,134.0","163,321.0","164,511.0","165,836.0","167,297.0","168,897.0","170,636.0","172,392.0","174,166.0","175,954.0","177,758.0","179,781.0","182,026.0","184,497.0","187,196.0","190,048.0","193,052.0","196,213.0","199,530.0","202,775.0","205,944.0","209,037.0","212,049.0","215,027.0","217,967.0","220,872.0","223,737.0","226,712.0","229,800.0","233,000.0","236,316.0","239,690.0"
"26","7","        Government","A264RX1","73,776.0","70,385.0","67,519.0","64,861.0","62,684.0","60,481.0","58,569.0","56,725.0","55,492.0","54,163.0","52,857.0","51,537.0","50,434.0","49,680.0","49,092.0","48,739.0","48,674.0","49,009.0","49,587.0","50,511.0","51,796.0","53,143.0","54,281.0","55,558.0","56,844.0","58,087.0","59,004.0","60,029.0","61,191.0","61,901.0","62,618.0","63,074.0","63,494.0","63,828.0","64,157.0","64,352.0","64,639.0","64,974.0","65,434.0","65,668.0","65,958.0","66,320.0","66,578.0","66,874.0","67,127.0","67,400.0","67,827.0","68,133.0","68,853.0","69,464.0","69,961.0","70,714.0","71,353.0","71,966.0","72,530.0","73,169.0","73,562.0","74,240.0","74,695.0","75,452.0","76,373.0","77,031.0","77,902.0","78,612.0","79,349.0","80,012.0","80,741.0","81,589.0","82,195.0","82,821.0","83,370.0","83,971.0","84,431.0","85,008.0","85,641.0","86,132.0","86,854.0","87,593.0","88,432.0","89,256.0","90,223.0","91,073.0","92,025.0","92,907.0","93,702.0","94,456.0","95,180.0","95,792.0","96,274.0","96,693.0"
"27","8","          General government","A265RX1","68,563.0","65,286.0","62,459.0","59,897.0","57,781.0","55,638.0","53,751.0","51,946.0","50,730.0","49,426.0","48,126.0","46,833.0","45,731.0","44,948.0","44,305.0","43,941.0","43,850.0","44,143.0","44,655.0","45,520.0","46,710.0","47,935.0","48,981.0","50,185.0","51,398.0","52,573.0","53,432.0","54,361.0","55,430.0","56,088.0","56,746.0","57,156.0","57,520.0","57,795.0","58,058.0","58,212.0","58,443.0","58,708.0","59,115.0","59,298.0","59,519.0","59,810.0","60,018.0","60,262.0","60,453.0","60,667.0","61,015.0","61,265.0","61,888.0","62,409.0","62,845.0","63,475.0","64,042.0","64,531.0","65,032.0","65,559.0","65,880.0","66,440.0","66,801.0","67,476.0","68,286.0","68,843.0","69,602.0","70,230.0","70,879.0","71,439.0","72,078.0","72,797.0","73,313.0","73,848.0","74,278.0","74,771.0","75,130.0","75,601.0","76,144.0","76,532.0","77,142.0","77,742.0","78,456.0","79,172.0","79,996.0","80,746.0","81,559.0","82,303.0","82,969.0","83,577.0","84,174.0","84,638.0","84,993.0","85,291.0"
"28","9","          Government enterprises","A266RX1","3,485.0","3,501.0","3,600.0","3,601.0","3,623.0","3,645.0","3,699.0","3,729.0","3,764.0","3,792.0","3,843.0","3,866.0","3,914.0","3,985.0","4,082.0","4,112.0","4,147.0","4,187.0","4,247.0","4,284.0","4,353.0","4,452.0","4,523.0","4,563.0","4,604.0","4,641.0","4,676.0","4,757.0","4,829.0","4,866.0","4,912.0","4,952.0","5,007.0","5,067.0","5,138.0","5,181.0","5,240.0","5,315.0","5,364.0","5,419.0","5,494.0","5,569.0","5,621.0","5,676.0","5,744.0","5,807.0","5,889.0","5,948.0","6,043.0","6,132.0","6,188.0","6,316.0","6,381.0","6,514.0","6,572.0","6,688.0","6,765.0","6,889.0","6,990.0","7,065.0","7,169.0","7,271.0","7,378.0","7,454.0","7,536.0","7,641.0","7,727.0","7,858.0","7,949.0","8,040.0","8,171.0","8,285.0","8,396.0","8,510.0","8,599.0","8,711.0","8,825.0","8,973.0","9,100.0","9,203.0","9,347.0","9,440.0","9,578.0","9,719.0","9,852.0","10,008.0","10,140.0","10,306.0","10,447.0","10,584.0"
"29","10","Equals: Net national product","A027RX1","1,635,621.0","1,634,891.0","1,634,249.0","1,663,166.0","1,693,682.0","1,729,194.0","1,739,582.0","1,742,607.0","1,714,679.0","1,706,978.0","1,727,558.0","1,708,032.0","1,785,108.0","1,845,040.0","1,925,807.0","1,961,559.0","1,986,384.0","2,022,722.0","2,065,491.0","2,067,679.0","2,086,984.0","2,086,649.0","2,098,950.0","2,172,176.0","2,213,441.0","2,229,531.0","2,210,061.0","2,168,465.0","2,155,030.0","2,155,376.0","2,179,940.0","2,227,942.0","2,297,087.0","2,336,486.0","2,368,784.0","2,381,468.0","2,368,806.0","2,386,818.0","2,381,392.0","2,420,213.0","2,437,700.0","2,430,164.0","2,452,641.0","2,416,639.0","2,340,680.0","2,354,380.0","2,413,397.0","2,474,686.0","2,529,092.0","2,599,088.0","2,595,664.0","2,605,371.0","2,668,396.0","2,653,338.0","2,657,131.0","2,618,168.0","2,634,516.0","2,685,753.0","2,732,215.0","2,791,840.0","2,844,393.0","2,878,560.0","2,905,103.0","2,913,295.0","2,950,758.0","2,987,388.0","3,046,651.0","3,069,501.0","3,144,605.0","3,179,677.0","3,224,283.0","3,227,953.0","3,314,596.0","3,360,357.0","3,428,241.0","3,511,604.0","3,601,749.0","3,609,542.0","3,629,609.0","3,657,883.0","3,687,678.0","3,682,620.0","3,712,585.0","3,737,905.0","3,818,713.0","3,885,747.0","3,910,793.0","3,924,084.0","3,987,193.0","3,993,694.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross domestic income \1\","A261RX1","1,764,840.0","1,749,125.0","1,749,053.0","1,769,983.0","1,816,727.0","1,864,450.0","1,867,686.0","1,875,336.0","1,838,211.0","1,827,181.0","1,840,294.0","1,816,469.0","1,887,245.0","1,962,329.0","2,044,172.0","2,085,251.0","2,094,790.0","2,120,704.0","2,156,715.0","2,174,072.0","2,192,163.0","2,202,971.0","2,218,195.0","2,285,579.0","2,327,104.0","2,344,542.0","2,331,484.0","2,279,784.0","2,285,494.0","2,289,547.0","2,309,855.0","2,360,276.0","2,423,360.0","2,477,933.0","2,506,961.0","2,527,088.0","2,529,648.0","2,554,060.0","2,551,374.0","2,596,231.0","2,600,807.0","2,599,317.0","2,611,535.0","2,585,475.0","2,528,707.0","2,532,365.0","2,578,346.0","2,641,519.0","2,704,815.0","2,784,678.0","2,760,650.0","2,779,824.0","2,843,772.0","2,837,790.0","2,834,577.0","2,818,433.0","2,823,289.0","2,871,791.0","2,914,605.0","2,980,511.0","3,023,144.0","3,054,371.0","3,082,485.0","3,112,375.0","3,144,311.0","3,192,061.0","3,232,814.0","3,263,920.0","3,319,392.0","3,365,149.0","3,413,383.0","3,443,633.0","3,520,847.0","3,566,048.0","3,616,493.0","3,695,087.0","3,774,884.0","3,797,984.0","3,821,887.0","3,852,989.0","3,872,139.0","3,892,813.0","3,933,495.0","3,972,469.0","4,032,687.0","4,093,233.0","4,144,712.0","4,169,914.0","4,211,112.0","4,238,485.0"
