"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 29, 2006     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/28/2006 9:15:56 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","      National income without capital consumption adjustment","A422RC1",7661.4,8122.9,8687.4,8854.9,9013.5,9444.8,10020.7,10878.1
"9","2","Domestic industries","A423RC1",7640.1,8089.2,8648.5,8811.2,8982.9,9376.7,9966.9,10844.5
"10","3","  Private industries","A736RC1",6724.6,7134.9,7642.8,7758.4,7854.7,8179.7,8711.5,9542.9
"11","4","    Agriculture, forestry, fishing, and hunting","N5004C1",78.5,73.6,70.1,69.3,65.9,80,96.9,81.3
"12","5","    Mining","N5005C1",72.6,69.3,93.8,101,81.4,103.1,124.1,158.7
"13","6","    Utilities","N5006C1",138.6,142.6,144.3,149.2,143.8,151.1,157,180.6
"14","7","    Construction","N5007C1",366.6,408.7,440.6,463.3,470.8,483.4,529.8,609
"15","8","    Manufacturing","N5008C1",1112.1,1150.3,1228.5,1094.1,1071.6,1133.4,1190.2,1335.8
"16","9","      Durable goods","N5009C1",672.5,695,744,617.8,613.8,642.7,690.2,754.6
"17","10","      Nondurable goods","N5010C1",439.5,455.3,484.5,476.2,457.8,490.7,500,581.2
"18","11","    Wholesale trade","N5011C1",505.4,537.1,563.8,557.7,553.4,577.6,618.4,684
"19","12","    Retail trade","N5012C1",591.1,626.8,665.3,689,710.1,738.9,772.5,836.8
"20","13","    Transportation and warehousing","N5013C1",235.3,247.4,261.2,251.9,250.3,261.6,279.8,318.3
"21","14","    Information","N5014C1",273.7,302.8,308.3,305.6,307.3,310.2,338.6,388
"22","15","    Finance, insurance, real estate, rental, and leasing","N5015C1",1328.5,1396.3,1529.3,1643.7,1644.7,1674.6,1766.7,1853.6
"23","16","    Professional and business services \1\","N5016C1",975.1,1072.2,1146.6,1171.3,1211.2,1249.4,1334.8,1473.7
"24","17","    Educational services, health care, and social assistance","N5017C1",582.7,615.8,664.6,719.2,777,824.4,877.7,947.4
"25","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1",267.9,289.1,310.5,316.8,330.3,344.6,365.5,398.9
"26","19","    Other services, except government","N5019C1",196.6,202.9,215.8,226.2,237.1,247.3,259.6,276.8
"27","20","  Government","B436RC1",915.5,954.3,1005.7,1052.8,1128.2,1197,1255.4,1301.6
"28","21","Rest of the world","A192RC1",21.3,33.8,38.9,43.6,30.6,68.1,53.8,33.6
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Note. Estimates in this table are based on the 1997 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
