"","Table 2#7B# Wage and Salary Disbursements by Industry, Monthly  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"1","[Billions of dollars; months seasonally adjusted at annual rates]                                                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Monthly data from 2001 To 2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 30, 2006     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/29/2006 9:53:45 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006
"8",NA,NA,NA,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5
"9","1","    Wage and salary disbursements","A576RC1",4945.8,4965.9,4971.5,4953,4949.3,4951.9,4948.2,4940.3,4917.2,4916.4,4921.8,4932.2,4949.1,4958.3,4976.1,4978.3,4985.9,5004,4982.1,4989.6,4993.8,4982.2,4982.5,4988.8,5008.8,5031.7,5048.4,5058,5092.8,5112.5,5124,5142.4,5153.1,5170.8,5201.4,5189.6,5232.6,5257.3,5274.6,5293.1,5329.8,5331.4,5384.2,5418.9,5462.8,5513.2,5563.2,5612.2,5604.6,5629.8,5655.3,5650.1,5671.1,5695.7,5744.2,5755.1,5787.7,5779.4,5774.6,5799.7,5838.5,5867.3,5889.6,5939,5940.8
"10","2","Private industries","A132RC1",4152.3,4167.1,4169.7,4147.7,4140.6,4138.4,4130.4,4117.9,4090.8,4085.4,4086.5,4096.2,4096.9,4102.4,4117.9,4118.2,4121.3,4137.7,4115.8,4119.6,4122.4,4108.7,4107.4,4111.4,4118.8,4137.1,4151.7,4159.1,4189.8,4203.3,4217.9,4235.9,4247.6,4263.1,4291.8,4277.3,4309.4,4330.4,4342.7,4353.5,4393.5,4394,4444.6,4475.8,4517,4564.8,4613.2,4660.7,4645.6,4667.5,4691.1,4684.2,4703.6,4727.4,4772.6,4780.5,4808.8,4799.5,4791.9,4815.5,4850.1,4875.7,4896.3,4944.3,4944.5
"11","3","  Goods-producing industries","N231RC1",1076,1077.6,1080.1,1064.4,1055,1046.4,1043.4,1028.6,1021.8,1014.7,1011.6,1012.1,1012.9,1014.9,1019.7,1016.4,1017.5,1019.3,1013,1008.7,1006.7,999.8,998.8,1001.2,1001.2,1001.8,1002,997.1,1002.3,1004,998.2,1002.9,1009,1018.3,1027.7,1021.9,1017.8,1018.1,1020.4,1025.7,1040.5,1040.5,1053.3,1063.2,1070.5,1079.4,1080.5,1089,1092.7,1099.1,1105.9,1102.9,1106.8,1111.8,1123.8,1131.6,1134.5,1134.9,1130.5,1133.8,1138.3,1142.3,1144.5,1152.8,1155.1
