"","Table 3#2# Federal Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 29, 2006     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/27/2006 4:52:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Current receipts","W005RC1",3.7,2.9,1.9,1.6,2.6,3.4,3.7,4.6,6.6,6,6.3,8.2,14.9,22.3,38.5,40.1,41.5,39.5,42.8,42.4,37.9,48.8,62.9,65.8,68.6,62.5,71.1,75.8,79.3,76,87,93.9,95.5,103.6,111.8,111.8,120.9,137.9,146.9,171.2,192.5,186,191.7,220.1,250.4,279.5,277.2,322.5,363.4,423.5,486.2,532.1,619.4,616.6,642.3,709,773.3,815.2,896.6,958.2,1037.4,1081.5,1101.3,1147.2,1222.5,1320.8,1406.5,1524,1653.1,1773.8,1891.2,2053.8,2016.2,1853.2,1868.6,1974.8,2221.9
"9","2","Current tax receipts","W006RC1",3.5,2.8,1.8,1.5,2.4,3.2,3.5,4.2,5,4.3,4.4,6.2,12.4,19.2,34.4,35.3,35.8,32.7,37.1,37.6,32.8,43.3,56.3,58.9,61.5,54.4,62,65.9,67.9,64.7,73.3,76.5,77.5,83.3,88.6,87.8,95.7,104.8,109.9,129.8,146.1,138,138.7,158.4,173.1,192.2,187,218.1,247.4,286.9,326.2,355.9,408.1,386.8,393.6,425.7,460.6,479.6,544,566.7,621.7,642.8,636.1,660.4,713.4,781.9,845.1,932.4,1030.6,1116.8,1195.7,1313.6,1252.2,1075.5,1059.2,1122.4,1345.1
"10","3","  Personal current taxes \1\","A074RC1",1.2,1,0.5,0.3,0.4,0.5,0.6,0.7,1.3,1.2,0.9,1,1.6,4.2,16,16.9,18.6,16.4,18.8,18.1,15.4,17.4,25.4,30.2,31.3,28.1,30.5,33.9,36,35.5,38.5,41.8,42.7,46.5,49.1,46,51.1,58.6,64.4,76.4,91.7,88.9,85.8,102.8,109.6,126.5,120.7,141.2,162.2,188.9,224.6,250,290.6,295,286.2,301.4,336,350.1,392.5,402.9,451.5,470.2,461.3,475.3,505.5,542.7,586,663.4,744.3,825.8,893,999.1,994.5,830.5,774.3,801.8,933
"11","4","  Taxes on production and imports \2\","W007RC1",1.1,1,0.8,0.9,1.6,2.1,2.1,2.2,2.4,2.2,2.3,2.6,3.5,4,4.8,6,6.9,7.7,7.7,7.8,7.9,8.7,9.2,10.1,10.7,9.5,10.4,11,11.5,11.2,12.2,13.1,13.2,14.2,14.7,15.5,15.5,14.5,15.2,17,17.9,18.2,19.1,18.6,19.9,20.2,22.2,21.6,22.9,25.6,26,34,50.3,41.4,44.8,47.8,46.4,44,46.3,50.3,50.2,51.4,62.2,63.7,66.7,79.4,75.9,73.2,78.2,81.1,83.9,87.8,85.8,87.3,89.7,94,97.2
"12","5","    Excise taxes","B234RC1",0.6,0.5,0.5,0.6,1.2,1.8,1.7,1.7,1.8,1.7,1.8,2.1,2.8,3.4,4.1,5.2,6.2,7.2,7.2,7.4,7.5,8.2,8.6,9.6,10.2,9,9.8,10.3,10.8,10.4,11.2,12,12.2,13,13.5,14.2,13.9,12.6,13.3,14.7,15.5,15.7,16,15.6,16.7,16.5,16.4,17,17.5,18.5,18.5,26.9,41.7,32.8,35.7,35.9,34.3,30.3,30.7,33.9,32.7,33.9,45.3,45.4,46.9,57.9,56.1,54,58.6,61.5,64.7,66.7,65.2,67.4,68.3,70.7,71.9
"13","6","    Customs duties","B235RC1",0.6,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.7,0.7,0.8,0.8,1,1.1,1,1.2,1.2,1.3,1.6,1.9,1.9,2.3,2.4,2.5,3.1,3,3.3,3.7,5.9,4.6,5.4,7.1,7.5,7.2,8.6,8.6,9.1,11.9,12.2,13.7,15.5,16.4,17.5,17.5,16.8,18.3,19.8,21.4,19.8,19.2,19.6,19.6,19.2,21.1,20.6,19.9,21.4,23.3,25.3
"14","7","  Taxes on corporate income","B075RC1",1.2,0.7,0.4,0.3,0.5,0.6,0.8,1.3,1.3,0.9,1.3,2.6,7.3,11.1,13.6,12.5,10.2,8.6,10.7,11.8,9.6,17.2,21.7,18.6,19.5,16.9,21.1,20.9,20.4,18,22.5,21.4,21.5,22.5,24.6,26.1,28.9,31.4,30,36.1,36.1,30.6,33.5,36.6,43.3,45.1,43.6,54.6,61.6,71.4,74.4,70.3,65.7,49,61.3,75.2,76.3,83.8,103.2,111.1,117.2,118.1,109.9,118.8,138.5,156.7,179.3,190.6,203,204.2,213,219.4,164.7,150.5,186.7,217.4,305.3
"15","8","    Federal Reserve banks","B677RC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.9,0.9,0.7,0.8,0.9,1.6,1.3,1.6,1.9,2.5,3,3.5,3.4,3.2,4.3,5.6,5.4,5.9,5.9,7,9.3,11.7,14,15.2,14.2,16.1,17.8,17.8,17.7,17.4,21.6,23.6,20.8,16.8,16,20.5,23.4,20.1,20.7,26.6,25.4,25.3,27.1,24.5,22,18.1,23.9
"16","9","    Other","A678RC1",1.2,0.7,0.4,0.3,0.5,0.6,0.8,1.3,1.3,0.9,1.3,2.6,7.3,11.1,13.6,12.5,10.2,8.6,10.6,11.6,9.4,17,21.4,18.3,19.1,16.6,20.8,20.5,19.9,17.4,21.6,20.6,20.8,21.7,23.7,24.6,27.6,29.8,28.1,33.6,33,27.1,30.1,33.4,38.9,39.6,38.2,48.7,55.7,64.4,65.1,58.6,51.7,33.8,47.1,59.2,58.5,66,85.4,93.8,95.6,94.5,89.2,102,122.5,136.3,155.9,170.5,182.3,177.7,187.6,194.1,137.6,126,164.7,199.3,281.4
"17","10","  Taxes from the rest of the world","W008RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.7,1,1.1,1.6,1.5,1.4,1.2,1.3,1.9,1.7,2,2.4,2.7,3,2.6,2.6,2.7,3.1,3.9,5.2,5.1,5.7,5.9,7.3,7.1,7.3,8.5,9.2,9.6
"18","11","Contributions for government social insurance","B077RC1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,1.5,1.6,1.8,1.9,2.3,2.9,3.8,4.3,5.3,6.5,5.4,4.4,4.7,5.3,6.4,6.6,6.8,7.8,8.8,9.6,11,11,13.4,16,16.5,18.6,21,21.7,22.7,30.5,34,37.8,43.1,45.3,50,57.9,74,83.5,87.5,99.1,110.3,127.9,148.9,162.6,191.8,204.9,221.8,252.8,276.5,297.5,315.9,353.1,376.3,400.1,418.6,441.8,463.6,493.7,519.2,542.8,576.4,613.8,651.6,691.7,717.5,734.3,759.1,802.5,849.7
