"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published June 29, 2006     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 6/29/2006 9:47:26 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
"8","1","    Personal consumption expenditures","A002RC1",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89,99.9,108.7,120,144.3,162,175,178.5,192.2,208.5,219.5,233.1,240,258.8,271.7,286.9,296.2,317.6,331.7,342.1,363.3,382.7,411.4,443.8,480.9,507.8,558,605.2,648.5,701.9,770.6,852.4,933.4,1034.4,1151.9,1278.6,1428.5,1592.2,1757.1,1941.1,2077.3,2290.6,2503.3,2720.3,2899.7,3100.2,3353.6,3598.5,3839.9,3986.1,4235.3,4477.9,4743.3,4975.8,5256.8,5547.4,5879.5,6282.5,6739.4,7055,7350.7,7709.9,8214.3,8745.7
"9","2","Durable goods","B003RC1",9.2,7.2,5.5,3.6,3.5,4.2,5.1,6.3,6.9,5.7,6.7,7.8,9.7,6.9,6.5,6.7,8,15.8,20.4,22.9,25.1,30.7,29.9,29.3,32.7,31.9,38.8,38.1,40,37.4,42.7,43.3,41.8,46.9,51.6,56.7,63.3,68.3,70.4,80.8,85.9,85,96.9,110.4,123.5,122.3,133.5,158.9,181.2,201.7,214.4,214.2,231.3,240.2,280.8,326.5,363.5,403,421.7,453.6,471.8,474.2,453.9,483.6,526.7,582.2,611.6,652.6,692.7,750.2,817.6,863.3,883.7,923.9,950.1,987.8,1026.5
"10","3","  Motor vehicles and parts","A165RC1",3.3,2.2,1.6,1,1.1,1.4,1.9,2.4,2.5,1.7,2.3,2.8,3.5,0.7,0.8,0.8,1,4.1,6.6,8,10.6,13.7,12.2,11.4,13.9,12.8,17.7,15.8,17.6,15.1,18.9,19.7,17.8,21.5,24.4,26,29.9,30.3,30,36.1,38.4,35.5,44.5,51.1,56.1,49.5,54.8,71.3,83.5,93.1,93.5,87,95.8,102.9,126.5,152.1,175.9,194.1,195,209.4,215.3,212.8,193.5,213,234,260.5,266.7,284.9,305.1,336.1,370.8,386.5,407.9,429.3,439.1,441.8,446.8
"11","4","  Furniture and household equipment","A166RC1",4.7,3.8,3,2.1,1.9,2.2,2.5,3.1,3.5,3.1,3.4,3.8,4.8,4.6,3.9,3.8,4.5,8.4,10.6,11.5,11.3,13.7,14.1,14,14.7,14.8,16.4,17.3,17.2,16.9,18.1,18,18.3,19.3,20.7,23.2,25.1,28.2,30,32.9,34.7,35.7,37.8,42.4,47.9,51.5,54.5,60.2,67.2,74.3,82.7,86.7,92.1,93.4,106.6,119,128.5,143,153.4,163.7,171.6,171.6,171.7,178.7,193.4,213.4,228.6,242.9,256.2,273.1,293.9,312.9,312.1,323.1,330.3,354.1,373.2
"12","5","  Other","A167RC1",1.2,1.1,0.9,0.6,0.5,0.6,0.7,0.8,1,0.9,1,1.1,1.3,1.6,1.9,2.1,2.5,3.2,3.3,3.4,3.2,3.3,3.6,3.9,4.1,4.3,4.6,5,5.2,5.4,5.7,5.7,5.7,6.1,6.6,7.5,8.2,9.8,10.4,11.8,12.9,13.7,14.6,16.9,19.5,21.3,24.2,27.4,30.5,34.3,38.2,40.5,43.4,43.9,47.7,55.4,59,66,73.2,80.5,84.9,89.8,88.7,91.9,99.3,108.3,116.3,124.8,131.4,141,153,163.9,163.7,171.6,180.7,191.9,206.4
"13","6","Nondurable goods","B004RC1",37.7,34,29,22.7,22.3,26.7,29.3,32.9,35.2,34,35.1,37,42.9,50.8,58.6,64.3,71.9,82.7,90.9,96.6,94.9,98.2,109.2,114.7,117.8,119.7,124.7,130.8,137.1,141.7,148.5,152.8,156.6,162.8,168.2,178.6,191.5,208.7,217.1,235.7,253.1,272,285.5,308,343.1,384.5,420.7,458.3,497.1,550.2,624.5,696.1,758.9,787.6,831.2,884.6,928.7,958.4,1015.3,1083.5,1166.7,1249.9,1284.8,1330.5,1379.4,1437.2,1485.1,1555.5,1619,1683.6,1804.8,1947.2,2017.1,2079.6,2189,2368.3,2564.4
"14","7","  Food","A168RC1",19.5,18,14.7,11.4,11.5,14.2,16.2,18.4,19.9,18.9,19.1,20.2,23.4,28.4,33.2,36.7,40.6,47.4,52.3,54.2,52.5,53.9,60.7,64.1,65.4,66.8,68.6,71.4,75.1,77.9,80.6,82.3,84,86.1,88.2,93.5,100.7,109.3,112.4,122.2,131.5,143.8,149.7,161.4,179.6,201.8,223.2,242.5,262.6,289.6,324.7,356,383.5,403.4,423.8,447.4,467.6,492,515.2,553.5,591.6,636.8,657.5,669.3,691.9,720.6,740.9,768.7,796.2,829.8,873.1,925.2,967.9,1001.9,1048.5,1134.7,1218.6
"15","8","  Clothing and shoes","A169RC1",9.4,8,6.9,5.1,4.6,5.7,6,6.6,6.8,6.8,7.1,7.5,8.8,11,13.4,14.6,16.5,18.2,18.8,20.1,19.3,19.6,21.3,22,22.2,22.3,23.3,24.4,24.5,24.9,26.4,27,27.6,29,29.8,32.4,34.1,37.4,39.2,43.2,46.5,47.8,51.7,56.4,62.5,66,70.8,76.6,84.1,94.3,101.2,107.3,117.2,120.5,130.9,142.5,152.1,163.1,174.4,185.5,198.9,204.1,208.7,221.9,229.9,238.1,241.7,250.2,258.1,270.9,286.3,297.7,297.7,303.5,310.8,329,345.4
"16","9","  Gasoline, fuel oil, and other energy goods","A173RC1",3.4,3.3,2.9,2.6,2.6,2.9,3,3.4,3.6,3.5,3.6,3.8,4.3,3.9,3.3,3.4,4,5.9,7,8.2,8.4,8.9,9.6,10.2,10.9,11.4,12.4,13.3,14.3,14.8,15.3,15.8,15.8,16.4,17,17.7,19.2,20.7,21.9,23.3,25,26.3,27.7,29.5,34.4,44,48.1,53.2,58,61.6,80.6,102.1,113.7,108.6,106.7,108.4,110.8,91.4,96.6,100,110.4,124.1,120.8,124.6,126.6,129,133.3,144.8,147.7,133.9,149.8,191.5,187.1,178.8,209.7,249.9,310.6
"17","10","    Gasoline and oil","C170RC1",1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,2.1,2.1,2.2,2.3,2.6,2.1,1.3,1.4,1.8,3.4,4,4.8,5.3,5.5,6.1,6.8,7.4,7.8,8.6,9.4,10.2,10.6,11.3,12,12,12.6,13,13.6,14.8,16,17.1,18.6,20.5,21.9,23.2,24.4,28.1,36.1,39.7,43,46.9,50.1,66.2,86.7,97.9,94.1,93.1,94.6,97.2,80.1,85.4,88.3,98.6,111.2,108.5,112.4,114.1,116.2,120.2,130.4,134.4,122.4,137.9,175.7,171.6,164.5,192.6,230.4,287.3
