"","Table 5#8#3B# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2009 11:22:48 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Gross government fixed investment \1\","B782RA3",86.857,89.85,96.545,100,104.87,110.178,112.596,113.642,114.282,116.662,120.192
"9","2","        Federal","B787RA3",92.233,96.6,101.917,100,102.617,112.675,119.736,128.247,134.783,145.892,147.57
"10","3","          National defense","B788RA3",92.413,93.377,97.566,100,104.094,116.065,126.312,139.305,146.905,157.208,159.765
"11","4","          Nondefense","B798RA3",92.017,101.779,108.898,100,100.279,107.334,109.387,110.827,115.683,128.081,128.357
"12","5","        State and local","B799RA3",84.932,87.416,94.619,100,105.654,109.355,110.233,108.859,107.662,107.447,111.471
"13","6","Structures \2\","B760RA3",91.423,91.199,96.817,100,104.831,109.349,110.3,107.864,104.699,103.3,107.222
"14","7","  Federal","B801RA3",129.777,128.077,122.426,100,93.522,101.451,106.427,98.308,85.497,90.833,97.565
"15","8","    National defense","B808RA3",127.983,110.854,103.727,100,88.973,83.909,96.609,96.933,94.873,93.49,105.467
"16","9","      New","B814RA3",127.969,110.852,103.728,100,88.979,83.917,96.606,96.925,94.861,93.474,105.438
"17","10","        Residential","B816RA3",124.976,119.221,110.656,100,113.332,114.984,111.011,103.15,98.478,89.847,100.073
"18","11","        Industrial","B817RA3",184.953,96.094,88.017,100,141.861,106.224,269.77,192.796,178.966,156.938,97.41
"19","12","        Military facilities \3\","B818RA3",124.468,109.02,102.491,100,75.811,70.749,77.43,87.265,87.167,90.178,108.647
"20","13","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RA3",130.868,138.383,133.615,100,96.238,111.957,112.271,99.033,79.703,89.113,92.648
"22","15","      New","B831RA3",119.33,112.612,107.924,100,93.813,98.702,101.045,102.102,89.831,84.911,80.842
"23","16","        Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RA3",132.397,128.461,115.813,100,90.67,85.346,106.28,136.688,100.687,81.459,86.308
"25","18","        Commercial","W183RA3",100.529,113.479,117.947,100,84.143,58.468,72.244,156.261,127.634,116.944,109.624
"26","19","        Health care","W184RA3",196.07,143.154,115.088,100,89.471,106.285,78.693,73.565,78.433,71.648,90.198
"27","20","        Educational","W185RA3",109.816,90.659,78.831,100,141.323,192.281,189.082,178.411,56.941,59.408,72.336
"28","21","        Public safety","W186RA3",138.644,133.894,119.827,100,69.32,75.876,43.956,23.962,14.394,11.071,14.177
"29","22","        Amusement and recreation","W187RA3",115.253,111.775,109.662,100,70.122,59.868,90.509,36.455,27.152,17.429,22.092
"30","23","        Transportation","W188RA3",109.061,104.409,106.465,100,102.781,148.506,73.142,92.077,37.825,32.915,47.393
"31","24","        Power","W189RA3",99.736,90.312,83.49,100,275.974,405.455,1547.412,1121.023,930.172,842.705,449.314
"32","25","        Highways and streets","W190RA3",95.029,86.855,80.33,100,91.652,92.704,85.503,111.925,78.434,60.468,71.931
"33","26","        Conservation and development","W191RA3",91.151,91.45,102.581,100,109.229,118.258,106.788,103.702,107.601,119.552,110.92
"34","27","        Other \4\","W192RA3",99.501,94.502,98.285,100,104.163,92.896,108.78,89.46,193.878,199.802,141.322
