"","Table 3#21# Local Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 28, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2009 11:18:52 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","    Current receipts","W830RC1",26.9,29.9,32.6,35.2,38.2,41.8,45.5,49.9,55.8,61.7,69.2,80.3,89.8,100.5,112.8,122.6,136.5,150.1,164.5,179.6,190.4,207.6,226.1,243.7,261.7,288.9,316.8,340.9,358.5,386.1,417.2,443.3,473.1,496.7,516.1,550,577.9,610.4,644.6,682.9,730.9,779.2,814.9,851.9,903.8,943.6,988.8,1050.4,1108.8
"9","2","Current tax receipts","W831RC1",17.1,18.8,20.3,21.8,23.4,25.3,27,28.5,31.3,34.8,38.4,43.2,47.9,52,56.1,60.2,65.5,71.9,78.6,80.8,83.1,89.1,100.2,110.8,120.4,131.9,142.8,155.4,168.5,183.3,199.9,213.7,230.2,241.2,247.8,264,270.7,283.7,300.9,314.2,332.4,352.6,368.6,392.9,416.9,449.3,482.8,514.5,543.1
"10","3","  Personal current taxes","W832RC1",0.8,0.8,0.9,1,1.1,1.2,1.2,1.4,1.6,1.7,2,2.3,2.5,3,3,3.4,3.7,4.1,4.5,4.9,5.1,5.1,6.2,6.9,7.2,7.8,8.2,8.9,9.1,11.7,12.3,12.9,13.5,14.7,14.8,15.9,17.2,17.8,19.3,20.9,21.9,23.1,22.9,22.8,24.5,27.4,30.1,31.9,34.2
