"","Table 6#3D# Wage and Salary Accruals by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2008   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 2/26/2009 11:23:44 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"8","1","      Wage and salary accruals","A034RC0",4182719,4471400,4829240,4942776,4980897,5127686,5379508,5676657,6028499,6355721
"9","2","Domestic industries","A4102C0",4187282,4476613,4833832,4947939,4986338,5133390,5385656,5683064,6035115,6362752
"10","3","  Private industries","A4103C0",3490020,3747305,4059131,4132071,4120406,4228986,4442540,4702316,5012079,5287528
"11","4","    Agriculture, forestry, fishing, and hunting","N4104C0",27614,29085,30533,31756,32046,31589,33952,35514,36179,37952
"12","5","      Farms \1\","N4105C0",15882,16167,16971,17920,17913,17045,18876,19677,19704,20779
"13","6","      Forestry, fishing, and related activities","N4106C0",11731,12918,13563,13837,14133,14544,15076,15837,16475,17173
"14","7","    Mining","N4107C0",28741,27745,29777,32095,30771,31344,34883,40336,47980,53875
"15","8","      Oil and gas extraction","N4108C0",10022,10129,11009,11569,11424,11618,13187,14694,17514,19179
"16","9","      Mining, except oil and gas","N4109C0",10972,10842,10674,10870,10467,10304,10995,12054,13084,13586
"17","10","      Support activities for mining","N4110C0",7747,6773,8094,9656,8880,9421,10701,13588,17383,21110
"18","11","    Utilities","N4111C0",33838,35052,38102,39563,39991,39112,40703,41422,43019,45470
"19","12","    Construction","N4112C0",210911,234801,256898,271710,272470,279074,290476,319297,351794,367585
"20","13","    Manufacturing","N4113C0",674310,697649,749334,708758,675460,668860,686924,704029,731204,745987
"21","14","      Durable goods","N4114C0",443143,462858,503564,469519,441025,434330,450081,464614,487979,496807
"22","15","        Wood products","N4115C0",16919,17832,18408,17650,17573,17479,18827,19864,20010,18900
"23","16","        Nonmetallic mineral products","N4116C0",18602,19599,21186,20974,20666,20493,21267,22212,23296,23460
"24","17","        Primary metals","N4117C0",26677,27096,27962,25643,23208,22630,23693,24283,25384,25836
