"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",42.885,43.336,43.819,44.22,44.653,45.086,45.228,45.687,46.042,46.466,46.57,46.646,47.189,47.218,47.481,47.776,48.426,49.224,50.175,50.867,51.84,52.684,54.479,56.468,57.808,58.404,59.657,60.526,60.878,61.106,61.731,62.71,63.394,64.095,64.512,65.282,66.182,67.428,68.513,69.848,71.264,72.906,73.751,74.538,75.928,77.303,78.866,80.659,82.57,83.66,85.129,85.904,86.569,87.196,88.017,88.169,88.705,89.367,89.808,90.277,90.834,90.974,91.166,91.266,91.984,92.17,92.207,92.217,91.878,91.765,91.965,92.109,92.651,92.815,93.128,93.548,93.702,94.35,95.744,96.252,96.76,97.696,98.169,98.292,99.343,100.348,100.987,101.221,102.511,103.183,103.536,103.753,103.57,103.676,103.665,103.853,104.241,104.252,104.335,104.823,104.976,105.081,105.334,105.354,105.325,105.355,105.448,105.474,105.733,105.832,105.68,105.463,105.46,105.578,105.183,104.84,104.226,103.891,103.831,103.409,103.222,103.127,102.823,102.498,102.344,102.74,102.715,102.409,102.256,102.994,102.956,102.521,102.11,101.74,101.566,101.247,100.554,100.167,100.363,100.217,100.222,100.48,100.165,100.243,100.173,99.876,100.316,99.634,99.665,100.096,100.63,100.181,100.813,101.341,100.648,99.825,99.153,98.46,98.976,99.882,101.644,101.572,101.263,100.635,100.07,100.245,101.076,101.698,101.689,101.988,103.076,102.499,102.517,102.8,104.232,103.618
"13","5","    Final sales","A325RG3",42.471,42.92,43.408,43.798,44.228,44.665,44.808,45.261,45.608,46.02,46.13,46.214,46.765,46.784,47.026,47.309,47.981,48.766,49.713,50.436,51.374,52.167,53.916,55.93,57.244,57.866,59.102,59.999,60.375,60.593,61.206,62.187,62.871,63.558,64.024,64.817,65.704,66.953,68.015,69.322,70.742,72.379,73.185,73.95,75.325,76.672,78.255,80.04,81.835,82.904,84.389,85.203,85.913,86.57,87.386,87.567,88.061,88.744,89.218,89.651,90.18,90.274,90.475,90.623,91.383,91.595,91.658,91.669,91.352,91.285,91.513,91.618,92.126,92.267,92.587,93.052,93.257,93.929,95.383,95.863,96.36,97.305,97.767,97.903,98.958,99.99,100.625,100.927,102.184,102.88,103.196,103.415,103.268,103.379,103.367,103.556,103.962,103.948,104.026,104.527,104.665,104.785,105.068,105.07,105.016,105.045,105.155,105.218,105.521,105.63,105.461,105.266,105.271,105.423,105.061,104.727,104.16,103.842,103.801,103.369,103.184,103.105,102.807,102.477,102.332,102.75,102.72,102.418,102.248,103.01,102.974,102.535,102.106,101.746,101.594,101.282,100.608,100.216,100.418,100.277,100.268,100.515,100.182,100.243,100.161,99.869,100.337,99.634,99.641,100.067,100.594,100.121,100.755,101.3,100.6,99.758,99.154,98.483,99.136,99.573,101.35,101.37,101.198,100.646,100.028,100.149,100.968,101.543,101.551,101.914,103.034,102.462,102.488,102.752,104.281,103.647
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RG3",57.401,57.741,58.172,58.686,59.137,59.721,59.627,60.319,61.235,61.683,61.41,61.321,62.086,62.129,62.139,61.922,62.061,62.107,62.466,62.655,63.782,64.763,67.307,69.764,72.14,73.947,75.261,76.671,77.979,78.828,79.575,81.362,82.022,82.554,83.354,84.6,85.37,86.244,87.196,88.979,90.131,92.323,93.878,94.742,97.087,99.9,101.877,103.795,105.934,108.354,110.551,111.66,112.881,114.336,115.46,116.001,116.18,116.182,116.504,116.937,116.984,117.309,117.717,117.881,118.553,118.395,118.121,117.611,116.462,116.411,116.58,116.763,116.451,116.016,116.219,116.142,115.734,115.489,116.524,116.808,117.285,117.611,118.411,118.621,119.037,119.278,119.752,119.965,121.042,121.525,121.839,121.648,121.338,121.29,120.749,120.58,121.001,121.18,121.125,121.155,121.431,121.83,121.847,121.073,121.089,120.617,120.11,120.044,120.123,119.402,119.328,119.11,118.763,117.964,117.156,116.405,115.345,114.479,113.698,112.788,111.96,111.452,110.705,110.246,109.746,109.533,109.426,109.227,108.296,107.906,107.406,107.02,106.546,105.75,105.145,104.791,103.716,102.804,101.853,101.155,100.782,100.642,100.17,100.194,100.303,100.193,99.777,99.727,99.673,99.339,99.066,98.949,98.816,98.48,97.507,96.942,96.627,95.507,95.74,96.001,96.401,96.329,95.552,95.445,94.821,94.515,94.502,94.462,94.371,94.399,94.485,94.377,94.431,94.554,94.395,94.032
"16","8","    Final sales","A326RG3",58.101,58.448,58.904,59.414,59.868,60.451,60.346,61.071,61.992,62.431,62.14,62.052,62.834,62.871,62.882,62.656,62.783,62.784,63.133,63.262,64.339,65.25,67.754,70.233,72.671,74.503,75.823,77.251,78.575,79.428,80.161,81.977,82.622,83.143,83.944,85.194,85.957,86.793,87.719,89.486,90.588,92.782,94.339,95.225,97.597,100.405,102.36,104.232,106.304,108.667,110.833,111.945,113.196,114.653,115.76,116.317,116.471,116.477,116.786,117.206,117.211,117.483,117.871,118.019,118.695,118.531,118.253,117.723,116.553,116.487,116.643,116.846,116.525,116.035,116.25,116.154,115.692,115.426,116.464,116.721,117.188,117.534,118.338,118.548,118.972,119.215,119.688,119.905,120.988,121.478,121.796,121.613,121.321,121.279,120.75,120.594,121.014,121.173,121.119,121.147,121.423,121.828,121.849,121.051,121.062,120.572,120.073,120.042,120.159,119.426,119.344,119.103,118.73,117.96,117.202,116.474,115.444,114.59,113.814,112.901,112.077,111.574,110.825,110.352,109.844,109.637,109.53,109.341,108.418,108.021,107.512,107.121,106.652,105.861,105.256,104.904,103.813,102.9,101.966,101.284,100.891,100.719,100.211,100.21,100.303,100.201,99.782,99.714,99.637,99.28,98.978,98.857,98.725,98.394,97.423,96.869,96.559,95.468,95.723,95.947,96.2,96.063,95.432,95.414,94.82,94.509,94.492,94.44,94.304,94.321,94.408,94.306,94.356,94.468,94.313,93.939
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RG3",31.111,31.558,32.006,32.308,32.679,32.992,33.218,33.513,33.585,33.941,34.195,34.335,34.716,34.735,35.077,35.576,36.406,37.518,38.696,39.596,40.397,41.089,42.306,43.849,44.505,44.424,45.513,46.015,45.836,45.713,46.211,46.65,47.286,48.022,48.181,48.61,49.509,50.883,51.962,52.921,54.411,55.587,55.93,56.603,57.306,57.739,58.928,60.489,62.105,62.354,63.29,63.813,64.128,64.273,64.857,64.805,65.454,66.379,66.847,67.301,68.113,68.134,68.183,68.235,68.922,69.297,69.52,69.845,70.027,69.89,70.097,70.206,71.248,71.79,72.155,72.878,73.403,74.627,76.202,76.848,77.359,78.682,78.897,78.946,80.402,81.909,82.632,82.87,84.234,84.997,85.358,85.845,85.754,85.96,86.327,86.764,87.115,87.003,87.188,88.011,88.058,87.931,88.357,89.005,88.943,89.386,89.977,90.083,90.494,91.298,91.082,90.871,91.172,92.126,92.127,92.181,92.014,92.212,92.882,92.971,93.462,93.803,93.975,93.797,94.02,95.109,95.172,94.745,95.464,97.453,97.921,97.432,97.089,97.19,97.497,97.219,96.949,97.146,98.636,99.123,99.567,100.285,100.155,100.295,100.014,99.494,100.978,99.514,99.647,101.011,102.552,101.698,103.277,104.9,104.564,103.408,102.273,102.124,103.015,104.745,108.096,107.987,108.16,106.939,106.433,107.166,108.998,110.399,110.489,111.117,113.453,112.296,112.27,112.753,116.193,115.261
"19","11","    Final sales","A334RG3",30.275,30.711,31.15,31.439,31.802,32.121,32.348,32.625,32.69,33.033,33.294,33.442,33.825,33.834,34.144,34.613,35.453,36.534,37.677,38.624,39.401,40.055,41.234,42.797,43.399,43.351,44.411,44.944,44.796,44.668,45.155,45.598,46.231,46.944,47.181,47.648,48.528,49.904,50.96,51.891,53.392,54.568,54.863,55.495,56.173,56.579,57.813,59.383,60.866,61.128,62.104,62.679,63.037,63.224,63.806,63.781,64.39,65.341,65.859,66.262,67.038,67.028,67.105,67.237,67.977,68.393,68.66,69.002,69.226,69.171,69.433,69.472,70.464,70.985,71.349,72.144,72.766,74.026,75.678,76.285,76.784,78.099,78.296,78.368,79.814,81.362,82.076,82.42,83.732,84.534,84.833,85.322,85.282,85.495,85.852,86.285,86.665,86.526,86.699,87.537,87.562,87.459,87.932,88.557,88.456,88.899,89.499,89.64,90.093,90.914,90.676,90.525,90.862,91.846,91.863,91.911,91.803,92.018,92.717,92.785,93.267,93.634,93.822,93.645,93.895,95.015,95.066,94.632,95.31,97.389,97.879,97.386,97.004,97.112,97.46,97.191,96.969,97.148,98.634,99.113,99.544,100.273,100.142,100.276,99.988,99.469,101.015,99.528,99.633,101.024,102.581,101.676,103.267,104.929,104.581,103.367,102.382,102.251,103.412,104.115,107.712,107.906,108.254,107.088,106.44,107.054,108.85,110.161,110.341,111.117,113.489,112.343,112.34,112.789,116.365,115.411
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
