"","Table 2#5#6 Real Personal Consumption Expenditures by Function, ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1","[Billions of chained (2005) dollars]                                                                                                                                                                                                                      ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/30/2013 10:27:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","      Personal consumption expenditures","DPCERX1",6076.2,6288.3,6520.4,6862.3,7237.6,7604.6,7810.3,8018.3,8244.5,8515.8,8803.5,9054.5,9262.9,9211.7,9032.6,9196.2,9428.8
"9","2","Household consumption expenditures \1\","DPHCRX1",5935.8,6139.6,6380.9,6709.7,7074.1,7428.2,7619.9,7809.4,8025.8,8298.2,8591.8,8819.4,9017.8,8939.9,8757.8,8918.1,9140.6
"10","3","  Food and beverages purchased for off-premises consumption","DFXARX1",548.4,553.9,558.8,565.5,587.3,600.5,607.5,608.9,616.5,623.9,644.5,663,673.2,666,654.8,668.8,685.3
"11","4","    Food and nonalcoholic beverages purchased for off-premises consumption","DTFDRX1",481.8,484.5,487,491.3,509.8,519,524.4,525.5,533.4,539.7,558.2,572.2,580.5,574,564.3,573.3,585.2
"12","5","    Alcoholic beverages purchased for off-premises consumption","DAOPRX1",66.3,69,71.3,73.8,77,81.1,82.8,83,82.8,83.8,86,90.4,92.4,91.7,90.1,95.3,100
"13","6","    Food produced and consumed on farms","DFFDRX1",0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3
"14","7","  Clothing, footwear, and related services","DCAFRX1",216.9,226.9,234.9,248.9,264.6,276.8,278.6,286.1,299.2,312.4,330.2,344.9,356.2,353,334.5,351.2,363
"15","8","    Clothing","DCLTRX1",181.3,189.3,196.1,207.5,220.1,230.4,232.2,239.3,250.4,261.5,276.9,288.3,297.1,294.9,280.3,294.6,303.9
"16","9","      Garments","DGARRX1",163,170.7,176.4,186.8,198.4,208.1,210.3,217.5,229.3,240.7,256.3,267.7,276.8,275.9,262.7,277.6,286.9
"17","10","        Women's and girls' clothing","DWGCRX1",91.2,95.7,97.9,105,113.7,121,122.7,127.5,134.8,142.3,152.5,159,164.8,164.9,156.8,165.9,171.7
"18","11","        Men's and boys' clothing","DMBCRX1",63.7,66.9,70,72.6,75,76.9,76.8,78.6,82.9,86.3,91,95.5,98.4,97.1,92.8,98.1,100.9
"19","12","        Children's and infants' clothing","DCICRX1",8,8.1,8.4,9.2,9.7,10.2,10.7,11.3,11.7,12.2,12.9,13.2,13.7,13.9,13.1,13.6,14.3
"20","13","      Other clothing materials","DOCMRX1",3,3.1,3.1,3.5,3.9,4.2,4.4,4.8,5,4.8,4.8,4.8,4.7,4.5,4.4,4.4,4.3
"21","14","      Cleaning, repair, and rental of clothing","DCRCRX1",16,16.1,17.5,18.1,18.5,18.7,17.9,17.3,16.1,16,15.7,15.8,15.7,14.7,13.4,13.1,13.2
"22","15","        Laundry and dry cleaning services","DDRYRX1",7.9,8.1,8.8,9.2,9.4,9.6,9.2,8.9,8.1,8,8,8.2,8.1,7.6,7.1,6.9,7
"23","16","        Clothing repair, rental, and alterations","DLGRRX1",8.1,8,8.6,8.9,9.1,9.1,8.7,8.4,8.1,7.9,7.7,7.6,7.5,7.1,6.3,6.2,6.2
"24","17","    Footwear \2\","DFTWRX1",35.6,37.7,38.9,41.4,44.6,46.6,46.5,46.8,48.8,50.9,53.3,56.6,59,58.1,54.3,56.6,59.1
"25","18","  Housing, utilities, and fuels","DHUFRX1",1261.8,1288.2,1315.8,1355.2,1398.3,1438.2,1476.1,1487.2,1504.9,1536.2,1602.6,1634.8,1644,1652.3,1673,1684.8,1690.7
"26","19","    Housing","DHSGRX1",1017.3,1037.1,1066,1100.6,1138.7,1174.2,1213.7,1219.4,1233,1264.1,1328.9,1367.1,1373.1,1387.8,1405.1,1413.5,1426.8
"27","20","      Rental of tenant-occupied nonfarm housing \3\","DTENRX1",253.5,253.8,257.3,261.8,266.2,267.9,272.6,270.4,261,261.3,264.7,273.7,288.2,295.3,308.8,314.5,324.3
"28","21","      Imputed rental of owner-occupied nonfarm housing \4\","DOWNRX1",752,771.3,796.3,825.9,859.2,890.7,925.7,933.5,956.3,984.8,1044.5,1073.7,1066.8,1075.1,1078.7,1081.4,1084.6
"29","22","      Rental value of farm dwellings","DFARRX1",11.5,11.6,11.9,12.3,12.6,14.8,14.7,14.6,14.9,17.2,18.8,18.8,17.2,16.6,16.6,16.5,16.4
"30","23","      Group housing","DGRHRX1",1,1.1,1,1.1,1.1,1.1,1.1,1,1,0.9,0.9,0.9,0.9,0.9,0.9,1,1
"31","24","    Household utilities and fuels","DUTFRX1",246.9,253.6,251.8,256.4,261.1,265.1,262.6,268.5,272.7,272.4,273.7,267.9,271.2,265.2,268.6,272,265.3
"32","25","      Water supply and sanitation","DWRSRX1",55.4,57.2,58.5,59.4,61.3,61.9,62.5,63.1,64,63.5,63.7,65.8,66.1,66.3,64.6,63.5,62.9
"33","26","      Electricity, gas, and other fuels","DEGFRX1",191.5,196.5,193.3,197,199.7,203.1,200,205.4,208.7,208.9,209.9,202.2,205.1,199.1,204.2,208.8,202.5
"34","27","        Electricity","DELCRX1",101.8,103.5,103.2,110.6,111.6,115.5,113.3,118.6,120.6,123,128.7,125.8,127.4,125.5,122.9,130.3,128.8
"35","28","        Natural gas","DGHERX1",64.3,69.4,67.5,60.8,61.4,63.4,62.6,61.2,63.3,62.4,61.2,58.4,60.2,58.6,64.2,61.6,59.3
"36","29","        Fuel oil and other fuels","DFULRX1",32.2,31.1,28.9,28.5,29.9,26.3,26.1,27,26,24,20,18,17.6,15.4,18,16.6,14.3
"37","30","  Furnishings, household equipment, and routine household maintenance","DFHHRX1",250,259.7,272.3,290.1,312.8,332.5,340.8,356.2,375.3,400.2,418.7,434,440.9,428.3,395.7,414,436.3
"38","31","    Furniture, furnishings, and floor coverings \5\","DFURRX1",73.1,76.5,81.2,87.4,96.5,106.2,110.1,117.1,122.8,132.8,141.9,149,152.4,144.8,130.8,140.5,148.4
"39","32","    Household textiles","DTEXRX1",20.5,22.3,23.8,25.2,27,28.5,29.3,31,33.9,36.8,39.2,42.1,43.8,44.1,42.8,46.9,51
"40","33","    Household appliances \6\","DHAPRX1",27.4,28,28.2,30.6,34,36.6,38.2,40.3,42.3,46.2,47.2,47.4,45.9,44.2,40.4,42.6,44.3
"41","34","    Glassware, tableware, and household utensils \7\","DUTERX1",20.6,21.8,22.7,24.5,28.2,31.6,34.1,38.2,40.4,41.5,42.7,44.8,44.6,42.9,40.5,43.1,46.8
"42","35","    Tools and equipment for house and garden","DTOORX1",12.8,13.2,13.8,15.1,16.3,17,17.7,18.4,19.8,21.4,22.3,23.1,22.7,22.1,20.4,21.2,21.8
"43","36","    Other household goods and services \8\","DOGSRX1",99.9,101.7,106.3,110.9,113.1,114.1,112.1,111.5,116.4,121.6,125.4,127.8,131.7,130.2,120.9,121.2,126.3
"44","37","  Health","DHLTRX1",1089.4,1119.1,1162.9,1214.8,1250.9,1305,1374.1,1455.4,1500.1,1554.1,1605.1,1642.3,1687.8,1724.6,1751.6,1774.1,1832.7
"45","38","    Medical products, appliances, and equipment","DMPARX1",141.5,151.7,165.7,185.3,205.5,223.7,238.8,253.3,271.8,286.7,296.3,309.4,323.8,328.1,330.7,335,344.1
"46","39","      Pharmaceutical and other medical products \9\","DPHMRX1",116.9,125.1,136.9,154.4,173,189.3,205.8,218,234.7,247.5,254.7,265.7,276.7,280.6,283.8,285.2,292.3
"47","40","        Pharmaceutical products","DPNPRX1",115.4,123.7,135.6,152.8,171.2,187.3,203.7,215.8,232.3,244.8,251.9,262.6,273.3,277.3,280.5,281.7,288.5
"48","41","        Other medical products","DOMPRX1",1.5,1.4,1.4,1.6,1.8,2,2.1,2.2,2.4,2.6,2.8,3.1,3.3,3.4,3.2,3.5,3.8
"49","42","      Therapeutic appliances and equipment","DTAERX1",24,25.9,28,30.3,32.1,34,33,35.3,37.1,39.2,41.5,43.7,47.1,47.5,47,49.9,52.1
"50","43","    Outpatient services","DOUTRX1",423.1,434.7,445,459.3,468.2,490.3,518,552.4,577.8,604.9,625.9,641,653.5,674.5,676.5,682.7,704.3
"51","44","      Physician services \10\","DPHYRX1",209.1,214.2,219.9,227.9,234.1,248.7,263,284.1,301.7,317.7,330.5,340.5,342.8,355.9,355.8,356.3,364.8
"52","45","      Dental services","DDENRX1",71,71.5,72.8,74.9,76.6,79.7,83.5,87.1,86.6,88.7,89.1,88.7,89.8,89.8,87.2,86.8,90.3
"53","46","      Paramedical services","DPMSRX1",144.1,150.1,153.2,157.4,158.3,162.6,172.2,181.7,189.6,198.5,206.3,211.9,221,229.1,234.1,240.4,249.8
"54","47","        Home health care","DHHCRX1",52.1,54.6,53.4,51.6,48.8,46.6,48.2,48.8,51.4,54.6,57.4,60.7,64.8,67.9,71.4,73.9,77.5
"55","48","        Medical laboratories","DMLBRX1",11,11.6,13,15,16.6,18.9,21.3,22.3,24.3,26.3,27.5,29.1,29.6,31.5,32.5,32.8,33.4
"56","49","        Other professional medical services \11\","DOMDRX1",80.8,83.5,86.4,90.4,92.8,97,102.7,110.6,113.9,117.6,121.3,122.2,126.7,129.8,130.5,133.9,139.1
"57","50","    Hospital and nursing home services","DHPNRX1",526.4,534.1,554.2,572.4,579.4,592.7,618.7,650.9,650.7,662.6,683,692,710.6,722.1,744.1,756,783.8
"58","51","      Hospitals \12\","DHSPRX1",425.3,430.5,446.9,462.3,471.1,484.3,510,540.9,537.9,549.3,567.9,576.7,592.7,602.6,624.2,633.4,658.5
"59","52","      Nursing homes","DNRSRX1",101,103.7,107.4,110.1,108.3,108.3,108.6,110.1,112.8,113.3,115,115.4,117.9,119.5,119.9,122.6,125.3
