"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","  Goods","DGDSRC1",298.8,302.7,306.6,310.6,314.1,317.6,321.7,321.8,333.9,339.8,343.9,350.9,357.7,368.4,377.7,391.5,407.3,412.7,420.7,425.9,435.5,448.6,464,458.1,468,481.5,502.8,513.1,530.7,539,550.5,565.1,580.4,592.9,603.9,624.3,629.2,661,672.4,691.7,707.9,722.2,753.3,768.4,792,777.8,801.9,827.5,860.1,863.8,881.1,872.5,886.3,887.9,901.8,921.1,925.9,962.6,990.8,1015.8,1037.9,1063.6,1066.6,1086.6,1110.4,1126,1156.9,1157.1,1170.9,1174.7,1216.7,1220.1,1215.9,1251.4,1281.2,1276.7,1308.8,1326.8,1341.2,1372.5,1389,1421.1,1441.9,1443.2,1489.6,1479.3,1496.7,1499.7,1485.8,1497,1508.7,1498.2,1533.8,1548.2,1573.1,1597.9,1607,1634.2,1649.2,1679.1,1705.7,1726.8,1758.9,1794.8,1788.1,1803.9,1826.2,1843.9,1871,1915.9,1925.9,1957.9,1986.7,1974.5,2020.5,2045.4,2045.2,2090.6,2121.8,2182.5,2207.1,2275.6,2314.4,2362.8,2417.9,2442.7,2475.5,2500.4,2506.8,2518.4,2524,2586.9,2569.6,2599.2,2632,2639.1,2673.9,2683.8,2769.4,2785.1,2838.6,2860.3,2897.9,2971.7,3000.9,3049.2,3126.8,3130.1,3181.1,3211.6,3255.9,3250.3,3296.7,3349.2,3378.7,3431.2,3422.3,3466.9,3456.1,3181.4,3125.5,3142,3244.4,3265.5,3318.2,3321.7,3361,3458.6,3561.4,3604.3,3643.6,3690,3755.9,3741.5,3792.5,3837.3
"12","4","    Durable goods","DDURRC1",90,90.4,90.6,90.8,89.6,91,92,87.3,98.1,101,103.4,107.3,110.7,114.1,117.6,123.4,131.8,131.3,130.8,128.2,126.7,130.6,136.3,127.1,131.8,136.7,146.8,153.4,163.3,165.9,169.8,175.5,183.9,189.2,194,200.7,198.2,216.2,216.7,222.3,223.3,222.1,230.9,229,232.1,211.9,225.4,236.2,246,240.9,251.9,236.8,246.4,249.2,252.1,264.4,268.9,289.6,302.4,319.3,331.4,341.3,342.1,353.8,368,373.3,396.5,383.8,391.6,407.3,445.7,441.1,418.5,439.1,460.5,449.9,470.4,473.2,470.4,486.2,486.4,493.3,505.6,491.9,515.4,498.4,493.6,480.9,471.7,475.2,484.3,477.5,496.2,501,512.1,523.1,527.9,547.8,556.6,573.8,588.8,598.7,609.3,631.8,621.2,626.9,642.5,652.3,659.8,676.3,679.4,689.6,705.6,696.6,722.8,737.1,737.9,769.8,786,826.4,821.3,856.4,873.1,878.6,923.5,905,915,919.5,930.9,923.9,928.9,1001.7,981.3,986.4,1010.4,990.3,981.4,1011.4,1043.3,1043.6,1057.5,1062.9,1075.8,1095.2,1105.2,1134.7,1142.3,1111.2,1150.5,1145.8,1156.9,1166.6,1175.6,1187,1194.5,1196.8,1163,1146.6,1106.6,1019.3,1016.3,1010.4,1052.7,1038.9,1049.1,1070.2,1082.6,1115.7,1133.9,1131.8,1144.8,1175.1,1204.6,1200.3,1218.9,1251.4
"13","5","    Nondurable goods","DNDGRC1",208.8,212.2,216,219.7,224.5,226.5,229.7,234.5,235.8,238.8,240.4,243.6,247,254.3,260.1,268.1,275.5,281.4,289.9,297.7,308.9,318,327.7,330.9,336.2,344.8,356,359.7,367.4,373.1,380.6,389.6,396.5,403.7,409.9,423.6,431.1,444.8,455.6,469.4,484.6,500.1,522.3,539.4,559.9,565.9,576.5,591.3,614,622.8,629.1,635.7,639.9,638.7,649.7,656.7,657,673,688.4,696.5,706.5,722.4,724.6,732.8,742.4,752.8,760.5,773.3,779.3,767.5,771,779,797.4,812.3,820.7,826.8,838.4,853.5,870.8,886.3,902.5,927.7,936.3,951.3,974.2,980.9,1003.1,1018.8,1014.1,1021.8,1024.4,1020.7,1037.7,1047.2,1061.1,1074.8,1079.1,1086.3,1092.5,1105.3,1116.8,1128.1,1149.6,1163,1166.9,1177,1183.7,1191.7,1211.2,1239.5,1246.5,1268.3,1281.1,1277.9,1297.7,1308.2,1307.3,1320.8,1335.8,1356.2,1385.8,1419.2,1441.3,1484.2,1494.3,1537.7,1560.5,1580.9,1575.9,1594.5,1595.1,1585.2,1588.3,1612.8,1621.6,1648.8,1692.6,1672.4,1726.1,1741.4,1781.1,1797.3,1822.1,1876.5,1895.7,1914.4,1984.5,2018.9,2030.5,2065.8,2099,2083.6,2121.2,2162.2,2184.3,2234.4,2259.4,2320.3,2349.4,2162.2,2109.2,2131.6,2191.7,2226.7,2269.1,2251.5,2278.4,2342.9,2427.5,2472.4,2498.7,2515,2551.3,2541.2,2573.6,2585.9
"14","6","  Services","DSERRC1",289.6,297.1,303.5,311.5,319.1,325.6,333.4,340,346.9,355,363.4,372.6,383.1,391,400.3,411.2,420,430.2,440.6,450.6,459.2,474.6,488,503.8,520.1,535.3,547.9,566.5,582.6,594.1,612,631.1,651.3,666.7,687,704.8,729.8,755.7,775.4,795.3,814.7,841,864.4,892.8,916,932.2,966.9,1009.1,1032.3,1060.2,1082.4,1105.7,1129.9,1154.7,1188.9,1231.3,1266.3,1293.7,1335.7,1363.4,1387.6,1420.5,1456.1,1485.3,1533,1561.4,1598.9,1626.6,1656.4,1684.4,1713.9,1749.8,1788.9,1820.5,1857.1,1896.2,1944.7,1986.3,2039.2,2080.8,2118.7,2148.9,2184.8,2230.3,2269.2,2332.6,2378.5,2396.3,2423.9,2466.3,2500,2540.4,2606.3,2645.3,2694.5,2748.4,2777.9,2817.9,2867.1,2902,2944.7,2983,3027.4,3061.8,3100.6,3153.6,3196.7,3236.2,3285.5,3332.9,3378.5,3426.8,3480.4,3529.5,3592.9,3652.8,3712.3,3779.6,3846.2,3895.7,3950.3,4014.3,4084.4,4162.1,4265.1,4332.9,4406.2,4480.7,4551.4,4600.3,4627.3,4680.3,4739.4,4804.1,4859.2,4914.1,4972,5043.6,5112.6,5176.2,5259.5,5333.7,5418.6,5502.1,5591,5681.2,5769,5866,5945.1,6037.6,6115.8,6206.6,6305,6371.8,6439,6517.6,6596.2,6659.6,6679.7,6679.9,6642.9,6621.9,6644.4,6697,6750.9,6826.6,6882.6,6943.3,7004.9,7080.6,7147.6,7183.8,7251.3,7325.7,7361.9,7411.8
"15","7","Gross private domestic investment","A006RC1",155.7,155.7,160.3,154.1,150.7,153.9,156.1,148.9,171.3,178.8,183.4,179.2,193.2,206.5,212.4,218.4,232.5,246,241.8,257.6,244.1,252.3,245.4,255.8,218.7,216.8,237.8,247.6,274.8,291.6,296.5,304.9,326.6,354.9,378.4,385.5,396.8,430.9,451.4,472.8,481.1,493,497.9,499.5,505.2,470.4,443.5,497.9,563.1,551.4,592.8,582.2,526.5,530.8,528.7,482.9,496.6,542.2,577.7,640.7,709.7,735.1,753.5,744.3,720,735.3,727.2,762.2,763.8,753,732.5,736.7,765,767.6,769.5,837.8,797.6,820.4,825.7,842.6,884.1,878.2,870.3,867.3,880,882.5,866.8,814.6,787.9,784.1,805.3,834.3,810.2,865.4,876.8,906.7,931.3,942.3,943.4,996.4,1043.6,1106.9,1092.9,1145.7,1160.6,1132.7,1126.2,1156.7,1170,1227.8,1279.8,1283.1,1320.6,1385,1414.9,1434.1,1494.9,1471.5,1512.7,1564,1617.3,1604.7,1644.5,1699.5,1688.8,1810.9,1791.7,1797.4,1701.3,1699.4,1670.4,1576.6,1628,1648.1,1650.4,1661.3,1671.5,1678.5,1745.1,1823.6,1853.6,1956,2001.3,2063.3,2130.8,2115.3,2166.7,2276.3,2336.6,2352.1,2333.4,2286.5,2277.4,2329.6,2313.4,2260.5,2185.7,2165.4,2086.3,1913,1645.8,1495.3,1465.6,1590.4,1660.4,1724.7,1793.3,1770.9,1755.9,1819,1853.8,1991.1,2032.2,2041.7,2080.1,2084.1
"16","8","  Fixed investment","A007RC1",144.2,146.4,150.1,148.3,148.8,148.8,151,152.9,159,167.9,173.2,179.5,189.9,194.5,198.6,210.9,222,227.8,232,232.6,231.5,234.9,239.9,235.4,228.7,230.7,239.2,247.3,260.1,269.1,275.7,294.4,311.8,335.4,347.5,361.4,371.3,406.6,426.4,444.3,457.3,465.6,485.7,491,495.3,462.7,477.3,507,524.4,539.7,548.8,557.4,548,535,522.9,522.8,531.7,549.9,581.9,616.8,636.7,665.8,682.1,696.3,703.8,713.7,710.9,729.1,733.5,737.3,739.5,749.5,737,751.1,768.5,774.7,780.6,800.7,807.5,823.5,835.9,842.1,860.4,850.6,866.1,848.8,844.9,825.9,803.4,802.1,804.4,803.2,810,842.2,856.3,885.3,895.4,918.2,936.8,979.8,998.3,1025.5,1039.7,1070.5,1099.5,1098.9,1114.9,1138.2,1163.2,1197.4,1228.7,1248.5,1270.8,1296.6,1346.9,1356.3,1389.9,1434.2,1460.3,1503.9,1534,1569.7,1603.9,1615.2,1672.8,1720.5,1734.5,1742.9,1732,1711,1700.5,1657.4,1641.4,1634.9,1632.1,1631.4,1642.8,1681.6,1740.9,1787.8,1802.2,1880,1940.5,1991.8,2040.1,2099.4,2155.6,2194.1,2270.6,2279.7,2264.3,2254.1,2260.3,2282.1,2274,2247.9,2205.2,2183.7,2130.5,1995.5,1812.5,1698,1666.1,1637.2,1627.2,1683,1683.8,1721.9,1722.3,1784.2,1857.8,1909,1959.7,1986.9,1997.9,2051.4
"17","9","    Nonresidential","A008RC1",101,103,106.9,107.6,108.1,109.4,110.6,107.9,110.4,113.4,114.8,118,123.3,126.3,129.1,136.6,144.1,152.1,157,159.9,162.6,167.4,172.5,175.4,171,170.8,174.6,178.6,183.9,188.5,195.1,201.9,214.2,223.8,232.5,244.5,250.4,276,290.6,305.3,318.8,324.9,342.3,349.6,361.3,350.9,361.1,376.2,393.1,410.8,428.4,447.8,443.2,432,419.4,411.2,400.5,402.9,419.5,446,460.1,484.4,500.7,513.3,520.5,528.5,522.2,533.6,527.2,517.5,513.5,521.2,506.8,518.2,534.2,537.2,546.2,562.3,567.5,579.1,591.3,601.9,621.9,615.8,626.9,617.9,626.1,618.9,608.2,601.4,594.1,589,585.6,607.1,619,636.7,642.8,660.3,667.5,695.7,704.8,720.5,734.7,765.6,797.7,805.5,811.2,825.8,841.4,860.5,889,910.6,930.1,949.9,995.6,998.8,1025,1055.8,1066.7,1097.1,1120.7,1147.4,1174.5,1177,1223.5,1270.1,1288.4,1292.7,1273.7,1240.6,1219.6,1177.3,1149.5,1128.3,1120.6,1103.3,1097.7,1123.8,1150.8,1170.4,1164.6,1204.4,1244,1279.1,1305.2,1334.9,1362.9,1386.3,1457.2,1495.3,1522.7,1546.1,1579.6,1624.9,1660.7,1684.6,1689.3,1689,1665.9,1580.9,1442.9,1356,1312.9,1285.4,1285.8,1325.2,1353.8,1388.8,1390.8,1448,1519.4,1560.1,1595.5,1614.1,1610,1646.7
"18","10","      Structures","B009RC1",35.8,36.7,38.9,39.4,39.5,40.3,40.6,40.8,41.5,42.3,43.1,43.8,45.8,46.6,47.3,49,51.3,54.1,56.8,57.7,59,61.3,61.4,63.2,61.7,60.4,61.3,62,64.1,65.1,66.7,67.8,69.7,73.6,76.4,78.5,80,90.3,98.6,105.5,107.9,112.8,121.8,128.3,132.6,132.3,135.8,144.1,150,161,169.7,188.5,186.6,182.5,172.9,168.3,158.6,149.5,152.6,156.6,165.7,175.8,182.5,185.5,194.9,195.2,192.2,195.8,191.7,174.5,169,170.9,166.9,169.6,177.6,182.7,178.6,184.2,183.5,184.9,189.5,189.6,197.7,198.1,204.1,204.6,205.5,197.4,194.9,189.9,177.5,172.2,169.9,170.6,173,176.7,173.7,175.1,177.5,182.4,176.2,187.4,189.4,194.1,201.4,206.7,210.5,210.5,214.4,219.9,225.5,238.6,243,243.1,255.1,259.9,260.7,277.7,280.1,282,282.8,281.2,283,288.8,297.8,313,328.2,333.5,329,335.3,342.6,312,297.8,284.8,274.6,273.7,274.2,282.6,284.1,286.6,290.8,300.9,312.4,322.4,338.4,346.5,352.3,369.7,396.8,428.6,447.6,461.7,479.5,512.3,545.5,562.2,570.9,589.6,594.7,590,530.5,467.1,421,385.6,362.7,376.6,377.1,389,362.4,397,421.8,438.2,454.7,458.9,460.1,460.2
"19","11","      Equipment and software","B010RC1",65.2,66.4,68,68.2,68.7,69.1,70,67.1,68.9,71,71.7,74.2,77.6,79.7,81.8,87.6,92.8,98,100.1,102.2,103.6,106.1,111.1,112.1,109.3,110.4,113.3,116.6,119.8,123.4,128.4,134.1,144.5,150.1,156.1,165.9,170.3,185.8,192,199.8,210.9,212.1,220.5,221.3,228.8,218.6,225.3,232.2,243,249.8,258.6,259.3,256.6,249.6,246.5,243,241.9,253.4,266.8,289.3,294.3,308.6,318.2,327.8,325.6,333.3,329.9,337.8,335.5,343,344.4,350.3,339.9,348.6,356.7,354.5,367.6,378.2,384,394.2,401.8,412.3,424.2,417.8,422.7,413.3,420.6,421.5,413.3,411.5,416.6,416.9,415.7,436.5,446,460,469.1,485.2,490,513.3,528.6,533.1,545.3,571.6,596.3,598.7,600.6,615.4,627,640.6,663.5,672,687.1,706.9,740.5,738.9,764.3,778.1,786.5,815.1,837.9,866.2,891.5,888.2,925.7,957.1,960.2,959.2,944.7,905.4,877.1,865.3,851.7,843.5,846,829.5,823.4,841.2,866.8,883.9,873.8,903.5,931.5,956.7,966.8,988.4,1010.6,1016.5,1060.5,1066.7,1075.1,1084.4,1100.1,1112.6,1115.1,1122.4,1118.4,1099.4,1071.2,990.9,912.4,888.9,891.9,899.8,923.1,948.6,976.8,999.8,1028.4,1051,1097.6,1122,1140.8,1155.2,1149.9,1186.6
"20","12","    Residential","A011RC1",43.2,43.4,43.2,40.7,40.7,39.4,40.4,45,48.6,54.6,58.3,61.5,66.6,68.2,69.6,74.3,77.9,75.8,75,72.7,69,67.5,67.4,60,57.7,59.9,64.6,68.7,76.2,80.7,80.6,92.5,97.6,111.7,115,116.9,121,130.6,135.8,139,138.5,140.6,143.5,141.4,134,111.7,116.3,130.8,131.3,128.9,120.4,109.6,104.8,102.9,103.5,111.5,131.2,147,162.4,170.8,176.6,181.4,181.4,183,183.3,185.1,188.8,195.5,206.3,219.8,226.1,228.3,230.1,232.9,234.2,237.5,234.4,238.4,240,244.4,244.6,240.2,238.4,234.8,239.2,230.9,218.8,207,195.2,200.7,210.3,214.2,224.4,235.1,237.3,248.6,252.6,257.9,269.3,284.1,293.5,305,304.9,304.9,301.8,293.5,303.8,312.4,321.8,336.9,339.7,337.9,340.7,346.7,351.3,357.5,364.9,378.4,393.6,406.8,413.3,422.3,429.4,438.1,449.2,450.5,446,450.2,458.3,470.4,480.9,480.1,491.9,506.6,511.5,528.1,545.2,557.8,590.1,617.4,637.6,675.6,696.6,712.7,734.9,764.5,792.7,807.9,813.4,784.4,741.6,708,680.7,657.2,613.4,563.4,515.9,494.6,464.6,414.6,369.6,342,353.1,351.9,341.3,357.8,330,333.1,331.4,336.2,338.5,348.8,364.2,372.8,387.9,404.6
"21","13","  Change in private inventories","A014RC1",11.5,9.2,10.2,5.8,1.8,5.1,5.1,-4,12.3,10.9,10.2,-0.3,3.2,12,13.7,7.5,10.6,18.2,9.8,25,12.5,17.4,5.6,20.4,-10,-14,-1.4,0.3,14.7,22.4,20.8,10.5,14.8,19.5,30.9,24.1,25.5,24.3,25,28.5,23.9,27.4,12.1,8.6,9.9,7.8,-33.9,-9.1,38.8,11.7,44,24.8,-21.5,-4.2,5.8,-39.8,-35.1,-7.7,-4.2,23.9,73,69.3,71.3,48,16.2,21.6,16.3,33.1,30.3,15.7,-7,-12.7,28,16.5,1,63.1,17,19.7,18.2,19.1,48.2,36,10,16.6,13.9,33.7,21.9,-11.3,-15.5,-18,0.8,31.1,0.2,23.2,20.5,21.4,35.9,24.1,6.6,16.6,45.3,81.4,53.2,75.2,61.1,33.7,11.3,18.5,6.9,30.5,51.1,34.6,49.8,88.4,68,77.8,105.1,37.3,52.4,60,83.3,35.1,40.6,84.3,16.1,90.4,57.2,54.5,-30.7,-11.6,-30.1,-80.8,-13.4,13.2,18.3,30,28.6,-3.1,4.2,35.8,51.4,76,60.8,71.5,90.7,15.9,11,82.2,66,72.4,69.1,32.3,17,47.5,39.4,12.6,-19.5,-18.3,-44.1,-82.5,-166.7,-202.7,-200.5,-46.8,33.2,41.7,109.5,49,33.7,34.8,-4.1,82.1,72.6,54.8,82.3,32.8
"22","14","Net exports of goods and services","A019RC1",0.2,1.2,1,3.3,3.4,5.4,3.8,3.2,4.4,-0.2,-0.1,-1.7,-3.5,-4.3,-2.6,-3.1,-1.4,2.5,6.4,9,6.4,-2.7,-7,0,16.5,21.6,12,13.8,4.7,-0.5,-4.1,-6.6,-21.1,-21.1,-20.6,-29.6,-38.7,-22.6,-23.8,-16.4,-18.2,-22.2,-23,-26.8,-35.8,-15.2,5.5,-6.7,-14.3,-13.5,-7.6,-14.8,-16.3,-4.4,-29.7,-29.6,-24.6,-45.4,-65.2,-71.4,-95,-104.3,-103.9,-107.8,-91.9,-115.4,-118.6,-134.9,-127.4,-129.8,-139.3,-133.6,-141,-147.3,-145.7,-145.7,-124.4,-107.2,-100.2,-108.7,-102.1,-89.5,-76.3,-83.6,-89.2,-68.4,-74.4,-78.5,-45.6,-21.6,-19.5,-21.2,-18.5,-31.1,-36.5,-45.3,-54.3,-62,-67.9,-73.4,-80.7,-91.3,-96.7,-102.3,-106.2,-110.6,-75.4,-70.6,-89.1,-93.8,-114,-88.3,-108.1,-84.7,-96.2,-116.5,-134.5,-161.8,-173.9,-177.1,-212,-250.9,-282.9,-302.5,-357.9,-364.4,-395.9,-410,-395.4,-363.8,-367,-357.8,-374.9,-418.1,-435.8,-479.9,-503.6,-504.3,-499.5,-509.1,-546.3,-606.1,-635.9,-686.5,-677.4,-690.2,-734,-789.3,-775.8,-781.4,-805.7,-714.3,-724.9,-729.7,-703.4,-694.3,-742.3,-746.1,-756.9,-593.7,-385.4,-331.6,-398.6,-439.3,-490.2,-521.1,-533.1,-502.1,-555.4,-572.5,-549.5,-594.8,-615.8,-576.9,-516.8,-557.1
"23","15","  Exports","B020RC1",44,53.9,53.3,56.5,56.9,60.6,60.3,61.1,63.1,63.1,65.4,60.3,68.6,67.2,71.5,76.1,84,91.9,97.6,107.6,116.7,126.7,126.6,136.6,141.4,136.8,134.1,142.5,143.6,146.6,151.8,156.1,155.4,161.9,162.3,157.8,164.6,186.2,191.3,205.4,211.7,220.9,234.3,253.7,268.5,277.4,284.7,292.5,305.5,308.4,302.3,304.7,293.2,294.7,279.6,265.3,270.7,272.5,278.2,286.6,293,302.2,305.7,308.6,305.4,303.1,295.6,304,312,314.2,320.2,335,336.7,355,371.6,391.8,418.4,438.9,452.7,465.6,484,505.8,508.2,514.5,537.6,546.4,555.7,568.8,574.7,592.3,602.2,617.1,627.3,627.9,641.4,643.2,645,654.3,651.4,671.7,681.2,706.3,737.1,758.3,780.7,797.7,830.5,838.6,847.6,859,859.7,904.3,919.1,955,974.7,968.9,963.8,947.8,936,967.9,958.7,971.2,998.8,1028.5,1052.8,1089.2,1119.1,1111.8,1097.1,1056.6,997.1,960.1,973.4,1005.9,1020.6,1012.2,1012.5,1011.6,1041.4,1098.6,1138.8,1170.8,1185.4,1225.9,1262.4,1298.5,1308.2,1351.3,1414,1456,1476,1538.2,1575.5,1619.1,1690.3,1761.8,1819.3,1922.8,1933.8,1711.1,1523.5,1525.3,1594.7,1706.3,1751.9,1814.3,1861.2,1950.4,2030.5,2092.8,2133.3,2120.3,2157.9,2188.5,2198.7,2173.7
"24","16","    Goods","A253RC1",31.6,39.9,39.5,42,43,45,44.8,45.4,45.9,45.7,48.4,42.2,49.7,48.9,51.8,56.8,64.4,70.9,75.6,84.8,93.1,100.6,101.2,109,112,105.9,107.1,113.4,113.5,116.3,119,122.3,121.3,126.2,126.1,121,125,146.1,149.3,161.2,167,175.7,188,205.4,217.8,224.2,226.9,234.2,242.2,242,234.2,238,224.9,226,211.6,197.6,200.7,202.8,207.4,218.3,218.3,224.6,228.4,231.2,225.7,223.5,217.4,222.4,220.5,223,224.5,235.9,234.3,248.7,264.2,283,304.6,321.4,331.6,345.5,354.8,374.8,372.4,375.5,390.7,394.6,398.2,403.1,414.5,421.3,425.9,432.6,440.9,441.6,452.7,456.6,452.2,458.5,454.4,474.7,477.6,496.4,524,542.2,562.2,575.6,595.6,599.7,608.2,611.9,615.4,637.8,658.3,687,704.7,700.8,694.5,672.8,666.8,689.4,673.5,680.5,703.9,730.9,749.5,777.1,810.9,799.9,788.9,749.8,704.5,681.7,679.5,706.3,715.6,699.9,709,710.6,723.5,764.2,787.1,811.3,824.1,845.4,871.6,906,907.4,939.4,985.1,1016.5,1030.6,1065.4,1105.4,1138.3,1179.3,1225.1,1279.1,1363.7,1374.5,1172.6,1012,1010.6,1073.7,1162.5,1206.1,1257.3,1288.1,1362.6,1425.8,1471.8,1498.5,1501.9,1525.8,1550.5,1555.1,1527
"25","17","    Services","A646RC1",12.3,14,13.9,14.5,13.9,15.6,15.5,15.7,17.2,17.4,16.9,18.1,18.9,18.3,19.6,19.3,19.6,21,22,22.8,23.7,26.1,25.4,27.6,29.3,30.9,27,29.1,30.1,30.4,32.8,33.8,34,35.7,36.2,36.8,39.6,40.1,42,44.2,44.7,45.2,46.2,48.3,50.7,53.2,57.8,58.3,63.3,66.4,68.2,66.7,68.3,68.8,68,67.7,70,69.7,70.8,68.3,74.7,77.6,77.4,77.4,79.7,79.6,78.2,81.6,91.5,91.2,95.7,99.1,102.3,106.3,107.4,108.8,113.8,117.5,121,120.1,129.2,131.1,135.8,139.1,146.9,151.8,157.5,165.7,160.2,171.1,176.2,184.5,186.4,186.3,188.7,186.7,192.8,195.8,197,197,203.6,209.9,213,216.1,218.5,222.1,234.9,238.9,239.5,247,244.3,266.6,260.9,268,270,268.1,269.3,275,269.2,278.5,285.2,290.7,294.9,297.7,303.3,312.2,308.2,311.9,308.1,306.8,292.7,278.4,294,299.7,305,312.3,303.5,301,317.9,334.5,351.7,359.5,361.3,380.5,390.7,392.4,400.8,411.9,428.9,439.6,445.3,472.8,470.2,480.8,511,536.7,540.2,559.1,559.3,538.6,511.5,514.7,521.1,543.8,545.7,557,573,587.7,604.7,621,634.8,618.4,632.1,637.9,643.5,646.7
"26","18","  Imports","B021RC1",43.8,52.7,52.4,53.1,53.5,55.2,56.4,57.9,58.7,63.3,65.5,61.9,72.2,71.4,74.1,79.2,85.4,89.5,91.1,98.7,110.3,129.4,133.6,136.6,124.9,115.2,122.1,128.7,138.9,147.1,155.8,162.7,176.4,183,182.9,187.4,203.3,208.8,215.1,221.8,229.8,243.1,257.3,280.5,304.3,292.6,279.2,299.2,319.7,322,309.9,319.4,309.5,299.1,309.3,294.9,295.3,318,343.4,358,388,406.5,409.6,416.4,397.3,418.6,414.2,438.9,439.4,444,459.4,468.6,477.7,502.3,517.3,537.5,542.7,546.1,552.8,574.3,586.2,595.4,584.4,598.2,626.8,614.8,630.1,647.3,620.3,613.9,621.7,638.3,645.8,659,677.9,688.5,699.3,716.3,719.3,745,761.8,797.6,833.8,860.6,886.9,908.3,905.8,909.2,936.7,952.8,973.8,992.6,1027.2,1039.7,1070.9,1085.3,1098.2,1109.6,1109.9,1145,1170.6,1222.2,1281.7,1331,1410.7,1453.6,1515,1521.8,1492.5,1420.3,1364.2,1317.9,1348.3,1424,1456.4,1492.1,1516.1,1515.9,1540.8,1607.8,1685.1,1776.9,1821.3,1912.4,1939.8,1988.7,2042.1,2140.6,2189.8,2237.4,2281.7,2252.5,2300.4,2348.9,2393.7,2456.1,2561.6,2668.9,2690.6,2304.8,1908.9,1856.9,1993.3,2145.5,2242,2335.4,2394.3,2452.5,2585.9,2665.3,2682.8,2715.1,2773.7,2765.4,2715.5,2730.8
"27","19","    Goods","A255RC1",30.8,39.1,38.5,38.8,39.3,40.1,41.2,42.8,43.4,47.4,49.6,45.7,55.1,54.1,57.3,61.3,66.5,70,72.1,78.8,88.8,106.4,110.6,112.3,100.9,92.3,98.8,104,113.5,121.3,128.9,134.7,147.6,153.2,153.2,156.6,170.3,175.1,179.4,184.8,192.2,204.1,216.8,238.1,259.7,248.5,234.1,252,270.2,271.8,260.5,268.8,257.6,245.8,257.2,241.5,242.5,262.8,285.9,299.6,322.5,337.9,339.9,345,325.4,344.4,340.5,362.8,357.7,365.1,374.8,382.5,389.5,409.1,422.8,437.7,441.5,445.7,451.1,470.2,482,490.7,477.4,489,510.4,495.8,506.3,519.8,497,491,500.4,514.5,523.5,537.9,553.9,564.5,575.9,590.1,592.1,612.9,627.2,662,695.7,722.3,745.5,764.3,759.7,760.4,784.5,798.4,814.4,832.5,861.5,872,898.4,910.8,920.8,926.9,922.5,952.8,975.5,1020.8,1073.9,1120.6,1188.9,1227.6,1280.5,1289,1261.6,1184.8,1139.5,1100.9,1119.1,1192.4,1219.2,1244.7,1268,1271,1281.6,1336.4,1401.1,1483,1521.4,1601.2,1628.9,1671.7,1720,1811.4,1842.9,1884.3,1925,1887.5,1938.8,1978,2012.7,2073.5,2162.3,2261.9,2270,1891.3,1521.5,1475.1,1605.1,1748.1,1841.2,1932.6,1978.3,2035.8,2165.2,2234.9,2239.6,2277.3,2324.3,2312.4,2260.6,2279.5
"28","20","    Services","B656RC1",13,13.6,13.8,14.3,14.2,15.1,15.3,15.1,15.3,15.9,15.8,16.2,17.1,17.3,16.8,17.9,18.9,19.4,19,19.9,21.5,23,23,24.3,24,23,23.3,24.7,25.4,25.8,26.9,27.9,28.8,29.9,29.7,30.8,32.9,33.7,35.7,37.1,37.6,39,40.5,42.4,44.7,44.1,45.1,47.2,49.5,50.2,49.4,50.6,51.9,53.3,52.1,53.4,52.7,55.2,57.5,58.4,65.5,68.6,69.7,71.3,71.9,74.1,73.6,76,81.7,78.9,84.7,86.2,88.1,93.3,94.5,99.8,101.2,100.4,101.7,104.1,104.2,104.7,107,109.1,116.4,119,123.8,127.5,123.4,122.9,121.2,123.8,122.4,121.1,124,124,123.4,126.1,127.1,132.1,134.6,135.5,138.1,138.2,141.4,144.1,146.1,148.8,152.2,154.4,159.3,160.2,165.8,167.7,172.5,174.5,177.4,182.7,187.4,192.2,195.2,201.4,207.8,210.4,221.8,226,234.5,232.8,230.9,235.5,224.7,217,229.2,231.6,237.2,247.4,248.1,244.8,259.2,271.4,284,293.9,299.9,311.2,310.9,317,322.1,329.2,346.9,353.1,356.6,365,361.6,370.9,381,382.6,399.4,407,420.7,413.5,387.4,381.8,388.2,397.4,400.8,402.8,416,416.7,420.7,430.4,443.2,437.8,449.3,453,454.9,451.3
