"","Table 1#5#3# Real Gross Domestic Product, Expanded Detail, Quant","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:19:53 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969
"8","1","    Gross domestic product","B191RA3",7.733,7.067,6.609,5.745,5.671,6.288,6.846,7.74,8.137,7.857,8.492,9.236,10.813,12.809,14.906,16.109,15.929,14.186,14.059,14.677,14.601,15.878,17.106,17.761,18.579,18.461,19.791,20.182,20.588,20.403,21.866,22.408,22.93,24.319,25.382,26.851,28.575,30.437,31.206,32.717,33.733
"9","2","Personal consumption expenditures","DPCERA3",8.363,7.915,7.667,6.979,6.824,7.312,7.758,8.548,8.864,8.722,9.209,9.686,10.373,10.127,10.411,10.707,11.37,12.784,13.029,13.323,13.692,14.57,14.799,15.266,15.995,16.331,17.536,18.049,18.497,18.658,19.718,20.26,20.677,21.7,22.593,23.939,25.453,26.897,27.703,29.301,30.399
"10","3","  Goods","DGDSRA3",8.724,8.034,7.741,6.835,6.785,7.405,8.013,9.078,9.348,9.14,9.773,10.38,11.204,10.34,10.239,10.316,11.021,13.059,13.438,13.708,14.12,15.214,15.033,15.371,16.167,16.34,17.844,18.112,18.422,18.234,19.381,19.721,19.846,20.867,21.701,22.994,24.623,26.184,26.697,28.35,29.216
"11","4","    Durable goods","DDURRA3",3.066,2.539,2.194,1.667,1.624,1.858,2.249,2.748,2.891,2.396,2.84,3.25,3.75,2.38,2.137,1.97,2.188,3.953,4.636,4.94,5.342,6.477,5.938,5.809,6.487,6.46,7.837,7.545,7.614,7.034,7.862,8.022,7.752,8.638,9.433,10.314,11.592,12.554,12.741,14.155,14.685
"12","5","      Motor vehicles and parts","DMOTRA3",6.83,4.753,3.708,2.371,2.826,3.516,4.871,6.015,6.112,3.954,5.387,6.788,7.716,1.237,1.269,1.174,1.454,4.899,7.102,8.025,10.288,13.302,11.224,10.107,12.566,11.984,16.408,13.966,14.618,12.104,14.423,15.319,13.786,16.369,18.413,19.436,22.516,22.885,22.331,25.826,26.77
"13","6","      Furnishings and durable household equipment","DFDHRA3",5.868,4.854,4.73,3.908,3.666,3.981,4.514,5.574,5.766,5.214,5.836,6.397,7.418,6.149,4.863,4.307,4.672,7.9,9.185,9.719,9.505,10.955,10.417,10.375,10.69,10.69,12.046,12.634,12.393,12.239,13.034,12.842,12.922,13.645,14.541,16.189,17.249,18.749,19.175,20.328,20.755
"14","7","      Recreational goods and vehicles","DREQRA3",0.243,0.257,0.211,0.156,0.137,0.155,0.173,0.22,0.251,0.232,0.27,0.3,0.355,0.319,0.264,0.25,0.286,0.575,0.582,0.575,0.579,0.741,0.725,0.789,0.869,0.935,1.054,1.111,1.086,1.08,1.204,1.195,1.242,1.325,1.447,1.698,1.98,2.437,2.679,2.967,3.165
"15","8","      Other durable goods","DODGRA3",3.938,3.633,2.86,2.359,1.933,2.221,2.524,2.76,3.195,3.211,3.429,3.649,4.195,4.523,5.433,5.327,5.847,6.911,6.506,6.637,6.48,6.783,7.005,7.522,7.731,8.029,8.561,8.958,9.033,9.131,9.423,9.491,9.683,10.578,10.957,11.903,13.126,15.099,15.231,16.719,17.372
"16","9","    Nondurable goods","DNDGRA3",14.212,13.47,13.322,12.144,12.098,13.086,13.846,15.428,15.807,16.032,16.762,17.479,18.536,18.588,18.706,19.099,20.284,22.113,21.982,22.145,22.469,23.216,23.571,24.456,25.215,25.613,26.942,27.888,28.447,28.825,30.122,30.622,31.24,32.203,32.896,34.44,36.176,38.186,39.006,40.657,41.781
"17","10","      Food and beverages purchased for off-premises consumption","DFXARA3",21.975,21.428,21.308,19.758,20.639,22.651,23.843,27.11,27.859,28.448,28.813,30.024,31.033,30.891,30.093,31.396,33.094,37.079,37.083,36.781,36.959,37.736,37.943,38.978,40.461,41.544,43.548,44.993,46.065,46.258,48.17,48.515,49.191,49.517,49.923,51.623,54.207,56.323,57.611,60.165,61.824
"18","11","      Clothing and footwear","DCLORA3",10.451,9.402,9.286,8.258,7.433,7.851,8.485,9.225,9.128,9.254,9.993,10.317,11.093,11.565,12.59,12.185,12.591,12.84,12.251,12.371,12.446,12.759,12.694,13.356,13.475,13.488,14.145,14.516,14.414,14.56,15.31,15.449,15.734,16.447,16.748,18.022,18.772,20.03,20.169,20.978,21.383
"19","12","      Gasoline and other energy goods","DGOERA3",16.546,16.451,16.075,15.065,15.416,16.211,17.032,18.41,19.151,18.933,20.304,21.655,23.416,20.14,16.44,16.548,19.343,27.259,28.881,29.996,30.067,31.593,33.273,34.688,35.575,36.569,39.478,41.166,42.186,44.076,45.149,45.869,45.566,47.045,48.673,51.268,53.71,56.642,58.094,60.548,63.178
"20","13","      Other nondurable goods","DONGRA3",6.716,6.155,6.054,5.368,5.297,5.797,6.078,6.71,7.067,7.147,7.738,8.069,8.93,9.517,10.319,10.81,11.789,11.723,11.751,12.173,12.954,13.838,14.481,15.139,15.767,15.716,16.479,17.228,17.866,18.229,19.328,20.243,21.294,22.794,23.833,24.889,26.394,28.493,29.332,30.517,31.357
"21","14","  Services","DSERRA3",7.544,7.387,7.199,6.764,6.513,6.832,7.07,7.505,7.857,7.794,8.097,8.41,8.909,9.4,10.151,10.718,11.293,11.807,11.856,12.17,12.464,13.011,13.78,14.399,15.006,15.53,16.311,17.094,17.685,18.26,19.164,19.915,20.648,21.624,22.543,23.885,25.204,26.453,27.541,29.009,30.303
"22","15","    Household consumption expenditures (for services)","DHCERA3",7.809,7.625,7.415,6.973,6.729,7.091,7.353,7.818,8.207,8.125,8.449,8.767,9.304,9.82,10.6,11.184,11.804,12.346,12.434,12.77,13.085,13.675,14.517,15.138,15.782,16.33,17.166,17.976,18.605,19.197,20.11,20.846,21.622,22.658,23.626,24.992,26.381,27.698,28.826,30.347,31.732
"23","16","      Housing and utilities","DHUTRA3",6.222,6.205,6.169,6.064,5.947,6.265,6.343,6.48,6.618,6.735,6.924,7.17,7.561,7.96,8.251,8.583,8.808,9.604,10.427,11.122,11.891,12.816,13.824,14.765,15.616,16.48,17.388,18.355,19.31,20.288,21.452,22.598,23.708,25.081,26.252,27.525,28.983,30.307,31.672,33.26,35.088
"24","17","      Health care","DHLCRA3",5.848,5.719,5.611,5.303,4.915,5.05,5.076,5.407,5.539,5.425,5.709,5.863,6.052,6.328,6.317,6.738,6.88,8.067,8.436,9.194,9.398,9.844,10.129,10.68,11.206,12.033,12.397,13.152,13.887,14.975,16.108,16.314,17.038,18.573,19.801,22.044,23.049,24.305,25.439,27.413,29.446
"25","18","      Transportation services","DTRSRA3",9.374,8.268,7.304,6.392,6.405,6.795,6.955,7.786,8.202,7.818,8.425,8.994,10.029,11.049,13.71,14.896,16.013,18.889,18.48,18.407,17.52,17.007,17.607,17.818,18.271,17.696,18.274,18.779,19.12,18.842,19.583,20.219,20.466,21.232,22.156,23.369,24.558,25.976,27.357,29.104,31.052
"26","19","      Recreation services","DRCARA3",6.295,6.195,6.028,4.903,4.699,5.158,5.484,6.069,6.484,6.141,6.333,6.831,7.235,7.868,8.484,8.362,8.864,10.239,9.7,9.41,9.202,9.218,9.324,9.48,9.59,9.785,10.235,10.733,10.377,10.294,11.028,11.638,12.136,12.725,13.242,13.781,14.296,15.159,15.671,16.657,17.647
"27","20","      Food services and accommodations","DFSARA3",8.894,9.065,9.485,9.277,8.366,9.506,10.214,11.611,13.171,13.282,14.458,15.299,17.005,18.717,22.175,25.321,28.485,25.669,22.595,21.854,22.085,22.3,24.36,25.526,26.469,26.391,27.054,27.846,28.168,27.749,28.328,28.625,28.718,29.75,30.493,32.053,34.343,36.051,35.68,37.896,38.718
"28","21","      Financial services and insurance","DIFSRA3",7.366,6.731,6.287,6.019,6.457,5.926,6.434,6.683,6.79,6.576,6.755,6.777,6.918,6.697,7.094,7.129,7.362,7.889,8.507,8.922,9.163,10.245,11.446,11.473,11.926,12.753,13.788,14.493,14.911,15.373,15.684,16.311,17.193,17.167,17.77,19.021,20.278,20.976,22.019,23.153,23.481
"29","22","      Other services","DOTSRA3",13.183,12.842,12.015,10.542,9.744,10.441,11.004,11.883,12.659,12.183,12.428,12.723,13.303,13.755,14.203,14.285,14.689,15.203,15.731,16.107,16.282,16.866,17.191,17.556,18.102,18.531,19.87,20.726,21.464,22.175,23.142,23.872,24.647,25.622,26.558,27.744,29.328,31.053,32.88,33.786,34.781
"30","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",2.741,2.871,2.935,2.71,2.474,2.329,2.297,2.331,2.257,2.375,2.403,2.564,2.582,2.695,2.945,3.174,3.193,3.296,3.043,3.084,3.105,3.138,3.095,3.441,3.546,3.7,3.779,4.062,4.144,4.367,4.831,5.382,5.519,5.684,5.881,6.532,6.827,7.097,7.469,7.983,8.108
"31","24","      Gross output of nonprofit institutions \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.921,15.534,16.213,17.066,18.034,19.448,20.555,21.937,23.287,24.995,26.311
"32","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.021,21.091,22.22,23.65,25.25,26.848,28.528,30.821,32.847,35.321,37.746
