"","Table 7#3#3# Real Farm Sector Output, Real Gross Value Added, an","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Index numbers, 2005=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 02, 2012   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/29/2013 4:20:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"8","1","Farm output","A2000A3",49.244,50.575,52.537,53.908,54.857,51.69,55.019,56.028,58.525,61.292,64.96,62.214,66.901,67.963,57.747,66.696,71.203,69.854,72.647,69.68,73.907,77.126,78.195,82.272,80.352,87.781,84.146,85.845,91.838,92.382,94.494,95.684,94.308,93.926,97.879,99.475,100,100.182,101.571,101.382,106.679,104.77,98.852
"9","2","  Cash receipts from farm marketings","A2001A3",55.433,57.878,57.442,60.505,60.602,59.167,58.719,62.32,61.343,65.96,68.68,70.358,67.928,68.967,68.285,68.285,71.85,73.779,79.442,77.56,76.555,78.742,81.373,82.936,85.9,85.885,90.908,85.265,92.578,93.203,95.819,97.795,94.556,96.324,98.114,95.86,100,100.84,101.964,101.213,107.155,108.156,101.748
"10","3","    Crops","B1005A3",46.347,49.646,46.554,51.733,55.019,52.691,51.951,55.957,52.33,60.062,64.735,67.793,62.52,64.334,61.965,61.398,66.104,69.997,79.14,73.777,73.133,76.573,80.248,81.646,85.72,83.403,91.515,82.073,91.767,92.25,94.885,97.054,92.037,92.747,96.294,93.861,100,99.954,101.781,98.601,109.437,110.635,98.67
"11","4","    Livestock","B1006A3",64.051,65.668,67.924,68.819,65.621,65.498,65.489,68.43,70.878,71.664,72.287,72.455,73.373,73.527,74.78,75.471,77.646,77.511,79.799,81.514,80.117,81.013,82.603,84.339,86.16,88.608,90.035,89.127,93.503,94.29,96.889,98.671,97.15,100.041,99.853,97.777,100,101.719,102.085,104.308,103.636,104.383,104.899
"12","5","  Farm products consumed on farms","B1008A3",609.16,638.109,602.996,612.377,585.931,700.952,650.642,664.848,648.882,530.489,489.415,466.065,461.367,416.578,408.539,380.478,369.862,352.689,267.835,259.469,226.079,199.578,197.483,194.524,178.924,182.336,171.178,158.455,138.663,143.647,137.533,118.369,99.755,110.571,95.416,90.594,100,125.197,99.097,105.428,112.576,99.275,82.14
"13","6","  Other farm income","B1009A3",14.736,13.58,13.439,12.739,14.46,12.162,13.985,14.924,14.889,21.092,24.326,25.406,30.258,51.322,41.185,35.088,48.988,51.001,55.546,52.578,47.818,48.599,50.65,45.099,48.567,47.869,56.331,50.054,63.468,76.907,92.402,82.279,91.484,87.805,93.78,103.207,100,108.946,89.722,87.158,103.438,79.768,66.137
"14","7","  Change in farm finished goods inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","8","    Crops","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","9","    Livestock","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
