"","Table 1#2#3# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RA3",26.371,26.147,26.371,26.134,26.024,26.304,26.434,25.383,26.852,26.746,27.003,26.636,27.188,28.6,29.052,29.723,31.121,31.931,31.447,32.249,31.7,31.733,31.136,30.963,29.772,30.027,31.115,31.479,32.562,33.085,33.306,33.048,33.444,34.255,35.435,35.206,34.955,37.116,37.356,38.214,38.356,38.136,38.699,38.549,38.902,37.873,37.317,38.305,40.276,39.114,40.678,39.202,37.714,38.489,37.891,36.983,37.224,38.884,39.647,41.858,43.334,44.236,44.66,44.922,44.732,44.932,45.781,45.943,46.394,46.281,46.926,47.084,47.202,48.079,48.741,50.188,50.502,51.546,51.633,52.609,53.791,54.585,55.031,54.605,55.386,55.437,55.294,54.175,53.629,53.88,54.483,54.579,54.891,56.069,56.85,57.604,57.794,58.42,58.214,59.661,61.073,62.381,62.578,64.521,64.667,64.294,64.794,65.999,66.224,68.018,69.561,70.145,71.204,73.385,74.985,75.733,77.099,76.481,78.071,80.765,81.728,82.465,83.858,86.28,85.528,88.572,88.144,88.407,86.392,86.695,85.588,86.311,87.183,87.632,88.528,87.649,88.623,88.903,92.241,93.934,94.382,94.804,95.996,97.399,99.093,99.145,100.224,101.538,104.353,104.989,105.026,106.74,107.091,109.227,110.887,112.373,111.114,112.354,109.964,102.701,100.57,100.882,102.414,106.884,110.468,110.171,112.881,114.504,115.572,116.53,117.149,121.601,122.762,123.169,125.016,125.32
"13","5","    Final sales","A325RA3",26.262,26.16,26.312,26.396,26.571,26.607,26.74,26.262,26.732,26.706,27.021,27.31,27.587,28.499,28.912,30.108,31.243,31.528,31.57,31.706,31.768,31.68,31.635,30.597,30.99,31.468,31.953,32.222,32.583,32.757,33.088,33.399,33.606,34.084,34.6,35.144,34.682,36.88,37.053,37.876,38.168,37.843,39.151,39.185,39.411,38.461,39.436,39.464,39.795,39.692,40.097,39.319,39.291,39.445,38.54,39.152,39.207,39.993,40.641,42.017,41.98,42.984,43.33,44.392,45.155,45.245,46.183,45.868,46.406,46.777,48.055,48.339,47.272,48.554,49.711,49.289,51.056,51.991,52.011,52.919,53.387,54.543,55.748,55.159,56.017,55.472,55.662,55.413,55,55.333,55.467,54.738,55.814,56.403,57.307,58.046,57.783,58.776,59.042,60.283,60.884,61.189,62.227,63.579,64.082,64.454,65.669,66.66,67.262,68.462,69.091,70.348,71.269,71.926,74.251,74.704,75.32,76.551,77.746,80.367,80.744,82.667,83.974,85.031,86.299,87.251,87.794,88.183,88.545,88.234,87.62,89.882,88.842,88.555,89.285,88.045,89.036,90.254,93.44,94.179,94.249,93.948,95.58,96.757,97.906,100.138,101.334,100.621,103.981,104.421,104.574,107.355,108.177,109.444,111.417,113.736,113.176,114.571,112.88,107.125,107.18,108.434,109.752,109.701,111.099,110.755,111.457,114.793,116.402,117.337,119.089,120.892,122.506,123.428,124.508,126.225
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RA3",16.548,16.071,16.553,16.383,15.726,15.872,16.391,14.551,16.118,15.875,16.53,16.1,16.921,17.73,18.237,19.543,21.026,21.714,21.699,21.731,21.313,21.381,21.657,21.619,19.342,19.735,20.487,20.699,21.809,22.372,22.819,23.035,23.519,23.89,24.536,24.686,24.924,26.85,26.63,28.198,28.61,27.844,27.833,27.764,27.881,25.665,25.379,27.064,27.631,27.196,27.379,25.562,24.418,25.274,24.775,23.401,23.361,26.32,27.555,29.573,30.603,31.218,31.462,32.669,31.495,32.404,32.764,32.956,33.337,33.588,34.406,34.454,34.863,36.077,36.467,38.086,38.366,39.653,40.185,41.368,42.046,42.219,43.128,42.768,43.763,43.345,43.167,41.424,39.825,40.699,42.25,41.443,41.558,43.423,44.199,45.072,45.969,46.76,46.83,48.746,49.631,50.345,51.059,52.999,53.92,53.622,54.784,56.403,56.269,58.206,59.965,60.158,62.302,64.697,67.02,68.108,70.234,69.694,71.937,75.302,76.394,76.994,79.921,81.939,83.049,85.651,84.929,85.222,82.899,82.761,80.876,81.851,83.361,83.939,85.367,83.974,84.03,85.543,88.931,91.886,92.053,92.794,94.459,95.422,98.175,98.569,101.056,102.199,103.956,105.352,106.522,106.282,108.522,110.909,112.894,116.654,113.067,112.802,112.271,102.947,95.92,95.338,97.747,101.273,106.992,108.93,111.237,112.521,114.755,117.091,119.244,121.395,124.267,125.518,127.637,128.64
"16","8","    Final sales","A326RA3",16.126,15.833,16.038,15.91,15.957,15.993,16.031,15.137,15.669,15.771,16.192,16.514,16.836,17.435,17.75,18.858,20.234,20.759,20.747,20.861,20.938,21.264,21.247,20.325,20.178,20.482,21.201,21.576,21.776,21.805,22.233,22.506,23.326,23.752,24.06,24.362,23.986,26.164,26.326,27.192,27.753,27.087,28.052,27.911,28.175,26.162,26.645,27.142,27.555,27.182,27.39,26.102,25.868,25.705,25.309,25.693,25.245,26.678,27.47,28.919,29.175,29.94,30.18,31.531,32.004,32.673,33.559,33.104,33.244,33.966,35.762,35.82,34.252,35.779,37.41,36.768,38.772,39.796,39.587,40.603,41.17,42.289,43.962,42.724,44.62,43.252,43.311,42.743,42.044,42.695,42.971,42.332,43.164,43.917,45.142,46.111,45.819,47.114,47.266,48.915,49.546,49.552,50.743,52.117,52.91,53.289,54.882,56.212,56.974,58.568,59.458,60.962,62.293,63.507,66.727,67.201,68.216,69.896,71.757,75.081,75.238,77.847,80.098,80.437,83.703,84.278,84.834,85.04,86.569,85.387,83.939,87.083,84.635,84.576,86.226,83.722,84.11,86.99,91.068,91.768,91.892,92,94.251,95.51,96.751,99.964,102.305,100.981,104.82,105.567,106.233,108.083,110.044,112.773,114.707,117.822,116.128,116.843,114.749,106.951,105.845,105.741,107.329,105.746,107.404,108.496,109.581,112.829,114.537,116.956,119.716,121.899,123.306,123.533,125.353,128.946
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RA3",43.462,43.845,43.457,43.111,44.234,44.762,44.019,44.878,45.878,46.101,45.433,45.259,45.127,47.621,47.888,47.112,48.172,49.159,47.798,50.035,49.266,49.224,46.992,46.569,47.618,47.573,49.224,49.858,50.756,51.13,50.85,49.627,49.779,51.407,53.555,52.553,51.304,53.671,54.834,54.131,53.703,54.621,56.295,56.004,56.807,58.388,57.34,56.735,61.376,58.841,63.127,62.61,60.611,61.084,60.357,60.602,61.382,60.002,59.655,61.967,64.18,65.564,66.31,64.529,66.452,65.132,66.889,66.968,67.5,66.659,66.875,67.234,66.752,66.87,67.998,68.964,69.314,69.804,69.046,69.564,71.597,73.479,73.052,72.541,72.889,73.785,73.714,73.76,75.086,74.226,73.142,74.804,75.446,75.383,76.136,76.654,75.632,75.951,75.286,75.888,78.14,80.405,79.716,81.591,80.441,79.951,79.352,79.852,80.654,82.171,83.328,84.526,83.823,85.622,86.067,86.276,86.453,85.721,86.306,87.968,88.727,89.655,88.827,91.813,88.419,92.072,92.062,92.287,90.714,91.616,91.556,91.94,91.954,92.226,92.412,92.203,94.361,93.034,96.301,96.415,97.22,97.257,97.875,99.816,100.213,99.845,99.209,100.732,104.836,104.554,103.243,107.259,105.382,107.223,108.51,107.403,108.817,111.769,107.261,102.302,105.566,106.885,107.492,112.998,114.268,111.561,114.703,116.684,116.539,116.064,115.109,121.911,121.32,120.863,122.438,122.05
"19","11","    Final sales","A334RA3",43.955,44.319,44.316,44.87,45.297,45.327,45.652,46.207,46.445,46.133,46.147,46.303,46.423,47.863,48.422,49.612,50.062,49.813,49.966,50.129,50.149,49.25,49.153,47.993,49.436,50.22,50.162,50.179,50.82,51.273,51.345,51.694,50.551,51.071,51.954,52.936,52.351,54.269,54.44,55.068,54.774,55.191,57.042,57.43,57.545,58.983,60.86,59.88,59.99,60.477,61.247,61.694,62.119,62.943,61.073,62.079,63.217,62.463,62.702,63.713,63.06,64.43,64.954,65.251,66.52,65.382,66.302,66.314,67.594,67.202,67.272,67.975,68.031,68.688,68.791,68.85,70.004,70.697,71.146,71.78,72.022,73.162,73.436,74.077,73.013,73.975,74.39,74.712,74.813,74.57,74.448,73.594,75.04,75.321,75.641,75.961,75.756,76.199,76.648,77.158,77.688,78.483,79.224,80.495,80.498,80.846,81.409,81.822,82.148,82.689,82.889,83.725,83.976,83.747,84.645,85.055,85.048,85.58,85.763,87.316,88.011,88.928,88.875,90.949,89.381,90.862,91.389,92.039,90.791,91.668,92.17,93.251,94.082,93.489,93.005,93.409,95.17,94.241,96.293,97.085,97.099,96.303,97.19,98.268,99.303,100.344,100.163,100.19,102.978,103.053,102.602,106.465,105.952,105.541,107.554,108.978,109.715,111.878,110.634,107.159,108.484,111.201,112.233,113.824,114.938,113.054,113.348,116.772,118.274,117.68,118.407,119.826,121.647,123.275,123.617,123.494
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
