"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 29, 2016  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2016 5:42:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"19","1","    Gross saving","A929RC1","233,094.0","228,223.0","246,165.0","277,661.0","335,325.0","349,252.0","348,248.0","399,499.0","459,601.0","548,165.0","613,804.0","630,630.0","745,242.0","727,912.0","719,468.0","884,534.0","883,953.0","867,813.0","952,167.0","1,080,111.0","1,113,603.0","1,117,574.0","1,157,935.0","1,152,648.0","1,167,857.0","1,299,137.0","1,429,547.0","1,581,332.0","1,783,551.0","1,932,380.0","2,003,571.0","2,119,761.0","2,068,481.0","1,990,570.0","1,991,134.0","2,146,706.0","2,338,552.0","2,648,115.0","2,500,326.0","2,268,386.0","2,067,936.0","2,257,479.0","2,434,572.0","2,861,234.0","3,039,177.0","3,266,767.0","....."
"20","2","Net saving","W201RC1","108,231.0","91,440.0","97,300.0","116,764.0","157,245.0","143,084.0","110,711.0","140,290.0","171,267.0","223,102.0","242,671.0","204,623.0","260,196.0","193,595.0","158,922.0","290,200.0","247,300.0","185,650.0","224,215.0","297,724.0","277,493.0","230,745.0","226,810.0","192,923.0","164,258.0","243,565.0","306,763.0","405,312.0","543,596.0","622,110.0","602,709.0","605,521.0","464,502.0","328,502.0","263,914.0","315,006.0","356,595.0","512,095.0","235,976.0","-94,987.0","-300,446.0","-124,112.0","-16,071.0","327,028.0","406,349.0","520,057.0","....."
"21","3","  Net private saving","W202RC1","109,233.0","123,240.0","147,540.0","157,232.0","185,291.0","181,412.0","213,252.0","217,345.0","234,731.0","269,483.0","278,989.0","285,496.0","341,877.0","363,324.0","362,654.0","461,614.0","422,652.0","377,881.0","375,306.0","438,081.0","426,709.0","438,115.0","498,115.0","563,088.0","513,286.0","524,216.0","579,150.0","596,271.0","633,083.0","603,987.0","526,842.0","439,104.0","515,336.0","719,912.0","788,200.0","822,592.0","727,931.0","778,533.0","574,354.0","704,061.0","1,220,315.0","1,441,904.0","1,443,994.0","1,637,859.0","1,234,391.0","1,319,239.0","....."
"22","4","    Domestic business","A127RC1","34,200.0","27,180.0","37,455.0","48,035.0","53,510.0","39,701.0","54,253.0","70,036.0","86,573.0","102,918.0","101,444.0","72,300.0","89,399.0","85,642.0","115,655.0","149,543.0","157,536.0","108,519.0","123,230.0","143,330.0","110,199.0","102,666.0","132,225.0","137,067.0","145,644.0","192,800.0","226,228.0","251,056.0","280,896.0","198,672.0","223,549.0","131,426.0","180,170.0","314,653.0","378,625.0","413,162.0","484,817.0","447,140.0","264,552.0","167,349.0","552,898.0","811,899.0","733,860.0","691,162.0","644,467.0","699,038.0","....."
"23","5","      Undistributed corporate profits","B057RC1","32,436.0","27,199.0","36,079.0","46,708.0","66,251.0","75,523.0","70,167.0","91,912.0","109,283.0","134,759.0","153,606.0","131,498.0","118,530.0","88,112.0","99,775.0","109,902.0","92,697.0","50,339.0","88,038.0","116,807.0","85,362.0","89,565.0","110,213.0","124,357.0","129,590.0","172,590.0","208,463.0","203,743.0","212,014.0","122,639.0","159,467.0","97,310.0","116,766.0","196,425.0","291,702.0","384,427.0","660,412.0","652,057.0","483,977.0","264,731.0","628,478.0","906,168.0","724,038.0","823,811.0","768,705.0","833,879.0","....."
"24","6","      Inventory valuation adjustment, corporate","B058RC1","-5,870.0","-6,552.0","-4,584.0","-6,610.0","-19,569.0","-38,221.0","-10,544.0","-14,113.0","-15,698.0","-23,709.0","-40,138.0","-42,133.0","-24,626.0","-7,505.0","-7,445.0","-3,979.0","21.0","7,061.0","-16,239.0","-22,174.0","-16,348.0","-12,892.0","4,927.0","-2,821.0","-4,021.0","-12,436.0","-18,284.0","3,071.0","14,090.0","15,743.0","-3,954.0","-16,809.0","8,044.0","6,136.0","-9,558.0","-39,453.0","-32,132.0","-35,675.0","-39,523.0","-36,958.0","6,660.0","-41,007.0","-68,289.0","-14,191.0","3,233.0","-2,935.0","....."
"25","7","      Capital consumption adjustment, corporate","A059RC1","7,634.0","6,533.0","5,960.0","7,937.0","6,828.0","2,399.0","-5,370.0","-7,763.0","-7,012.0","-8,132.0","-12,024.0","-17,065.0","-4,505.0","5,035.0","23,325.0","43,620.0","64,818.0","51,119.0","51,431.0","48,697.0","41,185.0","25,993.0","17,085.0","15,531.0","20,075.0","32,646.0","36,049.0","44,242.0","54,792.0","60,290.0","68,036.0","50,925.0","55,360.0","112,092.0","96,481.0","68,188.0","-143,463.0","-169,242.0","-179,902.0","-60,424.0","-82,240.0","-53,262.0","78,111.0","-118,458.0","-127,471.0","-131,906.0","-332,917.0"
"26","8","    Households and institutions","W986RC1","75,033.0","96,060.0","110,085.0","109,197.0","131,781.0","141,711.0","158,999.0","147,309.0","148,158.0","166,566.0","177,545.0","213,197.0","252,478.0","277,682.0","246,999.0","312,070.0","265,117.0","269,362.0","252,076.0","294,750.0","316,510.0","335,449.0","365,889.0","426,021.0","367,641.0","331,416.0","352,922.0","345,214.0","352,188.0","405,315.0","303,294.0","307,677.0","335,167.0","405,259.0","409,575.0","409,430.0","243,114.0","331,393.0","309,802.0","536,712.0","667,417.0","630,006.0","710,135.0","946,697.0","589,924.0","620,201.0","697,820.0"
"27","9","      Personal saving","A071RC1","75,033.0","96,060.0","110,085.0","109,197.0","131,781.0","141,711.0","158,999.0","147,309.0","148,158.0","166,566.0","177,545.0","213,197.0","252,478.0","277,682.0","246,999.0","312,070.0","265,117.0","269,362.0","252,076.0","294,750.0","316,510.0","335,449.0","365,889.0","426,021.0","367,641.0","331,416.0","352,922.0","345,214.0","352,188.0","405,315.0","303,294.0","307,677.0","335,167.0","405,259.0","409,575.0","409,430.0","243,114.0","331,393.0","309,802.0","536,712.0","667,417.0","630,006.0","710,135.0","946,697.0","589,924.0","620,201.0","697,820.0"
"28","10","  Net government saving","A922RC1","-1,002.0","-31,800.0","-50,240.0","-40,468.0","-28,046.0","-38,328.0","-102,541.0","-77,056.0","-63,464.0","-46,381.0","-36,318.0","-80,873.0","-81,680.0","-169,729.0","-203,732.0","-171,414.0","-175,353.0","-192,231.0","-151,091.0","-140,357.0","-149,216.0","-207,371.0","-271,304.0","-370,165.0","-349,027.0","-280,650.0","-272,386.0","-190,958.0","-89,487.0","18,123.0","75,867.0","166,418.0","-50,835.0","-391,410.0","-524,287.0","-507,585.0","-371,335.0","-266,437.0","-338,376.0","-799,047.0","-1,520,761.0","-1,566,014.0","-1,460,065.0","-1,310,831.0","-828,042.0","-799,181.0","....."
"29","11","    Federal","A923RC1","-5,108.0","-34,761.0","-50,823.0","-48,886.0","-37,689.0","-40,646.0","-96,976.0","-79,854.0","-71,907.0","-59,825.0","-44,519.0","-86,251.0","-85,816.0","-164,627.0","-205,009.0","-192,337.0","-195,614.0","-212,661.0","-163,167.0","-157,343.0","-156,643.0","-200,919.0","-246,208.0","-332,656.0","-311,810.0","-253,683.0","-240,842.0","-178,505.0","-91,165.0","2,718.0","66,639.0","156,510.0","14,453.0","-270,484.0","-402,879.0","-399,221.0","-304,736.0","-227,030.0","-265,650.0","-633,991.0","-1,248,845.0","-1,328,714.0","-1,244,143.0","-1,090,057.0","-640,941.0","-631,474.0","....."
"30","12","    State and local","A924RC1","4,106.0","2,961.0","583.0","8,418.0","9,643.0","2,318.0","-5,565.0","2,799.0","8,442.0","13,444.0","8,200.0","5,378.0","4,137.0","-5,101.0","1,277.0","20,924.0","20,262.0","20,431.0","12,075.0","16,988.0","7,426.0","-6,453.0","-25,096.0","-37,510.0","-37,218.0","-26,967.0","-31,545.0","-12,453.0","1,678.0","15,404.0","9,229.0","9,907.0","-65,288.0","-120,926.0","-121,408.0","-108,366.0","-66,600.0","-39,407.0","-72,728.0","-165,057.0","-271,915.0","-237,302.0","-215,922.0","-220,775.0","-187,101.0","-167,708.0","....."
"31","13","Consumption of fixed capital","A262RC1","124,863.0","136,783.0","148,865.0","160,897.0","178,080.0","206,168.0","237,537.0","259,209.0","288,334.0","325,063.0","371,133.0","426,007.0","485,046.0","534,316.0","560,546.0","594,334.0","636,653.0","682,163.0","727,952.0","782,387.0","836,110.0","886,829.0","931,125.0","959,725.0","1,003,598.0","1,055,572.0","1,122,783.0","1,176,020.0","1,239,955.0","1,310,271.0","1,400,861.0","1,514,240.0","1,603,979.0","1,662,068.0","1,727,220.0","1,831,699.0","1,981,956.0","2,136,019.0","2,264,350.0","2,363,373.0","2,368,382.0","2,381,591.0","2,450,643.0","2,534,207.0","2,632,832.0","2,746,709.0","2,821,574.0"
"32","14","  Private","A024RC1","89,433.0","98,258.0","107,635.0","117,491.0","131,489.0","153,158.0","178,791.0","196,512.0","221,124.0","252,114.0","290,731.0","334,975.0","381,930.0","420,392.0","438,786.0","463,517.0","496,411.0","531,572.0","566,307.0","608,301.0","650,083.0","688,983.0","722,354.0","744,159.0","779,967.0","824,325.0","882,581.0","931,035.0","990,071.0","1,054,941.0","1,135,914.0","1,236,574.0","1,317,695.0","1,368,015.0","1,422,369.0","1,509,299.0","1,635,298.0","1,765,009.0","1,864,974.0","1,936,872.0","1,925,653.0","1,923,533.0","1,971,064.0","2,037,976.0","2,126,622.0","2,229,911.0","2,299,438.0"
"33","15","    Domestic business","W276RC1","74,198.0","81,790.0","89,411.0","97,151.0","108,168.0","126,113.0","147,909.0","162,194.0","181,508.0","205,525.0","236,365.0","272,782.0","313,464.0","347,520.0","362,773.0","382,651.0","410,256.0","438,137.0","464,486.0","498,417.0","531,846.0","563,857.0","591,760.0","607,891.0","634,239.0","669,041.0","717,759.0","758,356.0","807,937.0","860,409.0","924,977.0","1,006,511.0","1,067,516.0","1,101,396.0","1,131,585.0","1,185,924.0","1,273,213.0","1,368,807.0","1,451,233.0","1,522,307.0","1,522,385.0","1,523,048.0","1,572,830.0","1,633,390.0","1,699,428.0","1,775,159.0","1,829,905.0"
"34","16","    Households and institutions","W279RC1","15,235.0","16,468.0","18,224.0","20,340.0","23,321.0","27,045.0","30,882.0","34,318.0","39,616.0","46,589.0","54,366.0","62,193.0","68,466.0","72,872.0","76,013.0","80,866.0","86,155.0","93,435.0","101,821.0","109,884.0","118,237.0","125,126.0","130,594.0","136,268.0","145,728.0","155,284.0","164,822.0","172,679.0","182,134.0","194,532.0","210,937.0","230,063.0","250,179.0","266,619.0","290,784.0","323,375.0","362,085.0","396,202.0","413,741.0","414,565.0","403,268.0","400,485.0","398,234.0","404,585.0","427,191.0","454,752.0","469,533.0"
"35","17","  Government","A264RC1","35,430.0","38,525.0","41,230.0","43,406.0","46,591.0","53,010.0","58,746.0","62,697.0","67,210.0","72,949.0","80,402.0","91,032.0","103,116.0","113,924.0","121,760.0","130,817.0","140,242.0","150,591.0","161,645.0","174,086.0","186,027.0","197,846.0","208,771.0","215,566.0","223,631.0","231,247.0","240,202.0","244,985.0","249,884.0","255,330.0","264,947.0","277,666.0","286,284.0","294,053.0","304,851.0","322,400.0","346,658.0","371,010.0","399,376.0","426,501.0","442,729.0","458,058.0","479,579.0","496,231.0","506,210.0","516,798.0","522,137.0"
