"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"32","10","    Final sales to domestic purchasers \3\","A713RX1","1,904,211.0","1,920,701.0","1,936,441.0","1,959,584.0","1,980,704.0","2,006,343.0","2,011,486.0","2,030,608.0","2,023,615.0","2,050,340.0","2,056,345.0","2,079,579.0","2,116,451.0","2,176,399.0","2,270,087.0","2,243,626.0","2,306,779.0","2,306,272.0","2,372,052.0","2,406,860.0","2,432,656.0","2,487,613.0","2,480,688.0","2,570,926.0","2,624,839.0","2,650,978.0","2,640,946.0","2,625,066.0","2,608,688.0","2,613,555.0","2,636,762.0","2,675,652.0","2,728,916.0","2,773,165.0","2,808,269.0","2,819,373.0","2,814,161.0","2,837,135.0","2,835,962.0","2,873,316.0","2,899,162.0","2,894,678.0","2,918,890.0","2,922,921.0","2,866,511.0","2,887,277.0","2,927,020.0","2,990,844.0","3,042,654.0","3,094,891.0","3,125,936.0","3,116,515.0","3,139,153.0","3,161,949.0","3,160,588.0","3,167,087.0","3,173,357.0","3,212,038.0","3,248,950.0","3,321,137.0","3,367,424.0","3,411,016.0","3,450,612.0","3,484,550.0","3,494,595.0","3,539,441.0","3,619,127.0","3,645,699.0","3,711,868.0","3,758,188.0","3,811,008.0","3,822,512.0","3,901,195.0","3,956,270.0","4,044,824.0","4,146,761.0","4,226,963.0","4,244,672.0","4,301,366.0","4,310,953.0","4,356,333.0","4,404,320.0","4,438,101.0","4,483,680.0","4,582,632.0","4,628,373.0","4,695,158.0","4,726,394.0","4,781,997.0","4,800,775.0","4,828,537.0","4,818,818.0"
"33","11","    Final sales to private domestic purchasers \4\","LB0000031","1,421,313.0","1,433,620.0","1,445,861.0","1,468,543.0","1,483,799.0","1,497,122.0","1,495,813.0","1,501,896.0","1,486,813.0","1,496,399.0","1,498,664.0","1,526,667.0","1,565,047.0","1,613,145.0","1,702,697.0","1,655,100.0","1,673,535.0","1,620,660.0","1,630,833.0","1,635,913.0","1,643,812.0","1,675,155.0","1,663,431.0","1,735,079.0","1,765,538.0","1,776,811.0","1,774,164.0","1,761,662.0","1,761,866.0","1,785,841.0","1,818,721.0","1,857,228.0","1,904,895.0","1,950,182.0","1,978,531.0","1,999,783.0","1,995,245.0","2,004,870.0","2,008,667.0","2,028,353.0","2,039,109.0","2,038,204.0","2,055,286.0","2,048,810.0","2,002,771.0","2,006,303.0","2,038,792.0","2,084,029.0","2,138,711.0","2,178,423.0","2,201,201.0","2,197,891.0","2,229,508.0","2,243,487.0","2,226,647.0","2,228,156.0","2,223,984.0","2,257,794.0","2,277,190.0","2,328,042.0","2,356,687.0","2,393,175.0","2,412,537.0","2,438,419.0","2,457,985.0","2,498,600.0","2,538,254.0","2,570,577.0","2,629,132.0","2,664,678.0","2,712,489.0","2,723,426.0","2,797,050.0","2,838,209.0","2,893,007.0","2,971,240.0","3,029,317.0","3,028,864.0","3,056,631.0","3,049,239.0","3,051,254.0","3,099,780.0","3,120,001.0","3,154,510.0","3,228,547.0","3,265,723.0","3,324,803.0","3,353,054.0","3,402,384.0","3,423,318.0","3,446,869.0","3,451,963.0"
"34",NA,"Purchasing power of income: \5\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","12","    Command-basis gross domestic product","C191RX1","1,972,721.0","1,977,193.0","1,979,943.0","2,018,431.0","2,038,615.0","2,064,010.0","2,076,120.0","2,084,991.0","2,052,270.0","2,036,493.0","2,063,003.0","2,043,829.0","2,124,978.0","2,186,047.0","2,270,295.0","2,317,809.0","2,352,683.0","2,394,072.0","2,437,632.0","2,440,256.0","2,462,962.0","2,462,918.0","2,491,286.0","2,572,794.0","2,620,147.0","2,640,477.0","2,627,074.0","2,583,939.0","2,567,542.0","2,567,094.0","2,600,952.0","2,655,193.0","2,735,199.0","2,776,092.0","2,814,218.0","2,840,701.0","2,830,715.0","2,844,518.0","2,846,988.0","2,887,775.0","2,914,290.0","2,908,439.0","2,932,729.0","2,888,646.0","2,822,056.0","2,837,509.0","2,913,839.0","2,992,202.0","3,039,880.0","3,109,253.0","3,102,482.0","3,114,989.0","3,191,834.0","3,176,202.0","3,181,307.0","3,138,070.0","3,163,192.0","3,225,185.0","3,280,312.0","3,350,815.0","3,413,463.0","3,444,532.0","3,476,690.0","3,488,335.0","3,524,231.0","3,572,379.0","3,641,537.0","3,672,419.0","3,748,536.0","3,789,760.0","3,839,255.0","3,855,442.0","3,956,177.0","4,009,742.0","4,087,368.0","4,182,130.0","4,289,389.0","4,302,627.0","4,339,953.0","4,380,664.0","4,424,625.0","4,424,567.0","4,464,852.0","4,502,004.0","4,594,281.0","4,671,934.0","4,703,174.0","4,724,846.0","4,802,230.0","4,814,869.0","4,845,709.0","4,825,837.0"
"36","13","    Command-basis net domestic product \2\","C362RX1","1,802,448.0","1,805,375.0","1,807,192.0","1,847,200.0","1,868,615.0","1,895,100.0","1,907,456.0","1,916,185.0","1,881,249.0","1,864,047.0","1,890,476.0","1,869,864.0","1,952,999.0","2,014,957.0","2,100,770.0","2,147,822.0","2,181,589.0","2,221,845.0","2,264,238.0","2,263,594.0","2,283,823.0","2,280,052.0","2,305,672.0","2,386,399.0","2,431,307.0","2,448,190.0","2,430,099.0","2,381,138.0","2,359,837.0","2,355,644.0","2,387,197.0","2,440,206.0","2,519,873.0","2,558,714.0","2,594,825.0","2,618,892.0","2,604,502.0","2,615,024.0","2,613,731.0","2,652,691.0","2,676,480.0","2,666,364.0","2,687,396.0","2,636,583.0","2,562,074.0","2,573,836.0","2,649,601.0","2,728,090.0","2,775,029.0","2,844,586.0","2,834,643.0","2,844,593.0","2,921,790.0","2,902,240.0","2,904,018.0","2,855,096.0","2,877,175.0","2,937,657.0","2,990,976.0","3,060,131.0","3,120,679.0","3,148,542.0","3,177,074.0","3,184,013.0","3,216,051.0","3,260,911.0","3,327,468.0","3,354,029.0","3,427,868.0","3,465,161.0","3,510,652.0","3,521,459.0","3,619,657.0","3,668,453.0","3,742,012.0","3,833,126.0","3,936,692.0","3,942,763.0","3,973,729.0","4,008,150.0","4,046,031.0","4,038,155.0","4,072,296.0","4,103,265.0","4,191,606.0","4,264,459.0","4,289,126.0","4,303,983.0","4,376,109.0","4,381,796.0","4,406,432.0","4,378,824.0"
"37","14","    Command-basis gross national product","CB22RX1","1,980,658.0","1,985,985.0","1,988,896.0","2,028,015.0","2,049,268.0","2,075,196.0","2,087,135.0","2,095,919.0","2,062,599.0","2,046,455.0","2,072,613.0","2,052,374.0","2,134,258.0","2,195,942.0","2,282,121.0","2,329,452.0","2,363,433.0","2,407,160.0","2,451,463.0","2,454,983.0","2,476,644.0","2,476,677.0","2,504,701.0","2,585,879.0","2,633,016.0","2,654,290.0","2,639,206.0","2,596,160.0","2,580,848.0","2,580,357.0","2,614,488.0","2,670,733.0","2,751,217.0","2,791,859.0","2,830,198.0","2,857,098.0","2,849,036.0","2,862,587.0","2,865,469.0","2,903,802.0","2,933,395.0","2,929,150.0","2,952,469.0","2,904,034.0","2,837,903.0","2,853,677.0","2,929,437.0","3,007,660.0","3,055,244.0","3,124,673.0","3,119,199.0","3,132,820.0","3,209,029.0","3,193,783.0","3,199,742.0","3,157,534.0","3,183,911.0","3,244,856.0","3,300,528.0","3,371,537.0","3,434,115.0","3,467,352.0","3,499,794.0","3,515,246.0","3,549,740.0","3,596,900.0","3,666,594.0","3,698,356.0","3,776,787.0","3,816,900.0","3,867,228.0","3,881,376.0","3,986,072.0","4,040,627.0","4,115,989.0","4,208,025.0","4,316,277.0","4,329,558.0","4,366,216.0","4,408,280.0","4,451,930.0","4,450,977.0","4,494,163.0","4,530,467.0","4,623,613.0","4,701,873.0","4,734,049.0","4,755,387.0","4,832,788.0","4,844,200.0","4,873,638.0","4,853,738.0"
"38","15","    Command-basis net national product \2\","C027RX1","1,810,635.0","1,814,464.0","1,816,470.0","1,857,135.0","1,879,658.0","1,906,695.0","1,918,870.0","1,927,518.0","1,891,976.0","1,874,396.0","1,900,465.0","1,878,745.0","1,962,641.0","2,025,238.0","2,113,050.0","2,159,928.0","2,192,762.0","2,235,469.0","2,278,656.0","2,278,937.0","2,298,075.0","2,294,383.0","2,319,644.0","2,400,028.0","2,444,715.0","2,462,584.0","2,442,735.0","2,393,860.0","2,373,679.0","2,369,446.0","2,401,285.0","2,456,385.0","2,536,541.0","2,575,118.0","2,611,464.0","2,635,983.0","2,623,623.0","2,633,895.0","2,633,039.0","2,669,448.0","2,696,459.0","2,688,027.0","2,708,042.0","2,652,673.0","2,578,618.0","2,590,714.0","2,665,890.0","2,744,241.0","2,791,080.0","2,860,695.0","2,852,104.0","2,863,212.0","2,939,743.0","2,920,589.0","2,923,248.0","2,875,387.0","2,898,770.0","2,958,157.0","3,012,039.0","3,081,721.0","3,142,188.0","3,172,299.0","3,201,130.0","3,212,031.0","3,242,589.0","3,286,424.0","3,353,536.0","3,380,992.0","3,457,228.0","3,493,362.0","3,539,711.0","3,548,394.0","3,650,703.0","3,700,524.0","3,771,731.0","3,860,005.0","3,964,600.0","3,970,706.0","4,000,971.0","4,036,789.0","4,074,355.0","4,065,553.0","4,102,699.0","4,132,781.0","4,222,020.0","4,295,497.0","4,321,132.0","4,335,636.0","4,407,789.0","4,412,200.0","4,435,370.0","4,407,730.0"
"39",NA,"After-tax income received by the personal sector:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","16","    Disposable personal income","A067RX1","1,312,272.0","1,297,389.0","1,330,650.0","1,311,500.0","1,337,346.0","1,379,140.0","1,401,680.0","1,409,521.0","1,381,840.0","1,388,593.0","1,397,454.0","1,405,357.0","1,513,748.0","1,509,160.0","1,528,085.0","1,537,490.0","1,539,262.0","1,573,537.0","1,591,399.0","1,588,533.0","1,587,714.0","1,607,784.0","1,640,181.0","1,675,391.0","1,695,775.0","1,717,884.0","1,709,703.0","1,703,955.0","1,712,685.0","1,714,307.0","1,732,491.0","1,765,692.0","1,794,461.0","1,833,964.0","1,867,718.0","1,889,488.0","1,908,957.0","1,927,051.0","1,936,904.0","1,966,290.0","1,972,132.0","1,985,982.0","1,996,780.0","1,984,865.0","1,969,849.0","1,982,993.0","2,022,925.0","2,047,586.0","2,065,016.0","2,097,982.0","2,095,120.0","2,110,144.0","2,135,238.0","2,148,635.0","2,152,356.0","2,151,518.0","2,172,363.0","2,205,503.0","2,234,815.0","2,277,906.0","2,299,653.0","2,323,864.0","2,336,029.0","2,356,592.0","2,376,762.0","2,398,911.0","2,425,356.0","2,465,003.0","2,513,370.0","2,580,878.0","2,614,217.0","2,643,856.0","2,674,964.0","2,705,305.0","2,779,451.0","2,835,449.0","2,863,540.0","2,870,907.0","2,905,938.0","2,939,564.0","2,983,437.0","3,006,775.0","3,035,087.0","3,057,059.0","3,109,332.0","3,161,213.0","3,168,870.0","3,190,475.0","3,197,022.0","3,232,163.0","3,300,615.0","3,326,458.0"
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","price deflator for GDP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. In this table, the net measures are the corresponding gross measures excluding the depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","fixed assets as measured by the consumption of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","3. Gross domestic purchases excluding change in private inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","4. Final sales to domestic purchasers less government consumption expenditures and gross investment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","5. The command-basis estimates (lines 12-15) measure the purchasing power of the income generated by",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","the sale of goods and services produced; they reflect gains or losses in real income resulting from",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","changes in the terms of trade for exports and imports. For more detail on the command-basis measures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","see NIPA tables 1.8.3 and 1.8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
