"","Table 5#7#6A# Change in Real Private Inventories by Industry, Ch","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","    Change in private inventories","A014RX1","11,353.0","-5,022.0","-11,655.0","-26,247.0","-13,444.0","-6,433.0","8,339.0","8,548.0","14,284.0","-3,360.0","1,711.0","17,758.0","29,072.0","11,327.0","-3,978.0","-4,725.0","-8,869.0","28,008.0","-3,924.0","21,290.0","-11,233.0","21,234.0","29,461.0","11,851.0","7,387.0","-7,078.0","17,571.0","13,127.0","3,226.0","-819.0","15,340.0","13,033.0","11,693.0","24,110.0","22,308.0","19,011.0","36,239.0","51,924.0","37,321.0","33,908.0","33,346.0"
"20","2","Farm \1\","B018RX1","-678.0","-1,889.0","3,448.0","849.0","-1,195.0","-6,468.0","4,564.0","-6,114.0","4,582.0","3,185.0","-1,233.0","3,156.0","2,153.0","6,298.0","-1,255.0","-1,665.0","-3,726.0","-1,083.0","-5,071.0","6,839.0","-2,114.0","-384.0","2,373.0","3,468.0","2,205.0","544.0","-2,095.0","-3,628.0","495.0","6,550.0","-5,309.0","1,956.0","2,860.0","1,940.0","1,612.0","-4,334.0","2,830.0","-1,583.0","2,859.0","4,619.0","24.0"
"21","3","Nonfarm","A015RX1","11,668.0","-2,632.0","-14,736.0","-23,308.0","-10,332.0","1,115.0","2,692.0","17,033.0","8,698.0","-6,644.0","3,007.0","13,668.0","26,741.0","3,299.0","-2,538.0","-2,767.0","-4,218.0","34,906.0","4,808.0","13,645.0","-9,465.0","25,102.0","31,183.0","8,134.0","4,981.0","-8,228.0","20,497.0","17,131.0","2,689.0","-8,474.0","21,830.0","10,930.0","8,560.0","22,374.0","20,862.0","23,985.0","33,493.0","55,119.0","34,637.0","29,060.0","33,962.0"
"22","4","  Manufacturing","A150RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,977.0","4,898.0","-6,390.0","7,948.0","26,942.0","6,543.0","4,302.0","-8,958.0","8,829.0","12,493.0","-1,154.0","-6,510.0","9,369.0","2,487.0","5,516.0","12,520.0","7,694.0","11,621.0","15,518.0","31,580.0","21,160.0","13,272.0","13,991.0"
"23","5","    Durable goods","C624RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","374.0","-841.0","-5,242.0","5,277.0","17,527.0","5,183.0","3,850.0","-7,356.0","4,641.0","7,493.0","84.0","-5,512.0","5,017.0","545.0","1,327.0","6,646.0","4,270.0","7,937.0","11,008.0","21,398.0","13,261.0","6,361.0","9,467.0"
"24","6","    Nondurable goods","C625RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,594.0","5,920.0","-971.0","2,612.0","9,271.0","1,110.0","115.0","-979.0","4,336.0","4,821.0","-1,568.0","-153.0","4,481.0","2,370.0","5,077.0","6,078.0","3,457.0","2,989.0","3,369.0","8,383.0","7,207.0","7,503.0","3,681.0"
"25","7","  Wholesale trade","A658RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-269.0","3,095.0","241.0","5,710.0","1,292.0","1,534.0","568.0","949.0","4,354.0","2,117.0","-683.0","-39.0","7,457.0","2,092.0","2,175.0","3,613.0","6,702.0","5,346.0","6,369.0","13,447.0","9,324.0","4,297.0","9,332.0"
"26","8","    Durable goods","A661RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","227.0","2,411.0","-349.0","3,141.0","2,049.0","-1,061.0","134.0","-72.0","2,562.0","-93.0","136.0","-131.0","3,737.0","2,040.0","999.0","2,940.0","2,899.0","3,350.0","4,286.0","8,418.0","4,399.0","2,572.0","5,763.0"
"27","9","    Nondurable goods","A664RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-395.0","850.0","528.0","2,564.0","-550.0","2,345.0","419.0","990.0","1,777.0","2,273.0","-852.0","101.0","3,706.0","-51.0","1,180.0","570.0","3,829.0","1,920.0","1,956.0","4,820.0","4,969.0","1,655.0","3,353.0"
"28","10","      Merchant wholesalers","A151RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,325.0","1,295.0","954.0","1,685.0","5,411.0","4,944.0","5,901.0","11,454.0","6,847.0","3,099.0","7,679.0"
"29","11","        Durable goods","C626RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,182.0","1,481.0","467.0","1,785.0","2,084.0","3,292.0","3,891.0","7,318.0","3,078.0","2,183.0","4,870.0"
"30","12","        Nondurable goods","C627RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,102.0","-239.0","480.0","-136.0","3,291.0","1,589.0","1,930.0","3,989.0","3,757.0","845.0","2,677.0"
"31","13","      Nonmerchant wholesalers","A152RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,237.0","728.0","1,072.0","1,708.0","1,313.0","529.0","613.0","2,114.0","2,379.0","1,145.0","1,636.0"
"32","14","        Durable goods","C628RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","541.0","462.0","393.0","894.0","670.0","196.0","456.0","1,111.0","1,074.0","371.0","842.0"
"33","15","        Nondurable goods","C629RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","763.0","199.0","790.0","794.0","636.0","388.0","40.0","954.0","1,386.0","955.0","718.0"
"34","16","  Retail trade","A153RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,807.0","4,787.0","-1,246.0","7,895.0","285.0","-154.0","1,522.0","109.0","6,757.0","260.0","2,725.0","-1,324.0","3,625.0","4,814.0","-1,410.0","5,098.0","4,227.0","4,423.0","8,671.0","7,726.0","-30.0","8,753.0","7,729.0"
"35","17","    Durable goods","C630RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,904.0","2,683.0","-1,010.0","4,656.0","752.0","-539.0","1,226.0","-822.0","3,656.0","-1,035.0","2,176.0","-2,193.0","1,022.0","3,052.0","-2,857.0","1,991.0","2,072.0","1,473.0","5,232.0","3,787.0","-2,095.0","5,969.0","3,653.0"
"36","18","      Motor vehicle dealers \2\","C631RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","504.0","3,457.0","-2,198.0","1,716.0","1,988.0","235.0","5,430.0","2,230.0","-3,035.0","4,932.0","2,368.0"
"37","19","      Other \2\","A632RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","504.0","14.0","-807.0","420.0","287.0","1,099.0","454.0","1,600.0","452.0","1,469.0","1,381.0"
"38","20","    Nondurable goods","C633RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-949.0","2,053.0","-203.0","3,062.0","-506.0","427.0","213.0","1,041.0","2,908.0","1,517.0","313.0","1,247.0","2,699.0","1,495.0","1,949.0","3,104.0","2,065.0","2,998.0","3,099.0","3,803.0","2,418.0","2,322.0","3,959.0"
"39","21","  Other","A154RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,408.0","-487.0","-2,826.0","3,183.0","2,957.0","263.0","-3,089.0","168.0","-1,251.0","2,894.0","2,018.0","-58.0","1,668.0","1,208.0","3,989.0","-133.0","2,935.0","2,819.0","2,069.0","1,344.0","6,110.0","1,645.0","3,080.0"
"40","22","    Durable goods","C636RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","345.0","226.0","1,412.0","349.0","-33.0","334.0","577.0","-344.0","655.0","-1,318.0","-14.0"
"41","23","    Nondurable goods","C637RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,325.0","988.0","2,497.0","-536.0","3,058.0","2,521.0","1,479.0","1,752.0","5,535.0","3,177.0","3,180.0"
"42","24","Residual","A969RX1","400.0","-500.0","-400.0","-3,700.0","-1,900.0","-1,000.0","1,000.0","-2,400.0","1,000.0","0.0","-100.0","900.0","200.0","1,700.0","-200.0","-200.0","-1,000.0","-5,800.0","-4,000.0","1,800.0","900.0","-3,000.0","-4,400.0","700.0","2,400.0","-500.0","1,100.0","-1,200.0","500.0","-600.0","-1,800.0","-100.0","-2,600.0","1,100.0","-1,300.0","-200.0","1,600.0","1,200.0","-1,600.0","400.0","0.0"
"43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Beginning with 1981, these inventories are included in 'other durable goods.'",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Note. Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","are based on the 1972 Standard Industrial Classification (SIC). Manufacturing estimates for 1981 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","for these industries are based on the 1987 SIC. The resulting discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. Chained (2009) dollar series for real change in private inventories are calculated as the period-to-period",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","change in chained-dollar end-of-period inventories. Quarterly changes in end-of-period inventories are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","stated at annual rates. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","than one period, the corresponding chained-dollar estimates are usually not additive. The residual line",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","is the difference between the first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
