"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"19","1","Gross domestic product (GDP)","A191RX1","4,712,483.0","4,722,012.0","4,877,625.0","5,134,347.0","5,424,084.0","5,396,034.0","5,385,367.0","5,675,427.0","5,936,985.0","6,267,181.0","6,466,208.0","6,450,392.0","6,617,745.0","6,491,287.0","6,791,993.0","7,285,030.0","7,593,823.0","7,860,489.0","8,132,599.0","8,474,492.0","8,786,397.0","8,955,041.0","8,948,406.0","9,266,558.0","9,521,004.0","9,905,428.0","10,174,755.0","10,560,976.0","11,034,850.0","11,525,891.0","12,065,902.0","12,559,660.0","12,682,240.0","12,908,761.0","13,271,081.0","13,773,490.0","14,234,243.0","14,613,817.0","14,873,734.0","14,830,359.0","14,418,738.0","14,783,809.0","15,020,565.0","15,354,627.0","15,583,338.0","15,961,670.0","16,341,778.0"
"20","2","Plus: Income receipts from the rest of the world","A645RX1","60,279.0","62,326.0","64,383.0","71,566.0","97,065.0","113,754.0","97,743.0","106,152.0","114,311.0","131,853.0","179,435.0","191,007.0","201,999.0","208,751.0","202,559.0","234,033.0","209,520.0","201,632.0","215,629.0","256,500.0","287,508.0","292,097.0","251,116.0","220,822.0","220,193.0","255,131.0","310,454.0","326,784.0","365,274.0","370,948.0","409,255.0","475,445.0","396,156.0","378,590.0","417,181.0","513,270.0","631,203.0","768,469.0","902,725.0","856,037.0","648,897.0","647,062.0","694,780.0","690,493.0","702,338.0","716,563.0","....."
"21","3","Less: Income payments to the rest of the world","A655RX1","27,091.0","29,346.0","27,800.0","32,070.0","42,865.0","51,336.0","49,723.0","48,932.0","50,022.0","67,562.0","91,731.0","103,642.0","124,248.0","127,539.0","123,852.0","158,139.0","156,213.0","164,995.0","180,649.0","213,437.0","242,825.0","235,284.0","202,743.0","174,239.0","173,043.0","219,376.0","269,213.0","282,472.0","331,315.0","345,223.0","373,103.0","427,344.0","331,651.0","319,009.0","337,213.0","409,992.0","527,223.0","693,321.0","769,795.0","681,171.0","497,849.0","461,627.0","478,676.0","485,764.0","489,650.0","495,255.0","....."
"22","4","Equals: Gross national product","A001RX1","4,749,731.0","4,758,951.0","4,918,209.0","5,177,815.0","5,480,998.0","5,460,009.0","5,436,235.0","5,735,261.0","6,003,718.0","6,333,752.0","6,554,021.0","6,537,372.0","6,695,097.0","6,571,578.0","6,870,502.0","7,360,283.0","7,648,328.0","7,899,299.0","8,169,687.0","8,518,899.0","8,832,044.0","9,012,628.0","8,998,131.0","9,314,879.0","9,570,012.0","9,942,936.0","10,217,258.0","10,606,548.0","11,070,064.0","11,553,116.0","12,103,387.0","12,608,778.0","12,747,938.0","12,969,750.0","13,352,133.0","13,877,343.0","14,338,358.0","14,688,601.0","15,005,728.0","15,004,804.0","14,569,786.0","14,970,768.0","15,240,992.0","15,562,122.0","15,799,325.0","16,186,695.0","....."
"23","5","Less: Consumption of fixed capital","A262RX1","480,649.0","501,538.0","518,922.0","538,656.0","565,966.0","590,401.0","609,386.0","628,174.0","652,772.0","682,523.0","716,898.0","749,178.0","778,306.0","808,848.0","836,422.0","872,598.0","921,208.0","968,060.0","1,014,851.0","1,058,930.0","1,103,003.0","1,144,877.0","1,179,044.0","1,210,319.0","1,247,049.0","1,289,663.0","1,341,115.0","1,399,263.0","1,469,967.0","1,555,651.0","1,653,444.0","1,755,438.0","1,841,891.0","1,905,112.0","1,963,879.0","2,032,641.0","2,110,982.0","2,194,428.0","2,274,638.0","2,338,430.0","2,368,380.0","2,382,384.0","2,412,901.0","2,458,350.0","2,511,363.0","2,567,128.0","2,626,527.0"
"24","6","  Private","A024RX1","330,672.0","347,679.0","363,351.0","381,930.0","407,418.0","429,622.0","446,056.0","461,775.0","482,882.0","508,535.0","537,964.0","564,649.0","587,876.0","611,923.0","632,004.0","658,628.0","695,070.0","728,631.0","762,178.0","794,210.0","827,551.0","859,305.0","885,131.0","910,058.0","941,947.0","981,044.0","1,029,252.0","1,083,522.0","1,149,760.0","1,229,516.0","1,319,711.0","1,413,843.0","1,492,464.0","1,547,923.0","1,597,442.0","1,655,045.0","1,721,403.0","1,792,151.0","1,859,033.0","1,908,901.0","1,925,652.0","1,928,325.0","1,948,976.0","1,988,241.0","2,038,088.0","2,092,384.0","2,149,428.0"
"25","7","  Government","A264RX1","159,198.0","162,939.0","164,284.0","164,938.0","166,194.0","168,103.0","170,505.0","173,461.0","176,652.0","180,277.0","184,651.0","189,911.0","195,722.0","202,203.0","210,037.0","219,967.0","232,515.0","246,469.0","260,379.0","272,974.0","283,991.0","294,370.0","302,938.0","309,266.0","313,665.0","316,398.0","318,647.0","321,533.0","324,871.0","329,611.0","336,132.0","343,040.0","350,218.0","357,678.0","366,812.0","377,866.0","389,684.0","402,202.0","415,453.0","429,447.0","442,729.0","454,010.0","463,808.0","470,055.0","473,405.0","475,078.0","477,622.0"
"26","8","    General government","A265RX1","146,374.0","149,555.0","150,377.0","150,467.0","151,072.0","152,300.0","154,049.0","156,390.0","159,042.0","162,110.0","165,800.0","170,287.0","175,284.0","180,948.0","187,962.0","196,990.0","208,483.0","221,363.0","234,235.0","245,816.0","255,806.0","265,092.0","272,536.0","277,704.0","280,933.0","282,685.0","284,074.0","286,052.0","288,504.0","292,161.0","297,230.0","302,706.0","308,657.0","314,833.0","322,350.0","331,712.0","342,135.0","353,465.0","365,542.0","378,313.0","390,254.0","400,183.0","408,719.0","414,159.0","416,839.0","417,813.0","419,620.0"
"27","9","    Government enterprises","A266RX1","11,979.0","12,580.0","13,185.0","13,848.0","14,596.0","15,357.0","16,058.0","16,702.0","17,258.0","17,828.0","18,524.0","19,304.0","20,122.0","20,941.0","21,749.0","22,618.0","23,623.0","24,631.0","25,603.0","26,566.0","27,563.0","28,638.0","29,770.0","30,971.0","32,205.0","33,250.0","34,169.0","35,134.0","36,066.0","37,204.0","38,725.0","40,217.0","41,479.0","42,794.0","44,451.0","46,166.0","47,559.0","48,739.0","49,910.0","51,134.0","52,475.0","53,827.0","55,089.0","55,894.0","56,557.0","57,241.0","57,962.0"
"28","10","Equals: Net national product","A027RX1","4,314,043.0","4,297,640.0","4,440,717.0","4,684,608.0","4,964,145.0","4,911,882.0","4,862,937.0","5,149,532.0","5,396,844.0","5,701,593.0","5,885,774.0","5,825,296.0","5,951,013.0","5,780,873.0","6,056,020.0","6,517,964.0","6,754,783.0","6,955,658.0","7,176,766.0","7,482,671.0","7,751,433.0","7,886,687.0","7,831,441.0","8,118,983.0","8,337,272.0","8,668,936.0","8,890,149.0","9,220,934.0","9,613,314.0","10,009,312.0","10,460,544.0","10,862,193.0","10,911,205.0","11,068,649.0","11,392,321.0","11,849,060.0","12,231,670.0","12,497,661.0","12,733,675.0","12,667,360.0","12,201,406.0","12,587,974.0","12,827,438.0","13,102,979.0","13,287,547.0","13,619,014.0","....."
"29",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross domestic income (GDI) \1\","A261RX1","4,705,055.0","4,698,644.0","4,838,089.0","5,105,753.0","5,400,923.0","5,370,230.0","5,343,200.0","5,613,545.0","5,882,155.0","6,205,577.0","6,356,201.0","6,351,430.0","6,542,133.0","6,478,203.0","6,690,890.0","7,215,287.0","7,504,327.0","7,729,102.0","8,064,894.0","8,475,206.0","8,686,661.0","8,818,283.0","8,820,314.0","9,109,377.0","9,310,132.0","9,720,046.0","10,054,566.0","10,487,271.0","11,019,103.0","11,602,122.0","12,112,820.0","12,681,197.0","12,819,458.0","12,994,381.0","13,286,786.0","13,783,116.0","14,272,739.0","14,842,924.0","14,855,751.0","14,730,249.0","14,343,412.0","14,735,247.0","15,057,699.0","15,547,810.0","15,749,468.0","16,156,762.0","....."
"31","12","  Average of GDP and GDI \2\","LB0000091","4,708,755.0","4,710,287.0","4,857,837.0","5,120,083.0","5,412,527.0","5,383,137.0","5,364,268.0","5,644,498.0","5,909,575.0","6,236,402.0","6,411,194.0","6,400,892.0","6,579,923.0","6,484,715.0","6,741,433.0","7,250,190.0","7,549,040.0","7,794,785.0","8,098,740.0","8,474,872.0","8,736,560.0","8,886,640.0","8,884,353.0","9,187,980.0","9,415,586.0","9,812,716.0","10,114,641.0","10,524,097.0","11,026,988.0","11,564,037.0","12,089,325.0","12,620,398.0","12,750,883.0","12,951,542.0","13,278,931.0","13,778,307.0","14,253,534.0","14,728,396.0","14,864,751.0","14,780,273.0","14,381,076.0","14,759,492.0","15,039,114.0","15,451,218.0","15,666,403.0","16,059,216.0","....."
"32","13","  Gross national income \3\","A023RX1","4,742,294.0","4,735,432.0","4,878,571.0","5,149,292.0","5,457,747.0","5,434,145.0","5,393,953.0","5,673,386.0","5,948,883.0","6,272,144.0","6,443,825.0","6,438,183.0","6,619,289.0","6,558,473.0","6,769,222.0","7,290,441.0","7,558,677.0","7,767,718.0","8,101,944.0","8,519,595.0","8,732,346.0","8,875,688.0","8,869,950.0","9,157,697.0","9,359,084.0","9,757,415.0","10,097,034.0","10,532,828.0","11,054,250.0","11,629,373.0","12,150,196.0","12,730,277.0","12,885,310.0","13,055,369.0","13,367,863.0","13,887,025.0","14,376,965.0","14,917,840.0","14,987,693.0","14,904,618.0","14,494,460.0","14,922,220.0","15,278,095.0","15,755,078.0","15,965,264.0","16,381,581.0","....."
"33","14","  Net domestic product","A362RX1","4,276,100.0","4,260,067.0","4,399,398.0","4,640,323.0","4,905,994.0","4,846,482.0","4,811,185.0","5,088,488.0","5,328,668.0","5,633,649.0","5,795,744.0","5,736,197.0","5,872,038.0","5,698,875.0","5,975,939.0","6,441,327.0","6,699,700.0","6,916,866.0","7,139,815.0","7,438,225.0","7,705,763.0","7,828,786.0","7,781,621.0","8,070,629.0","8,288,246.0","8,631,659.0","8,847,816.0","9,175,516.0","9,578,454.0","9,982,590.0","10,423,493.0","10,813,435.0","10,845,755.0","11,007,958.0","11,311,506.0","11,745,400.0","12,127,767.0","12,423,246.0","12,601,804.0","12,492,876.0","12,050,358.0","12,401,084.0","12,607,185.0","12,895,605.0","13,071,684.0","13,394,135.0","13,714,789.0"
"34","15","  Net domestic income \4\","W256RX1","4,268,334.0","4,235,874.0","4,358,472.0","4,610,749.0","4,881,953.0","4,819,698.0","4,767,275.0","5,024,116.0","5,271,561.0","5,569,490.0","5,680,873.0","5,632,750.0","5,792,937.0","5,685,122.0","5,870,736.0","6,369,051.0","6,607,118.0","6,781,086.0","7,069,963.0","7,439,041.0","7,603,211.0","7,688,316.0","7,650,408.0","7,910,248.0","8,073,339.0","8,442,769.0","8,725,322.0","9,100,514.0","9,562,536.0","10,059,732.0","10,470,796.0","10,936,051.0","10,984,088.0","11,093,913.0","11,327,276.0","11,755,102.0","12,166,433.0","12,653,598.0","12,583,749.0","12,392,374.0","11,975,030.0","12,352,607.0","12,644,228.0","13,088,037.0","13,237,191.0","13,588,641.0","....."
"35","16","  Net domestic purchases","W367RX1","4,385,195.0","4,352,372.0","4,504,317.0","4,760,685.0","4,988,944.0","4,887,059.0","4,802,920.0","5,142,153.0","5,425,851.0","5,729,582.0","5,849,792.0","5,681,114.0","5,824,826.0","5,693,766.0","6,057,821.0","6,630,727.0","6,918,506.0","7,158,618.0","7,367,803.0","7,597,687.0","7,820,144.0","7,906,420.0","7,802,793.0","8,094,712.0","8,364,152.0","8,746,057.0","8,949,544.0","9,292,526.0","9,728,769.0","10,261,729.0","10,818,613.0","11,311,180.0","11,371,393.0","11,617,223.0","11,978,667.0","12,503,591.0","12,933,844.0","13,241,073.0","13,334,445.0","13,062,016.0","12,445,795.0","12,862,048.0","13,070,313.0","13,345,156.0","13,489,863.0","13,838,290.0","14,263,810.0"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","price deflator for GDP.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","3. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","4. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated as the product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","of the chain-type quantity index and the 2009 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
