"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71"
"1","[Millions of chained (2009) dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1999 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 29, 2016  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 1/28/2016 5:29:12 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191RX1","11,864,675.0","11,962,524.0","12,113,075.0","12,323,336.0","12,359,095.0","12,592,530.0","12,607,676.0","12,679,338.0","12,643,283.0","12,710,303.0","12,670,106.0","12,705,269.0","12,822,258.0","12,893,002.0","12,955,769.0","12,964,016.0","13,031,169.0","13,152,089.0","13,372,357.0","13,528,710.0","13,606,509.0","13,706,247.0","13,830,828.0","13,950,376.0","14,099,081.0","14,172,695.0","14,291,757.0","14,373,438.0","14,546,119.0","14,589,585.0","14,602,633.0","14,716,930.0","14,726,022.0","14,838,664.0","14,938,467.0","14,991,784.0","14,889,450.0","14,963,357.0","14,891,643.0","14,576,985.0","14,375,018.0","14,355,558.0","14,402,477.0","14,541,901.0","14,604,845.0","14,745,933.0","14,845,458.0","14,939,001.0","14,881,301.0","14,989,555.0","15,021,149.0","15,190,255.0","15,291,035.0","15,362,415.0","15,380,802.0","15,384,254.0","15,457,169.0","15,500,224.0","15,614,441.0","15,761,517.0","15,724,948.0","15,901,450.0","16,068,849.0","16,151,431.0","16,177,317.0","16,333,558.0","16,413,964.0","16,442,272.0"
"21","2","Personal consumption expenditures","DPCERX1","7,618,691.0","7,731,528.0","7,819,273.0","7,934,144.0","8,054,859.0","8,132,194.0","8,211,276.0","8,284,400.0","8,319,403.0","8,340,761.0","8,371,247.0","8,499,132.0","8,524,579.0","8,568,126.0","8,628,043.0","8,674,353.0","8,712,527.0","8,809,507.0","8,939,387.0","9,008,815.0","9,096,415.0","9,155,468.0","9,243,002.0","9,337,837.0","9,409,222.0","9,511,451.0","9,585,233.0","9,621,339.0","9,729,225.0","9,781,025.0","9,838,106.0","9,938,409.0","9,990,657.0","10,024,604.0","10,069,158.0","10,081,798.0","10,060,966.0","10,077,940.0","10,005,097.0","9,884,724.0","9,850,832.0","9,806,377.0","9,865,864.0","9,864,805.0","9,917,689.0","9,998,389.0","10,063,083.0","10,166,127.0","10,217,123.0","10,237,676.0","10,282,234.0","10,316,777.0","10,379,022.0","10,396,630.0","10,424,119.0","10,453,204.0","10,518,176.0","10,554,284.0","10,598,856.0","10,690,356.0","10,724,716.0","10,826,334.0","10,918,612.0","11,033,272.0","11,081,237.0","11,178,934.0","11,262,398.0","11,322,508.0"
"22","3","  Goods","DGDSRX1","2,393,599.0","2,449,834.0","2,478,775.0","2,521,287.0","2,559,102.0","2,572,582.0","2,599,387.0","2,621,931.0","2,628,045.0","2,635,071.0","2,653,920.0","2,749,540.0","2,742,596.0","2,753,580.0","2,788,314.0","2,796,217.0","2,811,721.0","2,872,229.0","2,953,462.0","2,980,393.0","3,012,806.0","3,029,450.0","3,066,039.0","3,099,389.0","3,136,535.0","3,177,837.0","3,195,493.0","3,198,775.0","3,262,214.0","3,267,844.0","3,294,479.0","3,345,579.0","3,363,481.0","3,376,314.0","3,392,331.0","3,394,925.0","3,348,724.0","3,360,387.0","3,296,562.0","3,185,498.0","3,188,798.0","3,166,888.0","3,222,890.0","3,215,201.0","3,246,978.0","3,288,034.0","3,319,130.0","3,380,462.0","3,404,859.0","3,398,248.0","3,405,495.0","3,438,505.0","3,480,121.0","3,489,812.0","3,513,519.0","3,533,602.0","3,586,030.0","3,596,786.0","3,620,230.0","3,648,052.0","3,658,342.0","3,717,994.0","3,755,156.0","3,793,188.0","3,803,713.0","3,854,968.0","3,901,962.0","3,925,399.0"
"23","4","    Durable goods","DDURRX1","664,025.0","695,778.0","712,454.0","720,989.0","761,222.0","747,154.0","759,844.0","765,106.0","777,690.0","777,013.0","785,934.0","851,425.0","840,968.0","849,219.0","874,118.0","862,044.0","864,685.0","904,370.0","944,695.0","956,807.0","972,679.0","982,167.0","1,001,345.0","1,015,506.0","1,026,252.0","1,055,365.0","1,067,330.0","1,038,837.0","1,081,348.0","1,080,152.0","1,095,075.0","1,109,606.0","1,122,037.0","1,138,252.0","1,150,899.0","1,155,460.0","1,122,489.0","1,118,994.0","1,084,703.0","1,006,754.0","1,008,610.0","1,002,566.0","1,050,555.0","1,031,542.0","1,045,163.0","1,076,300.0","1,093,761.0","1,127,409.0","1,141,775.0","1,134,221.0","1,148,617.0","1,181,511.0","1,213,833.0","1,222,104.0","1,242,239.0","1,266,651.0","1,293,630.0","1,300,798.0","1,311,227.0","1,324,593.0","1,333,224.0","1,377,238.0","1,402,462.0","1,423,477.0","1,430,442.0","1,458,256.0","1,481,667.0","1,497,501.0"
"24","5","      Motor vehicles and parts","DMOTRX1","320,664.0","343,486.0","344,517.0","334,334.0","362,723.0","336,659.0","342,687.0","343,673.0","353,227.0","347,326.0","351,460.0","404,553.0","375,776.0","377,863.0","401,703.0","377,911.0","377,403.0","393,801.0","406,582.0","400,511.0","402,409.0","401,972.0","407,284.0","410,304.0","401,196.0","414,390.0","416,623.0","367,774.0","382,073.0","381,919.0","388,514.0","388,023.0","390,477.0","396,212.0","393,296.0","391,170.0","371,918.0","355,180.0","337,369.0","298,790.0","307,597.0","308,944.0","342,159.0","309,531.0","306,206.0","319,712.0","325,749.0","341,956.0","342,720.0","324,192.0","325,170.0","343,011.0","353,032.0","354,854.0","360,300.0","368,266.0","376,761.0","375,847.0","374,206.0","376,307.0","380,123.0","395,932.0","403,172.0","407,687.0","404,113.0","413,583.0","416,700.0","411,505.0"
"25","6","      Furnishings and durable household equipment","DFDHRX1","164,177.0","168,065.0","173,615.0","179,079.0","183,579.0","187,110.0","189,592.0","190,707.0","193,558.0","195,296.0","197,175.0","203,146.0","209,596.0","211,393.0","211,098.0","214,708.0","213,971.0","223,393.0","232,557.0","237,253.0","241,873.0","245,802.0","251,341.0","254,290.0","257,752.0","261,922.0","266,764.0","272,910.0","280,314.0","276,953.0","278,274.0","277,654.0","281,323.0","279,621.0","280,672.0","280,157.0","273,271.0","276,586.0","267,208.0","253,613.0","245,184.0","240,874.0","243,576.0","247,609.0","253,974.0","261,398.0","262,690.0","267,944.0","270,744.0","274,637.0","277,582.0","283,437.0","289,052.0","286,103.0","287,999.0","291,820.0","297,422.0","300,601.0","307,847.0","311,171.0","312,743.0","322,904.0","327,606.0","332,506.0","336,726.0","340,478.0","347,672.0","352,385.0"
