"","Table 6#21C# Undistributed Corporate Profits by Industry        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published January 16, 2004  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:52:51 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Undistributed corporate profits","B057RC0",74852,114523,79704,95038,103717,124474,143251,148596,201424,203800,217611,118337,179874,130285
"9","2","Domestic industries","A3402C0",43545,89433,44175,43924,51575,79418,86902,108794,141249,142217,157266,57848,100058,14079
"10","3","  Agriculture, forestry, and fishing","A3403C0",1048,214,164,-115,-435,-47,40,-913,-671,347,-164,-992,157,71
"11","4","    Farms","B3404C0",290,-262,51,-230,-499,-390,-57,-1089,-983,-171,-577,-1569,-1161,-1057
"12","5","    Agricultural services, forestry, and fishing","B3405C0",758,476,113,115,64,343,97,176,312,518,413,577,1318,1128
"13","6","  Mining","A3406C0",-4799,-3452,-3848,-2988,-3929,-1084,-2132,-304,-373,3221,4566,-4414,-3457,3942
"14","7","    Metal mining","B3407C0",-1416,-230,-777,-622,-897,-492,-691,-81,-619,-1483,-1032,-1061,-1089,-1194
"15","8","    Coal mining","B3408C0",-4,-20,-137,-84,-139,11,-320,-31,-325,-39,-773,-694,-578,-461
"16","9","    Oil and gas extraction","B3409C0",-3461,-3364,-2995,-2261,-2977,-700,-739,-641,388,4731,6005,-1906,652,7019
"17","10","    Nonmetallic minerals, except fuels","B3410C0",82,162,61,-21,84,97,-382,449,183,12,366,-753,-2442,-1422
"18","11","  Construction","B3411C0",7319,8327,6226,5547,2480,2460,3707,6089,7759,10966,11269,15813,18316,16773
"19","12","  Manufacturing","A3412C0",19500,48235,23656,17209,-1959,-447,5009,29673,47618,38685,44322,5543,26780,11520
"20","13","    Durable goods","A3413C0",13966,29718,19887,12036,1886,6481,13323,27151,26547,26143,31504,13750,15318,1663
"21","14","      Lumber and wood products","B3414C0",2926,2216,2150,713,-226,1433,2356,2131,2592,944,851,1176,1214,-912
"22","15","      Furniture and fixtures","B3415C0",793,504,82,236,483,728,987,958,899,1531,1378,1911,1918,1443
"23","16","      Stone, clay, and glass products","B3416C0",1130,587,10,551,-281,164,700,1971,2758,1966,3881,3897,4668,3419
"24","17","      Primary metal industries","B3417C0",2146,4876,2642,341,-1421,-2926,-1719,640,3788,1927,2916,2797,-326,-150
"25","18","      Fabricated metal products","B3418C0",3302,3796,2932,2712,1624,2793,3711,5980,5704,6155,8060,6313,6148,6446
"26","19","      Industrial machinery and equipment","B3419C0",826,9559,10138,8943,2163,2130,430,1262,5870,7117,8033,9622,2308,9469
"27","20","      Electronic and other electric equipment","B3420C0",104,2665,1670,285,1914,838,4295,8975,8332,3263,4266,-5609,-6443,-13399
"28","21","      Motor vehicles and equipment","B3421C0",-1136,2519,-1449,-6242,-8032,-4638,697,2496,-6300,-2524,-3885,-9861,-1582,-10734
"29","22","      Other transportation equipment","B3422C0",3795,1566,584,2119,3709,3807,1407,1644,1487,2534,3442,2697,5607,4304
"30","23","      Instruments and related products","B3423C0",-287,844,643,1718,1336,1014,-955,-447,-90,2239,1509,207,303,495
"31","24","      Miscellaneous manufacturing industries","B3424C0",367,586,485,660,617,1138,1414,1541,1507,991,1053,600,1503,1282
"32","25","    Nondurable goods","A3425C0",5534,18517,3769,5173,-3845,-6928,-8314,2522,21071,12542,12818,-8207,11462,9857
"33","26","      Food and kindred products","B3426C0",1997,5790,122,3338,3589,4003,1928,3329,10231,-610,-1926,-4341,6527,5949
"34","27","      Tobacco products","B3427C0",398,289,-1090,850,185,271,1291,923,1295,1787,2320,1507,3933,956
"35","28","      Textile mill products","B3428C0",1058,500,111,347,368,1621,942,902,379,496,886,746,860,86
"36","29","      Apparel and other textile products","B3429C0",832,1012,829,603,823,820,1067,1260,581,580,920,539,272,961
"37","30","      Paper and allied products","B3430C0",3002,5068,3000,1480,371,-711,93,1354,7411,2625,494,317,2123,3547
"38","31","      Printing and publishing","B3431C0",2360,2105,100,-246,2226,2787,2899,4297,2353,1826,2315,2968,7038,1666
"39","32","      Chemicals and allied products","B3432C0",1669,1974,-701,-4701,-5449,-5436,-6954,-678,778,-2392,1399,-7275,-5029,-14608
"40","33","      Petroleum and coal products","B3433C0",-7171,487,-168,3021,-6958,-11630,-11056,-10028,-3771,5489,3509,-5623,-6154,11747
"41","34","      Rubber and miscellaneous plastics products","B3434C0",1112,972,1264,173,718,1075,1394,1359,1621,2641,2748,2821,1786,-493
"42","35","      Leather and leather products","B3435C0",277,320,302,308,282,272,82,-196,193,100,153,134,106,46
