"","Table 6#13D# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1998 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 04, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/20/2005 11:50:00 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1998,1999,2000,2001,2002,2003,2004
"8","1","      Noncorporate capital consumption allowances","A1700C0",157543,177128,195292,228044,247106,265416,287214
"9","2","Agriculture, forestry, fishing, and hunting","N1701C0",14870,15402,15525,19526,19591,20716,21896
"10","3","  Farms \1\","N1702C0",13095,13364,13507,17551,17625,18255,19407
"11","4","  Forestry, fishing, and related activities","N1703C0",1775,2038,2018,1975,1966,2461,NA
"12","5","Mining","N1704C0",6979,7652,8967,10370,11397,11595,12281
"13","6","Utilities","N1705C0",2882,3128,3226,4529,5366,6121,6871
"14","7","Construction","N1706C0",7217,8312,9455,9585,10457,12657,13372
"15","8","Manufacturing","N1707C0",11357,13418,15319,17351,18720,19570,20464
"16","9","  Durable goods","N1708C0",4373,5368,5462,5441,6356,6872,7258
"17","10","  Nondurable goods","N1709C0",6984,8050,9857,11910,12364,12698,13206
"18","11","Wholesale trade","N1710C0",2355,2678,2993,3317,3486,4071,4457
"19","12","Retail trade","N1711C0",5799,6684,6453,7728,8587,8854,9375
"20","13","Transportation and warehousing","N1712C0",7840,8501,9610,9911,10614,11449,11667
"21","14","Information","N1713C0",16538,20299,22706,31694,36766,34990,38432
"22","15","Finance, insurance, real estate, rental, and leasing","N1714C0",54209,61621,67972,77832,81574,88488,97666
"23","16","  Finance and insurance","N1715C0",4053,3620,4127,5700,6162,7847,9350
"24","17","  Real estate and rental and leasing \2\","N1716C0",50156,58001,63845,72132,75412,80641,88316
"25","18","Professional and business services","N1717C0",10871,11846,12620,14701,16124,18790,20753
"26","19","  Professional, scientific, and technical services","N1718C0",7445,8077,8421,9662,10283,11899,NA
"27","20","  Management of companies and enterprises; administrative and waste management services","N1719C0",3426,3769,4199,5039,5841,6891,NA
"28","21","Educational services, health care, and social assistance","N1720C0",5439,6028,6449,7304,8695,10709,12073
"29","22","  Educational services","N1721C0",391,515,542,569,673,762,NA
"30","23","  Health care and social assistance","N1722C0",5048,5513,5907,6735,8022,9946,NA
"31","24","Arts, entertainment, recreation, accommodation, and food services","N1723C0",9446,9633,12156,12403,14242,15315,15878
"32","25","  Arts, entertainment, and recreation","N1724C0",2590,2622,3473,3959,4592,4970,NA
"33","26","  Accommodation and food services","N1725C0",6856,7011,8683,8444,9650,10345,NA
"34","27","Other services, except government","N1726C0",1741,1926,1841,1792,1489,2092,2029
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Consists of NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2. Excludes owner-occupied housing and nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Note.  Estimates in this table are based on the 1997 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA
