"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Gross domestic product","A191RX1","1,934,471.0","1,932,281.0","1,930,315.0","1,960,705.0","1,989,535.0","2,021,851.0","2,033,155.0","2,035,329.0","2,007,522.0","2,000,788.0","2,022,798.0","2,004,653.0","2,084,559.0","2,147,592.0","2,230,362.0","2,273,435.0","2,304,542.0","2,344,517.0","2,392,808.0","2,398,105.0","2,423,457.0","2,428,516.0","2,446,081.0","2,526,359.0","2,573,372.0","2,593,456.0","2,578,922.0","2,539,786.0","2,528,043.0","2,530,689.0","2,559,397.0","2,609,272.0","2,683,766.0","2,727,452.0","2,764,128.0","2,780,762.0","2,770,032.0","2,792,872.0","2,790,588.0","2,836,238.0","2,854,517.0","2,848,186.0","2,875,927.0","2,846,446.0","2,772,654.0","2,790,948.0","2,855,472.0","2,922,264.0","2,976,629.0","3,049,011.0","3,043,139.0","3,055,104.0","3,123,162.0","3,111,310.0","3,119,057.0","3,081,300.0","3,102,251.0","3,159,918.0","3,212,606.0","3,277,717.0","3,336,753.0","3,372,706.0","3,404,833.0","3,418,046.0","3,456,080.0","3,501,134.0","3,569,479.0","3,594,954.0","3,672,708.0","3,716,382.0","3,766,862.0","3,780,219.0","3,873,452.0","3,926,406.0","4,006,152.0","4,100,631.0","4,201,891.0","4,219,097.0","4,249,152.0","4,285,582.0","4,324,926.0","4,328,720.0","4,366,088.0","4,401,233.0","4,490,609.0","4,566,442.0","4,599,332.0","4,619,803.0","4,691,637.0","4,706,684.0","4,736,143.0","4,715,469.0"
"21","2","       Final sales of domestic product","A190RX1","1,949,788.0","1,962,863.0","1,977,916.0","1,980,352.0","1,987,149.0","1,997,827.0","2,001,834.0","2,017,820.0","2,025,770.0","2,051,877.0","2,051,010.0","2,058,815.0","2,091,771.0","2,147,745.0","2,223,977.0","2,204,884.0","2,271,574.0","2,284,702.0","2,361,155.0","2,396,672.0","2,417,708.0","2,458,358.0","2,436,749.0","2,516,990.0","2,570,940.0","2,591,844.0","2,586,522.0","2,572,859.0","2,558,295.0","2,567,942.0","2,593,693.0","2,635,744.0","2,686,114.0","2,720,898.0","2,760,711.0","2,768,073.0","2,763,719.0","2,795,216.0","2,797,430.0","2,845,721.0","2,871,299.0","2,861,413.0","2,883,350.0","2,882,610.0","2,812,037.0","2,828,015.0","2,869,103.0","2,925,085.0","2,980,647.0","3,029,939.0","3,063,273.0","3,053,760.0","3,087,744.0","3,118,577.0","3,117,178.0","3,132,916.0","3,138,571.0","3,172,703.0","3,199,680.0","3,271,917.0","3,312,668.0","3,367,517.0","3,394,792.0","3,422,737.0","3,439,606.0","3,499,140.0","3,563,796.0","3,598,843.0","3,674,695.0","3,719,825.0","3,765,998.0","3,778,733.0","3,839,928.0","3,909,168.0","3,982,980.0","4,088,619.0","4,158,688.0","4,180,548.0","4,217,135.0","4,231,252.0","4,276,666.0","4,323,141.0","4,348,166.0","4,388,277.0","4,478,997.0","4,524,773.0","4,590,151.0","4,619,564.0","4,667,178.0","4,691,158.0","4,715,353.0","4,717,041.0"
"22","3","       Change in private inventories","A014RX1","5,505.0","-3,818.0","-14,894.0","-2,491.0","12,441.0","23,666.0","27,655.0","21,398.0","-2,184.0","-19,270.0","-4,222.0","-19,257.0","8,077.0","11,791.0","15,482.0","49,588.0","30,810.0","44,799.0","29,540.0","12,695.0","15,929.0","-3,874.0","17,649.0","17,698.0","14,301.0","14,031.0","8,511.0","-7,296.0","-6,484.0","-10,440.0","-8,317.0","-3,072.0","12,381.0","18,269.0","16,672.0","22,963.0","19,368.0","13,456.0","10,441.0","9,242.0","4,998.0","7,189.0","10,504.0","-9,789.0","-12,253.0","-10,681.0","5,414.0","14,243.0","11,544.0","29,230.0","3,460.0","17,127.0","42,751.0","12,215.0","17,275.0","-20,108.0","-9,167.0","7,910.0","26,249.0","21,779.0","34,416.0","21,618.0","25,354.0","15,053.0","29,606.0","19,524.0","23,173.0","16,928.0","18,068.0","17,336.0","20,773.0","19,867.0","45,521.0","32,796.0","36,934.0","29,703.0","52,041.0","50,014.0","44,456.0","61,182.0","57,259.0","25,154.0","33,895.0","32,975.0","30,126.0","52,768.0","28,805.0","23,933.0","40,124.0","33,530.0","38,746.0","20,985.0"
"23","4","       Residual","A958RX1","-20,800.0","-26,800.0","-32,700.0","-17,200.0","-10,000.0","400.0","3,700.0","-3,900.0","-16,100.0","-31,800.0","-24,000.0","-34,800.0","-15,300.0","-11,900.0","-9,100.0","18,900.0","2,100.0","15,000.0","2,100.0","-11,300.0","-10,100.0","-26,000.0","-8,200.0","-8,300.0","-11,800.0","-12,300.0","-16,100.0","-25,800.0","-23,800.0","-26,800.0","-26,000.0","-23,300.0","-14,700.0","-11,700.0","-13,300.0","-10,300.0","-13,100.0","-15,800.0","-17,200.0","-18,700.0","-21,800.0","-20,400.0","-18,000.0","-26,400.0","-27,000.0","-26,400.0","-19,000.0","-17,000.0","-15,500.0","-10,100.0","-23,700.0","-15,800.0","-7,300.0","-19,500.0","-15,400.0","-31,500.0","-27,100.0","-20,700.0","-13,300.0","-16,000.0","-10,300.0","-16,400.0","-15,400.0","-19,800.0","-13,100.0","-17,500.0","-17,500.0","-20,700.0","-20,100.0","-20,700.0","-19,900.0","-18,400.0","-11,900.0","-15,600.0","-13,700.0","-17,700.0","-8,800.0","-11,400.0","-12,400.0","-6,900.0","-9,100.0","-19,600.0","-16,000.0","-20,100.0","-18,500.0","-11,200.0","-19,700.0","-23,700.0","-15,700.0","-18,000.0","-18,000.0","-22,500.0"
"24","5","Goods","A353RX1","456,900.0","452,402.0","446,651.0","456,083.0","468,321.0","471,934.0","474,643.0","472,401.0","458,795.0","450,770.0","457,904.0","446,477.0","472,663.0","485,679.0","518,781.0","527,897.0","524,786.0","528,318.0","535,065.0","533,478.0","531,880.0","519,625.0","524,658.0","552,052.0","562,079.0","564,974.0","562,051.0","542,880.0","539,192.0","540,853.0","545,799.0","563,243.0","586,781.0","609,634.0","620,540.0","627,290.0","620,940.0","622,363.0","623,535.0","633,116.0","638,914.0","635,542.0","645,708.0","618,884.0","594,168.0","593,817.0","613,804.0","630,978.0","646,183.0","667,023.0","660,009.0","665,478.0","697,209.0","685,557.0","689,753.0","659,331.0","665,171.0","684,264.0","703,415.0","717,267.0","734,959.0","734,863.0","744,465.0","742,362.0","760,157.0","765,096.0","780,018.0","784,666.0","805,129.0","817,003.0","837,060.0","836,958.0","872,755.0","875,189.0","897,583.0","926,064.0","965,901.0","962,659.0","972,212.0","988,237.0","983,848.0","974,915.0","979,754.0","978,669.0","1,000,830.0","1,023,682.0","1,028,399.0","1,025,447.0","1,057,413.0","1,049,673.0","1,057,247.0","1,048,016.0"
"25","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"27","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"33","14","Services \2\","A341RX1","1,211,307.0","1,227,957.0","1,220,595.0","1,202,219.0","1,203,866.0","1,223,674.0","1,230,997.0","1,253,388.0","1,266,740.0","1,281,358.0","1,272,966.0","1,263,814.0","1,275,410.0","1,300,424.0","1,298,316.0","1,342,959.0","1,410,057.0","1,476,775.0","1,540,680.0","1,555,290.0","1,589,989.0","1,635,121.0","1,645,598.0","1,661,678.0","1,691,162.0","1,711,921.0","1,705,432.0","1,701,009.0","1,684,233.0","1,673,316.0","1,687,034.0","1,696,663.0","1,711,539.0","1,698,790.0","1,725,361.0","1,737,555.0","1,740,088.0","1,762,688.0","1,757,333.0","1,799,547.0","1,808,159.0","1,815,508.0","1,827,340.0","1,863,648.0","1,830,042.0","1,864,292.0","1,884,324.0","1,902,156.0","1,911,401.0","1,943,435.0","1,960,969.0","1,979,169.0","1,968,518.0","1,998,978.0","1,998,831.0","2,025,372.0","2,028,109.0","2,068,613.0","2,074,736.0","2,111,822.0","2,143,623.0","2,182,091.0","2,197,540.0","2,224,118.0","2,222,518.0","2,247,353.0","2,286,851.0","2,305,391.0","2,334,201.0","2,366,077.0","2,379,452.0","2,402,255.0","2,425,379.0","2,470,831.0","2,509,315.0","2,556,937.0","2,575,801.0","2,636,425.0","2,656,344.0","2,690,601.0","2,756,455.0","2,772,726.0","2,800,859.0","2,834,621.0","2,892,931.0","2,927,420.0","2,956,354.0","2,985,252.0","2,991,869.0","3,035,558.0","3,054,116.0","3,082,457.0"
"34","15","Structures","A755RX1","278,296.0","273,856.0","299,426.0","333,449.0","334,535.0","353,660.0","354,713.0","343,927.0","334,029.0","336,668.0","355,294.0","374,991.0","400,314.0","430,298.0","450,269.0","441,981.0","434,448.0","419,280.0","409,322.0","408,496.0","419,192.0","423,912.0","424,038.0","441,654.0","452,227.0","453,229.0","446,841.0","453,007.0","463,634.0","473,330.0","487,838.0","499,017.0","523,784.0","531,593.0","526,190.0","517,913.0","518,946.0","526,460.0","524,775.0","521,707.0","522,678.0","516,070.0","514,503.0","516,570.0","515,587.0","509,260.0","525,160.0","556,300.0","583,493.0","596,603.0","591,303.0","572,793.0","590,080.0","575,718.0","574,601.0","583,726.0","595,467.0","580,947.0","597,094.0","616,218.0","618,762.0","634,428.0","638,024.0","636,266.0","642,179.0","671,696.0","689,889.0","695,240.0","723,498.0","719,588.0","721,946.0","717,705.0","728,426.0","754,924.0","768,946.0","777,004.0","793,646.0","761,156.0","756,649.0","725,383.0","726,489.0","741,755.0","754,466.0","775,424.0","783,077.0","794,639.0","799,297.0","807,490.0","817,748.0","814,423.0","817,029.0","778,887.0"
"35","16","Residual","A959RX1","-12,000.0","-22,000.0","-36,400.0","-31,000.0","-17,200.0","-27,400.0","-27,100.0","-34,400.0","-52,000.0","-68,100.0","-63,400.0","-80,600.0","-63,800.0","-68,800.0","-37,000.0","-39,500.0","-64,800.0","-79,900.0","-92,300.0","-99,200.0","-117,600.0","-150,100.0","-148,200.0","-129,100.0","-132,100.0","-136,600.0","-135,400.0","-157,100.0","-159,000.0","-156,800.0","-161,200.0","-149,600.0","-138,300.0","-112,500.0","-108,000.0","-102,000.0","-109,900.0","-118,700.0","-115,000.0","-118,100.0","-115,300.0","-118,900.0","-111,600.0","-152,700.0","-167,100.0","-176,500.0","-167,800.0","-167,200.0","-164,500.0","-158,000.0","-169,200.0","-162,400.0","-132,600.0","-149,000.0","-144,100.0","-187,100.0","-186,500.0","-173,900.0","-162,600.0","-167,600.0","-160,600.0","-178,700.0","-175,200.0","-184,800.0","-168,800.0","-183,100.0","-187,300.0","-190,300.0","-190,100.0","-186,300.0","-171,600.0","-176,800.0","-153,100.0","-174,500.0","-169,600.0","-159,400.0","-133,400.0","-141,200.0","-135,900.0","-118,600.0","-141,900.0","-160,700.0","-169,100.0","-187,500.0","-186,200.0","-179,300.0","-184,800.0","-198,400.0","-175,400.0","-193,000.0","-192,200.0","-193,900.0"
