"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross domestic product (GDP)","A191RX1","1,934,471.0","1,932,281.0","1,930,315.0","1,960,705.0","1,989,535.0","2,021,851.0","2,033,155.0","2,035,329.0","2,007,522.0","2,000,788.0","2,022,798.0","2,004,653.0","2,084,559.0","2,147,592.0","2,230,362.0","2,273,435.0","2,304,542.0","2,344,517.0","2,392,808.0","2,398,105.0","2,423,457.0","2,428,516.0","2,446,081.0","2,526,359.0","2,573,372.0","2,593,456.0","2,578,922.0","2,539,786.0","2,528,043.0","2,530,689.0","2,559,397.0","2,609,272.0","2,683,766.0","2,727,452.0","2,764,128.0","2,780,762.0","2,770,032.0","2,792,872.0","2,790,588.0","2,836,238.0","2,854,517.0","2,848,186.0","2,875,927.0","2,846,446.0","2,772,654.0","2,790,948.0","2,855,472.0","2,922,264.0","2,976,629.0","3,049,011.0","3,043,139.0","3,055,104.0","3,123,162.0","3,111,310.0","3,119,057.0","3,081,300.0","3,102,251.0","3,159,918.0","3,212,606.0","3,277,717.0","3,336,753.0","3,372,706.0","3,404,833.0","3,418,046.0","3,456,080.0","3,501,134.0","3,569,479.0","3,594,954.0","3,672,708.0","3,716,382.0","3,766,862.0","3,780,219.0","3,873,452.0","3,926,406.0","4,006,152.0","4,100,631.0","4,201,891.0","4,219,097.0","4,249,152.0","4,285,582.0","4,324,926.0","4,328,720.0","4,366,088.0","4,401,233.0","4,490,609.0","4,566,442.0","4,599,332.0","4,619,803.0","4,691,637.0","4,706,684.0","4,736,143.0","4,715,469.0"
"21","2","Plus: Income receipts from the rest of the world","A645RX1","13,897.0","14,382.0","14,184.0","15,566.0","16,439.0","17,163.0","18,074.0","17,401.0","17,568.0","17,001.0","16,735.0","15,592.0","16,557.0","17,411.0","19,964.0","19,951.0","19,688.0","22,368.0","22,947.0","23,954.0","22,562.0","23,151.0","22,876.0","22,720.0","22,256.0","23,264.0","21,527.0","21,998.0","23,044.0","22,906.0","23,008.0","25,251.0","25,837.0","26,091.0","26,440.0","26,851.0","29,223.0","28,751.0","29,670.0","26,867.0","30,506.0","32,258.0","31,341.0","26,346.0","27,097.0","26,818.0","26,471.0","26,602.0","26,826.0","27,209.0","29,263.0","31,186.0","31,492.0","31,637.0","32,407.0","33,328.0","34,908.0","33,611.0","34,540.0","35,400.0","34,626.0","37,252.0","37,588.0","41,816.0","40,480.0","39,957.0","41,014.0","42,387.0","45,288.0","44,291.0","45,245.0","43,719.0","47,916.0","49,313.0","47,219.0","44,670.0","45,876.0","46,245.0","46,655.0","48,463.0","48,063.0","47,155.0","50,163.0","50,066.0","51,997.0","53,956.0","55,499.0","55,480.0","57,944.0","59,471.0","61,258.0","62,443.0"
"22","3","Less: Income payments to the rest of the world","A655RX1","4,060.0","3,952.0","3,817.0","4,490.0","4,218.0","4,241.0","5,005.0","4,401.0","5,103.0","4,954.0","5,106.0","5,156.0","5,380.0","5,519.0","5,667.0","5,744.0","6,141.0","6,181.0","6,070.0","6,032.0","5,803.0","6,234.0","6,298.0","6,537.0","6,428.0","6,386.0","6,599.0","6,937.0","6,699.0","6,664.0","6,569.0","6,586.0","6,783.0","7,355.0","7,499.0","7,467.0","7,546.0","7,336.0","7,685.0","7,718.0","7,740.0","7,685.0","7,870.0","7,917.0","8,099.0","7,546.0","7,915.0","8,289.0","8,653.0","9,052.0","9,579.0","10,160.0","11,266.0","10,937.0","10,786.0","10,415.0","10,582.0","10,632.0","11,025.0","11,340.0","10,804.0","10,996.0","11,077.0","11,199.0","11,365.0","11,946.0","12,465.0","12,879.0","13,086.0","13,380.0","13,393.0","14,143.0","14,239.0","14,519.0","14,907.0","15,333.0","15,536.0","15,838.0","16,899.0","17,327.0","17,335.0","17,316.0","17,180.0","18,019.0","19,087.0","20,320.0","20,819.0","21,055.0","23,263.0","25,920.0","29,033.0","30,149.0"
"23","4","Equals: Gross national product","A001RX1","1,947,003.0","1,945,311.0","1,943,290.0","1,974,312.0","2,004,218.0","2,037,215.0","2,048,604.0","2,050,773.0","2,022,373.0","2,015,281.0","2,036,967.0","2,017,747.0","2,098,446.0","2,162,227.0","2,247,252.0","2,290,345.0","2,320,926.0","2,363,226.0","2,412,235.0","2,418,435.0","2,442,886.0","2,448,042.0","2,465,356.0","2,545,476.0","2,592,316.0","2,613,341.0","2,597,102.0","2,557,949.0","2,547,285.0","2,549,855.0","2,578,808.0","2,630,688.0","2,705,675.0","2,749,143.0","2,786,065.0","2,803,118.0","2,794,330.0","2,817,011.0","2,815,180.0","2,858,503.0","2,879,917.0","2,875,122.0","2,901,973.0","2,868,116.0","2,794,630.0","2,813,237.0","2,877,272.0","2,943,979.0","2,998,316.0","3,070,810.0","3,066,212.0","3,079,324.0","3,146,759.0","3,135,321.0","3,143,901.0","3,107,210.0","3,129,418.0","3,186,039.0","3,239,281.0","3,304,982.0","3,363,961.0","3,402,109.0","3,434,521.0","3,451,370.0","3,488,151.0","3,532,294.0","3,601,225.0","3,627,578.0","3,707,858.0","3,750,461.0","3,801,874.0","3,813,205.0","3,910,264.0","3,964,303.0","4,041,966.0","4,133,941.0","4,236,280.0","4,253,562.0","4,283,029.0","4,320,746.0","4,359,798.0","4,362,801.0","4,403,074.0","4,437,398.0","4,527,661.0","4,604,224.0","4,638,092.0","4,658,358.0","4,730,429.0","4,744,323.0","4,772,446.0","4,751,727.0"
"24","5","Less: Consumption of fixed capital","A262RX1","190,667.0","192,192.0","193,167.0","193,074.0","192,622.0","192,445.0","192,550.0","192,944.0","193,777.0","194,443.0","195,332.0","195,871.0","196,795.0","197,962.0","199,288.0","201,096.0","203,024.0","205,206.0","207,504.0","210,029.0","212,599.0","215,402.0","218,359.0","221,503.0","224,837.0","228,070.0","231,179.0","234,235.0","237,456.0","240,292.0","243,099.0","245,734.0","248,487.0","251,326.0","254,054.0","256,729.0","259,717.0","262,610.0","265,475.0","268,185.0","271,068.0","273,985.0","277,163.0","280,595.0","284,229.0","287,479.0","290,392.0","292,873.0","294,973.0","297,111.0","299,221.0","301,513.0","303,760.0","306,145.0","308,770.0","311,620.0","314,699.0","317,794.0","320,892.0","324,126.0","327,670.0","331,054.0","334,798.0","338,719.0","342,750.0","346,733.0","350,816.0","355,023.0","359,042.0","363,281.0","367,836.0","372,488.0","377,449.0","382,729.0","388,183.0","393,807.0","399,827.0","405,789.0","411,839.0","417,922.0","423,946.0","430,041.0","436,011.0","441,923.0","447,671.0","453,664.0","459,713.0","465,686.0","472,039.0","477,850.0","483,596.0","489,110.0"
"25","6","  Private","A024RX1","111,604.0","113,751.0","116,000.0","118,359.0","120,837.0","123,144.0","125,274.0","127,220.0","128,976.0","130,730.0","132,483.0","134,237.0","135,993.0","137,773.0","139,576.0","141,401.0","143,244.0","144,935.0","146,470.0","147,844.0","149,054.0","150,419.0","151,942.0","153,627.0","155,478.0","157,304.0","159,105.0","160,880.0","162,628.0","164,428.0","166,279.0","168,182.0","170,137.0","172,151.0","174,223.0","176,353.0","178,539.0","180,645.0","182,672.0","184,616.0","186,478.0","188,538.0","190,804.0","193,286.0","195,990.0","198,298.0","200,198.0","201,681.0","202,736.0","203,786.0","204,830.0","205,870.0","206,906.0","208,142.0","209,580.0","211,224.0","213,078.0","214,948.0","216,834.0","218,735.0","220,653.0","222,736.0","224,988.0","227,410.0","230,006.0","232,625.0","235,267.0","237,929.0","240,612.0","243,555.0","246,762.0","250,238.0","253,987.0","257,943.0","262,109.0","266,487.0","271,082.0","275,606.0","280,058.0","284,434.0","288,732.0","292,986.0","297,194.0","301,357.0","305,472.0","309,768.0","314,250.0","318,918.0","323,777.0","328,480.0","333,024.0","337,406.0"
"26","7","  Government","A264RX1","85,783.0","85,070.0","83,601.0","80,810.0","77,461.0","74,577.0","72,221.0","70,398.0","69,273.0","67,956.0","66,879.0","65,393.0","64,355.0","63,556.0","62,906.0","62,801.0","62,809.0","63,297.0","64,110.0","65,383.0","66,913.0","68,531.0","70,137.0","71,763.0","73,411.0","74,970.0","76,414.0","77,832.0","79,480.0","80,604.0","81,630.0","82,390.0","83,225.0","84,090.0","84,752.0","85,284.0","86,113.0","86,929.0","87,809.0","88,609.0","89,712.0","90,612.0","91,566.0","92,555.0","93,508.0","94,496.0","95,586.0","96,681.0","97,853.0","99,078.0","100,276.0","101,695.0","103,063.0","104,351.0","105,673.0","107,007.0","108,349.0","109,690.0","111,015.0","112,480.0","114,285.0","115,703.0","117,335.0","118,966.0","120,513.0","121,977.0","123,529.0","125,199.0","126,631.0","128,004.0","129,427.0","130,637.0","131,879.0","133,240.0","134,551.0","135,803.0","137,252.0","138,721.0","140,378.0","142,164.0","143,972.0","145,918.0","147,773.0","149,617.0","151,327.0","153,101.0","154,717.0","156,015.0","157,526.0","158,594.0","159,780.0","160,894.0"
"27","8","    General government","A265RX1","80,775.0","80,068.0","78,559.0","75,836.0","72,552.0","69,718.0","67,371.0","65,565.0","64,436.0","63,125.0","62,028.0","60,557.0","59,507.0","58,665.0","57,946.0","57,813.0","57,797.0","58,241.0","58,981.0","60,192.0","61,627.0","63,126.0","64,634.0","66,191.0","67,767.0","69,259.0","70,638.0","71,960.0","73,508.0","74,573.0","75,537.0","76,243.0","77,013.0","77,805.0","78,393.0","78,872.0","79,631.0","80,360.0","81,182.0","81,918.0","82,929.0","83,742.0","84,631.0","85,549.0","86,420.0","87,333.0","88,326.0","89,343.0","90,425.0","91,545.0","92,668.0","93,943.0","95,224.0","96,368.0","97,610.0","98,812.0","100,059.0","101,262.0","102,470.0","103,836.0","105,511.0","106,808.0","108,311.0","109,798.0","111,239.0","112,599.0","114,042.0","115,562.0","116,882.0","118,145.0","119,423.0","120,509.0","121,627.0","122,855.0","124,061.0","125,186.0","126,504.0","127,829.0","129,339.0","130,996.0","132,637.0","134,460.0","136,156.0","137,834.0","139,390.0","140,969.0","142,450.0","143,574.0","144,910.0","145,848.0","146,887.0","147,851.0"
"28","9","    Government enterprises","A266RX1","3,929.0","3,946.0","4,057.0","4,063.0","4,085.0","4,111.0","4,171.0","4,203.0","4,242.0","4,275.0","4,333.0","4,359.0","4,407.0","4,487.0","4,595.0","4,633.0","4,665.0","4,707.0","4,778.0","4,822.0","4,899.0","5,008.0","5,089.0","5,131.0","5,179.0","5,221.0","5,266.0","5,350.0","5,432.0","5,477.0","5,528.0","5,576.0","5,636.0","5,705.0","5,782.0","5,834.0","5,900.0","5,988.0","6,038.0","6,097.0","6,184.0","6,271.0","6,328.0","6,391.0","6,468.0","6,537.0","6,632.0","6,701.0","6,783.0","6,883.0","6,947.0","7,090.0","7,164.0","7,313.0","7,378.0","7,509.0","7,595.0","7,735.0","7,849.0","7,933.0","8,050.0","8,165.0","8,285.0","8,424.0","8,517.0","8,608.0","8,705.0","8,852.0","8,954.0","9,057.0","9,204.0","9,331.0","9,455.0","9,586.0","9,686.0","9,814.0","9,941.0","10,084.0","10,226.0","10,342.0","10,506.0","10,609.0","10,761.0","10,921.0","11,070.0","11,271.0","11,397.0","11,582.0","11,762.0","11,897.0","12,050.0","12,208.0"
"29","10","Equals: Net national product","A027RX1","1,777,417.0","1,773,830.0","1,770,527.0","1,802,681.0","1,834,133.0","1,868,482.0","1,880,126.0","1,881,879.0","1,851,423.0","1,843,253.0","1,864,626.0","1,844,008.0","1,926,523.0","1,991,205.0","2,077,723.0","2,120,165.0","2,149,477.0","2,190,638.0","2,238,648.0","2,241,801.0","2,263,885.0","2,265,580.0","2,279,726.0","2,358,973.0","2,403,353.0","2,421,001.0","2,400,048.0","2,355,361.0","2,340,109.0","2,339,113.0","2,365,569.0","2,416,084.0","2,490,459.0","2,531,961.0","2,566,813.0","2,581,073.0","2,567,997.0","2,587,805.0","2,582,080.0","2,623,666.0","2,642,156.0","2,633,223.0","2,656,974.0","2,617,014.0","2,535,538.0","2,550,644.0","2,613,532.0","2,679,784.0","2,733,642.0","2,806,371.0","2,798,766.0","2,809,381.0","2,876,668.0","2,861,588.0","2,867,058.0","2,825,129.0","2,844,236.0","2,899,113.0","2,950,454.0","3,014,558.0","3,071,250.0","3,106,497.0","3,135,322.0","3,147,755.0","3,180,767.0","3,221,482.0","3,287,806.0","3,309,759.0","3,387,907.0","3,426,685.0","3,474,198.0","3,480,037.0","3,574,360.0","3,623,682.0","3,697,266.0","3,785,459.0","3,883,866.0","3,894,229.0","3,917,123.0","3,948,532.0","3,981,405.0","3,976,871.0","4,011,083.0","4,039,213.0","4,125,430.0","4,197,155.0","4,224,641.0","4,238,165.0","4,304,802.0","4,311,929.0","4,333,856.0","4,305,586.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross domestic income (GDI) \1\","A261RX1","1,912,478.0","1,910,945.0","1,913,969.0","1,932,020.0","1,984,446.0","2,030,244.0","2,031,498.0","2,041,642.0","2,001,480.0","1,995,935.0","2,007,906.0","1,979,605.0","2,060,133.0","2,144,408.0","2,225,918.0","2,268,900.0","2,280,954.0","2,321,270.0","2,361,955.0","2,382,689.0","2,398,331.0","2,412,613.0","2,434,955.0","2,509,469.0","2,554,312.0","2,572,172.0","2,555,702.0","2,504,107.0","2,510,107.0","2,514,489.0","2,537,072.0","2,590,549.0","2,661,594.0","2,716,020.0","2,751,527.0","2,772,629.0","2,775,437.0","2,803,794.0","2,806,674.0","2,854,931.0","2,861,978.0","2,859,490.0","2,872,235.0","2,841,087.0","2,779,860.0","2,787,834.0","2,849,434.0","2,909,916.0","2,976,510.0","3,057,410.0","3,032,791.0","3,053,792.0","3,121,854.0","3,120,604.0","3,120,170.0","3,103,132.0","3,109,899.0","3,162,423.0","3,213,151.0","3,289,107.0","3,328,648.0","3,365,650.0","3,399,916.0","3,439,960.0","3,469,129.0","3,519,820.0","3,567,491.0","3,598,644.0","3,658,559.0","3,712,245.0","3,764,707.0","3,800,709.0","3,885,454.0","3,935,562.0","3,990,959.0","4,078,454.0","4,167,805.0","4,195,421.0","4,224,264.0","4,261,527.0","4,286,535.0","4,310,137.0","4,355,358.0","4,399,437.0","4,465,648.0","4,533,857.0","4,593,089.0","4,621,396.0","4,665,358.0","4,697,627.0","4,732,382.0","4,723,900.0"
