"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Millions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2015  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2015 6:48:48 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Gross domestic product","A191RX1","4,712,483.0","4,722,012.0","4,877,625.0","5,134,347.0","5,424,084.0","5,396,034.0","5,385,367.0","5,675,427.0","5,936,985.0","6,267,181.0","6,466,208.0","6,450,392.0","6,617,745.0","6,491,287.0","6,791,993.0","7,285,030.0","7,593,823.0","7,860,489.0","8,132,599.0","8,474,492.0","8,786,397.0","8,955,041.0","8,948,406.0","9,266,558.0","9,521,004.0","9,905,428.0","10,174,755.0","10,560,976.0","11,034,850.0","11,525,891.0","12,065,902.0","12,559,660.0","12,682,240.0","12,908,761.0","13,271,081.0","13,773,490.0","14,234,243.0","14,613,817.0","14,873,734.0","14,830,359.0","14,418,738.0","14,783,809.0","15,020,565.0","15,354,627.0","15,583,338.0","15,961,670.0"
"20","2","       Final sales of domestic product","A190RX1","4,697,682.0","4,740,485.0","4,870,605.0","5,125,984.0","5,392,434.0","5,378,353.0","5,434,560.0","5,651,921.0","5,900,877.0","6,225,507.0","6,450,348.0","6,492,107.0","6,586,977.0","6,546,662.0","6,830,584.0","7,196,295.0","7,581,715.0","7,872,629.0","8,113,101.0","8,466,906.0","8,765,454.0","8,952,653.0","8,968,634.0","9,262,488.0","9,511,022.0","9,837,733.0","10,151,344.0","10,536,562.0","10,956,010.0","11,452,339.0","11,994,897.0","12,494,884.0","12,729,587.0","12,888,914.0","13,248,974.0","13,702,241.0","14,168,841.0","14,542,267.0","14,836,190.0","14,865,712.0","14,566,308.0","14,722,161.0","14,978,984.0","15,292,304.0","15,511,372.0","15,881,723.0"
"21","3","       Change in private inventories","A014RX1","33,346.0","6,156.0","27,501.0","28,250.0","42,933.0","32,024.0","-14,075.0","37,707.0","47,461.0","50,150.0","30,822.0","-10,324.0","42,885.0","-21,729.0","-8,612.0","85,716.0","27,591.0","9,026.0","36,287.0","23,810.0","33,251.0","17,937.0","-1,963.0","19,452.0","24,077.0","75,388.0","34,560.0","33,834.0","84,806.0","78,988.0","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","37,593.0","54,672.0","61,428.0","67,987.0"
"22","4","       Residual","A958RX1","-18,500.0","-24,700.0","-20,500.0","-20,000.0","-11,200.0","-14,400.0","-35,100.0","-14,200.0","-11,400.0","-8,500.0","-14,900.0","-31,400.0","-12,200.0","-33,700.0","-30,000.0","3,000.0","-15,500.0","-21,100.0","-16,800.0","-16,200.0","-12,400.0","-15,600.0","-18,200.0","-15,400.0","-14,100.0","-7,700.0","-11,100.0","-9,400.0","-5,900.0","-5,400.0","-4,500.0","-1,400.0","-1,200.0","-2,600.0","-500.0","-100.0","1,100.0","-100.0","2,000.0","-1,600.0","0.0","3,400.0","4,000.0","7,650.0","10,538.0","11,959.0"
"23","5","Goods","A353RX1","1,053,087.0","1,041,589.0","1,069,680.0","1,141,347.0","1,257,016.0","1,245,928.0","1,216,112.0","1,312,167.0","1,377,272.0","1,466,938.0","1,527,489.0","1,519,497.0","1,591,846.0","1,517,498.0","1,581,981.0","1,771,031.0","1,821,691.0","1,879,404.0","1,957,371.0","2,068,166.0","2,178,119.0","2,204,873.0","2,171,988.0","2,252,579.0","2,330,688.0","2,480,658.0","2,570,681.0","2,711,206.0","2,911,717.0","3,071,509.0","3,277,057.0","3,430,874.0","3,381,856.0","3,443,205.0","3,577,370.0","3,767,050.0","3,952,897.0","4,165,235.0","4,331,347.0","4,300,663.0","4,057,352.0","4,410,271.0","4,577,149.0","4,805,027.0","4,991,492.0","5,176,876.0"
"24","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,212,986.0","3,371,521.0","3,414,984.0","3,419,571.0","3,551,521.0","3,697,054.0","3,888,020.0","4,094,372.0","4,293,400.0","4,335,455.0","4,204,921.0","4,346,910.0","4,534,175.0","4,740,778.0","4,917,233.0","5,094,169.0"
"25","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","75,450.0","66,225.0","-46,246.0","22,538.0","22,567.0","71,398.0","64,326.0","71,607.0","35,545.0","-33,671.0","-147,569.0","58,225.0","37,593.0","54,672.0","61,428.0","67,987.0"
"26","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,781,590.0","1,903,423.0","1,856,624.0","1,898,477.0","1,987,125.0","2,119,093.0","2,260,465.0","2,379,328.0","2,507,529.0","2,468,428.0","2,215,840.0","2,467,668.0","2,613,597.0","2,768,626.0","2,843,528.0","2,953,610.0"
