"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Millions of chained (1952) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1942 To 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/13/2015 8:55:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962"
"19","1","    Gross domestic product","A191BX1","265,276.0","310,488.0","335,290.0","332,055.0","293,597.0","290,380.0","302,437.0","300,786.0","326,994.0","353,347.0","367,737.0","384,997.0","382,821.0","410,097.0","418,842.0","427,651.0","424,517.0","453,808.0","465,447.0","477,337.0","506,528.0"
"20","2","Personal consumption expenditures","DPCEBX1","145,615.0","149,674.0","153,931.0","163,450.0","183,786.0","187,307.0","191,537.0","196,860.0","209,488.0","212,760.0","219,473.0","229,948.0","234,779.0","252,110.0","259,476.0","265,891.0","268,191.0","283,400.0","291,173.0","297,178.0","311,876.0"
"21","3","  Goods","DGDSBX1","86,614.0","85,762.0","86,401.0","92,302.0","109,382.0","112,558.0","114,828.0","118,300.0","127,475.0","125,950.0","128,785.0","135,455.0","136,912.0","149,521.0","151,768.0","154,369.0","152,790.0","162,402.0","165,253.0","166,301.0","174,852.0"
"22","4","    Durable goods","DDURBX1","12,801.0","11,491.0","10,593.0","11,769.0","21,258.0","24,934.0","26,568.0","28,730.0","34,835.0","31,937.0","31,243.0","34,890.0","34,741.0","42,150.0","40,576.0","40,947.0","37,826.0","42,282.0","43,140.0","41,692.0","46,453.0"
"23","5","    Nondurable goods","DNDGBX1","74,113.0","74,576.0","76,138.0","80,859.0","88,162.0","87,642.0","88,297.0","89,610.0","92,602.0","94,008.0","97,542.0","100,569.0","102,167.0","107,471.0","111,250.0","113,477.0","114,985.0","120,159.0","122,155.0","124,621.0","128,460.0"
"24","6","  Services","DSERBX1","59,241.0","63,967.0","67,540.0","71,164.0","74,397.0","74,706.0","76,680.0","78,521.0","81,960.0","86,796.0","90,688.0","94,504.0","97,801.0","102,715.0","107,640.0","111,343.0","114,943.0","120,615.0","125,328.0","129,948.0","136,098.0"
"25","7","Gross private domestic investment","A006BX1","20,759.0","12,950.0","15,457.0","19,892.0","47,647.0","45,860.0","57,799.0","44,664.0","62,218.0","62,368.0","57,274.0","60,493.0","58,114.0","71,528.0","71,330.0","68,660.0","63,679.0","75,912.0","76,192.0","76,435.0","85,521.0"
