"","Table 6#16B# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","29,979.0","31,757.0","31,170.0","32,666.0","31,004.0","28,664.0","29,924.0","26,640.0","30,056.0","33,889.0","38,441.0","41,847.0","40,717.0","40,569.0","41,118.0","42,390.0","40,027.0","38,129.0","38,071.0","42,432.0","43,340.0","42,509.0","41,310.0","34,016.0","36,508.0","37,847.0","39,895.0","43,590.0","48,805.0","50,106.0","50,176.0","51,582.0","49,420.0","49,642.0","49,309.0","50,214.0","51,658.0","50,288.0","49,340.0","45,271.0","39,466.0","40,609.0","44,759.0","50,593.0","54,265.0","59,067.0","54,190.0","54,535.0","58,610.0","54,796.0","53,807.0","51,506.0","50,242.0","54,481.0","57,243.0","61,816.0","62,552.0","62,520.0","64,243.0","66,858.0","67,196.0","70,229.0","71,657.0","72,950.0","77,053.0","77,320.0","78,440.0","78,019.0","85,843.0","88,045.0","89,261.0","94,006.0","97,371.0","96,367.0","94,828.0","95,921.0","93,345.0","92,169.0","93,214.0","96,734.0","98,123.0","102,113.0","102,642.0","104,110.0","103,476.0","100,332.0","97,418.0","92,440.0"
"21","2","Domestic industries","A445RC1","28,771.0","30,474.0","29,898.0","31,386.0","29,779.0","27,496.0","28,807.0","25,648.0","28,928.0","32,806.0","37,017.0","40,407.0","39,233.0","38,877.0","39,314.0","40,393.0","38,122.0","36,249.0","36,155.0","40,580.0","41,468.0","40,610.0","39,578.0","32,329.0","34,668.0","35,991.0","37,971.0","41,362.0","46,569.0","47,866.0","47,772.0","49,046.0","46,700.0","46,882.0","46,404.0","47,314.0","48,646.0","47,001.0","46,128.0","42,415.0","36,887.0","38,060.0","42,255.0","48,133.0","51,765.0","56,528.0","51,398.0","51,496.0","55,550.0","51,628.0","50,730.0","48,262.0","46,854.0","51,305.0","53,899.0","58,460.0","59,180.0","58,896.0","60,527.0","62,482.0","63,052.0","66,273.0","67,645.0","68,739.0","72,493.0","72,912.0","73,967.0","73,583.0","81,072.0","83,101.0","84,645.0","89,514.0","93,023.0","91,880.0","90,280.0","91,193.0","88,657.0","87,717.0","88,194.0","91,794.0","92,903.0","96,621.0","96,914.0","98,006.0","97,215.0","93,896.0","90,670.0","85,504.0"
"22","3","  Financial","A587RC1","2,191.0","2,408.0","2,627.0","2,847.0","3,040.0","3,090.0","3,124.0","3,117.0","3,051.0","3,027.0","3,027.0","3,114.0","3,153.0","3,272.0","3,464.0","3,884.0","3,738.0","4,013.0","4,253.0","4,487.0","4,390.0","4,464.0","4,670.0","4,703.0","4,738.0","4,810.0","4,792.0","4,948.0","5,025.0","5,092.0","5,084.0","5,096.0","5,120.0","5,324.0","5,506.0","5,602.0","5,670.0","5,570.0","5,768.0","5,802.0","6,006.0","6,047.0","6,021.0","6,392.0","6,655.0","6,974.0","7,615.0","7,928.0","8,199.0","8,267.0","8,152.0","8,210.0","8,350.0","8,066.0","8,047.0","8,117.0","8,268.0","8,546.0","8,620.0","8,412.0","8,243.0","8,091.0","8,079.0","8,124.0","8,545.0","8,657.0","8,731.0","8,757.0","8,574.0","8,744.0","9,153.0","10,169.0","10,566.0","10,394.0","10,636.0","10,529.0","10,708.0","10,909.0","11,024.0","11,452.0","12,402.0","12,859.0","12,993.0","12,736.0","13,592.0","13,288.0","13,277.0","13,903.0"
"23","4","  Nonfinancial","A463RC1","26,580.0","28,066.0","27,271.0","28,539.0","26,739.0","24,406.0","25,683.0","22,531.0","25,877.0","29,779.0","33,990.0","37,293.0","36,080.0","35,605.0","35,850.0","36,509.0","34,384.0","32,236.0","31,902.0","36,093.0","37,078.0","36,146.0","34,908.0","27,626.0","29,930.0","31,181.0","33,179.0","36,414.0","41,544.0","42,774.0","42,688.0","43,950.0","41,580.0","41,558.0","40,898.0","41,712.0","42,976.0","41,431.0","40,360.0","36,613.0","30,881.0","32,013.0","36,234.0","41,741.0","45,110.0","49,554.0","43,783.0","43,568.0","47,351.0","43,361.0","42,578.0","40,052.0","38,504.0","43,239.0","45,852.0","50,343.0","50,912.0","50,350.0","51,907.0","54,070.0","54,809.0","58,182.0","59,566.0","60,615.0","63,948.0","64,255.0","65,236.0","64,826.0","72,498.0","74,357.0","75,492.0","79,345.0","82,457.0","81,486.0","79,644.0","80,664.0","77,949.0","76,808.0","77,170.0","80,342.0","80,501.0","83,762.0","83,921.0","85,270.0","83,623.0","80,608.0","77,393.0","71,601.0"
"24","5","Rest of the world","B394RC1","1,208.0","1,284.0","1,272.0","1,280.0","1,224.0","1,168.0","1,116.0","992.0","1,128.0","1,084.0","1,424.0","1,440.0","1,484.0","1,692.0","1,804.0","1,996.0","1,904.0","1,880.0","1,916.0","1,852.0","1,872.0","1,900.0","1,732.0","1,688.0","1,840.0","1,856.0","1,924.0","2,228.0","2,236.0","2,240.0","2,404.0","2,536.0","2,720.0","2,760.0","2,904.0","2,900.0","3,012.0","3,288.0","3,212.0","2,856.0","2,580.0","2,548.0","2,504.0","2,460.0","2,500.0","2,540.0","2,792.0","3,040.0","3,060.0","3,168.0","3,076.0","3,244.0","3,388.0","3,176.0","3,344.0","3,356.0","3,372.0","3,624.0","3,716.0","4,376.0","4,144.0","3,956.0","4,012.0","4,212.0","4,560.0","4,408.0","4,472.0","4,436.0","4,772.0","4,944.0","4,616.0","4,492.0","4,348.0","4,488.0","4,548.0","4,728.0","4,688.0","4,452.0","5,020.0","4,940.0","5,220.0","5,492.0","5,728.0","6,104.0","6,260.0","6,436.0","6,748.0","6,936.0"
"25","6","  Receipts from the rest of the world","B933RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","3,108.0","3,188.0","3,488.0","3,744.0","3,724.0","3,832.0","3,728.0","3,876.0","4,052.0","3,888.0","4,108.0","4,132.0","4,060.0","4,340.0","4,452.0","5,124.0","4,896.0","4,748.0","4,832.0","5,064.0","5,428.0","5,304.0","5,376.0","5,408.0","5,800.0","6,016.0","5,720.0","5,592.0","5,468.0","5,592.0","5,684.0","5,880.0","5,840.0","5,624.0","6,280.0","6,216.0","6,544.0","6,860.0","7,116.0","7,464.0","7,676.0","7,872.0","8,220.0","8,420.0"
"26","7","  Less:  Payments to the rest of the world","B934RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","608.0","648.0","696.0","704.0","664.0","664.0","652.0","632.0","664.0","712.0","764.0","776.0","688.0","716.0","736.0","748.0","752.0","792.0","820.0","852.0","868.0","896.0","904.0","972.0","1,028.0","1,072.0","1,104.0","1,100.0","1,120.0","1,104.0","1,136.0","1,152.0","1,152.0","1,172.0","1,260.0","1,276.0","1,324.0","1,368.0","1,388.0","1,360.0","1,416.0","1,436.0","1,472.0","1,484.0"
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","32,871.0","34,721.0","34,163.0","35,644.0","33,923.0","31,528.0","32,736.0","29,405.0","32,777.0","36,607.0","41,197.0","44,681.0","43,669.0","43,581.0","44,130.0","45,344.0","42,862.0","40,823.0","40,598.0","44,768.0","45,461.0","44,438.0","43,073.0","35,635.0","38,007.0","39,105.0","40,789.0","43,999.0","48,607.0","49,560.0","49,539.0","51,111.0","49,373.0","49,898.0","49,747.0","50,711.0","52,094.0","50,731.0","49,858.0","45,934.0","40,344.0","41,588.0","45,728.0","51,438.0","54,874.0","59,402.0","54,217.0","54,216.0","57,910.0","53,824.0","52,671.0","50,314.0","49,103.0","53,111.0","55,357.0","59,131.0","58,784.0","57,902.0","59,005.0","61,230.0","61,412.0","64,280.0","65,537.0","66,652.0","70,569.0","70,653.0","71,592.0","70,994.0","78,643.0","80,686.0","81,757.0","86,373.0","89,625.0","88,536.0","86,941.0","88,005.0","85,431.0","84,294.0","85,418.0","89,055.0","90,600.0","94,666.0","95,188.0","96,567.0","95,762.0","92,583.0","89,766.0","85,019.0"
"28","9","Domestic industries","A390RC1","31,662.0","33,439.0","32,889.0","34,365.0","32,699.0","30,358.0","31,617.0","28,411.0","31,650.0","35,524.0","39,773.0","43,242.0","42,185.0","41,891.0","42,327.0","43,347.0","40,959.0","38,944.0","38,682.0","42,915.0","43,589.0","42,538.0","41,343.0","33,946.0","36,167.0","37,251.0","38,866.0","41,770.0","46,370.0","47,321.0","47,135.0","48,574.0","46,651.0","47,138.0","46,844.0","47,812.0","49,082.0","47,444.0","46,646.0","43,078.0","37,765.0","39,039.0","43,225.0","48,978.0","52,373.0","56,861.0","51,424.0","51,175.0","54,849.0","50,656.0","49,593.0","47,068.0","45,717.0","49,936.0","52,012.0","55,777.0","55,413.0","54,277.0","55,287.0","56,852.0","57,267.0","60,322.0","61,523.0","62,440.0","66,007.0","66,244.0","67,117.0","66,558.0","73,873.0","75,742.0","77,140.0","81,882.0","85,277.0","84,048.0","82,395.0","83,277.0","80,742.0","79,843.0","80,400.0","84,117.0","85,379.0","89,173.0","89,461.0","90,464.0","89,502.0","86,147.0","83,016.0","78,084.0"
"29","10","  Financial","A392RC1","2,422.0","2,642.0","2,858.0","3,070.0","3,249.0","3,293.0","3,329.0","3,333.0","3,286.0","3,278.0","3,290.0","3,386.0","3,430.0","3,554.0","3,750.0","4,174.0","4,030.0","4,307.0","4,547.0","4,779.0","4,679.0","4,752.0","4,960.0","4,996.0","5,036.0","5,108.0","5,084.0","5,228.0","5,288.0","5,347.0","5,339.0","5,359.0","5,399.0","5,615.0","5,803.0","5,899.0","5,963.0","5,863.0","6,066.0","6,110.0","6,330.0","6,381.0","6,361.0","6,733.0","6,993.0","7,301.0","7,925.0","8,213.0","8,453.0","8,497.0","8,365.0","8,413.0","8,550.0","8,258.0","8,226.0","8,278.0","8,406.0","8,674.0","8,749.0","8,553.0","8,409.0","8,265.0","8,245.0","8,266.0","8,646.0","8,734.0","8,801.0","8,837.0","8,681.0","8,877.0","9,310.0","10,348.0","10,766.0","10,606.0","10,850.0","10,735.0","10,898.0","11,085.0","11,189.0","11,609.0","12,554.0","13,005.0","13,130.0","12,862.0","13,704.0","13,399.0","13,397.0","14,044.0"
"30","11","    Federal Reserve banks","J397RBC1","180.0","204.0","236.0","292.0","272.0","248.0","220.0","200.0","192.0","192.0","184.0","192.0","240.0","292.0","308.0","336.0","336.0","336.0","348.0","364.0","384.0","400.0","408.0","384.0","356.0","340.0","308.0","284.0","252.0","268.0","312.0","352.0","416.0","456.0","488.0","512.0","556.0","592.0","652.0","700.0","672.0","648.0","548.0","512.0","564.0","620.0","816.0","936.0","988.0","996.0","936.0","848.0","788.0","752.0","760.0","792.0","820.0","864.0","876.0","892.0","908.0","924.0","964.0","1,020.0","1,080.0","1,120.0","1,156.0","1,184.0","1,256.0","1,316.0","1,368.0","1,428.0","1,492.0","1,612.0","1,756.0","1,880.0","1,912.0","1,904.0","1,920.0","2,076.0","2,304.0","2,468.0","2,592.0","2,644.0","2,812.0","3,016.0","3,132.0","3,340.0"
"31","12","    Other","B398RC1","2,242.0","2,438.0","2,622.0","2,778.0","2,977.0","3,045.0","3,109.0","3,133.0","3,094.0","3,086.0","3,106.0","3,194.0","3,190.0","3,262.0","3,442.0","3,838.0","3,694.0","3,971.0","4,199.0","4,415.0","4,295.0","4,352.0","4,552.0","4,612.0","4,680.0","4,768.0","4,776.0","4,944.0","5,036.0","5,079.0","5,027.0","5,007.0","4,983.0","5,159.0","5,315.0","5,387.0","5,407.0","5,271.0","5,414.0","5,410.0","5,658.0","5,733.0","5,813.0","6,221.0","6,429.0","6,681.0","7,109.0","7,277.0","7,465.0","7,501.0","7,429.0","7,565.0","7,762.0","7,506.0","7,466.0","7,486.0","7,586.0","7,810.0","7,873.0","7,661.0","7,501.0","7,341.0","7,281.0","7,246.0","7,566.0","7,614.0","7,645.0","7,653.0","7,425.0","7,561.0","7,942.0","8,920.0","9,274.0","8,994.0","9,094.0","8,855.0","8,986.0","9,181.0","9,269.0","9,533.0","10,250.0","10,537.0","10,538.0","10,218.0","10,892.0","10,383.0","10,265.0","10,704.0"
"32","13","  Nonfinancial","A399RC1","29,240.0","30,797.0","30,031.0","31,295.0","29,450.0","27,065.0","28,288.0","25,078.0","28,364.0","32,246.0","36,483.0","39,856.0","38,755.0","38,337.0","38,577.0","39,173.0","36,929.0","34,637.0","34,135.0","38,136.0","38,910.0","37,786.0","36,383.0","28,950.0","31,131.0","32,143.0","33,782.0","36,542.0","41,082.0","41,974.0","41,796.0","43,215.0","41,252.0","41,523.0","41,041.0","41,913.0","43,119.0","41,581.0","40,580.0","36,968.0","31,435.0","32,658.0","36,864.0","42,245.0","45,380.0","49,560.0","43,499.0","42,962.0","46,396.0","42,159.0","41,228.0","38,655.0","37,167.0","41,678.0","43,786.0","47,499.0","47,007.0","45,603.0","46,538.0","48,299.0","48,858.0","52,057.0","53,278.0","54,174.0","57,361.0","57,510.0","58,316.0","57,721.0","65,192.0","66,865.0","67,830.0","71,534.0","74,511.0","73,442.0","71,545.0","72,542.0","69,844.0","68,758.0","69,211.0","72,508.0","72,825.0","76,168.0","76,331.0","77,602.0","75,798.0","72,748.0","69,619.0","64,040.0"
"33","14","    Manufacturing","Q400RBC1","17,490.0","18,011.0","17,808.0","18,974.0","17,464.0","15,956.0","17,471.0","15,176.0","16,948.0","19,757.0","23,210.0","25,787.0","24,766.0","25,184.0","25,417.0","25,326.0","23,698.0","21,614.0","21,168.0","23,837.0","25,645.0","24,740.0","24,062.0","18,362.0","20,389.0","20,906.0","20,546.0","22,545.0","25,530.0","26,976.0","27,537.0","28,735.0","27,360.0","26,829.0","25,210.0","26,753.0","27,937.0","26,677.0","25,630.0","22,925.0","18,875.0","19,087.0","21,574.0","25,263.0","28,180.0","31,852.0","27,193.0","26,205.0","29,768.0","25,726.0","25,061.0","22,534.0","21,147.0","24,789.0","26,467.0","28,534.0","28,006.0","27,254.0","27,851.0","29,689.0","29,263.0","31,706.0","32,493.0","32,922.0","34,464.0","34,222.0","34,942.0","34,761.0","40,739.0","41,230.0","42,032.0","44,438.0","46,986.0","45,691.0","44,169.0","44,529.0","42,618.0","41,630.0","41,312.0","43,860.0","43,719.0","46,327.0","45,866.0","47,487.0","45,919.0","42,509.0","40,688.0","37,251.0"
"34","15","      Durable goods","Q406RBC1","7,582.0","7,575.0","7,628.0","8,535.0","8,424.0","7,805.0","9,269.0","7,505.0","8,939.0","11,032.0","13,884.0","15,295.0","14,182.0","13,609.0","12,845.0","13,540.0","13,096.0","11,514.0","11,225.0","13,338.0","14,651.0","13,910.0","13,402.0","8,978.0","10,467.0","11,158.0","10,999.0","12,105.0","14,250.0","14,903.0","15,205.0","15,501.0","14,419.0","14,110.0","12,897.0","14,594.0","16,035.0","15,084.0","14,376.0","12,192.0","9,132.0","9,209.0","10,307.0","13,056.0","15,054.0","17,996.0","13,382.0","12,918.0","16,144.0","12,891.0","12,188.0","10,407.0","9,271.0","11,958.0","13,355.0","15,380.0","15,112.0","14,475.0","15,202.0","16,108.0","15,964.0","17,970.0","17,923.0","18,511.0","19,400.0","19,023.0","19,611.0","19,124.0","23,988.0","24,088.0","24,614.0","26,118.0","27,597.0","25,891.0","24,994.0","24,938.0","23,348.0","23,604.0","22,570.0","24,156.0","23,838.0","25,541.0","24,680.0","26,845.0","25,981.0","22,750.0","21,010.0","18,882.0"
