"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"21","1","    Gross domestic product","A191RX1","1,770,691.0","1,767,976.0","1,766,523.0","1,793,310.0","1,821,809.0","1,855,345.0","1,865,320.0","1,868,184.0","1,842,240.0","1,835,512.0","1,856,103.0","1,838,679.0","1,912,998.0","1,971,217.0","2,048,351.0","2,084,390.0","2,110,731.0","2,145,746.0","2,188,503.0","2,192,210.0","2,214,268.0","2,216,709.0","2,231,561.0","2,305,276.0","2,348,408.0","2,366,180.0","2,351,793.0","2,314,567.0","2,303,523.0","2,306,413.0","2,332,418.0","2,379,125.0","2,447,657.0","2,488,149.0","2,521,394.0","2,535,472.0","2,523,902.0","2,543,752.0","2,540,555.0","2,582,070.0","2,597,939.0","2,591,671.0","2,616,638.0","2,589,110.0","2,519,019.0","2,534,480.0","2,593,867.0","2,654,348.0","2,708,036.0","2,776,430.0","2,773,119.0","2,782,827.0","2,845,268.0","2,831,971.0","2,836,599.0","2,800,224.0","2,816,858.0","2,869,554.0","2,915,929.0","2,975,288.0","3,028,654.0","3,062,094.0","3,090,408.0","3,097,917.0","3,138,407.0","3,177,733.0","3,237,567.0","3,262,180.0","3,335,397.0","3,373,705.0","3,419,548.0","3,429,028.0","3,513,250.0","3,560,919.0","3,633,182.0","3,720,836.0","3,812,167.0","3,824,857.0","3,850,012.0","3,881,205.0","3,915,396.0","3,916,211.0","3,947,455.0","3,977,573.0","4,059,545.0","4,128,472.0","4,156,717.0","4,174,727.0","4,240,478.0","4,252,828.0"
"22","2","    Gross domestic income","A261RX1","1,764,840.0","1,749,125.0","1,749,053.0","1,769,983.0","1,816,727.0","1,864,450.0","1,867,686.0","1,875,336.0","1,838,211.0","1,827,181.0","1,840,294.0","1,816,469.0","1,887,245.0","1,962,329.0","2,044,172.0","2,085,251.0","2,094,790.0","2,120,704.0","2,156,715.0","2,174,072.0","2,192,163.0","2,202,971.0","2,218,195.0","2,285,579.0","2,327,104.0","2,344,542.0","2,331,484.0","2,279,784.0","2,285,494.0","2,289,547.0","2,309,855.0","2,360,276.0","2,423,360.0","2,477,933.0","2,506,961.0","2,527,088.0","2,529,648.0","2,554,060.0","2,551,374.0","2,596,231.0","2,600,807.0","2,599,317.0","2,611,535.0","2,585,475.0","2,528,707.0","2,532,365.0","2,578,346.0","2,641,519.0","2,704,815.0","2,784,678.0","2,760,650.0","2,779,824.0","2,843,772.0","2,837,790.0","2,834,577.0","2,818,433.0","2,823,289.0","2,871,791.0","2,914,605.0","2,980,511.0","3,023,144.0","3,054,371.0","3,082,485.0","3,112,375.0","3,144,311.0","3,192,061.0","3,232,814.0","3,263,920.0","3,319,392.0","3,365,149.0","3,413,383.0","3,443,633.0","3,520,847.0","3,566,048.0","3,616,493.0","3,695,087.0","3,774,884.0","3,797,984.0","3,821,887.0","3,852,989.0","3,872,139.0","3,892,813.0","3,933,495.0","3,972,469.0","4,032,687.0","4,093,233.0","4,144,712.0","4,169,914.0","4,211,112.0","4,238,485.0"
"23","3","    Net domestic product \1\","A362RX1","1,625,902.0","1,624,689.0","1,624,098.0","1,652,438.0","1,681,943.0","1,716,828.0","1,727,146.0","1,730,177.0","1,702,793.0","1,695,433.0","1,716,351.0","1,697,849.0","1,774,248.0","1,833,526.0","1,912,198.0","1,947,985.0","1,973,361.0","2,007,490.0","2,049,620.0","2,050,939.0","2,071,155.0","2,070,737.0","2,083,308.0","2,156,784.0","2,198,275.0","2,213,478.0","2,195,656.0","2,154,036.0","2,139,543.0","2,139,967.0","2,164,330.0","2,210,440.0","2,279,195.0","2,318,859.0","2,350,962.0","2,363,262.0","2,348,699.0","2,366,897.0","2,361,029.0","2,402,180.0","2,416,631.0","2,407,589.0","2,430,973.0","2,399,214.0","2,322,875.0","2,336,295.0","2,395,866.0","2,457,322.0","2,511,820.0","2,581,793.0","2,577,116.0","2,585,718.0","2,649,436.0","2,633,962.0","2,636,955.0","2,596,910.0","2,612,062.0","2,664,390.0","2,710,381.0","2,769,509.0","2,822,191.0","2,854,265.0","2,880,572.0","2,885,249.0","2,923,973.0","2,961,549.0","3,020,328.0","3,042,356.0","3,115,098.0","3,151,267.0","3,195,029.0","3,200,689.0","3,283,729.0","3,328,502.0","3,398,511.0","3,484,424.0","3,573,645.0","3,581,391.0","3,602,069.0","3,629,142.0","3,659,272.0","3,654,992.0","3,682,189.0","3,708,352.0","3,788,408.0","3,854,828.0","3,878,970.0","3,892,488.0","3,955,455.0","3,963,096.0"
"24","4","    Net domestic income \1\","W256RX1","1,619,836.0","1,605,334.0","1,605,976.0","1,628,417.0","1,676,621.0","1,726,167.0","1,729,572.0","1,737,560.0","1,698,691.0","1,686,809.0","1,699,986.0","1,674,784.0","1,747,664.0","1,824,276.0","1,907,801.0","1,948,888.0","1,956,826.0","1,981,420.0","2,016,490.0","2,032,049.0","2,048,092.0","2,056,503.0","2,069,437.0","2,136,268.0","2,176,228.0","2,190,971.0","2,174,657.0","2,117,869.0","2,120,767.0","2,122,537.0","2,140,835.0","2,190,836.0","2,253,919.0","2,308,157.0","2,335,903.0","2,354,568.0","2,354,706.0","2,377,701.0","2,372,219.0","2,416,958.0","2,419,611.0","2,415,600.0","2,425,574.0","2,395,384.0","2,332,882.0","2,334,110.0","2,379,715.0","2,443,887.0","2,508,533.0","2,590,310.0","2,564,042.0","2,582,618.0","2,647,946.0","2,639,882.0","2,634,960.0","2,615,757.0","2,618,776.0","2,666,800.0","2,709,063.0","2,774,924.0","2,816,454.0","2,846,341.0","2,872,286.0","2,900,228.0","2,930,147.0","2,976,364.0","3,015,434.0","3,044,082.0","3,098,630.0","3,142,371.0","3,188,569.0","3,215,854.0","3,291,587.0","3,333,817.0","3,381,215.0","3,457,699.0","3,534,953.0","3,553,458.0","3,572,896.0","3,599,940.0","3,614,496.0","3,630,654.0","3,667,609.0","3,703,065.0","3,760,592.0","3,818,330.0","3,866,507.0","3,887,534.0","3,925,029.0","3,948,337.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RX1","1,780,365.0","1,778,116.0","1,776,614.0","1,803,960.0","1,833,438.0","1,867,580.0","1,877,623.0","1,880,481.0","1,854,012.0","1,846,954.0","1,867,220.0","1,848,808.0","1,923,784.0","1,982,638.0","2,061,797.0","2,097,805.0","2,123,619.0","2,160,765.0","2,204,140.0","2,208,686.0","2,229,872.0","2,232,396.0","2,246,993.0","2,320,475.0","2,363,395.0","2,382,025.0","2,366,056.0","2,328,855.0","2,318,833.0","2,321,650.0","2,347,853.0","2,396,385.0","2,465,300.0","2,505,542.0","2,538,979.0","2,553,429.0","2,543,686.0","2,563,362.0","2,560,591.0","2,599,879.0","2,618,661.0","2,613,838.0","2,637,941.0","2,606,347.0","2,536,618.0","2,552,351.0","2,611,212.0","2,671,541.0","2,725,148.0","2,793,571.0","2,791,463.0","2,802,233.0","2,864,017.0","2,851,118.0","2,856,516.0","2,821,180.0","2,838,968.0","2,890,621.0","2,937,455.0","2,997,299.0","3,050,547.0","3,086,007.0","3,114,552.0","3,125,447.0","3,164,729.0","3,203,151.0","3,263,459.0","3,288,870.0","3,364,370.0","3,401,627.0","3,448,290.0","3,455,855.0","3,543,560.0","3,592,189.0","3,662,414.0","3,747,621.0","3,839,854.0","3,852,594.0","3,877,165.0","3,909,522.0","3,943,397.0","3,943,466.0","3,977,385.0","4,006,696.0","4,089,403.0","4,158,932.0","4,188,055.0","4,205,851.0","4,271,749.0","4,283,002.0"
"27","6","    Gross national income","A023RX1","1,774,527.0","1,759,248.0","1,759,132.0","1,780,582.0","1,828,382.0","1,876,671.0","1,879,967.0","1,887,633.0","1,850,068.0","1,838,626.0","1,851,434.0","1,826,479.0","1,898,024.0","1,973,635.0","2,057,587.0","2,098,608.0","2,107,627.0","2,135,702.0","2,172,338.0","2,190,530.0","2,207,702.0","2,218,753.0","2,233,591.0","2,300,758.0","2,342,144.0","2,360,325.0","2,345,832.0","2,294,007.0","2,300,738.0","2,304,773.0","2,325,330.0","2,377,496.0","2,440,912.0","2,495,326.0","2,524,403.0","2,545,007.0","2,549,454.0","2,573,704.0","2,571,321.0","2,614,146.0","2,621,467.0","2,621,577.0","2,632,775.0","2,602,758.0","2,546,269.0","2,550,235.0","2,595,667.0","2,658,723.0","2,721,907.0","2,801,782.0","2,778,934.0","2,799,289.0","2,862,512.0","2,856,880.0","2,854,606.0","2,839,416.0","2,845,404.0","2,892,971.0","2,936,151.0","3,002,393.0","3,044,958.0","3,078,238.0","3,106,632.0","3,139,859.0","3,170,598.0","3,217,454.0","3,258,717.0","3,290,619.0","3,348,456.0","3,393,066.0","3,442,113.0","3,470,471.0","3,551,165.0","3,597,308.0","3,645,733.0","3,721,696.0","3,802,425.0","3,825,762.0","3,848,987.0","3,881,290.0","3,900,125.0","3,919,994.0","3,963,317.0","4,001,690.0","4,062,528.0","4,123,644.0","4,176,003.0","4,201,062.0","4,242,434.0","4,268,675.0"
"28","7","    Net national product \1\","A027RX1","1,635,621.0","1,634,891.0","1,634,249.0","1,663,166.0","1,693,682.0","1,729,194.0","1,739,582.0","1,742,607.0","1,714,679.0","1,706,978.0","1,727,558.0","1,708,032.0","1,785,108.0","1,845,040.0","1,925,807.0","1,961,559.0","1,986,384.0","2,022,722.0","2,065,491.0","2,067,679.0","2,086,984.0","2,086,649.0","2,098,950.0","2,172,176.0","2,213,441.0","2,229,531.0","2,210,061.0","2,168,465.0","2,155,030.0","2,155,376.0","2,179,940.0","2,227,942.0","2,297,087.0","2,336,486.0","2,368,784.0","2,381,468.0","2,368,806.0","2,386,818.0","2,381,392.0","2,420,213.0","2,437,700.0","2,430,164.0","2,452,641.0","2,416,639.0","2,340,680.0","2,354,380.0","2,413,397.0","2,474,686.0","2,529,092.0","2,599,088.0","2,595,664.0","2,605,371.0","2,668,396.0","2,653,338.0","2,657,131.0","2,618,168.0","2,634,516.0","2,685,753.0","2,732,215.0","2,791,840.0","2,844,393.0","2,878,560.0","2,905,103.0","2,913,295.0","2,950,758.0","2,987,388.0","3,046,651.0","3,069,501.0","3,144,605.0","3,179,677.0","3,224,283.0","3,227,953.0","3,314,596.0","3,360,357.0","3,428,241.0","3,511,604.0","3,601,749.0","3,609,542.0","3,629,609.0","3,657,883.0","3,687,678.0","3,682,620.0","3,712,585.0","3,737,905.0","3,818,713.0","3,885,747.0","3,910,793.0","3,924,084.0","3,987,193.0","3,993,694.0"
"29",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","8","    Gross domestic purchases","A712RX1","1,726,446.0","1,726,501.0","1,725,225.0","1,771,740.0","1,814,043.0","1,862,059.0","1,873,237.0","1,878,735.0","1,838,153.0","1,831,309.0","1,858,721.0","1,855,065.0","1,933,895.0","1,995,910.0","2,089,312.0","2,119,425.0","2,141,834.0","2,164,516.0","2,196,882.0","2,199,436.0","2,225,919.0","2,241,025.0","2,270,106.0","2,353,036.0","2,395,980.0","2,418,576.0","2,399,639.0","2,359,901.0","2,347,236.0","2,345,580.0","2,369,250.0","2,413,132.0","2,484,701.0","2,534,102.0","2,562,876.0","2,580,551.0","2,568,047.0","2,579,783.0","2,573,342.0","2,604,606.0","2,620,558.0","2,619,366.0","2,646,515.0","2,622,863.0","2,565,879.0","2,585,793.0","2,644,355.0","2,712,270.0","2,762,481.0","2,834,041.0","2,827,861.0","2,838,046.0","2,890,555.0","2,868,854.0","2,873,630.0","2,827,555.0","2,844,996.0","2,902,360.0","2,958,434.0","3,017,527.0","3,076,365.0","3,098,908.0","3,138,727.0","3,151,386.0","3,186,061.0","3,211,332.0","3,285,108.0","3,301,648.0","3,365,862.0","3,405,175.0","3,457,238.0","3,465,510.0","3,566,542.0","3,600,614.0","3,686,638.0","3,770,555.0","3,871,819.0","3,880,462.0","3,924,089.0","3,951,446.0","3,985,362.0","3,986,594.0","4,026,174.0","4,061,187.0","4,150,719.0","4,220,206.0","4,248,984.0","4,268,483.0","4,342,205.0","4,349,468.0"
"31","9","    Final sales to domestic purchasers \2\","A713RX1","1,740,843.0","1,755,689.0","1,770,900.0","1,790,877.0","1,812,196.0","1,839,517.0","1,843,695.0","1,862,466.0","1,856,051.0","1,880,644.0","1,886,232.0","1,907,550.0","1,941,509.0","1,996,838.0","2,084,184.0","2,054,890.0","2,111,178.0","2,108,215.0","2,167,296.0","2,198,615.0","2,221,033.0","2,270,138.0","2,261,988.0","2,345,005.0","2,394,555.0","2,417,991.0","2,407,782.0","2,392,320.0","2,376,943.0","2,381,941.0","2,402,758.0","2,439,181.0","2,487,766.0","2,528,765.0","2,560,492.0","2,569,331.0","2,562,897.0","2,582,828.0","2,580,643.0","2,614,349.0","2,637,256.0","2,632,713.0","2,654,338.0","2,658,243.0","2,604,395.0","2,622,129.0","2,658,248.0","2,715,876.0","2,767,224.0","2,816,701.0","2,848,121.0","2,837,683.0","2,857,418.0","2,876,592.0","2,872,589.0","2,877,757.0","2,880,503.0","2,915,327.0","2,946,787.0","3,012,731.0","3,054,074.0","3,094,686.0","3,129,945.0","3,156,730.0","3,171,076.0","3,210,168.0","3,280,520.0","3,306,157.0","3,368,495.0","3,409,202.0","3,457,213.0","3,464,886.0","3,535,393.0","3,584,969.0","3,665,351.0","3,759,844.0","3,831,095.0","3,844,221.0","3,894,506.0","3,900,957.0","3,939,555.0","3,982,264.0","4,010,344.0","4,050,205.0","4,140,909.0","4,181,472.0","4,241,307.0","4,269,360.0","4,319,989.0","4,335,827.0"
"32",NA,"Purchasing power of income: \3\"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
