"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"20","2","Nonresidential","A008RC1","104,651.0","109,012.0","114,148.0","128,836.0","153,265.0","169,465.0","173,745.0","192,361.0","228,719.0","280,563.0","333,898.0","362,392.0","420,011.0","426,466.0","417,198.0","489,633.0","526,185.0","519,834.0","524,116.0","563,783.0","607,745.0","622,440.0","598,174.0","612,126.0","666,567.0","731,411.0","810,033.0","875,366.0","968,607.0","1,061,137.0","1,154,903.0","1,268,688.0","1,227,813.0","1,125,435.0","1,135,678.0","1,223,034.0","1,347,325.0","1,505,330.0","1,637,453.0","1,656,294.0","1,349,315.0","1,338,418.0","1,479,579.0"
"21","3","  Structures","B009RC1","37,698.0","40,287.0","42,679.0","47,173.0","54,983.0","61,237.0","61,350.0","65,915.0","74,578.0","93,584.0","117,701.0","136,170.0","167,314.0","177,564.0","154,344.0","177,397.0","194,517.0","176,527.0","174,202.0","182,789.0","193,716.0","202,917.0","183,605.0","172,572.0","177,152.0","186,769.0","207,270.0","224,583.0","250,265.0","275,130.0","283,945.0","318,145.0","329,706.0","282,752.0","281,866.0","306,651.0","351,754.0","433,671.0","524,884.0","586,304.0","451,073.0","376,349.0","404,848.0"
"22","4","    Commercial and health care","W001RC1","11,665.0","12,539.0","14,889.0","17,554.0","19,818.0","20,643.0","17,662.0","18,050.0","20,301.0","25,332.0","33,505.0","40,968.0","48,271.0","55,785.0","55,836.0","70,594.0","84,135.0","80,856.0","80,827.0","86,322.0","88,269.0","87,465.0","68,922.0","64,488.0","69,363.0","75,384.0","83,056.0","91,495.0","104,304.0","115,969.0","125,419.0","139,321.0","137,303.0","119,419.0","115,054.0","125,328.0","135,923.0","156,411.0","181,875.0","181,925.0","126,788.0","92,071.0","91,518.0"
"23","5","    Manufacturing","C307RC1","6,807.0","6,986.0","6,260.0","5,914.0","7,919.0","10,025.0","10,551.0","10,090.0","11,064.0","16,155.0","22,034.0","20,522.0","25,413.0","26,082.0","19,454.0","20,901.0","24,139.0","20,984.0","21,210.0","23,203.0","28,786.0","33,636.0","31,424.0","29,029.0","23,562.0","28,947.0","35,498.0","38,166.0","37,624.0","40,485.0","35,126.0","37,583.0","37,815.0","22,744.0","21,435.0","23,667.0","29,887.0","35,088.0","43,738.0","57,375.0","61,226.0","43,263.0","44,189.0"
"24","6","    Power and communication","W003RC1","8,670.0","10,215.0","10,990.0","12,073.0","13,817.0","15,078.0","15,665.0","18,155.0","19,274.0","21,442.0","24,622.0","27,295.0","29,954.0","29,602.0","25,781.0","26,496.0","26,526.0","28,288.0","25,411.0","25,030.0","27,479.0","26,333.0","31,560.0","33,879.0","33,173.0","31,164.0","33,099.0","29,223.0","28,778.0","34,163.0","40,445.0","48,143.0","51,095.0","50,992.0","48,074.0","42,829.0","45,152.0","53,349.0","77,593.0","90,460.0","90,144.0","78,911.0","76,585.0"
"25","7","    Mining exploration, shafts, and wells","E318RC1","2,795.0","2,786.0","2,661.0","3,069.0","3,483.0","5,163.0","7,362.0","8,615.0","11,462.0","15,419.0","19,034.0","27,377.0","42,458.0","44,751.0","29,998.0","31,284.0","27,923.0","15,682.0","13,056.0","15,721.0","14,909.0","17,920.0","18,544.0","14,197.0","16,590.0","16,393.0","15,048.0","16,777.0","22,387.0","22,297.0","18,296.0","23,741.0","34,590.0","30,249.0","38,448.0","51,928.0","77,064.0","114,221.0","130,942.0","151,739.0","88,611.0","101,926.0","135,631.0"
"26","8","    Other structures \1\","W004RC1","7,761.0","7,761.0","7,879.0","8,563.0","9,946.0","10,328.0","10,110.0","11,005.0","12,477.0","15,236.0","18,507.0","20,008.0","21,217.0","21,344.0","23,275.0","28,122.0","31,795.0","30,717.0","33,698.0","32,513.0","34,273.0","37,563.0","33,155.0","30,979.0","34,464.0","34,880.0","40,569.0","48,922.0","57,173.0","62,216.0","64,659.0","69,357.0","68,903.0","59,348.0","58,856.0","62,898.0","63,728.0","74,601.0","90,737.0","104,804.0","84,303.0","60,176.0","56,924.0"
"27","9","  Equipment and software","B010RC1","66,953.0","68,725.0","71,469.0","81,663.0","98,282.0","108,228.0","112,395.0","126,446.0","154,141.0","186,979.0","216,197.0","226,222.0","252,697.0","248,902.0","262,854.0","312,236.0","331,668.0","343,307.0","349,914.0","380,994.0","414,029.0","419,523.0","414,569.0","439,554.0","489,415.0","544,642.0","602,763.0","650,783.0","718,342.0","786,007.0","870,958.0","950,543.0","898,107.0","842,683.0","853,812.0","916,383.0","995,571.0","1,071,659.0","1,112,569.0","1,069,990.0","898,242.0","962,069.0","1,074,731.0"
"28","10","    Information processing equipment and software","A679RC1","14,611.0","16,637.0","17,335.0","19,452.0","23,080.0","26,981.0","28,536.0","32,716.0","39,166.0","48,687.0","58,485.0","68,770.0","81,464.0","88,259.0","100,068.0","121,541.0","130,349.0","136,761.0","141,189.0","154,934.0","172,587.0","177,198.0","182,924.0","199,923.0","217,603.0","235,222.0","263,002.0","290,142.0","330,278.0","366,099.0","417,090.0","478,249.0","452,520.0","419,779.0","430,905.0","455,310.0","475,269.0","505,236.0","536,602.0","536,387.0","502,131.0","517,652.0","539,629.0"
"29","11","      Computers and peripheral equipment","B935RC1","2,440.0","2,722.0","2,774.0","3,472.0","3,539.0","3,868.0","3,586.0","4,403.0","5,666.0","7,563.0","10,163.0","12,522.0","17,128.0","18,871.0","23,891.0","31,609.0","33,734.0","33,410.0","35,762.0","37,956.0","43,093.0","38,643.0","37,704.0","44,014.0","47,935.0","52,385.0","66,110.0","72,793.0","81,375.0","87,887.0","97,231.0","103,178.0","87,556.0","79,725.0","77,643.0","80,212.0","78,889.0","84,890.0","87,032.0","84,920.0","73,529.0","72,802.0","78,283.0"
"30","12","      Software \2\","B985RC1","1,790.0","2,321.0","2,410.0","2,778.0","3,220.0","3,912.0","4,780.0","5,204.0","5,476.0","6,345.0","8,135.0","9,836.0","11,845.0","14,040.0","16,384.0","20,362.0","23,762.0","25,614.0","28,995.0","34,178.0","41,869.0","47,632.0","53,720.0","57,855.0","64,274.0","68,262.0","74,635.0","85,474.0","107,483.0","125,993.0","157,332.0","184,455.0","186,590.0","183,043.0","191,272.0","205,681.0","218,004.0","229,785.0","245,006.0","257,213.0","256,886.0","260,940.0","278,714.0"
"31","13","      Other \3\","A937RC1","10,381.0","11,594.0","12,151.0","13,202.0","16,321.0","19,201.0","20,170.0","23,109.0","28,024.0","34,779.0","40,187.0","46,412.0","52,491.0","55,348.0","59,793.0","69,570.0","72,853.0","77,737.0","76,432.0","82,800.0","87,625.0","90,923.0","91,500.0","98,054.0","105,394.0","114,575.0","122,257.0","131,875.0","141,420.0","152,219.0","162,527.0","190,616.0","178,374.0","157,011.0","161,990.0","169,417.0","178,376.0","190,561.0","204,564.0","194,254.0","171,716.0","183,910.0","182,632.0"
"32","14","    Industrial equipment","A680RC1","19,051.0","20,282.0","19,459.0","21,409.0","26,023.0","30,659.0","31,329.0","34,120.0","39,443.0","47,731.0","56,162.0","60,743.0","65,485.0","62,669.0","58,879.0","68,140.0","72,469.0","75,415.0","76,712.0","84,182.0","93,325.0","92,142.0","89,313.0","92,961.0","102,233.0","113,620.0","128,961.0","136,521.0","140,418.0","147,355.0","149,126.0","162,910.0","151,879.0","141,734.0","142,560.0","142,030.0","159,643.0","178,421.0","193,019.0","194,462.0","155,180.0","155,277.0","181,215.0"
"33","15","    Transportation equipment","A681RC1","18,890.0","16,242.0","18,412.0","21,849.0","26,560.0","26,279.0","25,168.0","29,989.0","39,277.0","47,322.0","53,639.0","48,385.0","50,556.0","46,821.0","53,511.0","64,407.0","68,954.0","70,469.0","68,065.0","72,861.0","67,918.0","69,960.0","71,531.0","74,715.0","89,425.0","107,732.0","116,077.0","123,151.0","135,531.0","147,146.0","174,359.0","170,786.0","154,216.0","141,568.0","132,894.0","161,118.0","181,715.0","198,210.0","190,169.0","146,905.0","75,936.0","123,209.0","164,652.0"
"34","16","    Other equipment \4\","A862RC1","14,401.0","15,564.0","16,263.0","18,953.0","22,619.0","24,309.0","27,362.0","29,621.0","36,255.0","43,239.0","47,911.0","48,324.0","55,192.0","51,153.0","50,396.0","58,148.0","59,896.0","60,662.0","63,948.0","69,017.0","80,199.0","80,223.0","70,801.0","71,955.0","80,154.0","88,068.0","94,723.0","100,969.0","112,115.0","125,407.0","130,383.0","138,598.0","139,492.0","139,602.0","147,453.0","157,925.0","178,944.0","189,792.0","192,779.0","192,236.0","164,995.0","165,931.0","189,235.0"
"35","17","Residential","A011RC1","42,620.0","41,365.0","55,764.0","69,665.0","75,346.0","65,963.0","62,730.0","82,483.0","110,297.0","131,599.0","140,993.0","123,191.0","122,561.0","105,680.0","152,853.0","180,585.0","188,172.0","220,114.0","233,686.0","239,306.0","239,510.0","223,981.0","205,111.0","236,332.0","265,964.0","302,093.0","302,854.0","334,058.0","349,051.0","385,928.0","425,789.0","448,978.0","472,398.0","509,495.0","577,603.0","680,613.0","775,004.0","761,850.0","628,657.0","472,412.0","354,148.0","340,551.0","338,733.0"
"36","18","  Structures","A012RC1","41,610.0","40,244.0","54,486.0","68,129.0","73,607.0","64,082.0","60,811.0","80,361.0","107,900.0","128,865.0","137,826.0","119,815.0","118,946.0","101,991.0","148,633.0","175,870.0","183,116.0","214,615.0","227,881.0","233,245.0","233,361.0","217,973.0","199,363.0","230,411.0","259,893.0","295,866.0","296,527.0","327,728.0","342,782.0","379,237.0","418,486.0","441,187.0","464,414.0","501,261.0","569,122.0","671,448.0","765,166.0","751,573.0","618,402.0","462,659.0","345,375.0","331,738.0","329,719.0"
"37","19","    Permanent site","A943RC1","29,224.0","27,059.0","38,670.0","50,095.0","54,619.0","43,420.0","36,318.0","50,770.0","72,231.0","85,601.0","89,272.0","69,629.0","69,425.0","57,000.0","94,961.0","114,616.0","115,889.0","135,169.0","142,668.0","142,391.0","143,233.0","132,136.0","114,575.0","135,070.0","150,911.0","176,390.0","171,404.0","191,114.0","198,062.0","223,983.0","251,271.0","265,047.0","279,391.0","298,841.0","345,691.0","417,501.0","480,808.0","468,798.0","354,144.0","230,114.0","133,874.0","127,255.0","122,951.0"
"38","20","      Single family","A944RC1","19,696.0","17,541.0","25,806.0","32,848.0","35,181.0","29,701.0","29,639.0","43,860.0","62,214.0","72,769.0","72,257.0","52,921.0","51,965.0","41,462.0","72,514.0","86,395.0","87,350.0","104,131.0","117,216.0","120,093.0","120,929.0","112,886.0","99,427.0","121,976.0","140,123.0","162,309.0","153,515.0","170,790.0","175,179.0","199,409.0","223,837.0","236,788.0","249,086.0","265,889.0","310,575.0","377,557.0","433,510.0","415,997.0","305,185.0","185,776.0","105,336.0","112,569.0","108,179.0"
"39","21","      Multifamily","C292RC1","9,528.0","9,518.0","12,864.0","17,247.0","19,438.0","13,720.0","6,679.0","6,910.0","10,017.0","12,832.0","17,015.0","16,708.0","17,460.0","15,538.0","22,447.0","28,221.0","28,539.0","31,038.0","25,452.0","22,298.0","22,304.0","19,250.0","15,148.0","13,094.0","10,788.0","14,081.0","17,889.0","20,324.0","22,883.0","24,574.0","27,434.0","28,259.0","30,305.0","32,952.0","35,116.0","39,944.0","47,298.0","52,801.0","48,959.0","44,338.0","28,538.0","14,686.0","14,772.0"
"40","22","    Other structures \5\","A863RC1","12,386.0","13,185.0","15,816.0","18,034.0","18,988.0","20,662.0","24,493.0","29,591.0","35,669.0","43,264.0","48,554.0","50,186.0","49,521.0","44,991.0","53,672.0","61,254.0","67,227.0","79,446.0","85,213.0","90,854.0","90,128.0","85,837.0","84,788.0","95,341.0","108,982.0","119,476.0","125,123.0","136,614.0","144,720.0","155,254.0","167,215.0","176,140.0","185,023.0","202,420.0","223,431.0","253,947.0","284,358.0","282,775.0","264,258.0","232,545.0","211,501.0","204,483.0","206,768.0"
"41","23","  Equipment","B013RC1","1,010.0","1,121.0","1,278.0","1,536.0","1,739.0","1,881.0","1,919.0","2,122.0","2,397.0","2,734.0","3,167.0","3,376.0","3,615.0","3,689.0","4,220.0","4,715.0","5,056.0","5,499.0","5,805.0","6,061.0","6,149.0","6,008.0","5,748.0","5,921.0","6,071.0","6,227.0","6,327.0","6,330.0","6,269.0","6,691.0","7,303.0","7,791.0","7,984.0","8,234.0","8,481.0","9,165.0","9,838.0","10,277.0","10,255.0","9,753.0","8,773.0","8,813.0","9,014.0"
"42",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","24","  Private fixed investment in structures","A349RC1","79,308.0","80,531.0","97,165.0","115,302.0","128,590.0","125,319.0","122,161.0","146,276.0","182,478.0","222,449.0","255,527.0","255,985.0","286,260.0","279,555.0","302,977.0","353,267.0","377,633.0","391,142.0","402,083.0","416,035.0","427,077.0","420,889.0","382,968.0","402,983.0","437,046.0","482,635.0","503,798.0","552,311.0","593,048.0","654,367.0","702,431.0","759,332.0","794,120.0","784,012.0","850,988.0","978,099.0","1,116,920.0","1,185,244.0","1,143,286.0","1,048,963.0","796,448.0","708,087.0","734,566.0"
"44","25","  Private fixed investment in equipment and software","A327RC1","67,963.0","69,846.0","72,747.0","83,199.0","100,021.0","110,109.0","114,314.0","128,568.0","156,538.0","189,713.0","219,364.0","229,598.0","256,312.0","252,591.0","267,074.0","316,951.0","336,724.0","348,806.0","355,719.0","387,055.0","420,178.0","425,531.0","420,317.0","445,475.0","495,486.0","550,869.0","609,090.0","657,113.0","724,611.0","792,698.0","878,261.0","958,334.0","906,091.0","850,917.0","862,293.0","925,548.0","1,005,409.0","1,081,936.0","1,122,824.0","1,079,743.0","907,015.0","970,882.0","1,083,745.0"
"45","26","  Private fixed investment in new structures \6\","W040RC1","77,606.0","78,798.0","94,784.0","112,207.0","124,893.0","121,194.0","116,645.0","138,962.0","172,569.0","210,230.0","242,107.0","244,428.0","276,368.0","271,052.0","290,135.0","338,610.0","360,369.0","371,148.0","380,636.0","391,312.0","403,313.0","398,440.0","359,749.0","377,459.0","409,868.0","451,726.0","471,701.0","515,774.0","552,136.0","607,679.0","651,214.0","703,638.0","731,583.0","718,457.0","774,538.0","883,792.0","1,007,228.0","1,085,699.0","1,060,402.0","986,648.0","742,475.0","658,711.0","685,288.0"
"46","27","    Nonresidential structures","A771RC1","37,520.0","40,197.0","42,682.0","47,192.0","54,917.0","61,101.0","61,226.0","65,836.0","74,344.0","93,249.0","117,431.0","135,951.0","167,199.0","177,358.0","154,290.0","177,223.0","194,190.0","176,277.0","173,949.0","182,329.0","193,344.0","202,794.0","183,676.0","172,659.0","177,113.0","186,557.0","206,901.0","223,864.0","248,469.0","274,263.0","283,158.0","317,193.0","325,782.0","282,629.0","281,900.0","306,009.0","350,339.0","432,733.0","524,591.0","585,797.0","450,720.0","376,618.0","405,177.0"
"47","28","    Residential structures","A756RC1","40,086.0","38,601.0","52,102.0","65,015.0","69,976.0","60,093.0","55,419.0","73,126.0","98,225.0","116,981.0","124,676.0","108,477.0","109,169.0","93,694.0","135,845.0","161,387.0","166,179.0","194,871.0","206,687.0","208,983.0","209,969.0","195,646.0","176,073.0","204,800.0","232,755.0","265,169.0","264,800.0","291,910.0","303,667.0","333,416.0","368,056.0","386,445.0","405,801.0","435,828.0","492,638.0","577,783.0","656,889.0","652,966.0","535,811.0","400,851.0","291,755.0","282,093.0","280,111.0"
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
