"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","                                                                                ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1929 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published July 27, 2012     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/1/2012 8:43:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19",NA,"Production in the United States:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","    Gross domestic product","A191RX1","976,146.0","892,011.0","834,195.0","725,211.0","715,801.0","793,674.0","864,217.0","977,035.0","1,027,088.0","991,799.0","1,071,919.0","1,165,879.0","1,364,969.0","1,616,840.0","1,881,539.0","2,033,453.0","2,010,693.0","1,790,684.0","1,774,625.0","1,852,664.0","1,843,134.0","2,004,239.0","2,159,298.0","2,241,953.0","2,345,237.0","2,330,370.0","2,498,168.0","2,547,570.0","2,598,839.0","2,575,428.0","2,760,103.0","2,828,515.0","2,894,407.0","3,069,768.0","3,203,972.0","3,389,419.0","3,607,046.0","3,842,060.0","3,939,159.0","4,129,865.0","4,258,163.0"
"21","2","    Gross domestic income","A261RX1","968,937.0","896,020.0","825,815.0","721,502.0","708,858.0","788,897.0","866,718.0","963,093.0","1,027,471.0","983,867.0","1,056,751.0","1,153,345.0","1,361,357.0","1,625,564.0","1,898,484.0","2,009,623.0","1,975,841.0","1,781,297.0","1,758,103.0","1,856,058.0","1,830,554.0","1,994,883.0","2,136,482.0","2,224,697.0","2,320,768.0","2,311,236.0","2,483,826.0","2,557,921.0","2,599,228.0","2,570,224.0","2,757,548.0","2,833,602.0","2,897,545.0","3,068,131.0","3,208,257.0","3,385,419.0","3,599,599.0","3,811,916.0","3,917,754.0","4,110,245.0","4,245,685.0"
"22","3","    Net domestic product \1\","A362RX1","895,851.0","808,616.0","750,144.0","641,761.0","634,765.0","716,217.0","788,085.0","901,815.0","950,009.0","912,057.0","993,290.0","1,087,421.0","1,286,084.0","1,531,503.0","1,781,556.0","1,911,441.0","1,871,635.0","1,644,226.0","1,631,782.0","1,714,023.0","1,703,107.0","1,866,989.0","2,020,353.0","2,095,496.0","2,190,361.0","2,163,570.0","2,328,069.0","2,369,701.0","2,413,602.0","2,378,089.0","2,564,112.0","2,629,316.0","2,689,085.0","2,860,569.0","2,987,052.0","3,165,521.0","3,373,792.0","3,596,562.0","3,676,201.0","3,853,674.0","3,965,965.0"
"23","4","    Net domestic income \1\","W256RX1","888,575.0","812,739.0","741,622.0","638,003.0","627,711.0","711,296.0","790,650.0","887,512.0","950,384.0","903,879.0","977,717.0","1,074,564.0","1,282,259.0","1,540,479.0","1,799,110.0","1,886,740.0","1,835,861.0","1,634,572.0","1,614,723.0","1,717,564.0","1,690,027.0","1,857,240.0","1,996,640.0","2,077,608.0","2,164,871.0","2,143,683.0","2,313,182.0","2,380,493.0","2,414,009.0","2,372,640.0","2,561,431.0","2,634,617.0","2,692,412.0","2,858,902.0","2,991,498.0","3,161,432.0","3,365,924.0","3,565,436.0","3,654,130.0","3,833,467.0","3,953,089.0"
"24",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","5","    Gross national product","A001RX1","984,587.0","900,006.0","840,747.0","730,499.0","720,296.0","797,677.0","868,929.0","981,055.0","1,032,456.0","997,375.0","1,077,788.0","1,170,831.0","1,371,508.0","1,623,500.0","1,887,908.0","2,040,171.0","2,016,553.0","1,798,222.0","1,784,764.0","1,864,780.0","1,854,248.0","2,016,506.0","2,174,302.0","2,257,434.0","2,360,083.0","2,346,180.0","2,515,812.0","2,566,879.0","2,619,197.0","2,592,931.0","2,778,104.0","2,848,208.0","2,916,086.0","3,094,138.0","3,230,052.0","3,417,536.0","3,636,446.0","3,869,784.0","3,967,736.0","4,160,560.0","4,287,966.0"
"26","6","    Gross national income","A023RX1","977,351.0","904,103.0","832,340.0","726,805.0","713,389.0","792,921.0","871,457.0","967,052.0","1,032,751.0","989,485.0","1,062,695.0","1,158,294.0","1,367,900.0","1,632,276.0","1,905,049.0","2,016,353.0","1,981,624.0","1,788,858.0","1,768,229.0","1,868,139.0","1,841,668.0","2,007,173.0","2,151,536.0","2,240,201.0","2,335,541.0","2,327,066.0","2,501,441.0","2,577,207.0","2,619,549.0","2,587,708.0","2,775,464.0","2,853,394.0","2,919,189.0","3,092,503.0","3,234,328.0","3,413,510.0","3,628,991.0","3,839,642.0","3,946,448.0","4,140,872.0","4,275,464.0"
"27","7","    Net national product \1\","A027RX1","904,402.0","816,702.0","756,761.0","647,086.0","639,284.0","720,237.0","792,831.0","905,854.0","955,426.0","917,685.0","999,220.0","1,092,407.0","1,292,705.0","1,538,238.0","1,787,964.0","1,918,172.0","1,877,449.0","1,651,746.0","1,641,982.0","1,726,266.0","1,714,311.0","1,879,379.0","2,035,569.0","2,111,190.0","2,205,374.0","2,179,572.0","2,345,956.0","2,389,307.0","2,434,286.0","2,395,786.0","2,582,304.0","2,649,258.0","2,711,081.0","2,885,338.0","3,013,574.0","3,194,129.0","3,403,699.0","3,624,696.0","3,705,197.0","3,884,834.0","3,996,176.0"
"28",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","8","    Gross domestic purchases","A712RX1","994,123.0","911,075.0","853,910.0","743,887.0","735,073.0","812,705.0","892,175.0","1,006,062.0","1,052,893.0","1,007,250.0","1,088,686.0","1,179,226.0","1,391,528.0","1,667,742.0","1,960,095.0","2,116,509.0","2,078,864.0","1,773,730.0","1,737,478.0","1,857,018.0","1,845,812.0","2,034,636.0","2,175,667.0","2,272,522.0","2,393,524.0","2,368,799.0","2,540,557.0","2,581,444.0","2,627,325.0","2,627,074.0","2,815,607.0","2,865,148.0","2,930,829.0","3,116,346.0","3,246,037.0","3,423,446.0","3,656,087.0","3,906,954.0","4,014,829.0","4,222,098.0","4,354,984.0"
