"","Table 2#4#5U# Personal Consumption Expenditures by Type of Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57"
"1","[Millions of dollars; quarters and months are seasonally adjusted at annual rates]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1959 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 29, 2013    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/28/2013 4:46:31 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8","1","      Personal consumption expenditures","DPCERC0",317704,331795,342185,363336,382713,411454,443811,480893,507783,558001,605124,648301,701613,770230,852013,932932,1033788,1151254,1277823,1427621,1591167,1755826,1939506,2075495,2288576,2501083,2717608,2896746,3096960,3350056,3594490,3835453,3980073,4236891,4483594,4750806,4987280,5273608,5570626,5918488,6342784,6830371,7148807,7439191,7804120,8270574,8803526,9300999,9772270,10035524,9845903,10215722,10729044,11119622
"9","2","Goods","DGDSRC0",172607,177015,178809,188969,198154,212254,229676,249620,258991,284615,304677,318794,342116,373815,416636,451539,491334,546305,600383,663567,737938,799792,869373,899292,973780,1063700,1137606,1195629,1256296,1337308,1423803,1491302,1497435,1563269,1642347,1746554,1815532,1917673,2006764,2110021,2289994,2459132,2534006,2609957,2728045,2892117,3076728,3224733,3363945,3381677,3194368,3364867,3624821,3783171
"10","3","  Durable goods","DDURRC0",44887,45626,44206,49464,54228,59557,66391,71745,73981,84827,90482,89988,102447,116444,130527,130177,142165,168624,191963,213349,226340,226390,243940,253032,295029,342156,380363,421440,442021,475052,494328,497080,477185,508082,551532,607171,635738,676297,715530,780006,857356,915778,946347,992102,1019918,1072866,1123352,1154973,1188447,1108861,1029582,1079411,1146423,1218934
"11","4","    Motor vehicles and parts","DMOTRC0",18789,19582,17722,21386,24246,25802,29645,29927,29601,35414,37448,34538,43233,49365,54358,48166,52643,68172,79796,89173,90175,84430,93017,100014,122945,147192,170065,187519,188181,202213,207771,205119,185748,204798,224715,249843,255709,273486,293083,320205,350729,363227,383290,401347,401025,403873,408191,394812,399919,339275,316016,342722,373596,407004
"12","5","      New motor vehicles (55)","DNMVRC0",13623,14467,12450,15559,17887,18998,22216,22046,21081,25990,26842,23438,30535,35171,38710,31691,34568,46639,55858,62734,61406,54331,59142,64278,82867,99666,117830,134047,128790,138220,139304,134664,112903,126690,138896,151200,147451,152971,162209,179374,200058,210708,230018,243551,251607,252431,248894,233047,233151,185218,165623,177775,203032,232904
"13","6","        New autos","DNEARC0",13178,14017,12084,15015,17230,18277,21354,21029,20021,24511,25105,21945,28196,31617,33931,27005,29331,38167,44407,48521,49265,46395,50685,53336,66029,77144,86255,98970,91286,96675,92887,89675,72281,78016,82025,86421,82129,81764,82326,86873,95433,100252,98815,96054,91302,91909,97448,99982,95922,85733,72050,69082,80136,96583
