"","Table 3BU# Real Inventory-Sales Ratios for Manufacturing and Tra","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Ratio, based on chained (2005) dollars]                                                                                                                                                                                                                  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 24, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/23/2010 1:50:23 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Manufacturing and trade industries","RMT3",1.377,1.377,1.372,1.382,1.353,1.356,1.342,1.342,1.327,1.332,1.341,1.363,1.366
"9","2","Manufacturing industries","R303",1.342,1.346,1.346,1.351,1.36,1.353,1.328,1.316,1.313,1.34,1.377,1.424,1.508
"10","3","  Durable goods manufacturing industries","R30D3",1.555,1.569,1.523,1.532,1.552,1.547,1.504,1.494,1.506,1.526,1.568,1.646,1.748
"11","4","    Wood product manufacturing","R3213",1.128,1.159,1.18,1.224,1.236,1.237,1.22,1.265,1.27,1.255,1.313,1.333,1.253
"12","5","    Nonmetallic mineral product manufacturing","R3273",1.333,1.257,1.269,1.291,1.273,1.298,1.266,1.269,1.217,1.24,1.33,1.454,1.608
"13","6","    Primary metal manufacturing","R3313",1.555,1.626,1.671,1.693,1.67,1.651,1.554,1.598,1.639,1.73,1.743,1.707,1.74
"14","7","    Fabricated metal product manufacturing","R3323",1.561,1.553,1.575,1.569,1.615,1.648,1.632,1.633,1.639,1.621,1.627,1.676,1.736
"15","8","    Machinery manufacturing","R3333",1.63,1.642,1.688,1.728,1.706,1.762,1.668,1.616,1.602,1.629,1.627,1.676,1.916
"16","9","    Computer and electronic product manufacturing","R3343",1.699,1.586,1.534,1.625,1.646,1.778,1.781,1.728,1.749,1.658,1.684,1.811,1.837
"17","10","    Electrical equipment, appliance, and component manufacturing","R3353",1.555,1.543,1.504,1.514,1.549,1.662,1.643,1.571,1.534,1.602,1.636,1.663,1.747
"18","11","    Transportation equipment manufacturing","R3363",1.524,1.659,1.492,1.408,1.464,1.355,1.284,1.276,1.308,1.37,1.448,1.569,1.725
"19","12","      Motor vehicle and parts manufacturing","R336MV3",0.713,0.703,0.66,0.694,0.684,0.645,0.629,0.642,0.648,0.663,0.646,0.687,0.764
"20","13","      Other transportation equipment manufacturing","R336OT3",3.365,3.669,3.448,3.131,3.141,3.165,3.131,3.069,3.07,3.235,3.274,3.247,3.225
"21","14","    Furniture and related product manufacturing","R3373",1.328,1.26,1.277,1.303,1.294,1.309,1.268,1.288,1.286,1.29,1.318,1.35,1.463
"22","15","    Miscellaneous durable goods manufacturing","R3393",1.716,1.687,1.722,1.748,1.75,1.639,1.696,1.68,1.694,1.707,1.793,1.843,1.857
"23","16","  Nondurable goods manufacturing industries","R30N3",1.122,1.107,1.155,1.153,1.159,1.154,1.145,1.132,1.111,1.14,1.17,1.188,1.281
"24","17","    Food manufacturing","R3113",0.979,0.934,0.966,0.971,0.954,0.954,0.918,0.906,0.909,0.909,0.896,0.904,0.909
"25","18","    Beverage and tobacco product manufacturing","R3123",1.159,1.158,1.24,1.241,1.302,1.51,1.415,1.372,1.341,1.355,1.303,1.374,1.521
"26","19","    Textile mills","R3133",1.416,1.457,1.531,1.496,1.575,1.476,1.533,1.601,1.582,1.743,1.834,2.019,2.207
"27","20","    Textile product mills","R3143",1.322,1.249,1.297,1.42,1.572,1.21,1.297,1.221,1.279,1.394,1.549,1.668,1.844
"28","21","    Apparel manufacturing","R3153",1.574,1.655,1.856,1.865,1.671,2.063,2.237,2.54,2.595,2.683,3.118,3.73,4.395
"29","22","    Leather and allied product manufacturing","R3163",1.974,2.106,2.221,2.127,2.152,2.911,2.911,2.925,2.851,3.228,3.335,3.598,3.703
"30","23","    Paper manufacturing","R3223",1.222,1.176,1.232,1.212,1.284,1.357,1.334,1.343,1.341,1.341,1.372,1.388,1.481
"31","24","    Printing and related support activities","R3233",0.794,0.721,0.793,0.754,0.757,0.842,0.83,0.841,0.824,0.835,0.888,0.862,0.899
"32","25","    Petroleum and coal product manufacturing","R3243",0.787,0.746,0.742,0.753,0.784,0.723,0.779,0.748,0.715,0.757,0.854,0.87,1.145
"33","26","    Chemical manufacturing","R3253",1.391,1.427,1.498,1.491,1.499,1.43,1.398,1.371,1.339,1.364,1.352,1.385,1.478
"34","27","    Plastics and rubber product manufacturing","R3263",1.299,1.301,1.309,1.291,1.312,1.295,1.286,1.296,1.285,1.348,1.401,1.443,1.544
"35","28","Merchant wholesale industries","R42W3",1.315,1.323,1.298,1.296,1.258,1.227,1.203,1.2,1.193,1.19,1.179,1.213,1.17
"36","29","  Durable goods merchant wholesale industries","R42WD3",1.73,1.738,1.675,1.654,1.558,1.529,1.499,1.483,1.463,1.431,1.396,1.473,1.445
"37","30","    Motor vehicles, parts, and supplies wholesalers","R42113",1.559,1.499,1.466,1.476,1.332,1.338,1.341,1.301,1.35,1.245,1.24,1.513,1.395
"38","31","    Furniture and home furnishings wholesalers","R42123",1.482,1.481,1.451,1.434,1.356,1.382,1.409,1.38,1.411,1.386,1.393,1.45,1.36
"39","32","    Lumber and other construction materials wholesalers","R42133",0.92,0.842,0.84,0.903,0.868,0.871,0.947,1.047,1.023,1.037,1.068,1.098,1.119
"40","33","    Professional and commercial equipment wholesalers","R42143",1.57,1.353,1.22,1.16,1.015,0.976,0.945,0.936,0.897,0.922,0.873,0.865,0.815
"41","34","      Computers and software wholesalers","R42433",1.608,1.337,1.131,0.983,0.866,0.82,0.867,0.838,0.785,0.803,0.725,0.673,0.676
"42","35","      Other professional and commercial equipment wholesalers","R424X3",1.288,1.175,1.185,1.286,1.124,1.109,1,1.026,1.022,1.062,1.064,1.126,1.051
"43","36","    Metal and mineral (except petroleum) wholesalers","R42153",1.843,1.987,1.929,1.874,1.846,1.917,1.966,2.022,1.907,2.084,2.025,2.387,2.373
"44","37","    Electrical goods wholesalers","R42163",1.31,1.368,1.387,1.349,1.259,1.241,1.168,1.134,1.129,1.124,1.111,1.12,1.047
"45","38","    Hardware and plumbing and heating equipment wholesalers","R42173",1.817,1.888,1.846,1.924,1.898,1.868,1.86,1.894,1.887,1.873,1.975,1.947,2.021
"46","39","    Machinery, equipment, and supplies wholesalers","R42183",2.329,2.431,2.501,2.481,2.485,2.571,2.461,2.436,2.425,2.387,2.383,2.387,2.599
"47","40","    Miscellaneous durable goods wholesalers","R42193",1.314,1.536,1.46,1.501,1.448,1.391,1.489,1.422,1.404,1.272,1.177,1.246,1.313
"48","41","  Nondurable goods merchant wholesale industries","R42WN3",0.964,0.962,0.958,0.965,0.991,0.961,0.94,0.932,0.928,0.941,0.951,0.946,0.935
"49","42","    Paper and paper products wholesalers","R42213",1.319,1.3,1.198,1.281,1.192,1.147,1.138,1.141,1.15,1.136,1.155,1.219,1.219
"50","43","    Drugs and druggists' sundries wholesalers","R42223",1.571,1.532,1.571,1.685,1.828,1.655,1.524,1.437,1.259,1.257,1.251,1.247,1.254
"51","44","    Apparel, piece goods, and notions wholesalers","R42233",1.84,1.833,1.663,1.57,1.525,1.434,1.344,1.308,1.32,1.413,1.432,1.575,1.26
"52","45","    Grocery and related products wholesalers","R42243",0.64,0.611,0.632,0.599,0.559,0.586,0.537,0.547,0.581,0.616,0.62,0.651,0.627
"53","46","    Farm product raw material wholesalers","R42253",1.295,1.466,1.505,1.536,1.593,1.525,1.721,1.513,1.607,1.777,1.962,1.565,1.663
"54","47","    Chemical and allied products wholesalers","R42263",1.029,1.116,1.136,1.053,1.091,1.09,1.071,1.037,0.994,1.012,1.073,1.099,1.015
"55","48","    Petroleum and petroleum products wholesalers","R42273",0.435,0.426,0.349,0.357,0.447,0.393,0.384,0.427,0.439,0.398,0.374,0.365,0.481
"56","49","    Beer, wine, and distilled alcoholic beverages wholesalers","R42283",1.083,1.058,1.03,1.018,0.962,0.987,0.983,1.013,1.042,1.069,1.116,1.251,1.146
"57","50","    Miscellaneous nondurable goods wholesalers","R42293",1.272,1.283,1.265,1.179,1.168,1.173,1.166,1.183,1.183,1.155,1.21,1.362,1.176
"58","51","Retail trade industries","R443",1.533,1.51,1.506,1.527,1.454,1.495,1.496,1.511,1.47,1.452,1.448,1.437,1.4
"59","52","  Motor vehicle and parts dealers","R4413",1.804,1.737,1.766,1.876,1.722,1.956,2.044,2.088,2.041,2.033,2.057,2.2,2.276
"60","53","  Furniture, furnishings, electronics, and appliance stores","R44233",1.8,1.741,1.681,1.67,1.575,1.57,1.555,1.559,1.472,1.382,1.357,1.207,1.122
"61","54","  Building material and garden equipment and supplies dealers","R4443",2.195,2.124,2.076,2.025,1.927,1.908,1.848,1.82,1.772,1.69,1.731,1.735,1.696
"62","55","  Food and beverage stores","R4453",0.775,0.8,0.829,0.816,0.821,0.835,0.801,0.803,0.784,0.79,0.809,0.815,0.812
"63","56","  Clothing and clothing accessories stores","R4483",2.584,2.494,2.412,2.494,2.387,2.386,2.268,2.267,2.202,2.26,2.016,1.862,1.631
"64","57","  General merchandise stores","R4523",2.144,2.028,1.96,1.887,1.796,1.745,1.663,1.679,1.627,1.577,1.538,1.482,1.414
"65","58","    Department stores","R45213",2.414,2.304,2.256,2.206,2.13,2.089,2.007,2.033,2.01,1.997,1.978,1.871,1.775
"66","59","    Other general merchandise stores","R45293",1.726,1.633,1.57,1.504,1.441,1.424,1.379,1.411,1.359,1.308,1.267,1.253,1.214
"67","60","  Other retail stores","R44X3",1.1,1.135,1.112,1.098,1.078,1.016,1.01,1.009,0.983,0.991,1.002,1.009,1.009
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
